Orthogroup	Species	Pdam	Orthologs
OG0000001	Nvec	pdam_00023257-RA, pdam_00023250-RA, pdam_00023251-RA, pdam_00025110-RA, pdam_00009699-RA	NV2t014921001.1, NV2t014920001.1, NV2t014920002.1
OG0000001	Nvec	pdam_00006916-RA, pdam_00023371-RA, pdam_00002799-RA, pdam_00004303-RA, pdam_00002801-RA, pdam_00018086-RA, pdam_00002800-RA, pdam_00002795-RA, pdam_00025463-RA	NV2t007828001.1, NV2t005939001.1, NV2t020944001.1, NV2t019491001.1, NV2t019491002.1
OG0000001	Nvec	pdam_00002715-RA, pdam_00002716-RA	NV2t012137001.1, NV2t012135001.1, NV2t012135002.1, NV2t013352001.1, NV2t013355001.1, NV2t013350001.1, NV2t013353001.1
OG0000001	Nvec	pdam_00024099-RA	NV2t024991001.1
OG0000001	Nvec	pdam_00005010-RA, pdam_00006981-RA, pdam_00010662-RA	NV2t006474001.1
OG0000001	Nvec	pdam_00006984-RA, pdam_00002914-RA	NV2t002389001.1
OG0000002	Nvec	pdam_00015466-RA	NV2t017143001.1
OG0000002	Nvec	pdam_00020060-RA, pdam_00020059-RA	NV2t005119001.1
OG0000002	Nvec	pdam_00019401-RA, pdam_00006926-RA	NV2t006044001.1
OG0000002	Nvec	pdam_00023804-RA, pdam_00022024-RA, pdam_00021019-RA, pdam_00000493-RA, pdam_00016595-RA, pdam_00020675-RA, pdam_00000492-RA, pdam_00025673-RA	NV2t014172001.1
OG0000003	Hsap	pdam_00017595-RA, pdam_00000673-RA	ZN75A_HUMAN, ZN554_HUMAN, ZN485_HUMAN, Z354A_HUMAN, Z354B_HUMAN, ZN879_HUMAN, ZN311_HUMAN, ZFP90_HUMAN, ZN550_HUMAN, ZN460_HUMAN, ZN543_HUMAN, ZN264_HUMAN, ZN805_HUMAN, ZN599_HUMAN, ZN251_HUMAN, ZN707_HUMAN, ZNF7_HUMAN, Z354C_HUMAN, ZN620_HUMAN, ZN789_HUMAN, ZFP92_HUMAN, ZNF74_HUMAN, ZN454_HUMAN, ZN470_HUMAN, ZN471_HUMAN, ZFP28_HUMAN, ZN570_HUMAN, ZN583_HUMAN, ZN527_HUMAN, ZN542_HUMAN, ZN461_HUMAN, Z780A_HUMAN, Z780B_HUMAN, ZN283_HUMAN, ZN331_HUMAN, ZN540_HUMAN, ZN607_HUMAN, ZNF30_HUMAN, ZN573_HUMAN, ZN404_HUMAN, ZN546_HUMAN, ZN529_HUMAN, ZFP14_HUMAN, ZFP30_HUMAN, ZFP82_HUMAN, ZN790_HUMAN, ZN345_HUMAN, ZN850_HUMAN, ZN420_HUMAN, ZN565_HUMAN, ZN571_HUMAN, ZN582_HUMAN, ZN566_HUMAN, ZN383_HUMAN, ZN829_HUMAN, ZN140_HUMAN, ZN181_HUMAN, ZN302_HUMAN, ZN135_HUMAN, ZN544_HUMAN, ZN180_HUMAN, ZN606_HUMAN, ZNF10_HUMAN, ZN502_HUMAN, ZN619_HUMAN, ZN892_HUMAN, Z286A_HUMAN, Z286B_HUMAN, ZN514_HUMAN, ZN391_HUMAN, ZNF80_HUMAN, ZN184_HUMAN, ZN596_HUMAN, Z705E_HUMAN, Z705A_HUMAN, Z705G_HUMAN, Z705B_HUMAN, Z705D_HUMAN, ZN317_HUMAN, ZN846_HUMAN, ZN560_HUMAN, ZN266_HUMAN, ZN121_HUMAN, ZN778_HUMAN, ZN559_HUMAN, ZN561_HUMAN, ZN562_HUMAN, ZN426_HUMAN, ZN177_HUMAN, ZN833_HUMAN, ZN891_HUMAN, ZN333_HUMAN, ZN557_HUMAN, ZN558_HUMAN, ZN782_HUMAN, ZN214_HUMAN, ZN285_HUMAN, ZN229_HUMAN, ZN233_HUMAN, ZN112_HUMAN, ZN226_HUMAN, ZN234_HUMAN, ZN221_HUMAN, ZN225_HUMAN, ZN224_HUMAN, ZN284_HUMAN, ZN155_HUMAN, ZN230_HUMAN, ZN222_HUMAN, ZN223_HUMAN, ZN235_HUMAN, ZNF45_HUMAN, ZN227_HUMAN, Z658B_HUMAN, ZN658_HUMAN, ZFP1_HUMAN, ZN487_HUMAN, ZN248_HUMAN, KRBD1_HUMAN, ZN510_HUMAN, RBAK_HUMAN, ZNF12_HUMAN, ZNF25_HUMAN, ZN334_HUMAN, ZN33A_HUMAN, ZN33B_HUMAN, ZN717_HUMAN, ZN157_HUMAN, ZN37A_HUMAN, ZN567_HUMAN, ZN382_HUMAN, ZIM3_HUMAN, ZN300_HUMAN, ZN630_HUMAN, KRBD4_HUMAN, ZN674_HUMAN, ZNF41_HUMAN, ZNF81_HUMAN, ZN484_HUMAN, ZN175_HUMAN, Z585A_HUMAN, Z585B_HUMAN, ZN268_HUMAN, ZNF26_HUMAN, ZN432_HUMAN, ZN615_HUMAN, ZN614_HUMAN, ZN613_HUMAN, ZN350_HUMAN, ZN649_HUMAN, ZN133_HUMAN, ZN169_HUMAN, ZN875_HUMAN, ZN337_HUMAN, ZN589_HUMAN, ZN343_HUMAN, ZN605_HUMAN, ZNF84_HUMAN, ZN182_HUMAN, ZN568_HUMAN, ZN569_HUMAN, ZN624_HUMAN, ZN667_HUMAN, ZN684_HUMAN, ZN577_HUMAN, ZN793_HUMAN, ZN713_HUMAN, ZNF8_HUMAN, ZN840_HUMAN, ZF69B_HUMAN, ZFP69_HUMAN
OG0000003	Mmus	pdam_00017595-RA, pdam_00000673-RA	Z354A_MOUSE, Z354B_MOUSE, ZN879_MOUSE, ZFP90_MOUSE, Z354C_MOUSE, ZFP92_MOUSE, ZFOI1_MOUSE, ZFP39_MOUSE, ZN809_MOUSE, ZN568_MOUSE, ZFP28_MOUSE, ZN583_MOUSE, ZFP14_MOUSE, ZFP82_MOUSE, ZN184_MOUSE, ZFP26_MOUSE, ZN426_MOUSE, ZN112_MOUSE, ZN235_MOUSE, ZFP1_MOUSE, RBAK_MOUSE, ZNF12_MOUSE, ZN382_MOUSE, ZFP27_MOUSE, ZN182_MOUSE, ZN569_MOUSE, ZN667_MOUSE, ZNF8_MOUSE, ZFP69_MOUSE
OG0000004	Nvec	pdam_00020996-RA	NV2t022250001.1
OG0000004	Nvec	pdam_00001545-RA, pdam_00021362-RA, pdam_00021361-RA, pdam_00004611-RA, pdam_00004609-RA, pdam_00004364-RA, pdam_00023450-RA, pdam_00025353-RA, pdam_00004374-RA, pdam_00021531-RA, pdam_00023068-RA, pdam_00016255-RA, pdam_00025697-RA, pdam_00025696-RA, pdam_00021077-RA, pdam_00021068-RA, pdam_00014144-RA, pdam_00013797-RA, pdam_00000745-RA, pdam_00025706-RA, pdam_00006925-RA, pdam_00025998-RA, pdam_00025878-RA, pdam_00025916-RA, pdam_00025865-RA, pdam_00021332-RA, pdam_00026030-RA, pdam_00002372-RA, pdam_00025869-RA, pdam_00026021-RA, pdam_00025707-RA, pdam_00025835-RA, pdam_00025698-RA, pdam_00025790-RA, pdam_00021331-RA, pdam_00025789-RA, pdam_00021709-RA, pdam_00026076-RA, pdam_00019212-RA, pdam_00024308-RA, pdam_00020020-RA, pdam_00025674-RA, pdam_00025594-RA, pdam_00025756-RA, pdam_00011330-RA, pdam_00011331-RA, pdam_00025000-RA, pdam_00025568-RA, pdam_00025141-RA, pdam_00025106-RA, pdam_00025142-RA, pdam_00025762-RA, pdam_00025806-RA, pdam_00023622-RA, pdam_00025984-RA, pdam_00025941-RA, pdam_00022052-RA, pdam_00025563-RA, pdam_00025625-RA, pdam_00025704-RA, pdam_00024999-RA, pdam_00013798-RA, pdam_00014143-RA, pdam_00000028-RA, pdam_00017809-RA, pdam_00010112-RA, pdam_00010108-RA, pdam_00010111-RA, pdam_00010109-RA, pdam_00025233-RA, pdam_00025261-RA, pdam_00018736-RA, pdam_00007116-RA, pdam_00021172-RA, pdam_00009587-RA, pdam_00018615-RA, pdam_00021170-RA, pdam_00023914-RA, pdam_00025744-RA, pdam_00009588-RA, pdam_00021168-RA, pdam_00025824-RA, pdam_00025262-RA, pdam_00007701-RA, pdam_00025743-RA, pdam_00007146-RA, pdam_00013373-RA, pdam_00020090-RA, pdam_00009876-RA, pdam_00020088-RA, pdam_00013901-RA, pdam_00013902-RA, pdam_00014197-RA, pdam_00001546-RA, pdam_00007151-RA, pdam_00023915-RA, pdam_00007150-RA, pdam_00007149-RA, pdam_00009589-RA, pdam_00025313-RA, pdam_00007148-RA, pdam_00007147-RA, pdam_00016999-RA, pdam_00008464-RA, pdam_00001832-RA, pdam_00007112-RA, pdam_00007126-RA, pdam_00004674-RA, pdam_00025405-RA, pdam_00025677-RA, pdam_00025716-RA, pdam_00023978-RA, pdam_00025365-RA, pdam_00025760-RA, pdam_00025874-RA, pdam_00025420-RA, pdam_00025880-RA, pdam_00026019-RA, pdam_00025380-RA, pdam_00022524-RA, pdam_00025519-RA, pdam_00025266-RA, pdam_00006902-RA, pdam_00013406-RA, pdam_00013931-RA, pdam_00025738-RA, pdam_00014176-RA, pdam_00025945-RA, pdam_00026065-RA, pdam_00014174-RA, pdam_00019252-RA, pdam_00024838-RA, pdam_00022192-RA, pdam_00025561-RA, pdam_00022191-RA, pdam_00025834-RA, pdam_00023977-RA, pdam_00000034-RA, pdam_00000036-RA, pdam_00025267-RA, pdam_00007127-RA, pdam_00000026-RA, pdam_00021530-RA, pdam_00025792-RA, pdam_00025462-RA, pdam_00026064-RA, pdam_00009468-RA, pdam_00009466-RA, pdam_00003279-RA, pdam_00007634-RA, pdam_00026044-RA, pdam_00025581-RA, pdam_00025580-RA, pdam_00006236-RA, pdam_00002607-RA, pdam_00012061-RA, pdam_00012060-RA, pdam_00025961-RA, pdam_00025967-RA, pdam_00002395-RA, pdam_00020100-RA, pdam_00021041-RA, pdam_00025495-RA, pdam_00021486-RA, pdam_00020637-RA, pdam_00021171-RA, pdam_00021169-RA, pdam_00023913-RA, pdam_00023014-RA, pdam_00010110-RA, pdam_00015993-RA, pdam_00015994-RA, pdam_00025529-RA, pdam_00025720-RA, pdam_00006237-RA, pdam_00006238-RA, pdam_00003278-RA, pdam_00025461-RA, pdam_00015995-RA, pdam_00025314-RA, pdam_00002845-RA, pdam_00025989-RA, pdam_00015080-RA, pdam_00016998-RA, pdam_00000039-RA, pdam_00000037-RA	NV2t010729001.1
OG0000004	Nvec	pdam_00012262-RA, pdam_00022964-RA	NV2t014609001.1
OG0000006	Nvec	pdam_00021304-RA	NV2t002180001.1
OG0000006	Nvec	pdam_00015055-RA	NV2t007689001.1
OG0000006	Nvec	pdam_00006199-RA, pdam_00016820-RA, pdam_00009718-RA	NV2t003543001.1
OG0000006	Nvec	pdam_00008492-RA, pdam_00025619-RA, pdam_00007043-RA, pdam_00024876-RA, pdam_00025613-RA, pdam_00024877-RA, pdam_00016324-RA, pdam_00017733-RA, pdam_00007563-RA, pdam_00022121-RA, pdam_00007472-RA, pdam_00002464-RA, pdam_00005538-RA, pdam_00016667-RA, pdam_00022181-RA, pdam_00005502-RA, pdam_00022029-RA, pdam_00017735-RA, pdam_00025980-RA, pdam_00009007-RA	NV2t025971001.1, NV2t002182001.1
OG0000006	Nvec	pdam_00019179-RA, pdam_00025915-RA, pdam_00025924-RA, pdam_00023056-RA, pdam_00020019-RA, pdam_00020036-RA, pdam_00008525-RA	NV2t021494001.1
OG0000006	Nvec	pdam_00016969-RA, pdam_00021736-RA, pdam_00025708-RA	NV2t004693002.1
OG0000006	Nvec	pdam_00024637-RA, pdam_00023386-RA	NV2t010711001.1
OG0000006	Nvec	pdam_00015057-RA, pdam_00022180-RA, pdam_00025844-RA, pdam_00018464-RA, pdam_00005501-RA	NV2t015367001.1
OG0000006	Nvec	pdam_00022937-RA, pdam_00024680-RA, pdam_00023289-RA, pdam_00024405-RA, pdam_00019069-RA, pdam_00009697-RA	NV2t000436001.1, NV2t000436002.1, NV2t000436003.1
OG0000006	Nvec	pdam_00023178-RA, pdam_00026016-RA, pdam_00005422-RA, pdam_00005421-RA, pdam_00023502-RA, pdam_00023503-RA, pdam_00015788-RA, pdam_00012020-RA, pdam_00023501-RA, pdam_00012019-RA, pdam_00020039-RA, pdam_00020038-RA, pdam_00020481-RA, pdam_00025990-RA, pdam_00025602-RA, pdam_00025991-RA	NV2t023059001.1, NV2t023059002.1
