Orthogroup	Species	Nvec	Orthologs
OG0000001	Pdam	NV2t014921001.1, NV2t014920001.1, NV2t014920002.1	pdam_00023257-RA, pdam_00023250-RA, pdam_00023251-RA, pdam_00025110-RA, pdam_00009699-RA
OG0000001	Pdam	NV2t007828001.1, NV2t005939001.1, NV2t020944001.1, NV2t019491001.1, NV2t019491002.1	pdam_00006916-RA, pdam_00023371-RA, pdam_00002799-RA, pdam_00004303-RA, pdam_00002801-RA, pdam_00018086-RA, pdam_00002800-RA, pdam_00002795-RA, pdam_00025463-RA
OG0000001	Pdam	NV2t012137001.1, NV2t012135001.1, NV2t012135002.1, NV2t013352001.1, NV2t013355001.1, NV2t013350001.1, NV2t013353001.1	pdam_00002715-RA, pdam_00002716-RA
OG0000001	Pdam	NV2t024991001.1	pdam_00024099-RA
OG0000001	Pdam	NV2t006474001.1	pdam_00005010-RA, pdam_00006981-RA, pdam_00010662-RA
OG0000001	Pdam	NV2t002389001.1	pdam_00006984-RA, pdam_00002914-RA
OG0000002	Pdam	NV2t017143001.1	pdam_00015466-RA
OG0000002	Pdam	NV2t005119001.1	pdam_00020060-RA, pdam_00020059-RA
OG0000002	Pdam	NV2t006044001.1	pdam_00019401-RA, pdam_00006926-RA
OG0000002	Pdam	NV2t014172001.1	pdam_00023804-RA, pdam_00022024-RA, pdam_00021019-RA, pdam_00000493-RA, pdam_00016595-RA, pdam_00020675-RA, pdam_00000492-RA, pdam_00025673-RA
OG0000004	Pdam	NV2t022250001.1	pdam_00020996-RA
OG0000004	Pdam	NV2t010729001.1	pdam_00001545-RA, pdam_00021362-RA, pdam_00021361-RA, pdam_00004611-RA, pdam_00004609-RA, pdam_00004364-RA, pdam_00023450-RA, pdam_00025353-RA, pdam_00004374-RA, pdam_00021531-RA, pdam_00023068-RA, pdam_00016255-RA, pdam_00025697-RA, pdam_00025696-RA, pdam_00021077-RA, pdam_00021068-RA, pdam_00014144-RA, pdam_00013797-RA, pdam_00000745-RA, pdam_00025706-RA, pdam_00006925-RA, pdam_00025998-RA, pdam_00025878-RA, pdam_00025916-RA, pdam_00025865-RA, pdam_00021332-RA, pdam_00026030-RA, pdam_00002372-RA, pdam_00025869-RA, pdam_00026021-RA, pdam_00025707-RA, pdam_00025835-RA, pdam_00025698-RA, pdam_00025790-RA, pdam_00021331-RA, pdam_00025789-RA, pdam_00021709-RA, pdam_00026076-RA, pdam_00019212-RA, pdam_00024308-RA, pdam_00020020-RA, pdam_00025674-RA, pdam_00025594-RA, pdam_00025756-RA, pdam_00011330-RA, pdam_00011331-RA, pdam_00025000-RA, pdam_00025568-RA, pdam_00025141-RA, pdam_00025106-RA, pdam_00025142-RA, pdam_00025762-RA, pdam_00025806-RA, pdam_00023622-RA, pdam_00025984-RA, pdam_00025941-RA, pdam_00022052-RA, pdam_00025563-RA, pdam_00025625-RA, pdam_00025704-RA, pdam_00024999-RA, pdam_00013798-RA, pdam_00014143-RA, pdam_00000028-RA, pdam_00017809-RA, pdam_00010112-RA, pdam_00010108-RA, pdam_00010111-RA, pdam_00010109-RA, pdam_00025233-RA, pdam_00025261-RA, pdam_00018736-RA, pdam_00007116-RA, pdam_00021172-RA, pdam_00009587-RA, pdam_00018615-RA, pdam_00021170-RA, pdam_00023914-RA, pdam_00025744-RA, pdam_00009588-RA, pdam_00021168-RA, pdam_00025824-RA, pdam_00025262-RA, pdam_00007701-RA, pdam_00025743-RA, pdam_00007146-RA, pdam_00013373-RA, pdam_00020090-RA, pdam_00009876-RA, pdam_00020088-RA, pdam_00013901-RA, pdam_00013902-RA, pdam_00014197-RA, pdam_00001546-RA, pdam_00007151-RA, pdam_00023915-RA, pdam_00007150-RA, pdam_00007149-RA, pdam_00009589-RA, pdam_00025313-RA, pdam_00007148-RA, pdam_00007147-RA, pdam_00016999-RA, pdam_00008464-RA, pdam_00001832-RA, pdam_00007112-RA, pdam_00007126-RA, pdam_00004674-RA, pdam_00025405-RA, pdam_00025677-RA, pdam_00025716-RA, pdam_00023978-RA, pdam_00025365-RA, pdam_00025760-RA, pdam_00025874-RA, pdam_00025420-RA, pdam_00025880-RA, pdam_00026019-RA, pdam_00025380-RA, pdam_00022524-RA, pdam_00025519-RA, pdam_00025266-RA, pdam_00006902-RA, pdam_00013406-RA, pdam_00013931-RA, pdam_00025738-RA, pdam_00014176-RA, pdam_00025945-RA, pdam_00026065-RA, pdam_00014174-RA, pdam_00019252-RA, pdam_00024838-RA, pdam_00022192-RA, pdam_00025561-RA, pdam_00022191-RA, pdam_00025834-RA, pdam_00023977-RA, pdam_00000034-RA, pdam_00000036-RA, pdam_00025267-RA, pdam_00007127-RA, pdam_00000026-RA, pdam_00021530-RA, pdam_00025792-RA, pdam_00025462-RA, pdam_00026064-RA, pdam_00009468-RA, pdam_00009466-RA, pdam_00003279-RA, pdam_00007634-RA, pdam_00026044-RA, pdam_00025581-RA, pdam_00025580-RA, pdam_00006236-RA, pdam_00002607-RA, pdam_00012061-RA, pdam_00012060-RA, pdam_00025961-RA, pdam_00025967-RA, pdam_00002395-RA, pdam_00020100-RA, pdam_00021041-RA, pdam_00025495-RA, pdam_00021486-RA, pdam_00020637-RA, pdam_00021171-RA, pdam_00021169-RA, pdam_00023913-RA, pdam_00023014-RA, pdam_00010110-RA, pdam_00015993-RA, pdam_00015994-RA, pdam_00025529-RA, pdam_00025720-RA, pdam_00006237-RA, pdam_00006238-RA, pdam_00003278-RA, pdam_00025461-RA, pdam_00015995-RA, pdam_00025314-RA, pdam_00002845-RA, pdam_00025989-RA, pdam_00015080-RA, pdam_00016998-RA, pdam_00000039-RA, pdam_00000037-RA
OG0000004	Pdam	NV2t014609001.1	pdam_00012262-RA, pdam_00022964-RA
OG0000006	Pdam	NV2t002180001.1	pdam_00021304-RA
OG0000006	Pdam	NV2t007689001.1	pdam_00015055-RA
OG0000006	Pdam	NV2t003543001.1	pdam_00006199-RA, pdam_00016820-RA, pdam_00009718-RA
OG0000006	Pdam	NV2t025971001.1, NV2t002182001.1	pdam_00008492-RA, pdam_00025619-RA, pdam_00007043-RA, pdam_00024876-RA, pdam_00025613-RA, pdam_00024877-RA, pdam_00016324-RA, pdam_00017733-RA, pdam_00007563-RA, pdam_00022121-RA, pdam_00007472-RA, pdam_00002464-RA, pdam_00005538-RA, pdam_00016667-RA, pdam_00022181-RA, pdam_00005502-RA, pdam_00022029-RA, pdam_00017735-RA, pdam_00025980-RA, pdam_00009007-RA
OG0000006	Pdam	NV2t021494001.1	pdam_00019179-RA, pdam_00025915-RA, pdam_00025924-RA, pdam_00023056-RA, pdam_00020019-RA, pdam_00020036-RA, pdam_00008525-RA
OG0000006	Pdam	NV2t004693002.1	pdam_00016969-RA, pdam_00021736-RA, pdam_00025708-RA
OG0000006	Pdam	NV2t010711001.1	pdam_00024637-RA, pdam_00023386-RA
OG0000006	Pdam	NV2t015367001.1	pdam_00015057-RA, pdam_00022180-RA, pdam_00025844-RA, pdam_00018464-RA, pdam_00005501-RA
OG0000006	Pdam	NV2t000436001.1, NV2t000436002.1, NV2t000436003.1	pdam_00022937-RA, pdam_00024680-RA, pdam_00023289-RA, pdam_00024405-RA, pdam_00019069-RA, pdam_00009697-RA
OG0000006	Pdam	NV2t023059001.1, NV2t023059002.1	pdam_00023178-RA, pdam_00026016-RA, pdam_00005422-RA, pdam_00005421-RA, pdam_00023502-RA, pdam_00023503-RA, pdam_00015788-RA, pdam_00012020-RA, pdam_00023501-RA, pdam_00012019-RA, pdam_00020039-RA, pdam_00020038-RA, pdam_00020481-RA, pdam_00025990-RA, pdam_00025602-RA, pdam_00025991-RA
OG0000007	Pdam	NV2t012717001.1	pdam_00020237-RA, pdam_00019751-RA, pdam_00002636-RA, pdam_00008162-RA, pdam_00016504-RA, pdam_00023638-RA, pdam_00023932-RA, pdam_00012513-RA, pdam_00023220-RA, pdam_00024597-RA, pdam_00020603-RA, pdam_00022082-RA, pdam_00012511-RA, pdam_00009374-RA, pdam_00012512-RA, pdam_00019231-RA, pdam_00015096-RA, pdam_00006061-RA, pdam_00003161-RA, pdam_00022081-RA, pdam_00020879-RA, pdam_00016505-RA, pdam_00007639-RA, pdam_00019124-RA, pdam_00019754-RA, pdam_00016503-RA, pdam_00012514-RA, pdam_00021199-RA, pdam_00005536-RA, pdam_00021602-RA, pdam_00024207-RA, pdam_00011505-RA, pdam_00023644-RA, pdam_00023643-RA, pdam_00023637-RA, pdam_00025640-RA, pdam_00023864-RA, pdam_00022207-RA, pdam_00016389-RA, pdam_00021237-RA, pdam_00023330-RA, pdam_00023495-RA, pdam_00023642-RA, pdam_00024232-RA, pdam_00025351-RA, pdam_00024598-RA, pdam_00023221-RA, pdam_00010297-RA, pdam_00007244-RA, pdam_00009742-RA, pdam_00009734-RA, pdam_00009740-RA, pdam_00003969-RA, pdam_00009737-RA, pdam_00002374-RA, pdam_00015238-RA, pdam_00018717-RA, pdam_00019953-RA, pdam_00019165-RA, pdam_00019903-RA, pdam_00007767-RA, pdam_00002376-RA, pdam_00021996-RA, pdam_00009729-RA, pdam_00009735-RA, pdam_00009741-RA, pdam_00009730-RA, pdam_00020089-RA, pdam_00009738-RA, pdam_00005519-RA, pdam_00010882-RA, pdam_00024739-RA, pdam_00002590-RA, pdam_00018184-RA, pdam_00019495-RA, pdam_00023438-RA, pdam_00024754-RA, pdam_00010883-RA, pdam_00005518-RA, pdam_00009182-RA, pdam_00003856-RA, pdam_00009183-RA, pdam_00016506-RA, pdam_00012796-RA, pdam_00015101-RA, pdam_00020878-RA, pdam_00016507-RA, pdam_00014394-RA, pdam_00003159-RA, pdam_00020877-RA, pdam_00015102-RA, pdam_00015097-RA, pdam_00003160-RA, pdam_00025681-RA, pdam_00022791-RA, pdam_00002635-RA, pdam_00006107-RA, pdam_00006794-RA, pdam_00007482-RA, pdam_00025438-RA, pdam_00016236-RA, pdam_00003311-RA, pdam_00023032-RA, pdam_00007481-RA, pdam_00024752-RA, pdam_00006106-RA, pdam_00024753-RA, pdam_00006108-RA, pdam_00003310-RA, pdam_00002634-RA, pdam_00003149-RA, pdam_00016670-RA, pdam_00017263-RA, pdam_00017168-RA, pdam_00019797-RA, pdam_00000086-RA, pdam_00020099-RA, pdam_00016821-RA, pdam_00017327-RA, pdam_00020419-RA, pdam_00022566-RA, pdam_00024509-RA, pdam_00025487-RA, pdam_00013553-RA, pdam_00025855-RA, pdam_00025934-RA, pdam_00025736-RA, pdam_00001413-RA, pdam_00016235-RA, pdam_00020615-RA, pdam_00025847-RA
OG0000008	Hsap	NV2t000346001.1, NV2t012263001.1, NV2t021149001.1, NV2t021216001.1, NV2t019862001.1, NV2t019855001.1, NV2t025997001.1, NV2t019866001.1, NV2t019860001.1, NV2t019864001.1, NV2t019863001.1, NV2t019863002.1, NV2t019861001.1, NV2t019858001.1, NV2t021535001.1, NV2t021535003.1, NV2t021535002.1, NV2t020637001.1	JAM1_HUMAN, JAM3_HUMAN, JAM2_HUMAN
OG0000008	Mmus	NV2t000346001.1, NV2t012263001.1, NV2t021149001.1, NV2t021216001.1, NV2t019862001.1, NV2t019855001.1, NV2t025997001.1, NV2t019866001.1, NV2t019860001.1, NV2t019864001.1, NV2t019863001.1, NV2t019863002.1, NV2t019861001.1, NV2t019858001.1, NV2t021535001.1, NV2t021535003.1, NV2t021535002.1, NV2t020637001.1	JAM1_MOUSE, JAM3_MOUSE, JAM2_MOUSE
OG0000008	Pdam	NV2t000346001.1	pdam_00002288-RA
OG0000008	Pdam	NV2t012263001.1	pdam_00017923-RA
OG0000008	Pdam	NV2t021149001.1, NV2t021216001.1	pdam_00025823-RA, pdam_00025727-RA, pdam_00023748-RA, pdam_00020793-RA, pdam_00024963-RA, pdam_00024900-RA, pdam_00023733-RA
OG0000008	Pdam	NV2t019862001.1, NV2t019855001.1, NV2t025997001.1, NV2t019866001.1, NV2t019860001.1, NV2t019864001.1, NV2t019863001.1, NV2t019863002.1, NV2t019861001.1, NV2t019858001.1	pdam_00016103-RA, pdam_00016101-RA, pdam_00016098-RA, pdam_00016100-RA, pdam_00025043-RA
OG0000008	Pdam	NV2t021535001.1, NV2t021535003.1, NV2t021535002.1	pdam_00021976-RA, pdam_00021975-RA
OG0000008	Pdam	NV2t020637001.1	pdam_00024813-RA, pdam_00023732-RA, pdam_00003862-RA, pdam_00020573-RA, pdam_00020572-RA, pdam_00000224-RA, pdam_00000895-RA, pdam_00011127-RA, pdam_00018270-RA, pdam_00022997-RA, pdam_00014043-RA, pdam_00016192-RA, pdam_00018132-RA, pdam_00012852-RA, pdam_00012850-RA, pdam_00013942-RA, pdam_00024747-RA, pdam_00014218-RA, pdam_00024748-RA, pdam_00006541-RA
OG0000009	Pdam	NV2t015264001.1, NV2t010292001.1, NV2t025760001.1, NV2t004814001.1, NV2t004838001.1, NV2t004839001.1, NV2t025882001.1	pdam_00024486-RA, pdam_00022869-RA, pdam_00016656-RA, pdam_00015407-RA, pdam_00024216-RA, pdam_00006335-RA, pdam_00006047-RA, pdam_00012103-RA, pdam_00025090-RA, pdam_00018012-RA, pdam_00021529-RA, pdam_00025938-RA, pdam_00007550-RA, pdam_00007099-RA, pdam_00012102-RA, pdam_00005940-RA, pdam_00008531-RA, pdam_00016510-RA, pdam_00005939-RA, pdam_00014022-RA, pdam_00004068-RA, pdam_00025091-RA, pdam_00013281-RA, pdam_00009988-RA, pdam_00022774-RA, pdam_00017450-RA, pdam_00020488-RA, pdam_00010009-RA, pdam_00001498-RA, pdam_00017261-RA, pdam_00015144-RA, pdam_00025186-RA, pdam_00020493-RA, pdam_00003587-RA, pdam_00015738-RA, pdam_00010010-RA, pdam_00022177-RA, pdam_00009445-RA, pdam_00000480-RA, pdam_00018276-RA, pdam_00003309-RA, pdam_00001976-RA, pdam_00009219-RA, pdam_00025170-RA, pdam_00005934-RA, pdam_00021549-RA, pdam_00023880-RA, pdam_00000431-RA, pdam_00022724-RA, pdam_00024342-RA, pdam_00016157-RA, pdam_00016158-RA, pdam_00024343-RA, pdam_00016872-RA, pdam_00007716-RA, pdam_00025692-RA, pdam_00024365-RA, pdam_00024452-RA, pdam_00025343-RA, pdam_00002871-RA, pdam_00006871-RA, pdam_00002870-RA, pdam_00021683-RA, pdam_00013219-RA, pdam_00023955-RA, pdam_00019882-RA, pdam_00017828-RA, pdam_00020779-RA, pdam_00013220-RA, pdam_00024341-RA, pdam_00013221-RA, pdam_00022725-RA, pdam_00025873-RA, pdam_00010087-RA, pdam_00002866-RA, pdam_00002865-RA, pdam_00001977-RA, pdam_00011206-RA, pdam_00006004-RA, pdam_00022642-RA, pdam_00025533-RA, pdam_00011575-RA, pdam_00024162-RA, pdam_00019185-RA, pdam_00023414-RA, pdam_00024672-RA, pdam_00019186-RA, pdam_00014708-RA, pdam_00024330-RA, pdam_00009218-RA, pdam_00008958-RA, pdam_00011205-RA, pdam_00013218-RA, pdam_00021546-RA, pdam_00006032-RA, pdam_00023216-RA, pdam_00019908-RA, pdam_00010328-RA, pdam_00020145-RA, pdam_00005005-RA, pdam_00024873-RA, pdam_00016590-RA, pdam_00007476-RA, pdam_00024557-RA, pdam_00025742-RA, pdam_00023415-RA, pdam_00008354-RA, pdam_00024460-RA, pdam_00005496-RA, pdam_00024734-RA, pdam_00025765-RA, pdam_00024540-RA, pdam_00020853-RA, pdam_00024709-RA, pdam_00006357-RA
OG0000010	Pdam	NV2t009850001.1	pdam_00010329-RA
OG0000010	Pdam	NV2t016800001.1	pdam_00020717-RA, pdam_00017725-RA, pdam_00013020-RA
OG0000010	Pdam	NV2t006738001.1	pdam_00023072-RA, pdam_00008605-RA, pdam_00008541-RA, pdam_00003384-RA, pdam_00006353-RA, pdam_00001493-RA, pdam_00009768-RA, pdam_00005488-RA, pdam_00018377-RA, pdam_00006089-RA, pdam_00006336-RA, pdam_00024630-RA, pdam_00006352-RA, pdam_00022728-RA, pdam_00013019-RA, pdam_00006343-RA, pdam_00016330-RA, pdam_00008606-RA, pdam_00016153-RA
OG0000011	Hsap	NV2t015756001.1, NV2t002867001.1, NV2t005383001.1, NV2t006657001.1	KRBD2_HUMAN
OG0000011	Pdam	NV2t015756001.1	pdam_00012591-RA
OG0000011	Pdam	NV2t002867001.1	pdam_00023660-RA, pdam_00006287-RA, pdam_00023605-RA, pdam_00023606-RA, pdam_00026074-RA, pdam_00022002-RA, pdam_00017264-RA, pdam_00022000-RA, pdam_00022001-RA, pdam_00022729-RA, pdam_00016213-RA, pdam_00016211-RA, pdam_00016296-RA, pdam_00016215-RA, pdam_00016214-RA, pdam_00016217-RA, pdam_00001625-RA, pdam_00016216-RA, pdam_00011309-RA, pdam_00003390-RA, pdam_00003389-RA, pdam_00021999-RA, pdam_00021998-RA, pdam_00025578-RA, pdam_00022730-RA, pdam_00023223-RA, pdam_00023224-RA, pdam_00013766-RA, pdam_00013767-RA, pdam_00013768-RA, pdam_00024520-RA, pdam_00024214-RA, pdam_00024665-RA, pdam_00022334-RA, pdam_00022804-RA, pdam_00021310-RA, pdam_00010062-RA, pdam_00010063-RA, pdam_00017161-RA, pdam_00024909-RA, pdam_00002089-RA, pdam_00022867-RA, pdam_00023069-RA, pdam_00010059-RA, pdam_00023659-RA, pdam_00016400-RA, pdam_00017157-RA, pdam_00017156-RA, pdam_00024281-RA, pdam_00021309-RA, pdam_00024280-RA, pdam_00023352-RA, pdam_00023426-RA, pdam_00015683-RA, pdam_00015681-RA, pdam_00019307-RA, pdam_00019306-RA, pdam_00019308-RA, pdam_00021659-RA, pdam_00021656-RA, pdam_00021654-RA, pdam_00021657-RA, pdam_00021646-RA, pdam_00021648-RA, pdam_00018683-RA, pdam_00016310-RA, pdam_00003940-RA, pdam_00021660-RA, pdam_00023353-RA, pdam_00021647-RA, pdam_00021652-RA, pdam_00012849-RA, pdam_00008237-RA
OG0000011	Pdam	NV2t005383001.1	pdam_00017265-RA, pdam_00006222-RA
OG0000011	Pdam	NV2t006657001.1	pdam_00025769-RA, pdam_00024279-RA
