Orthogroup	Hsap	Gfas
OG0000231	ANX11_HUMAN, ANXA8_HUMAN, AXA81_HUMAN, ANXA6_HUMAN, ANXA5_HUMAN, ANXA4_HUMAN, AXA2L_HUMAN, ANXA2_HUMAN, ANXA3_HUMAN, ANX10_HUMAN, ANXA7_HUMAN	gfas1.m1.6504.m1
OG0000234	VEGFC_HUMAN, VEGFD_HUMAN, VEGFB_HUMAN, VEGFA_HUMAN, PLGF_HUMAN	gfas1.m1.18717.m1, gfas1.m1.273.m1, gfas1.m1.16519.m1, gfas1.m1.16517.m1, gfas1.m1.271.m1, gfas1.m1.16529.m1
OG0000237	ZNF22_HUMAN, ZN572_HUMAN	gfas1.m1.10031.m1
OG0000242	OPN4_HUMAN	gfas1.m1.258.m1, gfas1.m1.6746.m1, gfas1.m1.6745.m1, gfas1.m1.328.m1, gfas1.m1.331.m1, gfas1.m1.333.m1, gfas1.m1.2625.m1, gfas1.m1.329.m1, gfas1.m1.1642.m1, gfas1.m1.9231.m1, gfas1.m1.798.m1, gfas1.m1.802.m1
OG0000243	S22AF_HUMAN	gfas1.m1.13642.m1, gfas1.m1.19445.m1, gfas1.m1.988.m1, gfas1.m1.17021.m1, gfas1.m1.8582.m1, gfas1.m1.22642.m1, gfas1.m1.17022.m1, gfas1.m1.6106.m1, gfas1.m1.17024.m1, gfas1.m1.17025.m1, gfas1.m1.17019.m1, gfas1.m1.18067.m1, gfas1.m1.18068.m1
OG0000244	RN227_HUMAN, RN224_HUMAN, RN182_HUMAN	gfas1.m1.18948.m1, gfas1.m1.23354.m1, gfas1.m1.15442.m1, gfas1.m1.23357.m1, gfas1.m1.2043.m1, gfas1.m1.19131.m1, gfas1.m1.1001.m1, gfas1.m1.4799.m1, gfas1.m1.4414.m1, gfas1.m1.20957.m1, gfas1.m1.6448.m1
OG0000246	CQ113_HUMAN	gfas1.m1.16751.m1, gfas1.m1.10069.m1, gfas1.m1.12150.m1, gfas1.m1.10030.m1, gfas1.m1.22545.m1, gfas1.m1.16749.m1, gfas1.m1.7064.m1, gfas1.m1.22337.m1, gfas1.m1.8169.m1, gfas1.m1.22938.m1, gfas1.m1.23899.m1, gfas1.m1.12867.m1, gfas1.m1.11897.m1, gfas1.m1.21700.m1, gfas1.m1.10762.m1, gfas1.m1.11048.m1, gfas1.m1.9619.m1, gfas1.m1.8165.m1, gfas1.m1.11058.m1, gfas1.m1.12426.m1
OG0000248	PABP4_HUMAN, PAP1L_HUMAN, PABP1_HUMAN, PABP3_HUMAN	gfas1.m1.9081.m1
OG0000249	NRX1A_HUMAN, NRX1B_HUMAN, NRX3B_HUMAN, NRX3A_HUMAN, NRX2B_HUMAN, NRX2A_HUMAN	gfas1.m1.4258.m1, gfas1.m1.6039.m1, gfas1.m1.6040.m1, gfas1.m1.6041.m1
OG0000251	FRP2L_HUMAN, FRPD2_HUMAN, PTN13_HUMAN, FRMD1_HUMAN, FRMD6_HUMAN	gfas1.m1.5549.m1, gfas1.m1.2149.m1
OG0000252	NDUF5_HUMAN	gfas1.m1.4131.m1, gfas1.m1.4121.m1, gfas1.m1.4120.m1, gfas1.m1.6628.m1, gfas1.m1.3763.m1, gfas1.m1.3762.m1, gfas1.m1.4043.m1, gfas1.m1.8601.m1, gfas1.m1.22105.m1, gfas1.m1.9273.m1, gfas1.m1.9516.m1, gfas1.m1.1647.m1
OG0000253	VWDE_HUMAN	gfas1.m1.20733.m1, gfas1.m1.17498.m1, gfas1.m1.8475.m1, gfas1.m1.21294.m1, gfas1.m1.17502.m1, gfas1.m1.4576.m1, gfas1.m1.17501.m1, gfas1.m1.17503.m1, gfas1.m1.4577.m1, gfas1.m1.17918.m1, gfas1.m1.17496.m1
OG0000255	ANR63_HUMAN, PANKY_HUMAN, AN33B_HUMAN, YK041_HUMAN, YK042_HUMAN	gfas1.m1.17475.m1, gfas1.m1.17472.m1, gfas1.m1.17473.m1, gfas1.m1.15461.m1, gfas1.m1.831.m1, gfas1.m1.2734.m1, gfas1.m1.6520.m1, gfas1.m1.4936.m1, gfas1.m1.17477.m1, gfas1.m1.16783.m1
OG0000256	GGTL1_HUMAN, GGT3_HUMAN, GGT2_HUMAN, GGTL3_HUMAN, GGT1_HUMAN, GGTL2_HUMAN	gfas1.m1.16977.m1, gfas1.m1.14731.m1, gfas1.m1.21400.m1, gfas1.m1.13753.m1, gfas1.m1.19126.m1, gfas1.m1.16976.m1, gfas1.m1.19127.m1
OG0000257	FUCO2_HUMAN, FUCO_HUMAN	gfas1.m1.22441.m1, gfas1.m1.7891.m1, gfas1.m1.8203.m1, gfas1.m1.21441.m1, gfas1.m1.7417.m1, gfas1.m1.6556.m1, gfas1.m1.23422.m1, gfas1.m1.6557.m1
OG0000258	SRPX2_HUMAN, SRPX_HUMAN	gfas1.m1.2852.m1, gfas1.m1.2850.m1, gfas1.m1.2851.m1, gfas1.m1.8598.m1, gfas1.m1.23096.m1, gfas1.m1.23129.m1, gfas1.m1.20158.m1, gfas1.m1.1241.m1, gfas1.m1.12627.m1, gfas1.m1.19007.m1, gfas1.m1.17698.m1, gfas1.m1.17697.m1, gfas1.m1.11853.m1, gfas1.m1.1657.m1, gfas1.m1.20030.m1, gfas1.m1.19261.m1
OG0000260	ASTRC_HUMAN, ASTRB_HUMAN, ASTRA_HUMAN	gfas1.m1.15487.m1, gfas1.m1.7871.m1
OG0000261	BCL3_HUMAN, IKBA_HUMAN, IKBE_HUMAN	gfas1.m1.14826.m1, gfas1.m1.20227.m1, gfas1.m1.13886.m1, gfas1.m1.14829.m1
OG0000264	AGRL4_HUMAN	gfas1.m1.13095.m1, gfas1.m1.11949.m1, gfas1.m1.21696.m1, gfas1.m1.22345.m1, gfas1.m1.12689.m1, gfas1.m1.10219.m1, gfas1.m1.20744.m1, gfas1.m1.12907.m1, gfas1.m1.9878.m1, gfas1.m1.5925.m1, gfas1.m1.20851.m1, gfas1.m1.22792.m1, gfas1.m1.9879.m1, gfas1.m1.10824.m1, gfas1.m1.9849.m1, gfas1.m1.10489.m1, gfas1.m1.13110.m1
OG0000265	CSMD3_HUMAN, CSMD2_HUMAN, CSMD1_HUMAN	gfas1.m1.22491.m1, gfas1.m1.15822.m1, gfas1.m1.3306.m1, gfas1.m1.22978.m1
OG0000266	OPSX_HUMAN	gfas1.m1.8401.m1, gfas1.m1.8193.m1, gfas1.m1.8400.m1, gfas1.m1.8404.m1, gfas1.m1.426.m1, gfas1.m1.8619.m1, gfas1.m1.7939.m1, gfas1.m1.19695.m1, gfas1.m1.13349.m1, gfas1.m1.13350.m1, gfas1.m1.5064.m1
OG0000267	TBB4B_HUMAN, TBB4A_HUMAN, TBB5_HUMAN, TBB2A_HUMAN, TBB2B_HUMAN	gfas1.m1.22548.m1, gfas1.m1.22549.m1, gfas1.m1.8519.m1, gfas1.m1.14282.m1, gfas1.m1.10263.m1, gfas1.m1.8521.m1, gfas1.m1.8527.m1
OG0000268	JDP2_HUMAN, ATF3_HUMAN	gfas1.m1.10667.m1, gfas1.m1.18980.m1
OG0000269	RSRC2_HUMAN	gfas1.m1.252.m1, gfas1.m1.251.m1, gfas1.m1.18605.m1, gfas1.m1.1218.m1
OG0000272	MRP4_HUMAN	gfas1.m1.14893.m1, gfas1.m1.9137.m1, gfas1.m1.22707.m1, gfas1.m1.20310.m1, gfas1.m1.21576.m1, gfas1.m1.12478.m1
OG0000275	SRSF5_HUMAN, SRSF6_HUMAN, SRSF4_HUMAN	gfas1.m1.8133.m1, gfas1.m1.16216.m1, gfas1.m1.226.m1, gfas1.m1.228.m1, gfas1.m1.3209.m1, gfas1.m1.16215.m1
OG0000276	ARSB_HUMAN, ARSI_HUMAN, ARSJ_HUMAN	gfas1.m1.326.m1, gfas1.m1.16391.m1, gfas1.m1.16732.m1, gfas1.m1.700.m1, gfas1.m1.17038.m1, gfas1.m1.12984.m1, gfas1.m1.19107.m1, gfas1.m1.6450.m1, gfas1.m1.20276.m1, gfas1.m1.8638.m1, gfas1.m1.16028.m1, gfas1.m1.16036.m1, gfas1.m1.16034.m1
OG0000277	CLC7A_HUMAN, CLC5A_HUMAN, KLRB1_HUMAN	gfas1.m1.20580.m1
OG0000279	DHRS9_HUMAN, RDH5_HUMAN, DR9C7_HUMAN, H17B6_HUMAN, RDH16_HUMAN	gfas1.m1.4184.m1, gfas1.m1.2484.m1, gfas1.m1.2485.m1, gfas1.m1.21915.m1, gfas1.m1.2486.m1, gfas1.m1.2487.m1
OG0000280	TRAF4_HUMAN	gfas1.m1.4699.m1, gfas1.m1.10227.m1, gfas1.m1.859.m1, gfas1.m1.7922.m1, gfas1.m1.13494.m1, gfas1.m1.13495.m1, gfas1.m1.13492.m1, gfas1.m1.13493.m1, gfas1.m1.13505.m1, gfas1.m1.19908.m1, gfas1.m1.7864.m1, gfas1.m1.13496.m1, gfas1.m1.13497.m1, gfas1.m1.4264.m1, gfas1.m1.4267.m1
OG0000281	VIAAT_HUMAN	gfas1.m1.12302.m1, gfas1.m1.12303.m1, gfas1.m1.20750.m1, gfas1.m1.3836.m1, gfas1.m1.15522.m1, gfas1.m1.15523.m1, gfas1.m1.15518.m1, gfas1.m1.15516.m1, gfas1.m1.324.m1, gfas1.m1.21774.m1, gfas1.m1.8232.m1, gfas1.m1.8229.m1, gfas1.m1.20050.m1
OG0000282	NALD2_HUMAN, FOH1B_HUMAN, FOLH1_HUMAN	gfas1.m1.11277.m1, gfas1.m1.17252.m1, gfas1.m1.14664.m1, gfas1.m1.4909.m1, gfas1.m1.4912.m1, gfas1.m1.4913.m1, gfas1.m1.21890.m1
OG0000283	CKLF8_HUMAN, PLLP_HUMAN, CKLF7_HUMAN, CKLF6_HUMAN, CKLF4_HUMAN	gfas1.m1.19657.m1, gfas1.m1.9359.m1, gfas1.m1.9360.m1, gfas1.m1.10749.m1
OG0000284	REG4_HUMAN, REG1A_HUMAN, REG1B_HUMAN, REG3A_HUMAN, REG3G_HUMAN	gfas1.m1.23059.m1, gfas1.m1.19482.m1, gfas1.m1.23911.m1, gfas1.m1.20724.m1, gfas1.m1.12050.m1, gfas1.m1.22655.m1, gfas1.m1.16816.m1
OG0000285	MYL6_HUMAN, MYL6B_HUMAN, MYL1_HUMAN, MYL3_HUMAN, MYL4_HUMAN	gfas1.m1.3909.m1, gfas1.m1.4012.m1, gfas1.m1.16128.m1, gfas1.m1.18786.m1
OG0000286	DLL4_HUMAN, DLL1_HUMAN	gfas1.m1.3698.m1
OG0000287	ATP4A_HUMAN, AT12A_HUMAN, AT1A3_HUMAN, AT1A1_HUMAN, AT1A4_HUMAN, AT1A2_HUMAN	gfas1.m1.3507.m1, gfas1.m1.3511.m1
OG0000288	PDE4C_HUMAN, PDE4D_HUMAN, PDE4B_HUMAN, PDE4A_HUMAN	gfas1.m1.8436.m1
OG0000294	ACTBL_HUMAN, ACTB_HUMAN, ACTBM_HUMAN, ACTG_HUMAN	gfas1.m1.3440.m1, gfas1.m1.18568.m1, gfas1.m1.3197.m1, gfas1.m1.23241.m1, gfas1.m1.18565.m1
OG0000295	TRAF1_HUMAN, TRAF2_HUMAN	gfas1.m1.1871.m1, gfas1.m1.11879.m1, gfas1.m1.7615.m1, gfas1.m1.23709.m1, gfas1.m1.23710.m1, gfas1.m1.7225.m1, gfas1.m1.8641.m1, gfas1.m1.8643.m1, gfas1.m1.7224.m1, gfas1.m1.7226.m1, gfas1.m1.20533.m1, gfas1.m1.8642.m1, gfas1.m1.1874.m1, gfas1.m1.18270.m1, gfas1.m1.20540.m1
OG0000296	SC5AB_HUMAN, SC5A2_HUMAN, SC5A1_HUMAN, SC5A4_HUMAN, SC5AA_HUMAN, SC5A9_HUMAN	gfas1.m1.15914.m1, gfas1.m1.15909.m1, gfas1.m1.15911.m1, gfas1.m1.15910.m1
OG0000297	EVA1C_HUMAN, EVA1A_HUMAN	gfas1.m1.3087.m1, gfas1.m1.7095.m1, gfas1.m1.3101.m1, gfas1.m1.3105.m1, gfas1.m1.3103.m1, gfas1.m1.3092.m1
OG0000301	SRSF3_HUMAN	gfas1.m1.5293.m1, gfas1.m1.14764.m1, gfas1.m1.14773.m1, gfas1.m1.1968.m1
OG0000304	MBNL3_HUMAN, MBNL1_HUMAN, MBNL2_HUMAN	gfas1.m1.1211.m1
OG0000305	CAHM5_HUMAN, CAHM6_HUMAN, CAHM1_HUMAN, CAHM3_HUMAN, CAHM2_HUMAN, CAHM4_HUMAN	gfas1.m1.8275.m1, gfas1.m1.4233.m1, gfas1.m1.9633.m1, gfas1.m1.3123.m1
OG0000306	FR1L5_HUMAN, DYSF_HUMAN, MYOF_HUMAN	gfas1.m1.15616.m1, gfas1.m1.15617.m1, gfas1.m1.2399.m1, gfas1.m1.2401.m1, gfas1.m1.2396.m1, gfas1.m1.12048.m1
OG0000307	SFTPD_HUMAN, SFPA2_HUMAN, SFTA1_HUMAN, MBL2_HUMAN, CLC11_HUMAN, CLC3A_HUMAN, TETN_HUMAN	gfas1.m1.15697.m1, gfas1.m1.7144.m1, gfas1.m1.3297.m1
OG0000309	ZO3_HUMAN, ZO1_HUMAN, ZO2_HUMAN	gfas1.m1.17213.m1
OG0000316	LIN7B_HUMAN, LIN7C_HUMAN	gfas1.m1.21828.m1, gfas1.m1.16014.m1
OG0000317	TYRO_HUMAN, TYRP1_HUMAN, TYRP2_HUMAN	gfas1.m1.10196.m1, gfas1.m1.11470.m1, gfas1.m1.4817.m1, gfas1.m1.17318.m1, gfas1.m1.17321.m1, gfas1.m1.5963.m1, gfas1.m1.16922.m1, gfas1.m1.17509.m1, gfas1.m1.15024.m1
OG0000320	DEDD_HUMAN, DEDD2_HUMAN	gfas1.m1.2617.m1, gfas1.m1.14556.m1, gfas1.m1.9271.m1, gfas1.m1.12814.m1, gfas1.m1.8464.m1, gfas1.m1.12652.m1, gfas1.m1.7992.m1, gfas1.m1.9758.m1, gfas1.m1.10160.m1, gfas1.m1.17039.m1, gfas1.m1.213.m1, gfas1.m1.23849.m1, gfas1.m1.8837.m1, gfas1.m1.22225.m1, gfas1.m1.9272.m1
OG0000321	CDN2C_HUMAN, CDN2B_HUMAN, CDN2A_HUMAN, CDN2D_HUMAN	gfas1.m1.18653.m1, gfas1.m1.17856.m1, gfas1.m1.18929.m1, gfas1.m1.15537.m1, gfas1.m1.3489.m1, gfas1.m1.13681.m1
OG0000323	OAS1_HUMAN, OAS2_HUMAN, OAS3_HUMAN, OASL_HUMAN	gfas1.m1.10610.m1, gfas1.m1.2839.m1, gfas1.m1.11576.m1, gfas1.m1.10930.m1
OG0000324	WFDC2_HUMAN	gfas1.m1.16138.m1
OG0000325	EAA2_HUMAN, EAA3_HUMAN, EAA4_HUMAN, EAA1_HUMAN	gfas1.m1.19181.m1, gfas1.m1.20772.m1, gfas1.m1.19180.m1, gfas1.m1.7293.m1, gfas1.m1.17102.m1
OG0000326	BAT1_HUMAN, LAT1_HUMAN, LAT1L_HUMAN, LAT1N_HUMAN	gfas1.m1.2359.m1, gfas1.m1.2360.m1, gfas1.m1.2351.m1
OG0000328	TAGL_HUMAN, TAGL3_HUMAN, TAGL2_HUMAN	gfas1.m1.6368.m1, gfas1.m1.6369.m1, gfas1.m1.6370.m1
OG0000329	S28A3_HUMAN, S28A1_HUMAN, S28A2_HUMAN	gfas1.m1.5463.m1, gfas1.m1.11761.m1, gfas1.m1.11760.m1
OG0000331	CNTN1_HUMAN, CNTN2_HUMAN, CNTN5_HUMAN, CNTN4_HUMAN, CNTN6_HUMAN, CNTN3_HUMAN	gfas1.m1.9735.m1
OG0000332	TGM1_HUMAN, TGM4_HUMAN	gfas1.m1.2244.m1, gfas1.m1.2236.m1, gfas1.m1.2241.m1
OG0000333	ACOT4_HUMAN, ACOT6_HUMAN, ACOT1_HUMAN, ACOT2_HUMAN, BAAT_HUMAN	gfas1.m1.81.m1, gfas1.m1.23755.m1, gfas1.m1.11991.m1
OG0000336	TMOD2_HUMAN, TMOD3_HUMAN, TMOD4_HUMAN, TMOD1_HUMAN	gfas1.m1.17212.m1
OG0000337	B4GT6_HUMAN, B4GT5_HUMAN, B4GT2_HUMAN, B4GT1_HUMAN, B4GT3_HUMAN, B4GT4_HUMAN	gfas1.m1.16039.m1
OG0000338	MEIS3_HUMAN, ME3L1_HUMAN, ME3L2_HUMAN, MEIS2_HUMAN, MEIS1_HUMAN	gfas1.m1.14916.m1
OG0000344	CP2U1_HUMAN, CP2R1_HUMAN, CP2J2_HUMAN	gfas1.m1.10657.m1, gfas1.m1.14749.m1, gfas1.m1.13877.m1, gfas1.m1.149.m1, gfas1.m1.154.m1, gfas1.m1.20541.m1, gfas1.m1.21492.m1, gfas1.m1.1148.m1
OG0000345	PTPRA_HUMAN, PTPRE_HUMAN	gfas1.m1.2057.m1, gfas1.m1.17457.m1, gfas1.m1.20657.m1, gfas1.m1.552.m1, gfas1.m1.5249.m1, gfas1.m1.5252.m1
OG0000346	EPPI_HUMAN, TFPI2_HUMAN	gfas1.m1.1079.m1, gfas1.m1.6872.m1
OG0000346	SLPI_HUMAN, WFDC3_HUMAN	gfas1.m1.454.m1
OG0000347	PERT_HUMAN, PERL_HUMAN, PERE_HUMAN, PERM_HUMAN	gfas1.m1.16123.m1, gfas1.m1.2383.m1, gfas1.m1.2369.m1, gfas1.m1.2384.m1, gfas1.m1.9526.m1, gfas1.m1.2381.m1, gfas1.m1.2377.m1
OG0000348	FBLN7_HUMAN	gfas1.m1.8045.m1, gfas1.m1.20530.m1, gfas1.m1.22478.m1, gfas1.m1.8478.m1, gfas1.m1.20117.m1, gfas1.m1.17495.m1, gfas1.m1.3890.m1, gfas1.m1.7522.m1, gfas1.m1.23140.m1, gfas1.m1.22828.m1, gfas1.m1.5401.m1, gfas1.m1.18953.m1
OG0000350	TRPA1_HUMAN	gfas1.m1.6633.m1, gfas1.m1.9162.m1, gfas1.m1.16760.m1, gfas1.m1.21190.m1, gfas1.m1.18197.m1, gfas1.m1.18512.m1, gfas1.m1.18511.m1, gfas1.m1.18513.m1
OG0000352	MET27_HUMAN	gfas1.m1.20338.m1, gfas1.m1.20209.m1, gfas1.m1.17459.m1, gfas1.m1.12473.m1, gfas1.m1.22422.m1, gfas1.m1.21099.m1, gfas1.m1.16344.m1, gfas1.m1.22486.m1, gfas1.m1.19020.m1
OG0000355	ITA9_HUMAN, ITA4_HUMAN, ITA2B_HUMAN, ITA8_HUMAN, ITA5_HUMAN, ITAV_HUMAN	gfas1.m1.9018.m1, gfas1.m1.9016.m1
OG0000356	HSPB2_HUMAN, HSPB1_HUMAN, HSPB6_HUMAN, CRYAA_HUMAN, CRYAB_HUMAN	gfas1.m1.18442.m1, gfas1.m1.18366.m1, gfas1.m1.6424.m1, gfas1.m1.4170.m1, gfas1.m1.4166.m1
OG0000357	HES2_HUMAN, HES4_HUMAN, HES1_HUMAN	gfas1.m1.6663.m1, gfas1.m1.8339.m1, gfas1.m1.7696.m1, gfas1.m1.7698.m1, gfas1.m1.8964.m1, gfas1.m1.7695.m1
OG0000359	SPAT6_HUMAN, SPA6L_HUMAN	gfas1.m1.19247.m1, gfas1.m1.5363.m1
OG0000360	LRR3C_HUMAN, LRC3B_HUMAN, LRRC3_HUMAN, A2GL_HUMAN, ALS_HUMAN	gfas1.m1.3788.m1
OG0000361	JKIP3_HUMAN, JKIP2_HUMAN, JKIP1_HUMAN	gfas1.m1.17478.m1
OG0000362	BPIFC_HUMAN, LBP_HUMAN, BPI_HUMAN	gfas1.m1.18736.m1, gfas1.m1.22391.m1, gfas1.m1.7631.m1
OG0000364	PTBP2_HUMAN, PTBP3_HUMAN, PTBP1_HUMAN	gfas1.m1.19949.m1
OG0000365	RBMS2_HUMAN, RBMS1_HUMAN, RBMS3_HUMAN	gfas1.m1.3991.m1
OG0000366	NCAM2_HUMAN, NCAM1_HUMAN	gfas1.m1.4007.m1
OG0000372	CD53_HUMAN, TSN9_HUMAN, TSN4_HUMAN	gfas1.m1.6230.m1, gfas1.m1.13405.m1, gfas1.m1.15506.m1
OG0000373	NGB_HUMAN	gfas1.m1.416.m1, gfas1.m1.6531.m1, gfas1.m1.419.m1, gfas1.m1.413.m1, gfas1.m1.16853.m1, gfas1.m1.16962.m1
OG0000374	BARH1_HUMAN, BARH2_HUMAN	gfas1.m1.11508.m1, gfas1.m1.14376.m1, gfas1.m1.16381.m1, gfas1.m1.16375.m1, gfas1.m1.16379.m1, gfas1.m1.16372.m1, gfas1.m1.16373.m1
OG0000375	PAR15_HUMAN, PAR14_HUMAN	gfas1.m1.3075.m1, gfas1.m1.16060.m1, gfas1.m1.295.m1, gfas1.m1.22383.m1, gfas1.m1.296.m1, gfas1.m1.14127.m1, gfas1.m1.15702.m1, gfas1.m1.7822.m1, gfas1.m1.23562.m1, gfas1.m1.627.m1, gfas1.m1.629.m1, gfas1.m1.628.m1, gfas1.m1.11524.m1
OG0000377	S4A7_HUMAN, S4A10_HUMAN, S4A8_HUMAN, B3A4_HUMAN, S4A5_HUMAN, S4A4_HUMAN	gfas1.m1.13173.m1
OG0000378	SCRB2_HUMAN, SCRB1_HUMAN	gfas1.m1.14392.m1, gfas1.m1.19789.m1, gfas1.m1.14393.m1, gfas1.m1.9855.m1, gfas1.m1.9858.m1
OG0000379	CHSTD_HUMAN, CHSTB_HUMAN	gfas1.m1.15012.m1, gfas1.m1.23045.m1, gfas1.m1.14440.m1, gfas1.m1.5503.m1, gfas1.m1.2547.m1, gfas1.m1.2550.m1, gfas1.m1.2548.m1, gfas1.m1.914.m1, gfas1.m1.12880.m1, gfas1.m1.6274.m1, gfas1.m1.2250.m1, gfas1.m1.1238.m1, gfas1.m1.1239.m1
OG0000382	RELD1_HUMAN, FRRS1_HUMAN	gfas1.m1.9868.m1, gfas1.m1.10993.m1, gfas1.m1.3651.m1, gfas1.m1.16722.m1, gfas1.m1.22206.m1, gfas1.m1.3648.m1, gfas1.m1.2122.m1, gfas1.m1.3652.m1, gfas1.m1.3649.m1
OG0000383	DERM_HUMAN	gfas1.m1.19824.m1, gfas1.m1.19822.m1, gfas1.m1.5118.m1, gfas1.m1.16924.m1, gfas1.m1.7536.m1, gfas1.m1.15550.m1, gfas1.m1.7533.m1, gfas1.m1.7535.m1, gfas1.m1.19823.m1
OG0000384	MIP_HUMAN, AQP6_HUMAN, AQP5_HUMAN, AQP2_HUMAN	gfas1.m1.951.m1, gfas1.m1.952.m1, gfas1.m1.954.m1
OG0000385	TXNIP_HUMAN, ARRD4_HUMAN, ARRD3_HUMAN, ARRD2_HUMAN	gfas1.m1.14266.m1, gfas1.m1.2508.m1, gfas1.m1.5043.m1, gfas1.m1.13146.m1, gfas1.m1.14994.m1, gfas1.m1.14992.m1, gfas1.m1.14993.m1
OG0000386	PCFT_HUMAN	gfas1.m1.13503.m1, gfas1.m1.18676.m1, gfas1.m1.6768.m1, gfas1.m1.14087.m1
OG0000387	GPSM1_HUMAN, GPSM2_HUMAN	gfas1.m1.4814.m1, gfas1.m1.9688.m1, gfas1.m1.9691.m1, gfas1.m1.12310.m1, gfas1.m1.10039.m1, gfas1.m1.12308.m1, gfas1.m1.10038.m1, gfas1.m1.13440.m1
OG0000388	5HT4R_HUMAN	gfas1.m1.8590.m1, gfas1.m1.9891.m1, gfas1.m1.2651.m1, gfas1.m1.2464.m1, gfas1.m1.8654.m1, gfas1.m1.8653.m1, gfas1.m1.6102.m1, gfas1.m1.17028.m1, gfas1.m1.18818.m1, gfas1.m1.5073.m1, gfas1.m1.20360.m1
OG0000389	NCOA5_HUMAN, RALYL_HUMAN, RALY_HUMAN, HNRPC_HUMAN, HNRC3_HUMAN, HNRC4_HUMAN, HNRC1_HUMAN, HNRC2_HUMAN	gfas1.m1.5165.m1
OG0000390	AL1B1_HUMAN, ALDH2_HUMAN, AL1A1_HUMAN, AL1A3_HUMAN, AL1A2_HUMAN	gfas1.m1.20716.m1, gfas1.m1.10349.m1, gfas1.m1.21035.m1
OG0000391	GAPR1_HUMAN	gfas1.m1.7634.m1, gfas1.m1.7632.m1, gfas1.m1.14912.m1, gfas1.m1.14911.m1, gfas1.m1.17794.m1
OG0000392	ACSM3_HUMAN, ACSM5_HUMAN, ACSM6_HUMAN, ACS2A_HUMAN, ACS2B_HUMAN, ACSM1_HUMAN, ACSM4_HUMAN	gfas1.m1.3453.m1, gfas1.m1.3456.m1, gfas1.m1.3447.m1, gfas1.m1.20202.m1
OG0000394	ARHGP_HUMAN, KALRN_HUMAN, TRIO_HUMAN	gfas1.m1.14634.m1, gfas1.m1.1032.m1, gfas1.m1.14633.m1
OG0000395	CLIC3_HUMAN, CLIC1_HUMAN, CLIC5_HUMAN, CLIC4_HUMAN, CLIC2_HUMAN, CLIC6_HUMAN	gfas1.m1.4027.m1, gfas1.m1.18491.m1, gfas1.m1.4025.m1
OG0000396	HS3SB_HUMAN, HS3SA_HUMAN, HS3S6_HUMAN, HS3S4_HUMAN, HS3S2_HUMAN, HS3S5_HUMAN, HS3S1_HUMAN	gfas1.m1.8930.m1, gfas1.m1.8931.m1, gfas1.m1.12017.m1
OG0000397	FAS_HUMAN	gfas1.m1.15732.m1, gfas1.m1.16242.m1, gfas1.m1.8354.m1, gfas1.m1.8353.m1, gfas1.m1.8545.m1, gfas1.m1.8352.m1, gfas1.m1.6291.m1
OG0000398	TMM26_HUMAN	gfas1.m1.3943.m1, gfas1.m1.2848.m1, gfas1.m1.16075.m1, gfas1.m1.6507.m1, gfas1.m1.8128.m1
OG0000399	FMO5_HUMAN, FMO2_HUMAN, FMO4_HUMAN, FMO1_HUMAN, FMO6_HUMAN, FMO3_HUMAN	gfas1.m1.8305.m1, gfas1.m1.6757.m1, gfas1.m1.8003.m1, gfas1.m1.8004.m1
OG0000400	RDH8_HUMAN, DHB1_HUMAN	gfas1.m1.13019.m1, gfas1.m1.15306.m1, gfas1.m1.7830.m1, gfas1.m1.7828.m1, gfas1.m1.4618.m1, gfas1.m1.13018.m1, gfas1.m1.4628.m1, gfas1.m1.3653.m1, gfas1.m1.3650.m1, gfas1.m1.21512.m1
OG0000401	FGRL1_HUMAN	gfas1.m1.22842.m1, gfas1.m1.20690.m1, gfas1.m1.19589.m1, gfas1.m1.20275.m1, gfas1.m1.20869.m1, gfas1.m1.20442.m1, gfas1.m1.13396.m1, gfas1.m1.14812.m1
OG0000403	CATD_HUMAN, RENI_HUMAN, CATE_HUMAN, PEPC_HUMAN, PEPA3_HUMAN, PEPA5_HUMAN, PEPA4_HUMAN, NAPSA_HUMAN	gfas1.m1.14949.m1
OG0000404	KI20A_HUMAN	gfas1.m1.3756.m1
OG0000406	INT6_HUMAN, CT45A_HUMAN, CT452_HUMAN, CT458_HUMAN, CT459_HUMAN, CT455_HUMAN, CT456_HUMAN, CT457_HUMAN, CT451_HUMAN, CT453_HUMAN, SAGE1_HUMAN, SGE2P_HUMAN, INT6L_HUMAN	gfas1.m1.2326.m1
OG0000407	ARM10_HUMAN, ARMX3_HUMAN, ARMX6_HUMAN, ARMX1_HUMAN, ARMX2_HUMAN, ARMX4_HUMAN, ARMX5_HUMAN	gfas1.m1.13883.m1
OG0000408	SCRIB_HUMAN	gfas1.m1.15254.m1
OG0000409	TRPC1_HUMAN, TRPC5_HUMAN, TRPC4_HUMAN, TRPC6_HUMAN, TRPC7_HUMAN, TRPC3_HUMAN	gfas1.m1.2217.m1, gfas1.m1.16337.m1, gfas1.m1.16336.m1
OG0000410	TFKLK_HUMAN, TFKLL_HUMAN, TFKLN_HUMAN, TFKL2_HUMAN, TFLM_HUMAN, TFKL4_HUMAN, TFKL9_HUMAN, TFKL3_HUMAN, TFKL5_HUMAN, TFKL6_HUMAN, TFKL7_HUMAN, TFKL8_HUMAN, TFKLJ_HUMAN, TAF11_HUMAN	gfas1.m1.1733.m1
