Orthogroup	Hsap	Nvec
OG0000021	ASTE1_HUMAN	NV2t015297001.1, NV2t019797001.1, NV2t000711001.1, NV2t000714001.1, NV2t018044001.1, NV2t025492001.1, NV2t007335001.1, NV2t007337001.1
OG0000023	FCN1_HUMAN, FCN2_HUMAN	NV2t017096001.1, NV2t017096002.1, NV2t006014001.1, NV2t006014002.1, NV2t019779002.1, NV2t019779001.1, NV2t022609001.1, NV2t022609002.1, NV2t022610001.1, NV2t025469001.1, NV2t025526001.1
OG0000024	MAMC2_HUMAN	NV2t023644001.1, NV2t014862004.1, NV2t016729001.1, NV2t016730001.1, NV2t015011001.1, NV2t023859001.1, NV2t023064001.1, NV2t023064002.1, NV2t013745005.1, NV2t013749001.1, NV2t021684001.1, NV2t021687001.1, NV2t013368001.1, NV2t003279001.1, NV2t021385001.1, NV2t011270001.1, NV2t020640001.1, NV2t025961001.1, NV2t020641002.1, NV2t020641003.1, NV2t020641005.1, NV2t020641004.1, NV2t020641001.1, NV2t016035001.1, NV2t016035002.1, NV2t016036001.1, NV2t017022001.1, NV2t015925001.1, NV2t015925002.1, NV2t008948001.1, NV2t015924001.1, NV2t017021001.1, NV2t016574001.1, NV2t023642001.1, NV2t016080001.1, NV2t016077001.1, NV2t006019001.1, NV2t003953001.1
OG0000027	THA10_HUMAN	NV2t005605003.1, NV2t005605001.1, NV2t005605002.1, NV2t009367005.1, NV2t025886001.1, NV2t009407001.1, NV2t008196001.1, NV2t009984001.1
OG0000028	KLK13_HUMAN, KLK6_HUMAN, KLK14_HUMAN, KLK5_HUMAN, KLK4_HUMAN, KLK7_HUMAN, KLK9_HUMAN, KLK11_HUMAN, KLK15_HUMAN, KLK8_HUMAN, KLK10_HUMAN, KLK12_HUMAN, TRY2_HUMAN, TRY1_HUMAN, TRY3_HUMAN, TRY6_HUMAN, TRYD_HUMAN, TRYB1_HUMAN, TRYB2_HUMAN, PRS29_HUMAN	NV2t013137001.1, NV2t024582001.1, NV2t017651001.1, NV2t017651002.1, NV2t010261001.1, NV2t013630001.1, NV2t015018001.1, NV2t004021001.1, NV2t004021002.1, NV2t004021003.1, NV2t014863001.1, NV2t013966001.1, NV2t014330001.1, NV2t017852002.1, NV2t017852001.1, NV2t017852003.1, NV2t017852004.1
OG0000029	RN183_HUMAN	NV2t019652001.1, NV2t018358001.1, NV2t016955001.1, NV2t024542001.1, NV2t025141001.1
OG0000030	PCDC2_HUMAN, PCDC1_HUMAN, PCDA5_HUMAN, PCDA6_HUMAN, PCDA8_HUMAN, PCDAC_HUMAN, PCDAA_HUMAN, PCDA1_HUMAN, PCDA2_HUMAN, PCDA3_HUMAN, PCDA4_HUMAN, PCDA7_HUMAN, PCDA9_HUMAN, PCDAB_HUMAN, PCDAD_HUMAN, PCDB1_HUMAN, PCDBB_HUMAN, PCDBC_HUMAN, PCDBE_HUMAN, PCDBI_HUMAN, PCDB7_HUMAN, PCDB9_HUMAN, PCDBA_HUMAN, PCDBF_HUMAN, PCDB2_HUMAN, PCDB3_HUMAN, PCDBG_HUMAN, PCDB8_HUMAN, PCDBD_HUMAN, PCDB6_HUMAN, PCDB4_HUMAN, PCDB5_HUMAN, PCDGK_HUMAN, PCDGL_HUMAN, PCDGM_HUMAN, PCDGG_HUMAN, PCDGH_HUMAN, PCDGI_HUMAN, PCDGJ_HUMAN, PCDGD_HUMAN, PCDGE_HUMAN, PCDGF_HUMAN, PCDGB_HUMAN, PCDGC_HUMAN, PCDGA_HUMAN, PCDG8_HUMAN, PCDG9_HUMAN, PCDG5_HUMAN, PCDG3_HUMAN, PCDG2_HUMAN, PCDG1_HUMAN, PCDG7_HUMAN, PCDG6_HUMAN, PCDG4_HUMAN, PCD10_HUMAN, PCD19_HUMAN	NV2t001711001.1
OG0000032	ANGP1_HUMAN, ANGP2_HUMAN, ANGP4_HUMAN, FGL1_HUMAN, ANGL7_HUMAN	NV2t005119001.1, NV2t009101001.1, NV2t022115001.1, NV2t003941001.1, NV2t006207001.1
OG0000033	ACH10_HUMAN, ACHA9_HUMAN, ACHA7_HUMAN, CRFM7_HUMAN, ACHB2_HUMAN, ACHB4_HUMAN, ACHA_HUMAN, ACHA3_HUMAN, ACHA6_HUMAN, ACHA4_HUMAN, ACHA2_HUMAN, ACHB3_HUMAN, ACHA5_HUMAN	NV2t024173001.1, NV2t023851001.1, NV2t023852001.1, NV2t013576001.1, NV2t013576002.1, NV2t008022001.1, NV2t013313001.1, NV2t023573001.1, NV2t023338001.1, NV2t023339001.1, NV2t000753001.1, NV2t023340001.1, NV2t010263001.1, NV2t010263002.1, NV2t010263003.1, NV2t010263004.1, NV2t010262002.1, NV2t010262003.1, NV2t010809001.1, NV2t008714001.1, NV2t008714002.1, NV2t009095001.1, NV2t009096001.1, NV2t009096002.1, NV2t023096001.1
OG0000037	CYRIA_HUMAN, CYRIB_HUMAN	NV2t015878001.1, NV2t009253001.1, NV2t020729001.1, NV2t011666001.1
OG0000039	GALR1_HUMAN, GALR3_HUMAN, GALR2_HUMAN	NV2t010075001.1, NV2t010075002.1, NV2t010076001.1, NV2t010076002.1, NV2t024983001.1, NV2t022136001.1, NV2t021302002.1, NV2t021302001.1, NV2t022132001.1, NV2t022132002.1, NV2t021659001.1, NV2t021659002.1, NV2t021659003.1, NV2t011164002.1, NV2t011164001.1, NV2t011164003.1, NV2t003314001.1, NV2t003314002.1, NV2t003314003.1, NV2t003314004.1, NV2t000620001.1, NV2t010405001.1, NV2t009673001.1, NV2t001942001.1, NV2t000511001.1
OG0000040	MMP17_HUMAN, MMP25_HUMAN, MMP11_HUMAN, MMP2_HUMAN, MMP9_HUMAN, MMP26_HUMAN, MMP13_HUMAN, MMP20_HUMAN, MMP7_HUMAN, MMP8_HUMAN, MMP1_HUMAN, MMP3_HUMAN, MMP10_HUMAN, MMP27_HUMAN, MMP12_HUMAN	NV2t020474001.1, NV2t020474002.1, NV2t020475001.1, NV2t014297001.1, NV2t014820001.1, NV2t008375001.1, NV2t008375002.1, NV2t010833001.1, NV2t010833003.1, NV2t010833002.1, NV2t019316002.1, NV2t019316003.1, NV2t001647001.1, NV2t003581001.1, NV2t003582001.1, NV2t008027001.1, NV2t008027002.1
OG0000041	B3GT1_HUMAN, B3GT2_HUMAN, B3GT5_HUMAN, B3GL1_HUMAN, B3GN2_HUMAN, B3GN6_HUMAN, B3GN3_HUMAN, B3GN7_HUMAN, B3GN4_HUMAN, B3GN9_HUMAN	NV2t003662001.1, NV2t003540001.1, NV2t014254001.1, NV2t007073001.1, NV2t021626001.1, NV2t021463001.1, NV2t021466001.1, NV2t021464001.1, NV2t024665001.1, NV2t008559001.1, NV2t008559002.1, NV2t008559003.1, NV2t004393001.1, NV2t000552001.1, NV2t000500001.1, NV2t000497001.1, NV2t000495001.1, NV2t000498001.1
OG0000042	LY6L_HUMAN, LY6H_HUMAN, LY6S_HUMAN	NV2t013762001.1, NV2t013593001.1, NV2t013593002.1, NV2t013592001.1, NV2t013592002.1, NV2t013592003.1, NV2t007377001.1, NV2t007377002.1, NV2t005159001.1, NV2t017913001.1, NV2t011769001.1, NV2t021376001.1, NV2t016988001.1, NV2t023072001.1, NV2t015556001.1, NV2t002034001.1, NV2t014378001.1, NV2t000768001.1, NV2t000769001.1, NV2t014260001.1, NV2t015290001.1, NV2t013626001.1, NV2t018229001.1
OG0000045	MTR1L_HUMAN, MTR1A_HUMAN, MTR1B_HUMAN	NV2t018782001.1, NV2t006395001.1, NV2t020327001.1, NV2t009759001.1, NV2t019842001.1, NV2t014321001.1, NV2t014321002.1, NV2t005634001.1, NV2t005685001.1, NV2t006023001.1, NV2t003658001.1, NV2t003789001.1
OG0000046	CO3_HUMAN	NV2t014519001.1, NV2t014519002.1, NV2t022606001.1, NV2t025597001.1, NV2t008971001.1, NV2t019663001.1, NV2t023551001.1, NV2t012321001.1, NV2t013374002.1, NV2t025764001.1, NV2t025764002.1, NV2t016850002.1, NV2t014873001.1, NV2t014870001.1, NV2t015751002.1, NV2t013374003.1, NV2t015751001.1, NV2t021447001.1, NV2t013374001.1, NV2t003281001.1, NV2t003281007.1, NV2t008616001.1, NV2t025347006.1, NV2t019663002.1, NV2t005823002.1, NV2t023551002.1, NV2t025597002.1, NV2t005823001.1, NV2t003281003.1, NV2t009854001.1, NV2t003281004.1, NV2t003281006.1, NV2t003281005.1, NV2t023860001.1, NV2t016850001.1, NV2t011284001.1, NV2t005135001.1, NV2t003281002.1, NV2t012322001.1, NV2t016185001.1, NV2t018178001.1, NV2t025347005.1, NV2t021162001.1, NV2t021162002.1, NV2t007429001.1, NV2t025347001.1, NV2t025347003.1, NV2t025347004.1, NV2t025347002.1
OG0000049	STOM_HUMAN	NV2t024666001.1, NV2t025006001.1, NV2t025006002.1, NV2t025006003.1, NV2t025005001.1, NV2t025005002.1, NV2t025004001.1, NV2t012960002.1, NV2t000233001.1, NV2t015623002.1, NV2t024667001.1
OG0000051	KLH11_HUMAN, KLH38_HUMAN	NV2t001595001.1, NV2t007026001.1, NV2t007022001.1, NV2t007024001.1, NV2t009615001.1, NV2t009696001.1, NV2t001271001.1
OG0000052	CK5P3_HUMAN	NV2t007397001.1, NV2t020159001.1, NV2t010036001.1, NV2t010307001.1, NV2t024861001.1, NV2t021036001.1, NV2t011343001.1, NV2t009822001.1, NV2t014985001.1, NV2t021730001.1, NV2t025243001.1, NV2t010751001.1, NV2t006984001.1, NV2t014832001.1, NV2t011501001.1
OG0000053	CP343_HUMAN, CP3A4_HUMAN, CP3A7_HUMAN, CP3A5_HUMAN	NV2t024607001.1, NV2t024603001.1, NV2t024603002.1, NV2t024608002.1, NV2t024608003.1, NV2t024608001.1, NV2t024608004.1, NV2t006409001.1, NV2t021725001.1, NV2t015547001.1, NV2t015547003.1, NV2t015547002.1, NV2t015547004.1, NV2t008460001.1, NV2t008459002.1, NV2t008459001.1, NV2t008459003.1, NV2t006667002.1, NV2t006667003.1, NV2t006667001.1, NV2t006667004.1, NV2t006668001.1, NV2t006668002.1, NV2t006114001.1
OG0000056	SRB4D_HUMAN, CD5L_HUMAN, DMBT1_HUMAN, C163B_HUMAN, C163A_HUMAN	NV2t022574001.1, NV2t012747001.1, NV2t012749001.1, NV2t012752001.1, NV2t012753002.1, NV2t017205001.1, NV2t017205002.1, NV2t017357001.1, NV2t017357002.1
OG0000058	AA2AR_HUMAN, AA2BR_HUMAN, AA1R_HUMAN, AA3R_HUMAN, DRD1_HUMAN, DRD5_HUMAN, ADA1A_HUMAN, ADA1B_HUMAN, ADA1D_HUMAN, ADRB2_HUMAN, ADRB1_HUMAN, ADRB3_HUMAN	NV2t009968001.1, NV2t009968002.1, NV2t009968003.1, NV2t012100001.1, NV2t012923001.1, NV2t018770001.1, NV2t005346001.1, NV2t005347001.1, NV2t005458001.1, NV2t011392001.1, NV2t005202001.1, NV2t005202004.1, NV2t005202002.1, NV2t005202003.1, NV2t013641001.1, NV2t013641002.1, NV2t005394001.1
OG0000060	PIDD1_HUMAN	NV2t002867001.1, NV2t002870001.1, NV2t010871001.1
OG0000061	YKT6_HUMAN	NV2t011158001.1, NV2t024997001.1, NV2t017587001.1, NV2t017587002.1
OG0000063	H2B1A_HUMAN, H2B3B_HUMAN, H2B1C_HUMAN, H2B2E_HUMAN, H2B2C_HUMAN, H2B2D_HUMAN, H2B1J_HUMAN, H2B1K_HUMAN, H2B1O_HUMAN, H2B1H_HUMAN, H2B2F_HUMAN, H2B1B_HUMAN, H2B1N_HUMAN, H2B1D_HUMAN, H2B1M_HUMAN, H2B1L_HUMAN	NV2t008108001.1, NV2t008108002.1, NV2t021894001.1, NV2t007148001.1, NV2t004453001.1, NV2t020250001.1
OG0000065	C144L_HUMAN, C144A_HUMAN, C144B_HUMAN, C144C_HUMAN, ANR26_HUMAN, AR26L_HUMAN, POTEA_HUMAN, POTB2_HUMAN, POTEB_HUMAN, POTB3_HUMAN, POTEC_HUMAN, POTED_HUMAN, POTEH_HUMAN, POTEG_HUMAN, POTEM_HUMAN, POTEI_HUMAN, POTEJ_HUMAN, POTEE_HUMAN, POTEF_HUMAN, ANR62_HUMAN, A26L1_HUMAN, AN36C_HUMAN, AN36A_HUMAN, AN36B_HUMAN, A2012_HUMAN, AN20B_HUMAN, A20A5_HUMAN, A20A4_HUMAN, A20A2_HUMAN, A20A1_HUMAN, A20A3_HUMAN, ANR19_HUMAN, AN18A_HUMAN, AN18B_HUMAN, A30BL_HUMAN, AN30A_HUMAN, AN30B_HUMAN, ANKR7_HUMAN	NV2t000773006.1, NV2t000773005.1, NV2t000773004.1, NV2t000773001.1, NV2t000773002.1, NV2t000773003.1
OG0000066	MOT8_HUMAN, MOT10_HUMAN, MOT6_HUMAN, MOT1_HUMAN, MOT2_HUMAN, MOT3_HUMAN, MOT4_HUMAN	NV2t021351001.1, NV2t021351002.1, NV2t021351003.1, NV2t022187001.1, NV2t022510001.1, NV2t008361001.1, NV2t017306001.1, NV2t005371001.1, NV2t005371002.1, NV2t005371003.1, NV2t014365001.1, NV2t015512001.1, NV2t016355001.1, NV2t016359001.1, NV2t002297001.1
OG0000067	HELB_HUMAN	NV2t008620001.1, NV2t013584001.1, NV2t018745001.1, NV2t001124001.1
OG0000068	PGBD4_HUMAN	NV2t004700001.1, NV2t003140001.1, NV2t003140002.1, NV2t013033001.1, NV2t013315001.1, NV2t018189001.1, NV2t004773001.1, NV2t005104001.1, NV2t005903001.1, NV2t025255001.1
OG0000070	CGT_HUMAN, UDB15_HUMAN, UDB17_HUMAN, UD2B4_HUMAN, UD2B7_HUMAN, UDB10_HUMAN, UDB11_HUMAN, UDB28_HUMAN, UD2A1_HUMAN, UD2A2_HUMAN, UD2A3_HUMAN, UD11_HUMAN, UD13_HUMAN, UD14_HUMAN, UD15_HUMAN, UD16_HUMAN, UD19_HUMAN, UD18_HUMAN, UD17_HUMAN, UD110_HUMAN	NV2t011589001.1, NV2t011589002.1, NV2t011589003.1, NV2t025539001.1, NV2t004709001.1, NV2t015485001.1
OG0000071	NAL10_HUMAN, NLRP3_HUMAN, NAL12_HUMAN, LRC31_HUMAN, RINI_HUMAN, NLRP6_HUMAN, CARD8_HUMAN, NLRP1_HUMAN, NALP5_HUMAN, NALP4_HUMAN, NAL11_HUMAN, NLRP9_HUMAN, NAL14_HUMAN, NALP7_HUMAN, NALP2_HUMAN, PYDC2_HUMAN, PYDC4_HUMAN, NALP8_HUMAN, NAL13_HUMAN	NV2t020152001.1
OG0000075	CTHR1_HUMAN	NV2t005041001.1, NV2t002667001.1, NV2t009852001.1, NV2t020336001.1
OG0000076	FILA_HUMAN, HORN_HUMAN, FILA2_HUMAN, S100P_HUMAN, S100B_HUMAN, S10A1_HUMAN, S10A5_HUMAN, S10A3_HUMAN, S10A6_HUMAN, S10A4_HUMAN, S10A2_HUMAN, S100Z_HUMAN, S10AA_HUMAN, S10AB_HUMAN, S10AD_HUMAN, S10A9_HUMAN, S10AC_HUMAN, S10A8_HUMAN, S1A7B_HUMAN, S10A7_HUMAN, S1A7A_HUMAN, S100G_HUMAN, CRNN_HUMAN, TRHY_HUMAN, RPTN_HUMAN	NV2t010336001.1
OG0000077	HRH2_HUMAN	NV2t000139002.1, NV2t005982001.1, NV2t017365001.1, NV2t018515001.1, NV2t018530001.1, NV2t009418001.1, NV2t017795001.1, NV2t018127001.1, NV2t017813001.1, NV2t017818001.1, NV2t017818002.1, NV2t017818003.1, NV2t017818005.1, NV2t017818004.1, NV2t017818006.1, NV2t017818007.1, NV2t017817001.1, NV2t017679001.1, NV2t021256001.1, NV2t018362001.1, NV2t021261001.1, NV2t021975001.1
OG0000078	MATN3_HUMAN, MATN1_HUMAN, MATN4_HUMAN, MATN2_HUMAN, COCH_HUMAN, VITRN_HUMAN	NV2t008413001.1, NV2t001047001.1, NV2t001047002.1, NV2t001047003.1, NV2t001044001.1, NV2t001045001.1, NV2t001045002.1, NV2t000975001.1, NV2t008609001.1, NV2t008614001.1, NV2t008618001.1, NV2t009760001.1, NV2t003005001.1, NV2t015846001.1
OG0000081	K1958_HUMAN	NV2t025173001.1, NV2t025283001.1
OG0000082	AGRD1_HUMAN	NV2t010145001.1, NV2t010158001.1, NV2t006061001.1, NV2t006060002.1, NV2t006060001.1, NV2t006059001.1, NV2t006060004.1, NV2t006060003.1, NV2t006060005.1, NV2t006436001.1, NV2t006062001.1, NV2t005624001.1, NV2t005624002.1, NV2t005624003.1, NV2t010007001.1, NV2t010007002.1
OG0000085	EPHA1_HUMAN, EPHA2_HUMAN, EPHB6_HUMAN, EPHB1_HUMAN, EPHB3_HUMAN, EPHB4_HUMAN, EPHB2_HUMAN, EPHA8_HUMAN, EPHAA_HUMAN, EPHA7_HUMAN, EPHA3_HUMAN, EPHA5_HUMAN, EPHA6_HUMAN, EPHA4_HUMAN	NV2t014294001.1, NV2t019940001.1, NV2t019861001.1, NV2t019858001.1, NV2t019866001.1, NV2t019860001.1, NV2t019864001.1, NV2t019863002.1, NV2t019863001.1, NV2t013658001.1
OG0000087	S22AD_HUMAN	NV2t016371001.1, NV2t017181001.1, NV2t007427001.1, NV2t017208001.1, NV2t014115001.1, NV2t014120001.1, NV2t023743001.1, NV2t023743002.1, NV2t016153001.1, NV2t013901001.1, NV2t013909001.1, NV2t013902001.1, NV2t013910001.1, NV2t013910003.1, NV2t013910002.1, NV2t016546002.1, NV2t016546003.1, NV2t016547001.1, NV2t016547002.1, NV2t016547003.1, NV2t016547004.1, NV2t023660001.1, NV2t000312001.1, NV2t000307001.1, NV2t000309001.1, NV2t003238001.1, NV2t017297001.1, NV2t017124001.1, NV2t017124002.1
OG0000088	TNF10_HUMAN, TNFC_HUMAN, TNF13_HUMAN, TN13B_HUMAN, TNFA_HUMAN, TNFB_HUMAN, TNF12_HUMAN, CD40L_HUMAN, TNF11_HUMAN, YB003_HUMAN	NV2t022054001.1, NV2t022058001.1, NV2t022058002.1, NV2t022056001.1, NV2t022707001.1, NV2t022707002.1, NV2t022131001.1
OG0000090	GOGA2_HUMAN, GG6L4_HUMAN, GG6L9_HUMAN, GG6LS_HUMAN, GG6LA_HUMAN, GG6L7_HUMAN, GG6L2_HUMAN, GG6LZ_HUMAN, GG6L1_HUMAN, GG6LV_HUMAN, GG6LX_HUMAN, GG6LY_HUMAN, GG6L6_HUMAN, GOG6A_HUMAN, GOG6B_HUMAN, GOG6C_HUMAN, GOG6D_HUMAN, GGA2B_HUMAN, GOG8A_HUMAN, GOG8B_HUMAN, GOG8F_HUMAN, GOG8G_HUMAN, GOG8D_HUMAN, GOG8C_HUMAN, GOG8S_HUMAN, GOG8R_HUMAN, GOG8O_HUMAN, GOG8N_HUMAN, GOG8Q_HUMAN, GOG8M_HUMAN, GOG8I_HUMAN, GOG8J_HUMAN, GOG8K_HUMAN, GOG8T_HUMAN, GOG8H_HUMAN	NV2t025385001.1, NV2t025385002.1
OG0000091	FGFR4_HUMAN, FGFR3_HUMAN, FGFR1_HUMAN, FGFR2_HUMAN	NV2t005945001.1, NV2t011070001.1, NV2t012117001.1, NV2t011067002.1, NV2t011067001.1, NV2t018089001.1, NV2t018089002.1, NV2t018089003.1
