Orthogroup	Hsap	Mmus
OG0000022	OR4C3_HUMAN	O4C3D_MOUSE
OG0000022	OR4E1_HUMAN, OR4E2_HUMAN	OR4E2_MOUSE
OG0000022	O10D3_HUMAN	O10D3_MOUSE
OG0000022	O10D4_HUMAN	O10N1_MOUSE
OG0000022	OR4Q3_HUMAN, OR4L1_HUMAN, OR4F4_HUMAN, O4F17_HUMAN, OR4F5_HUMAN, OR4F6_HUMAN, O4F15_HUMAN, O4F21_HUMAN, OR4F3_HUMAN, OR4K1_HUMAN, OR4K2_HUMAN, OR4K3_HUMAN, OR4KH_HUMAN, OR4K5_HUMAN, OR4KF_HUMAN, OR4KD_HUMAN, OR4KE_HUMAN, OR4D5_HUMAN, OR4D1_HUMAN, OR4D2_HUMAN, OR4D6_HUMAN, OR4D9_HUMAN, OR4DA_HUMAN, OR4DB_HUMAN, OR4Q2_HUMAN, OR4N5_HUMAN, OR4N2_HUMAN, OR4N4_HUMAN, ORN4C_HUMAN, OR4M1_HUMAN, OR4M2_HUMAN, ORM2B_HUMAN	OR4M1_MOUSE
OG0000022	OR4X1_HUMAN, OR4X2_HUMAN, OR4B1_HUMAN	O4B13_MOUSE
OG0000022	OR4C6_HUMAN, O4C45_HUMAN, OR4C5_HUMAN, O4C46_HUMAN, OR4CD_HUMAN, OR4CC_HUMAN	OR4CC_MOUSE
OG0000023	FCN1_HUMAN	FCN2_MOUSE
OG0000023	FCN2_HUMAN	FCN1_MOUSE
OG0000024	MAMC2_HUMAN	MAMC2_MOUSE
OG0000028	KLK14_HUMAN	KLK14_MOUSE
OG0000028	KLK5_HUMAN, KLK4_HUMAN	KLK4_MOUSE
OG0000028	KLK7_HUMAN	KLK7_MOUSE
OG0000028	KLK9_HUMAN, KLK11_HUMAN	KLK11_MOUSE
OG0000028	KLK15_HUMAN, KLK8_HUMAN	KLK8_MOUSE
OG0000028	TRY2_HUMAN, TRY1_HUMAN, TRY3_HUMAN, TRY6_HUMAN	TRY2_MOUSE, TRY4_MOUSE, TRY5_MOUSE
OG0000028	TRYD_HUMAN, TRYB1_HUMAN, TRYB2_HUMAN	TRYB2_MOUSE, TRYB1_MOUSE
OG0000028	PRS29_HUMAN	PRS28_MOUSE, PRS29_MOUSE
OG0000029	RN183_HUMAN	RN183_MOUSE
OG0000030	PCDAC_HUMAN, PCDAA_HUMAN	PCDA9_MOUSE
OG0000030	PCDA4_HUMAN	PCDA4_MOUSE
OG0000030	PCDA7_HUMAN, PCDA9_HUMAN	PCDA7_MOUSE
OG0000030	PCDAB_HUMAN, PCDAD_HUMAN	PCDAA_MOUSE
OG0000030	PCDBB_HUMAN, PCDBC_HUMAN, PCDBE_HUMAN, PCDBI_HUMAN, PCDB7_HUMAN, PCDB9_HUMAN, PCDBA_HUMAN	PCDBI_MOUSE
OG0000030	PCDBF_HUMAN, PCDB2_HUMAN, PCDB3_HUMAN, PCDBG_HUMAN, PCDB8_HUMAN, PCDBD_HUMAN, PCDB6_HUMAN, PCDB4_HUMAN, PCDB5_HUMAN	PCDBE_MOUSE, PCDB6_MOUSE, PCDB8_MOUSE
OG0000030	PCDGK_HUMAN, PCDGL_HUMAN, PCDGM_HUMAN, PCDGG_HUMAN, PCDGH_HUMAN, PCDGI_HUMAN, PCDGJ_HUMAN, PCDGD_HUMAN, PCDGE_HUMAN, PCDGF_HUMAN, PCDGB_HUMAN, PCDGC_HUMAN, PCDGA_HUMAN, PCDG8_HUMAN, PCDG9_HUMAN, PCDG5_HUMAN, PCDG3_HUMAN, PCDG2_HUMAN, PCDG1_HUMAN, PCDG7_HUMAN, PCDG6_HUMAN, PCDG4_HUMAN	PCDG4_MOUSE
OG0000030	PCD10_HUMAN, PCD19_HUMAN	PCD19_MOUSE
OG0000032	ANGP1_HUMAN	ANGP1_MOUSE
OG0000032	ANGP2_HUMAN	ANGP2_MOUSE
OG0000032	ANGP4_HUMAN	ANGP4_MOUSE
OG0000032	FGL1_HUMAN	FGL1_MOUSE
OG0000032	ANGL7_HUMAN	ANGL7_MOUSE
OG0000033	ACHA7_HUMAN, CRFM7_HUMAN	ACHA7_MOUSE
OG0000033	ACHB2_HUMAN	ACHB2_MOUSE
OG0000033	ACHB4_HUMAN	ACHB4_MOUSE
OG0000033	ACHA_HUMAN	ACHA_MOUSE
OG0000033	ACHA3_HUMAN	ACHA3_MOUSE
OG0000033	ACHA6_HUMAN	ACHA6_MOUSE
OG0000033	ACHA4_HUMAN	ACHA4_MOUSE
OG0000033	ACHA2_HUMAN	ACHA2_MOUSE
OG0000033	ACHB3_HUMAN	ACHB3_MOUSE
OG0000033	ACHA5_HUMAN	ACHA5_MOUSE
OG0000034	O56B4_HUMAN	56B34_MOUSE
OG0000034	O56B1_HUMAN, O56B2_HUMAN, O56A3_HUMAN, O56A1_HUMAN, O56A4_HUMAN, O56A5_HUMAN, O52I1_HUMAN, O52I2_HUMAN, O52J3_HUMAN, O52E6_HUMAN, O52E8_HUMAN, O52E1_HUMAN, O52E2_HUMAN, O52E4_HUMAN, O52E5_HUMAN, O52D1_HUMAN, O52B6_HUMAN, O52B4_HUMAN, O52H1_HUMAN, O52B2_HUMAN, O52Z1_HUMAN, O52A5_HUMAN, O52A1_HUMAN, O52A4_HUMAN, O52R1_HUMAN, O52W1_HUMAN, O52L1_HUMAN, O52L2_HUMAN, O52P1_HUMAN, O52N5_HUMAN, O52N2_HUMAN, O52N1_HUMAN, O52N4_HUMAN, O52M1_HUMAN, O52K1_HUMAN, O52K2_HUMAN, O51I1_HUMAN, O51I2_HUMAN, O51M1_HUMAN, O51J1_HUMAN, O51T1_HUMAN, O51C1_HUMAN, O51F1_HUMAN, O51F2_HUMAN, O51S1_HUMAN, O51H1_HUMAN, O51L1_HUMAN, O51G2_HUMAN, O51G1_HUMAN, O51V1_HUMAN, O51B5_HUMAN, O51B6_HUMAN, O51B2_HUMAN, O51B4_HUMAN, O51Q1_HUMAN, O51A7_HUMAN, O51A2_HUMAN, O51A4_HUMAN, O51E1_HUMAN, O51D1_HUMAN, O51E2_HUMAN	O51E2_MOUSE
OG0000037	CYRIA_HUMAN	CYRIA_MOUSE
OG0000037	CYRIB_HUMAN	CYRIB_MOUSE
OG0000039	GALR1_HUMAN	GALR1_MOUSE
OG0000039	GALR3_HUMAN	GALR3_MOUSE
OG0000039	GALR2_HUMAN	GALR2_MOUSE
OG0000040	MMP17_HUMAN	MMP17_MOUSE
OG0000040	MMP25_HUMAN	MMP25_MOUSE
OG0000040	MMP11_HUMAN	MMP11_MOUSE
OG0000040	MMP2_HUMAN	MMP2_MOUSE
OG0000040	MMP9_HUMAN	MMP9_MOUSE
OG0000040	MMP13_HUMAN	MMP13_MOUSE
OG0000040	MMP20_HUMAN	MMP20_MOUSE
OG0000040	MMP7_HUMAN	MMP7_MOUSE
OG0000040	MMP8_HUMAN	MMP8_MOUSE
OG0000040	MMP1_HUMAN	MMP1A_MOUSE, MMP1B_MOUSE
OG0000040	MMP3_HUMAN	MMP3_MOUSE
OG0000040	MMP10_HUMAN	MMP10_MOUSE
OG0000040	MMP27_HUMAN, MMP12_HUMAN	MMP12_MOUSE
OG0000041	B3GT1_HUMAN	B3GT1_MOUSE
OG0000041	B3GT2_HUMAN	B3GT2_MOUSE
OG0000041	B3GT5_HUMAN	B3GT5_MOUSE
OG0000041	B3GL1_HUMAN	B3GL1_MOUSE
OG0000041	B3GN2_HUMAN	B3GN2_MOUSE
OG0000041	B3GN6_HUMAN	B3GN6_MOUSE
OG0000041	B3GN3_HUMAN	B3GN3_MOUSE
OG0000041	B3GN7_HUMAN	B3GN7_MOUSE
OG0000041	B3GN4_HUMAN	B3GN4_MOUSE
OG0000041	B3GN9_HUMAN	B3GN9_MOUSE
OG0000042	LY6L_HUMAN	LY6L_MOUSE
OG0000042	LY6H_HUMAN	LY6H_MOUSE
OG0000042	LY6S_HUMAN	LY6F_MOUSE, LY6A_MOUSE, LY6I_MOUSE, LY6C1_MOUSE, LY6C2_MOUSE, LY6G_MOUSE
OG0000045	MTR1L_HUMAN	MTR1L_MOUSE
OG0000045	MTR1A_HUMAN	MTR1A_MOUSE
OG0000045	MTR1B_HUMAN	MTR1B_MOUSE
OG0000046	CO3_HUMAN	CO3_MOUSE
OG0000049	STOM_HUMAN	STOM_MOUSE
OG0000050	OR1E3_HUMAN, OR1E1_HUMAN, OR1E2_HUMAN	O1E16_MOUSE
OG0000050	OR1J1_HUMAN	OR1J1_MOUSE
OG0000050	OR1J2_HUMAN, OR1J4_HUMAN	O1J21_MOUSE
OG0000050	OR7A5_HUMAN	O7A40_MOUSE
OG0000050	OR7AH_HUMAN, OR7AA_HUMAN, OR7A2_HUMAN	O7A42_MOUSE
OG0000050	OR7G3_HUMAN, OR7G1_HUMAN, OR7G2_HUMAN, O7E24_HUMAN	O7178_MOUSE
OG0000050	OR7D2_HUMAN, OR7D4_HUMAN	O7D11_MOUSE
OG0000050	OR1N1_HUMAN, OR1P1_HUMAN, OR1S1_HUMAN, OR1S2_HUMAN, OR1M1_HUMAN	OR1M1_MOUSE
OG0000051	KLH11_HUMAN	KLH11_MOUSE
OG0000051	KLH38_HUMAN	KLH38_MOUSE
OG0000052	CK5P3_HUMAN	CK5P3_MOUSE
OG0000053	CP343_HUMAN, CP3A4_HUMAN, CP3A7_HUMAN, CP3A5_HUMAN	CP3AB_MOUSE, CP341_MOUSE, CP3AG_MOUSE, CP3AP_MOUSE, CP3AD_MOUSE
OG0000055	TVA18_HUMAN	TVA3_MOUSE
OG0000055	TVAM1_HUMAN, TVA5_HUMAN, TVAM2_HUMAN, TVA23_HUMAN, TVA29_HUMAN, TVAL2_HUMAN, TVAL1_HUMAN, TVAL3_HUMAN	TVA2_MOUSE
OG0000055	TVA2_HUMAN, TVA11_HUMAN, TVA12_HUMAN, TVA21_HUMAN, TVA17_HUMAN, TVA6_HUMAN, TVA24_HUMAN, TVA36_HUMAN, TVA20_HUMAN, TVA39_HUMAN, TVA7_HUMAN, TVA10_HUMAN, TVA22_HUMAN, TVA41_HUMAN, TVA30_HUMAN, TVA34_HUMAN, TVA35_HUMAN, TVA25_HUMAN, TJA42_HUMAN, TRAR1_HUMAN, TVA27_HUMAN, TRAC_HUMAN	TRAC_MOUSE
OG0000055	TVA3_HUMAN, TVA16_HUMAN, TVA86_HUMAN, TVA82_HUMAN, TVA84_HUMAN, TVA81_HUMAN, TVA83_HUMAN	TVA1_MOUSE
OG0000056	SRB4D_HUMAN	SRB4D_MOUSE
OG0000056	CD5L_HUMAN	CD5L_MOUSE
OG0000056	DMBT1_HUMAN	DMBT1_MOUSE
OG0000056	C163B_HUMAN, C163A_HUMAN	C163A_MOUSE
OG0000058	AA2AR_HUMAN	AA2AR_MOUSE
OG0000058	AA2BR_HUMAN	AA2BR_MOUSE
OG0000058	AA1R_HUMAN	AA1R_MOUSE
OG0000058	AA3R_HUMAN	AA3R_MOUSE
OG0000058	DRD1_HUMAN	DRD1_MOUSE
OG0000058	DRD5_HUMAN	DRD5_MOUSE
OG0000058	ADA1A_HUMAN	ADA1A_MOUSE
OG0000058	ADA1B_HUMAN	ADA1B_MOUSE
OG0000058	ADA1D_HUMAN	ADA1D_MOUSE
OG0000058	ADRB2_HUMAN	ADRB2_MOUSE
OG0000058	ADRB1_HUMAN	ADRB1_MOUSE
OG0000058	ADRB3_HUMAN	ADRB3_MOUSE
OG0000060	PIDD1_HUMAN	PIDD1_MOUSE
OG0000061	YKT6_HUMAN	YKT6_MOUSE
OG0000062	IGLC7_HUMAN, IGL1_HUMAN, IGLC1_HUMAN, IGLL5_HUMAN, LJ01_HUMAN, IGLC2_HUMAN, IGLC3_HUMAN, IGLC6_HUMAN, IGLL1_HUMAN, LV140_HUMAN, LV150_HUMAN, LV151_HUMAN, LV136_HUMAN, LV144_HUMAN, LV147_HUMAN, LV657_HUMAN, LV208_HUMAN, LV211_HUMAN, LV214_HUMAN, LV223_HUMAN, LV218_HUMAN, LV233_HUMAN, LVX54_HUMAN, LV319_HUMAN, LV332_HUMAN, LV39_HUMAN, LV312_HUMAN, LV321_HUMAN, LV301_HUMAN, LV322_HUMAN, LV316_HUMAN, LV325_HUMAN, LV310_HUMAN, LV327_HUMAN, LV746_HUMAN, LV861_HUMAN, VPRE3_HUMAN, LV460_HUMAN, LV469_HUMAN, LV403_HUMAN, LV949_HUMAN, LV552_HUMAN, LV548_HUMAN, LV539_HUMAN, LV545_HUMAN, LV537_HUMAN, LVK55_HUMAN	IGLL1_MOUSE, LAC1_MOUSE
OG0000063	H2B1A_HUMAN	H2B1A_MOUSE
OG0000063	H2B3B_HUMAN	H2B3A_MOUSE, H2B3B_MOUSE
OG0000063	H2B1C_HUMAN	H2B1C_MOUSE
OG0000063	H2B2E_HUMAN, H2B2C_HUMAN, H2B2D_HUMAN, H2B1J_HUMAN, H2B1K_HUMAN, H2B1O_HUMAN, H2B1H_HUMAN, H2B2F_HUMAN	H2B2B_MOUSE
OG0000063	H2B1B_HUMAN, H2B1N_HUMAN, H2B1D_HUMAN	H2B1M_MOUSE
OG0000063	H2B1M_HUMAN	H2B1F_MOUSE
OG0000063	H2B1L_HUMAN	H2B2E_MOUSE
OG0000065	C144L_HUMAN, C144A_HUMAN, C144B_HUMAN, C144C_HUMAN, ANR26_HUMAN	ANR26_MOUSE
OG0000065	AR26L_HUMAN, POTEA_HUMAN, POTB2_HUMAN, POTEB_HUMAN, POTB3_HUMAN, POTEC_HUMAN, POTED_HUMAN, POTEH_HUMAN, POTEG_HUMAN, POTEM_HUMAN, POTEI_HUMAN, POTEJ_HUMAN, POTEE_HUMAN, POTEF_HUMAN, ANR62_HUMAN, A26L1_HUMAN, AN36C_HUMAN, AN36A_HUMAN, AN36B_HUMAN, A2012_HUMAN, AN20B_HUMAN, A20A5_HUMAN, A20A4_HUMAN, A20A2_HUMAN, A20A1_HUMAN, A20A3_HUMAN, ANR19_HUMAN, AN18A_HUMAN, AN18B_HUMAN, A30BL_HUMAN, AN30A_HUMAN, AN30B_HUMAN, ANKR7_HUMAN	ANKR7_MOUSE
OG0000066	MOT8_HUMAN	MOT8_MOUSE
OG0000066	MOT10_HUMAN	MOT10_MOUSE
OG0000066	MOT6_HUMAN	MOT6_MOUSE
OG0000066	MOT1_HUMAN	MOT1_MOUSE
OG0000066	MOT2_HUMAN	MOT2_MOUSE
OG0000066	MOT3_HUMAN	MOT3_MOUSE
OG0000066	MOT4_HUMAN	MOT4_MOUSE
OG0000067	HELB_HUMAN	HELB_MOUSE
OG0000070	CGT_HUMAN	CGT_MOUSE
OG0000070	UDB15_HUMAN, UDB17_HUMAN, UD2B4_HUMAN, UD2B7_HUMAN, UDB10_HUMAN, UDB11_HUMAN, UDB28_HUMAN	UDB17_MOUSE
OG0000070	UD2A1_HUMAN	UD2A1_MOUSE
OG0000070	UD2A2_HUMAN	UD2A2_MOUSE
OG0000070	UD2A3_HUMAN	UD2A3_MOUSE
OG0000070	UD11_HUMAN	UD11_MOUSE
OG0000070	UD13_HUMAN, UD14_HUMAN, UD15_HUMAN	UD12_MOUSE
OG0000070	UD16_HUMAN	UD16_MOUSE
OG0000070	UD19_HUMAN, UD18_HUMAN, UD17_HUMAN, UD110_HUMAN	UD17_MOUSE, UD19_MOUSE
OG0000071	NAL10_HUMAN	NAL10_MOUSE
OG0000071	NLRP3_HUMAN	NLRP3_MOUSE
OG0000071	NAL12_HUMAN	NAL12_MOUSE
OG0000071	LRC31_HUMAN, RINI_HUMAN	RINI_MOUSE
OG0000071	NLRP6_HUMAN	NLRP6_MOUSE
OG0000071	CARD8_HUMAN, NLRP1_HUMAN	NLR1A_MOUSE, NL1B2_MOUSE, NL1B3_MOUSE, NL1B4_MOUSE, NL1B1_MOUSE, NL1B5_MOUSE
OG0000071	NALP5_HUMAN	NALP5_MOUSE
OG0000071	NALP4_HUMAN	NAL4A_MOUSE, NAL4C_MOUSE, NAL4E_MOUSE, NAL4F_MOUSE, NAL4B_MOUSE
OG0000071	NAL11_HUMAN, NLRP9_HUMAN	NLR9B_MOUSE, NLR9A_MOUSE, NLR9C_MOUSE
OG0000071	NAL14_HUMAN	NAL14_MOUSE
OG0000072	TRI39_HUMAN	TRI39_MOUSE
OG0000072	TRI75_HUMAN	TRI75_MOUSE
OG0000072	TRI61_HUMAN, TRI60_HUMAN	TRI60_MOUSE
OG0000072	TRIM7_HUMAN	TRIM7_MOUSE
OG0000072	TRI69_HUMAN	TRI69_MOUSE
OG0000072	TRI27_HUMAN	TRI27_MOUSE
OG0000072	MEFV_HUMAN	MEFV_MOUSE
OG0000072	TRI68_HUMAN	TRI68_MOUSE
OG0000072	RO52_HUMAN	RO52_MOUSE
OG0000072	TRI38_HUMAN	TRI38_MOUSE
OG0000072	TRI58_HUMAN	TRI58_MOUSE
OG0000072	TRI11_HUMAN	TRI11_MOUSE
OG0000072	TRI17_HUMAN	TRI17_MOUSE
