Orthogroup	Species	Mmus	Orthologs
OG0000004	Hsap	O5AP2_MOUSE	O5AP2_HUMAN
OG0000004	Hsap	O9S13_MOUSE	OR9K2_HUMAN, OR9H1_HUMAN
OG0000004	Hsap	O5T17_MOUSE, OR5T9_MOUSE	OR5T1_HUMAN, OR5T3_HUMAN
OG0000004	Hsap	OL141_MOUSE	OR5T2_HUMAN
OG0000004	Hsap	O5AR1_MOUSE	O5AR1_HUMAN
OG0000004	Hsap	O5B21_MOUSE	OR5BC_HUMAN, OR5B3_HUMAN, OR5B2_HUMAN, OR5BH_HUMAN, O5B21_HUMAN
OG0000004	Hsap	O1165_MOUSE	OR5L1_HUMAN, OR5L2_HUMAN, OR5DG_HUMAN, OR5DI_HUMAN, OR5DE_HUMAN, OR5D3_HUMAN, OR5DD_HUMAN
OG0000045	Acer	K1C18_MOUSE, K1C20_MOUSE, K1C42_MOUSE, K1C17_MOUSE, K1C14_MOUSE, K1C16_MOUSE, K1C12_MOUSE, K1C24_MOUSE, K1C26_MOUSE, K1C28_MOUSE, K1C25_MOUSE, K1C27_MOUSE, K1C9_MOUSE, K1C10_MOUSE, K1C19_MOUSE, K1C13_MOUSE, K1C15_MOUSE, KRT36_MOUSE, KRT35_MOUSE, K1H2_MOUSE, K1C39_MOUSE, K1C40_MOUSE, KRT34_MOUSE, K1H1_MOUSE, KT33A_MOUSE, KT33B_MOUSE	KAK2547790.1
OG0000045	Hsap	K1C18_MOUSE	K1C18_HUMAN
OG0000045	Hsap	K1C20_MOUSE	K1C20_HUMAN
OG0000045	Hsap	K1C17_MOUSE	K1C17_HUMAN
OG0000045	Hsap	K1C14_MOUSE	K1C14_HUMAN
OG0000045	Hsap	K1C16_MOUSE	K1C16_HUMAN
OG0000045	Hsap	K1C12_MOUSE	K1C12_HUMAN
OG0000045	Hsap	K1C24_MOUSE	K1C24_HUMAN
OG0000045	Hsap	K1C26_MOUSE	K1C26_HUMAN
OG0000045	Hsap	K1C28_MOUSE	K1C28_HUMAN
OG0000045	Hsap	K1C25_MOUSE	K1C25_HUMAN
OG0000045	Hsap	K1C27_MOUSE	K1C27_HUMAN
OG0000045	Hsap	K1C9_MOUSE	K1C9_HUMAN
OG0000045	Hsap	K1C10_MOUSE	K1C10_HUMAN
OG0000045	Hsap	K1C19_MOUSE	K1C19_HUMAN
OG0000045	Hsap	K1C13_MOUSE	K1C13_HUMAN
OG0000045	Hsap	K1C15_MOUSE	K1C15_HUMAN
OG0000045	Hsap	KRT36_MOUSE	KRT36_HUMAN
OG0000045	Hsap	KRT35_MOUSE	KRT35_HUMAN
OG0000045	Hsap	K1H2_MOUSE	K1H2_HUMAN
OG0000045	Hsap	K1C39_MOUSE	K1C39_HUMAN
OG0000045	Hsap	K1C40_MOUSE	K1C40_HUMAN
OG0000045	Hsap	KRT34_MOUSE, K1H1_MOUSE, KT33A_MOUSE, KT33B_MOUSE	KRT37_HUMAN, KRT38_HUMAN, KRT34_HUMAN, K1H1_HUMAN, KT33A_HUMAN, KT33B_HUMAN
OG0000013	Acer	CTRB1_MOUSE, KLK7_MOUSE, KLK14_MOUSE, KLK4_MOUSE, KLK8_MOUSE, KLK11_MOUSE, TRY2_MOUSE, TRY4_MOUSE, TRY5_MOUSE, TMPS9_MOUSE, TEST_MOUSE, PRS41_MOUSE, PRS30_MOUSE, PRS33_MOUSE, BSSP4_MOUSE, PRS27_MOUSE, TRYB1_MOUSE, TRYB2_MOUSE, PRS28_MOUSE, PRS29_MOUSE, PRS39_MOUSE, PRS40_MOUSE, PRS38_MOUSE	KAK2573735.1, KAK2553845.1, KAK2570101.1, KAK2565368.1, KAK2568182.1, KAK2568184.1, KAK2559376.1, KAK2565258.1, KAK2558430.1, KAK2559309.1, KAK2559444.1, KAK2572836.1, KAK2572356.1, KAK2554716.1
OG0000013	Nvec	CTRB1_MOUSE, KLK7_MOUSE, KLK14_MOUSE, KLK4_MOUSE, KLK8_MOUSE, KLK11_MOUSE, TRY2_MOUSE, TRY4_MOUSE, TRY5_MOUSE, TMPS9_MOUSE, TEST_MOUSE, PRS41_MOUSE, PRS30_MOUSE, PRS33_MOUSE, BSSP4_MOUSE, PRS27_MOUSE, TRYB1_MOUSE, TRYB2_MOUSE, PRS28_MOUSE, PRS29_MOUSE, PRS39_MOUSE, PRS40_MOUSE, PRS38_MOUSE	NV2t022758001.1, NV2t000530001.1, NV2t020120001.1, NV2t010261001.1, NV2t017651002.1, NV2t024582001.1, NV2t014330001.1, NV2t017852002.1, NV2t017852001.1, NV2t017852003.1, NV2t017852004.1, NV2t013630001.1, NV2t013966001.1, NV2t015018001.1, NV2t014863001.1, NV2t014279002.1, NV2t014279001.1, NV2t014279003.1, NV2t004021001.1, NV2t004021002.1, NV2t004021003.1, NV2t013964001.1
OG0000013	Hsap	CTRB1_MOUSE	CTRL_HUMAN, CTRB1_HUMAN, CTRB2_HUMAN
OG0000013	Hsap	KLK7_MOUSE	KLK7_HUMAN
OG0000013	Hsap	KLK14_MOUSE	KLK14_HUMAN
OG0000013	Hsap	KLK4_MOUSE	KLK5_HUMAN, KLK4_HUMAN
OG0000013	Hsap	KLK8_MOUSE	KLK15_HUMAN, KLK8_HUMAN
OG0000013	Hsap	KLK11_MOUSE	KLK10_HUMAN, KLK12_HUMAN, KLK13_HUMAN, KLK6_HUMAN, KLK9_HUMAN, KLK11_HUMAN
OG0000013	Hsap	TRY2_MOUSE, TRY4_MOUSE, TRY5_MOUSE	TRY1_HUMAN, TRY2_HUMAN, TRY6_HUMAN, TRY3_HUMAN
OG0000013	Hsap	TMPS9_MOUSE	TMPS9_HUMAN
OG0000013	Hsap	TEST_MOUSE	TEST_HUMAN
OG0000013	Hsap	PRS41_MOUSE	PRS41_HUMAN
OG0000013	Hsap	PRS33_MOUSE	PRS33_HUMAN
OG0000013	Hsap	BSSP4_MOUSE	BSSP4_HUMAN
OG0000013	Hsap	PRS27_MOUSE	PRS27_HUMAN
OG0000013	Hsap	TRYB1_MOUSE, TRYB2_MOUSE	TRYD_HUMAN, TRYB1_HUMAN, TRYB2_HUMAN
OG0000013	Hsap	PRS28_MOUSE, PRS29_MOUSE	PRS29_HUMAN
OG0000013	Hsap	PRS39_MOUSE, PRS40_MOUSE, PRS38_MOUSE	PRS38_HUMAN
OG0000027	Nvec	PCDA9_MOUSE, PCDA4_MOUSE, PCDA7_MOUSE, PCDAA_MOUSE, PCD19_MOUSE, PCD12_MOUSE, PCDBI_MOUSE, PCDBE_MOUSE, PCDB6_MOUSE, PCDB8_MOUSE, PCDG4_MOUSE	NV2t001711001.1
OG0000027	Hsap	PCDA9_MOUSE	PCDA6_HUMAN, PCDA8_HUMAN, PCDAA_HUMAN
OG0000027	Hsap	PCDA4_MOUSE	PCDA4_HUMAN
OG0000027	Hsap	PCDA7_MOUSE	PCDA7_HUMAN, PCDA9_HUMAN
OG0000027	Hsap	PCDAA_MOUSE	PCDA1_HUMAN, PCDA5_HUMAN
OG0000027	Hsap	PCD19_MOUSE	PCD19_HUMAN
OG0000027	Hsap	PCD12_MOUSE	PCD12_HUMAN
OG0000027	Hsap	PCDBI_MOUSE	PCDBB_HUMAN, PCDBC_HUMAN, PCDBE_HUMAN, PCDBI_HUMAN, PCDB7_HUMAN, PCDB9_HUMAN, PCDBA_HUMAN
OG0000027	Hsap	PCDBE_MOUSE, PCDB6_MOUSE, PCDB8_MOUSE	PCDBF_HUMAN, PCDB2_HUMAN, PCDB3_HUMAN, PCDBG_HUMAN, PCDB8_HUMAN, PCDBD_HUMAN, PCDB6_HUMAN, PCDB4_HUMAN, PCDB5_HUMAN
OG0000027	Hsap	PCDG4_MOUSE	PCDGL_HUMAN, PCDGM_HUMAN, PCDGK_HUMAN, PCDGG_HUMAN, PCDGH_HUMAN, PCDGI_HUMAN, PCDGJ_HUMAN, PCDGF_HUMAN, PCDGD_HUMAN, PCDGE_HUMAN, PCDGB_HUMAN, PCDGC_HUMAN, PCDGA_HUMAN, PCDG8_HUMAN, PCDG9_HUMAN, PCDG7_HUMAN, PCDG3_HUMAN, PCDG2_HUMAN, PCDG1_HUMAN, PCDG6_HUMAN, PCDG5_HUMAN, PCDG4_HUMAN
OG0000063	Nvec	GRIA1_MOUSE, GRIA2_MOUSE, GRIA4_MOUSE, GRIA3_MOUSE, GRIK5_MOUSE, GRIK4_MOUSE, GRIK2_MOUSE, GRIK3_MOUSE, GRIK1_MOUSE	NV2t006566001.1, NV2t006567001.1, NV2t016902001.1, NV2t016903001.1, NV2t016901001.1, NV2t014687001.1, NV2t013953001.1, NV2t004129001.1
OG0000063	Acer	GRIA1_MOUSE, GRIA2_MOUSE, GRIA4_MOUSE, GRIA3_MOUSE, GRIK5_MOUSE, GRIK4_MOUSE, GRIK2_MOUSE, GRIK3_MOUSE, GRIK1_MOUSE	KAK2560020.1, KAK2552985.1, KAK2553015.1, KAK2553028.1, KAK2553030.1, KAK2560025.1, KAK2552984.1, KAK2559850.1, KAK2559935.1, KAK2559853.1, KAK2559934.1, KAK2559933.1, KAK2559931.1, KAK2559937.1, KAK2559852.1, KAK2574075.1, KAK2574078.1, KAK2566425.1, KAK2566473.1, KAK2566474.1, KAK2559754.1
OG0000063	Hsap	GRIA1_MOUSE	GRIA1_HUMAN
OG0000063	Hsap	GRIA2_MOUSE	GRIA2_HUMAN
OG0000063	Hsap	GRIA4_MOUSE	GRIA4_HUMAN
OG0000063	Hsap	GRIA3_MOUSE	GRIA3_HUMAN
OG0000063	Hsap	GRIK5_MOUSE	GRIK5_HUMAN
OG0000063	Hsap	GRIK4_MOUSE	GRIK4_HUMAN
OG0000063	Hsap	GRIK2_MOUSE	GRIK2_HUMAN
OG0000063	Hsap	GRIK3_MOUSE	GRIK3_HUMAN
OG0000063	Hsap	GRIK1_MOUSE	GRIK1_HUMAN
OG0000029	Acer	ZNF18_MOUSE, ZN496_MOUSE, ZN263_MOUSE, ZSC20_MOUSE, ZN394_MOUSE, ZSC26_MOUSE, ZKSC1_MOUSE, ZNF24_MOUSE, ZKSC3_MOUSE, ZSC12_MOUSE, ZN445_MOUSE, ZSC21_MOUSE, ZKSC5_MOUSE	KAK2572785.1
OG0000029	Hsap	ZN496_MOUSE	ZN446_HUMAN, ZSCA1_HUMAN, ZSC18_HUMAN, SCND1_HUMAN, ZN496_HUMAN
OG0000029	Hsap	ZN263_MOUSE	MSD7_HUMAN, SCND2_HUMAN, ZN75C_HUMAN, ZN75D_HUMAN, ZN263_HUMAN
OG0000029	Hsap	ZSC20_MOUSE	ZN215_HUMAN, ZN213_HUMAN, ZN444_HUMAN, ZKSC2_HUMAN, ZSC29_HUMAN, ZSC32_HUMAN, ZN500_HUMAN, ZSC20_HUMAN
OG0000029	Hsap	ZN394_MOUSE	ZSC25_HUMAN, ZN394_HUMAN
OG0000029	Hsap	ZSC26_MOUSE	ZSC26_HUMAN
OG0000029	Hsap	ZKSC1_MOUSE	ZKSC1_HUMAN
OG0000029	Hsap	ZNF24_MOUSE	ZSC31_HUMAN, ZSC23_HUMAN, ZSC9_HUMAN, ZN396_HUMAN, ZNF24_HUMAN
OG0000029	Hsap	ZKSC3_MOUSE	ZSC16_HUMAN, ZKSC3_HUMAN, ZKSC4_HUMAN
OG0000029	Hsap	ZSC12_MOUSE	ZSC12_HUMAN
OG0000029	Hsap	ZN445_MOUSE	ZN197_HUMAN, ZKSC7_HUMAN, ZN852_HUMAN, ZN445_HUMAN
OG0000029	Hsap	ZSC21_MOUSE	ZN165_HUMAN, ZSC30_HUMAN, ZN232_HUMAN, ZSC21_HUMAN
OG0000029	Hsap	ZKSC5_MOUSE	ZN449_HUMAN, ZKSC5_HUMAN
OG0000060	Acer	GALR1_MOUSE, GALR3_MOUSE, GALR2_MOUSE	KAK2573348.1, KAK2573760.1, KAK2573349.1, KAK2573761.1, KAK2560539.1, KAK2551731.1, KAK2552141.1, KAK2551672.1, KAK2551671.1, KAK2552139.1, KAK2547806.1, KAK2551867.1, KAK2548644.1, KAK2572782.1, KAK2573180.1, KAK2557206.1, KAK2572655.1, KAK2573181.1, KAK2565199.1
OG0000060	Nvec	GALR1_MOUSE, GALR3_MOUSE, GALR2_MOUSE	NV2t022136001.1, NV2t021659001.1, NV2t021659002.1, NV2t021659003.1, NV2t021302002.1, NV2t021302001.1, NV2t021303001.1, NV2t022132001.1, NV2t022132002.1, NV2t011164002.1, NV2t011164001.1, NV2t011164003.1, NV2t011164004.1, NV2t003314001.1, NV2t003314002.1, NV2t003314003.1, NV2t003314004.1, NV2t000620001.1, NV2t009673001.1, NV2t010075001.1, NV2t010075002.1, NV2t010076001.1
OG0000060	Hsap	GALR1_MOUSE	GALR1_HUMAN
OG0000060	Hsap	GALR3_MOUSE	GALR3_HUMAN
OG0000060	Hsap	GALR2_MOUSE	GALR2_HUMAN
OG0000077	Acer	RINI_MOUSE, NLRP6_MOUSE, NLRP3_MOUSE, NAL12_MOUSE, NAL10_MOUSE, NLR1A_MOUSE, NL1B2_MOUSE, NL1B3_MOUSE, NL1B4_MOUSE, NL1B1_MOUSE, NL1B5_MOUSE, NAL4B_MOUSE, NAL4F_MOUSE, NAL4A_MOUSE, NAL4C_MOUSE, NAL4E_MOUSE, NLR9B_MOUSE, NLR9A_MOUSE, NLR9C_MOUSE, NALP5_MOUSE, NAL14_MOUSE	KAK2565404.1
OG0000077	Nvec	RINI_MOUSE, NLRP6_MOUSE, NLRP3_MOUSE, NAL12_MOUSE, NAL10_MOUSE, NLR1A_MOUSE, NL1B2_MOUSE, NL1B3_MOUSE, NL1B4_MOUSE, NL1B1_MOUSE, NL1B5_MOUSE, NAL4B_MOUSE, NAL4F_MOUSE, NAL4A_MOUSE, NAL4C_MOUSE, NAL4E_MOUSE, NLR9B_MOUSE, NLR9A_MOUSE, NLR9C_MOUSE, NALP5_MOUSE, NAL14_MOUSE	NV2t020152001.1
OG0000077	Hsap	RINI_MOUSE	RINI_HUMAN
OG0000077	Hsap	NLRP6_MOUSE	NLRP6_HUMAN
OG0000077	Hsap	NLRP3_MOUSE	NLRP3_HUMAN
OG0000077	Hsap	NAL12_MOUSE	NAL12_HUMAN
OG0000077	Hsap	NAL10_MOUSE	NAL10_HUMAN
OG0000077	Hsap	NLR1A_MOUSE, NL1B2_MOUSE, NL1B3_MOUSE, NL1B4_MOUSE, NL1B1_MOUSE, NL1B5_MOUSE	NLRP1_HUMAN, CARD8_HUMAN
OG0000077	Hsap	NAL4B_MOUSE, NAL4F_MOUSE, NAL4A_MOUSE, NAL4C_MOUSE, NAL4E_MOUSE	NALP4_HUMAN
OG0000077	Hsap	NLR9B_MOUSE, NLR9A_MOUSE, NLR9C_MOUSE	NAL11_HUMAN, NLRP9_HUMAN
OG0000077	Hsap	NALP5_MOUSE	NALP5_HUMAN
OG0000077	Hsap	NAL14_MOUSE	NAL14_HUMAN
OG0000136	Acer	TEFF2_MOUSE, TEFF1_MOUSE	KAK2551187.1, KAK2551794.1, KAK2566200.1, KAK2566384.1, KAK2566380.1, KAK2566383.1, KAK2551239.1
OG0000136	Nvec	TEFF2_MOUSE, TEFF1_MOUSE	NV2t014070001.1, NV2t014049001.1, NV2t014050001.1, NV2t023706005.1, NV2t023706006.1, NV2t023706002.1, NV2t023706004.1, NV2t023706003.1, NV2t014041003.1, NV2t014041002.1, NV2t014041001.1, NV2t014043001.1, NV2t014046006.1, NV2t014048001.1, NV2t014047001.1, NV2t014046005.1, NV2t014046003.1, NV2t014046004.1, NV2t014046001.1, NV2t014046002.1, NV2t013522001.1, NV2t014093001.1
OG0000136	Hsap	TEFF2_MOUSE	TEFF2_HUMAN
OG0000136	Hsap	TEFF1_MOUSE	TEFF1_HUMAN
OG0000017	Nvec	CC14A_MOUSE	NV2t007368001.1, NV2t007368002.1, NV2t007368003.1, NV2t007369001.1, NV2t000181001.1
OG0000017	Acer	CC14A_MOUSE	KAK2572147.1, KAK2572148.1, KAK2549548.1, KAK2547122.1, KAK2559466.1, KAK2572800.1, KAK2569167.1, KAK2560838.1, KAK2547123.1, KAK2562008.1, KAK2564587.1, KAK2548038.1, KAK2549080.1, KAK2570676.1, KAK2570799.1, KAK2564325.1, KAK2562851.1, KAK2566565.1, KAK2547214.1, KAK2551777.1, KAK2547854.1, KAK2548993.1, KAK2566377.1, KAK2553023.1, KAK2572183.1, KAK2548737.1, KAK2564540.1, KAK2558765.1, KAK2559249.1, KAK2546703.1, KAK2547412.1, KAK2547231.1, KAK2549811.1, KAK2557414.1, KAK2562942.1, KAK2570474.1, KAK2549053.1, KAK2559041.1, KAK2568809.1, KAK2568094.1, KAK2554850.1, KAK2570691.1, KAK2568672.1, KAK2557413.1, KAK2551626.1, KAK2562941.1, KAK2560145.1, KAK2566192.1, KAK2551091.1, KAK2547595.1, KAK2557530.1, KAK2547594.1, KAK2551089.1, KAK2547706.1, KAK2562572.1, KAK2547311.1, KAK2547707.1, KAK2549388.1, KAK2554847.1, KAK2557552.1, KAK2558774.1, KAK2567505.1, KAK2548031.1, KAK2549615.1, KAK2553836.1, KAK2549614.1, KAK2557038.1, KAK2546631.1, KAK2569915.1, KAK2555958.1, KAK2569624.1, KAK2556902.1, KAK2569817.1
OG0000017	Hsap	CC14A_MOUSE	CC14A_HUMAN
OG0000037	Nvec	P52K_MOUSE	NV2t025517001.1, NV2t006046001.1, NV2t009940001.1, NV2t021398001.1, NV2t004708001.1, NV2t023025001.1, NV2t013854001.1, NV2t010347001.1, NV2t002121001.1, NV2t025040001.1, NV2t014952001.1
OG0000037	Acer	P52K_MOUSE	KAK2549573.1, KAK2548314.1, KAK2549571.1, KAK2561742.1, KAK2552154.1, KAK2558618.1, KAK2566099.1, KAK2552153.1, KAK2568036.1, KAK2571665.1, KAK2561865.1, KAK2571227.1, KAK2561757.1, KAK2562793.1, KAK2550745.1, KAK2571485.1, KAK2550114.1, KAK2548291.1, KAK2555443.1, KAK2563359.1, KAK2564778.1, KAK2558882.1, KAK2572357.1, KAK2561127.1, KAK2557805.1, KAK2548160.1, KAK2558900.1, KAK2555912.1, KAK2558879.1, KAK2569571.1, KAK2564027.1, KAK2553973.1, KAK2548485.1, KAK2572910.1, KAK2573203.1, KAK2568976.1, KAK2550693.1, KAK2558651.1, KAK2556062.1, KAK2551621.1, KAK2561744.1, KAK2571415.1, KAK2569726.1, KAK2569725.1, KAK2564046.1, KAK2558772.1, KAK2558773.1, KAK2569438.1
OG0000037	Hsap	P52K_MOUSE	P52K_HUMAN
OG0000068	Acer	B3GN5_MOUSE, B3GT1_MOUSE, B3GT2_MOUSE, B3GT5_MOUSE, B3GL1_MOUSE	KAK2556527.1, KAK2560187.1, KAK2560185.1, KAK2560238.1, KAK2560186.1, KAK2560237.1, KAK2563589.1, KAK2563587.1, KAK2556352.1, KAK2556351.1, KAK2556447.1, KAK2558088.1, KAK2561866.1, KAK2574433.1, KAK2551011.1, KAK2551012.1, KAK2553140.1, KAK2562758.1, KAK2572838.1
OG0000068	Nvec	B3GN5_MOUSE, B3GT1_MOUSE, B3GT2_MOUSE, B3GT5_MOUSE, B3GL1_MOUSE	NV2t024665001.1, NV2t008559001.1, NV2t008559002.1, NV2t008559003.1, NV2t004393001.1, NV2t000552001.1, NV2t014254001.1, NV2t007813001.1, NV2t022519001.1, NV2t003540001.1, NV2t003656001.1, NV2t003661001.1, NV2t000500001.1, NV2t000497001.1, NV2t000495001.1, NV2t000498001.1
OG0000068	Hsap	B3GN5_MOUSE	B3GN5_HUMAN
OG0000068	Hsap	B3GT1_MOUSE	B3GT1_HUMAN
OG0000068	Hsap	B3GT2_MOUSE	B3GT2_HUMAN
OG0000068	Hsap	B3GT5_MOUSE	B3GT5_HUMAN
OG0000068	Hsap	B3GL1_MOUSE	B3GL1_HUMAN
OG0000097	Hsap	ZN120_MOUSE, ZN431_MOUSE	ZN556_HUMAN, ZN699_HUMAN, ZNF77_HUMAN, ZN555_HUMAN, ZNF57_HUMAN, ZN709_HUMAN, ZN136_HUMAN, ZN844_HUMAN, ZN861_HUMAN, ZN627_HUMAN, ZN441_HUMAN, ZNF44_HUMAN, ZN823_HUMAN, ZN442_HUMAN, ZN563_HUMAN, ZN443_HUMAN, ZN799_HUMAN, ZN491_HUMAN, ZN763_HUMAN, ZN700_HUMAN, ZN439_HUMAN, ZNF69_HUMAN, ZN440_HUMAN, ZN433_HUMAN, ZN625_HUMAN, ZNF20_HUMAN, ZN788_HUMAN, ZN101_HUMAN, ZN669_HUMAN, ZN124_HUMAN, ZN670_HUMAN, ZN564_HUMAN, ZNF14_HUMAN, ZN878_HUMAN, ZN490_HUMAN, ZN791_HUMAN
OG0000141	Hsap	DEFA4_MOUSE, DFA20_MOUSE, DFA21_MOUSE, DFA22_MOUSE, DEFA5_MOUSE, DFA26_MOUSE, DFA29_MOUSE, DFA31_MOUSE, DFAR2_MOUSE, DAR10_MOUSE, DAR12_MOUSE, DFA16_MOUSE, DEFA6_MOUSE, DFA24_MOUSE, DFA11_MOUSE, DEFA1_MOUSE, DFA25_MOUSE, DFA23_MOUSE, DEFA2_MOUSE, DEFA7_MOUSE, DFA14_MOUSE, DFA10_MOUSE, DEFA3_MOUSE, DEFA8_MOUSE, DFA13_MOUSE, DEFA9_MOUSE, DFA15_MOUSE, DFA17_MOUSE	DEF5_HUMAN, DEF1_HUMAN, DEF3_HUMAN, DEF6_HUMAN, DEF4_HUMAN
OG0000149	Acer	SCNBA_MOUSE, SCNAA_MOUSE, SCN5A_MOUSE, SCN4A_MOUSE, SCN8A_MOUSE, SCN7A_MOUSE, SCN9A_MOUSE, SCN3A_MOUSE, SCN1A_MOUSE, SCN2A_MOUSE	KAK2561011.1, KAK2560867.1, KAK2550803.1, KAK2563045.1
OG0000149	Nvec	SCNBA_MOUSE, SCNAA_MOUSE, SCN5A_MOUSE, SCN4A_MOUSE, SCN8A_MOUSE, SCN7A_MOUSE, SCN9A_MOUSE, SCN3A_MOUSE, SCN1A_MOUSE, SCN2A_MOUSE	NV2t020822001.1, NV2t020110001.1, NV2t020610001.1, NV2t020610002.1, NV2t023334001.1, NV2t023334002.1, NV2t023334003.1, NV2t023334004.1
OG0000149	Hsap	SCNBA_MOUSE	SCNBA_HUMAN
OG0000149	Hsap	SCNAA_MOUSE	SCNAA_HUMAN
OG0000149	Hsap	SCN5A_MOUSE	SCN5A_HUMAN
OG0000149	Hsap	SCN4A_MOUSE	SCN4A_HUMAN
OG0000149	Hsap	SCN8A_MOUSE	SCN8A_HUMAN
OG0000149	Hsap	SCN7A_MOUSE	SCN7A_HUMAN
OG0000149	Hsap	SCN9A_MOUSE	SCN9A_HUMAN
OG0000149	Hsap	SCN3A_MOUSE	SCN3A_HUMAN
OG0000149	Hsap	SCN1A_MOUSE	SCN1A_HUMAN
OG0000149	Hsap	SCN2A_MOUSE	SCN2A_HUMAN
OG0000159	Nvec	CRBB1_MOUSE, CRBB2_MOUSE, CRBB3_MOUSE, CRBA2_MOUSE, CRBA4_MOUSE, CRBA1_MOUSE, CRGN_MOUSE, CRYGS_MOUSE, CRGB_MOUSE, CRGD_MOUSE, CRGE_MOUSE, CRGF_MOUSE, CRGA_MOUSE, CRGC_MOUSE	NV2t010538001.1
OG0000159	Acer	CRBB1_MOUSE, CRBB2_MOUSE, CRBB3_MOUSE, CRBA2_MOUSE, CRBA4_MOUSE, CRBA1_MOUSE, CRGN_MOUSE, CRYGS_MOUSE, CRGB_MOUSE, CRGD_MOUSE, CRGE_MOUSE, CRGF_MOUSE, CRGA_MOUSE, CRGC_MOUSE	KAK2554811.1, KAK2549870.1, KAK2572656.1, KAK2572810.1
OG0000159	Hsap	CRBB1_MOUSE	CRBB1_HUMAN
OG0000159	Hsap	CRBB2_MOUSE	CRBB2_HUMAN
OG0000159	Hsap	CRBB3_MOUSE	CRBB3_HUMAN
OG0000159	Hsap	CRBA2_MOUSE	CRBA2_HUMAN
OG0000159	Hsap	CRBA4_MOUSE	CRBA4_HUMAN
OG0000159	Hsap	CRBA1_MOUSE	CRBA1_HUMAN
OG0000159	Hsap	CRGN_MOUSE	CRGN_HUMAN
OG0000159	Hsap	CRYGS_MOUSE	CRYGS_HUMAN
OG0000159	Hsap	CRGB_MOUSE	CRGB_HUMAN
OG0000159	Hsap	CRGD_MOUSE, CRGE_MOUSE, CRGF_MOUSE	CRGD_HUMAN
OG0000159	Hsap	CRGA_MOUSE	CRGA_HUMAN
OG0000159	Hsap	CRGC_MOUSE	CRGC_HUMAN
OG0000032	Hsap	56B34_MOUSE	O56B4_HUMAN
