gfas_gene_id	tier4_blast_hit	tier4_source	tier4_pct_identity	tier4_evalue	tier4_bitscore
pdam_00008261-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	44.444	2.08e-06	33.5
pdam_00013443-RA	SCRiP_Venom_Amil_SCRiP3_B7X8E2	SCRiP	42.0	2.13e-06	38.9
pdam_00014319-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	30.833	2.49e-06	40.8
pdam_00015143-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	29.67	2.6e-06	40.0
pdam_00015146-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	29.67	3.68e-06	38.1
pdam_00017257-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	25.0	3.87e-06	40.0
pdam_00003035-RA	Neuropep_NP_Hm_GLWamide_prepro_Q86LQ0	Neuropep	29.87	4.65e-06	36.6
pdam_00021283-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	30.337	4.68e-06	39.7
pdam_00015147-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	28.571	5.55e-06	37.4
pdam_00019177-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	32.353	5.67e-06	38.9
pdam_00023462-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	30.841	5.98e-06	39.7
pdam_00012146-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	29.333	6.19e-06	39.3
pdam_00019160-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	33.333	6.83e-06	39.7
pdam_00017151-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	28.283	7.95e-06	38.9
pdam_00015501-RA	SCRiP_Venom_Amil_SCRiP2_B7X8E1	SCRiP	44.444	9.09e-06	37.0
