Orthogroup	Mmus	Gfas
OG0000206	SCNNG_MOUSE, SCNNB_MOUSE, SCNNA_MOUSE	gfas1.m1.4943.m1, gfas1.m1.4940.m1, gfas1.m1.4937.m1, gfas1.m1.4939.m1, gfas1.m1.4944.m1, gfas1.m1.4946.m1, gfas1.m1.13286.m1, gfas1.m1.13288.m1, gfas1.m1.13289.m1, gfas1.m1.7485.m1, gfas1.m1.7488.m1
OG0000207	FH17E_MOUSE, FRIH_MOUSE, FTMT_MOUSE	gfas1.m1.13614.m1, gfas1.m1.13612.m1
OG0000209	CYTF_MOUSE, CYTC_MOUSE, CSTD_MOUSE, CSTL1_MOUSE, CST11_MOUSE, CST9_MOUSE, CST12_MOUSE, CSTD1_MOUSE, CST13_MOUSE, CST8_MOUSE	gfas1.m1.15647.m1
OG0000210	UBP36_MOUSE	gfas1.m1.13422.m1
OG0000211	CD248_MOUSE, TRBM_MOUSE	gfas1.m1.1615.m1, gfas1.m1.3582.m1, gfas1.m1.20212.m1, gfas1.m1.409.m1, gfas1.m1.8530.m1, gfas1.m1.1382.m1, gfas1.m1.3583.m1, gfas1.m1.3132.m1, gfas1.m1.21907.m1, gfas1.m1.19710.m1, gfas1.m1.22254.m1, gfas1.m1.21407.m1, gfas1.m1.22090.m1, gfas1.m1.9799.m1, gfas1.m1.12686.m1, gfas1.m1.9800.m1, gfas1.m1.12934.m1, gfas1.m1.9801.m1, gfas1.m1.23667.m1, gfas1.m1.3431.m1
OG0000212	PK1L2_MOUSE	gfas1.m1.23294.m1, gfas1.m1.7514.m1, gfas1.m1.19382.m1, gfas1.m1.17915.m1, gfas1.m1.17284.m1, gfas1.m1.5115.m1, gfas1.m1.17065.m1, gfas1.m1.15392.m1, gfas1.m1.23494.m1, gfas1.m1.14908.m1, gfas1.m1.15394.m1, gfas1.m1.10560.m1, gfas1.m1.15391.m1, gfas1.m1.10558.m1, gfas1.m1.17066.m1
OG0000213	GAPD1_MOUSE	gfas1.m1.2605.m1, gfas1.m1.10557.m1, gfas1.m1.22820.m1, gfas1.m1.420.m1, gfas1.m1.12304.m1, gfas1.m1.21736.m1, gfas1.m1.7542.m1, gfas1.m1.11984.m1, gfas1.m1.9659.m1, gfas1.m1.6617.m1, gfas1.m1.20312.m1, gfas1.m1.21718.m1, gfas1.m1.11885.m1, gfas1.m1.20748.m1, gfas1.m1.7539.m1, gfas1.m1.2735.m1
OG0000216	TNR5_MOUSE, TNR14_MOUSE, TNR1B_MOUSE, TR11B_MOUSE, TNR22_MOUSE, TNR23_MOUSE, TNR26_MOUSE, CD27_MOUSE, NRADD_MOUSE, TNR16_MOUSE	gfas1.m1.2943.m1, gfas1.m1.6919.m1, gfas1.m1.14748.m1
OG0000218	LIPR1_MOUSE, LIPR2_MOUSE, LIPP_MOUSE	gfas1.m1.20352.m1, gfas1.m1.16058.m1, gfas1.m1.17889.m1, gfas1.m1.5736.m1, gfas1.m1.8015.m1
OG0000219	CNTP1_MOUSE, CNTP2_MOUSE, CTP5A_MOUSE, CTP5B_MOUSE, CTP5C_MOUSE, CNTP4_MOUSE	gfas1.m1.13644.m1, gfas1.m1.8751.m1, gfas1.m1.8755.m1, gfas1.m1.8757.m1
OG0000220	PTHD3_MOUSE	gfas1.m1.7028.m1, gfas1.m1.8270.m1, gfas1.m1.18465.m1, gfas1.m1.18466.m1, gfas1.m1.12959.m1, gfas1.m1.7851.m1, gfas1.m1.8547.m1
OG0000221	HELZ_MOUSE, HELZ2_MOUSE	gfas1.m1.21876.m1, gfas1.m1.12484.m1, gfas1.m1.12482.m1, gfas1.m1.16291.m1, gfas1.m1.12483.m1, gfas1.m1.13094.m1, gfas1.m1.12913.m1, gfas1.m1.16290.m1, gfas1.m1.19618.m1, gfas1.m1.12259.m1, gfas1.m1.19617.m1
OG0000223	COSA1_MOUSE, CO6A6_MOUSE, CO6A5_MOUSE, CO6A4_MOUSE	gfas1.m1.1721.m1, gfas1.m1.1719.m1, gfas1.m1.1720.m1, gfas1.m1.1722.m1, gfas1.m1.8235.m1, gfas1.m1.17461.m1, gfas1.m1.3798.m1
OG0000224	SRCN1_MOUSE, SKT_MOUSE	gfas1.m1.17875.m1
OG0000229	GBRB3_MOUSE, GBRB2_MOUSE, GBRB1_MOUSE	gfas1.m1.13338.m1, gfas1.m1.2931.m1, gfas1.m1.16729.m1, gfas1.m1.14261.m1, gfas1.m1.18934.m1, gfas1.m1.14380.m1, gfas1.m1.16209.m1
OG0000230	GRM6_MOUSE, GRM4_MOUSE, GRM8_MOUSE, GRM7_MOUSE, GRM3_MOUSE, GRM2_MOUSE	gfas1.m1.3927.m1, gfas1.m1.10164.m1, gfas1.m1.19078.m1, gfas1.m1.21056.m1, gfas1.m1.14839.m1
OG0000231	ANX11_MOUSE, ANXA8_MOUSE, ANXA6_MOUSE, ANXA5_MOUSE, ANXA4_MOUSE, ANXA2_MOUSE, ANXA3_MOUSE, ANX10_MOUSE, ANXA7_MOUSE	gfas1.m1.6504.m1
OG0000234	VEGFC_MOUSE, VEGFD_MOUSE, VEGFB_MOUSE, VEGFA_MOUSE, PLGF_MOUSE	gfas1.m1.18717.m1, gfas1.m1.273.m1, gfas1.m1.16519.m1, gfas1.m1.16517.m1, gfas1.m1.271.m1, gfas1.m1.16529.m1
OG0000237	ZNF22_MOUSE, ZN239_MOUSE	gfas1.m1.10031.m1
OG0000242	OPN4_MOUSE	gfas1.m1.258.m1, gfas1.m1.6746.m1, gfas1.m1.6745.m1, gfas1.m1.328.m1, gfas1.m1.331.m1, gfas1.m1.333.m1, gfas1.m1.2625.m1, gfas1.m1.329.m1, gfas1.m1.1642.m1, gfas1.m1.9231.m1, gfas1.m1.798.m1, gfas1.m1.802.m1
OG0000243	S22AF_MOUSE	gfas1.m1.13642.m1, gfas1.m1.19445.m1, gfas1.m1.988.m1, gfas1.m1.17021.m1, gfas1.m1.8582.m1, gfas1.m1.22642.m1, gfas1.m1.17022.m1, gfas1.m1.6106.m1, gfas1.m1.17024.m1, gfas1.m1.17025.m1, gfas1.m1.17019.m1, gfas1.m1.18067.m1, gfas1.m1.18068.m1
OG0000244	RN227_MOUSE, RN224_MOUSE, RN182_MOUSE	gfas1.m1.18948.m1, gfas1.m1.23354.m1, gfas1.m1.15442.m1, gfas1.m1.23357.m1, gfas1.m1.2043.m1, gfas1.m1.19131.m1, gfas1.m1.1001.m1, gfas1.m1.4799.m1, gfas1.m1.4414.m1, gfas1.m1.20957.m1, gfas1.m1.6448.m1
OG0000248	PAP1L_MOUSE, PABP1_MOUSE	gfas1.m1.9081.m1
OG0000249	NRX1A_MOUSE, NRX1B_MOUSE, NRX3B_MOUSE, NRX3A_MOUSE, NRX2B_MOUSE, NRX2A_MOUSE	gfas1.m1.4258.m1, gfas1.m1.6039.m1, gfas1.m1.6040.m1, gfas1.m1.6041.m1
OG0000251	FRPD2_MOUSE, PTN13_MOUSE, FRMD6_MOUSE	gfas1.m1.5549.m1, gfas1.m1.2149.m1
OG0000252	NDUF5_MOUSE	gfas1.m1.4131.m1, gfas1.m1.4121.m1, gfas1.m1.4120.m1, gfas1.m1.6628.m1, gfas1.m1.3763.m1, gfas1.m1.3762.m1, gfas1.m1.4043.m1, gfas1.m1.8601.m1, gfas1.m1.22105.m1, gfas1.m1.9273.m1, gfas1.m1.9516.m1, gfas1.m1.1647.m1
OG0000253	VWDE_MOUSE	gfas1.m1.20733.m1, gfas1.m1.17498.m1, gfas1.m1.8475.m1, gfas1.m1.21294.m1, gfas1.m1.17502.m1, gfas1.m1.4576.m1, gfas1.m1.17501.m1, gfas1.m1.17503.m1, gfas1.m1.4577.m1, gfas1.m1.17918.m1, gfas1.m1.17496.m1
OG0000255	ANR63_MOUSE, PANKY_MOUSE, AN33B_MOUSE	gfas1.m1.17475.m1, gfas1.m1.17472.m1, gfas1.m1.17473.m1, gfas1.m1.15461.m1, gfas1.m1.831.m1, gfas1.m1.2734.m1, gfas1.m1.6520.m1, gfas1.m1.4936.m1, gfas1.m1.17477.m1, gfas1.m1.16783.m1
OG0000256	GGT1_MOUSE	gfas1.m1.16977.m1, gfas1.m1.14731.m1, gfas1.m1.21400.m1, gfas1.m1.13753.m1, gfas1.m1.19126.m1, gfas1.m1.16976.m1, gfas1.m1.19127.m1
OG0000257	FUCO2_MOUSE, FUCO_MOUSE	gfas1.m1.22441.m1, gfas1.m1.7891.m1, gfas1.m1.8203.m1, gfas1.m1.21441.m1, gfas1.m1.7417.m1, gfas1.m1.6556.m1, gfas1.m1.23422.m1, gfas1.m1.6557.m1
OG0000258	SRPX2_MOUSE, SRPX_MOUSE	gfas1.m1.2852.m1, gfas1.m1.2850.m1, gfas1.m1.2851.m1, gfas1.m1.8598.m1, gfas1.m1.23096.m1, gfas1.m1.23129.m1, gfas1.m1.20158.m1, gfas1.m1.1241.m1, gfas1.m1.12627.m1, gfas1.m1.19007.m1, gfas1.m1.17698.m1, gfas1.m1.17697.m1, gfas1.m1.11853.m1, gfas1.m1.1657.m1, gfas1.m1.20030.m1, gfas1.m1.19261.m1
OG0000260	ASTRC_MOUSE, ASTRB_MOUSE, ASTRA_MOUSE	gfas1.m1.15487.m1, gfas1.m1.7871.m1
OG0000261	BCL3_MOUSE, IKBA_MOUSE, IKBE_MOUSE	gfas1.m1.14826.m1, gfas1.m1.20227.m1, gfas1.m1.13886.m1, gfas1.m1.14829.m1
OG0000264	AGRL4_MOUSE	gfas1.m1.13095.m1, gfas1.m1.11949.m1, gfas1.m1.21696.m1, gfas1.m1.22345.m1, gfas1.m1.12689.m1, gfas1.m1.10219.m1, gfas1.m1.20744.m1, gfas1.m1.12907.m1, gfas1.m1.9878.m1, gfas1.m1.5925.m1, gfas1.m1.20851.m1, gfas1.m1.22792.m1, gfas1.m1.9879.m1, gfas1.m1.10824.m1, gfas1.m1.9849.m1, gfas1.m1.10489.m1, gfas1.m1.13110.m1
OG0000265	CSMD3_MOUSE, CSMD1_MOUSE	gfas1.m1.22491.m1, gfas1.m1.15822.m1, gfas1.m1.3306.m1, gfas1.m1.22978.m1
OG0000266	OPSX_MOUSE	gfas1.m1.8401.m1, gfas1.m1.8193.m1, gfas1.m1.8400.m1, gfas1.m1.8404.m1, gfas1.m1.426.m1, gfas1.m1.8619.m1, gfas1.m1.7939.m1, gfas1.m1.19695.m1, gfas1.m1.13349.m1, gfas1.m1.13350.m1, gfas1.m1.5064.m1
OG0000267	TBB4B_MOUSE, TBB4A_MOUSE, TBB5_MOUSE, TBB2A_MOUSE, TBB2B_MOUSE	gfas1.m1.22548.m1, gfas1.m1.22549.m1, gfas1.m1.8519.m1, gfas1.m1.14282.m1, gfas1.m1.10263.m1, gfas1.m1.8521.m1, gfas1.m1.8527.m1
OG0000268	JDP2_MOUSE, ATF3_MOUSE	gfas1.m1.10667.m1, gfas1.m1.18980.m1
OG0000269	RSRC2_MOUSE	gfas1.m1.252.m1, gfas1.m1.251.m1, gfas1.m1.18605.m1, gfas1.m1.1218.m1
OG0000272	MRP4_MOUSE	gfas1.m1.14893.m1, gfas1.m1.9137.m1, gfas1.m1.22707.m1, gfas1.m1.20310.m1, gfas1.m1.21576.m1, gfas1.m1.12478.m1
OG0000275	SRSF5_MOUSE, SRSF6_MOUSE, SRSF4_MOUSE	gfas1.m1.8133.m1, gfas1.m1.16216.m1, gfas1.m1.226.m1, gfas1.m1.228.m1, gfas1.m1.3209.m1, gfas1.m1.16215.m1
OG0000276	ARSB_MOUSE, ARSI_MOUSE, ARSJ_MOUSE	gfas1.m1.326.m1, gfas1.m1.16391.m1, gfas1.m1.16732.m1, gfas1.m1.700.m1, gfas1.m1.17038.m1, gfas1.m1.12984.m1, gfas1.m1.19107.m1, gfas1.m1.6450.m1, gfas1.m1.20276.m1, gfas1.m1.8638.m1, gfas1.m1.16028.m1, gfas1.m1.16036.m1, gfas1.m1.16034.m1
OG0000277	KLRA2_MOUSE, KLRA7_MOUSE, KLRA1_MOUSE, KLRA4_MOUSE, KLRA5_MOUSE, KLRA3_MOUSE, KLRA8_MOUSE, KLRA6_MOUSE, CLC7A_MOUSE, CLC5A_MOUSE, KLRB1_MOUSE, KLRBF_MOUSE, KLRBA_MOUSE, KLRBC_MOUSE, KRBBA_MOUSE, KRBBB_MOUSE	gfas1.m1.20580.m1
OG0000279	DHRS9_MOUSE, RDH5_MOUSE, DR9C7_MOUSE, H17B6_MOUSE, RDH16_MOUSE, RDH7_MOUSE	gfas1.m1.4184.m1, gfas1.m1.2484.m1, gfas1.m1.2485.m1, gfas1.m1.21915.m1, gfas1.m1.2486.m1, gfas1.m1.2487.m1
OG0000280	TRAF4_MOUSE	gfas1.m1.4699.m1, gfas1.m1.10227.m1, gfas1.m1.859.m1, gfas1.m1.7922.m1, gfas1.m1.13494.m1, gfas1.m1.13495.m1, gfas1.m1.13492.m1, gfas1.m1.13493.m1, gfas1.m1.13505.m1, gfas1.m1.19908.m1, gfas1.m1.7864.m1, gfas1.m1.13496.m1, gfas1.m1.13497.m1, gfas1.m1.4264.m1, gfas1.m1.4267.m1
OG0000281	VIAAT_MOUSE	gfas1.m1.12302.m1, gfas1.m1.12303.m1, gfas1.m1.20750.m1, gfas1.m1.3836.m1, gfas1.m1.15522.m1, gfas1.m1.15523.m1, gfas1.m1.15518.m1, gfas1.m1.15516.m1, gfas1.m1.324.m1, gfas1.m1.21774.m1, gfas1.m1.8232.m1, gfas1.m1.8229.m1, gfas1.m1.20050.m1
OG0000282	NALD2_MOUSE, FOLH1_MOUSE	gfas1.m1.11277.m1, gfas1.m1.17252.m1, gfas1.m1.14664.m1, gfas1.m1.4909.m1, gfas1.m1.4912.m1, gfas1.m1.4913.m1, gfas1.m1.21890.m1
OG0000283	CKLF8_MOUSE, PLLP_MOUSE, CKLF7_MOUSE, CKLF6_MOUSE, CKLF4_MOUSE	gfas1.m1.19657.m1, gfas1.m1.9359.m1, gfas1.m1.9360.m1, gfas1.m1.10749.m1
OG0000284	REG4_MOUSE, LIT1_MOUSE, LIT2_MOUSE, REG3A_MOUSE, REG3B_MOUSE, REG3G_MOUSE	gfas1.m1.23059.m1, gfas1.m1.19482.m1, gfas1.m1.23911.m1, gfas1.m1.20724.m1, gfas1.m1.12050.m1, gfas1.m1.22655.m1, gfas1.m1.16816.m1
OG0000285	MYL6_MOUSE, MYL6B_MOUSE, MYL1_MOUSE, MYL3_MOUSE, MYL4_MOUSE	gfas1.m1.3909.m1, gfas1.m1.4012.m1, gfas1.m1.16128.m1, gfas1.m1.18786.m1
OG0000286	DLL4_MOUSE, DLL1_MOUSE	gfas1.m1.3698.m1
OG0000287	ATP4A_MOUSE, AT12A_MOUSE, AT1A3_MOUSE, AT1A1_MOUSE, AT1A4_MOUSE, AT1A2_MOUSE	gfas1.m1.3507.m1, gfas1.m1.3511.m1
OG0000288	PDE4C_MOUSE, PDE4D_MOUSE, PDE4A_MOUSE	gfas1.m1.8436.m1
OG0000294	ACTBL_MOUSE, ACTB_MOUSE, ACTG_MOUSE	gfas1.m1.3440.m1, gfas1.m1.18568.m1, gfas1.m1.3197.m1, gfas1.m1.23241.m1, gfas1.m1.18565.m1
OG0000295	TRAF1_MOUSE, TRAF2_MOUSE	gfas1.m1.1871.m1, gfas1.m1.11879.m1, gfas1.m1.7615.m1, gfas1.m1.23709.m1, gfas1.m1.23710.m1, gfas1.m1.7225.m1, gfas1.m1.8641.m1, gfas1.m1.8643.m1, gfas1.m1.7224.m1, gfas1.m1.7226.m1, gfas1.m1.20533.m1, gfas1.m1.8642.m1, gfas1.m1.1874.m1, gfas1.m1.18270.m1, gfas1.m1.20540.m1
OG0000296	SC5AB_MOUSE, SC5A2_MOUSE, SC5A1_MOUSE, S5A4B_MOUSE, S5A4A_MOUSE, SC5AA_MOUSE, SC5A9_MOUSE	gfas1.m1.15914.m1, gfas1.m1.15909.m1, gfas1.m1.15911.m1, gfas1.m1.15910.m1
OG0000297	EVA1C_MOUSE, EVA1A_MOUSE	gfas1.m1.3087.m1, gfas1.m1.7095.m1, gfas1.m1.3101.m1, gfas1.m1.3105.m1, gfas1.m1.3103.m1, gfas1.m1.3092.m1
OG0000301	SRSF3_MOUSE	gfas1.m1.5293.m1, gfas1.m1.14764.m1, gfas1.m1.14773.m1, gfas1.m1.1968.m1
OG0000304	MBNL3_MOUSE, MBNL1_MOUSE, MBNL2_MOUSE	gfas1.m1.1211.m1
OG0000305	CAHM5_MOUSE, CAHM6_MOUSE, CAHM1_MOUSE, CAHM3_MOUSE, CAHM2_MOUSE, CAHM4_MOUSE	gfas1.m1.8275.m1, gfas1.m1.4233.m1, gfas1.m1.9633.m1, gfas1.m1.3123.m1
OG0000306	FR1L5_MOUSE, DYSF_MOUSE, MYOF_MOUSE	gfas1.m1.15616.m1, gfas1.m1.15617.m1, gfas1.m1.2399.m1, gfas1.m1.2401.m1, gfas1.m1.2396.m1, gfas1.m1.12048.m1
OG0000307	SFTPD_MOUSE, SFTPA_MOUSE, MBL1_MOUSE, MBL2_MOUSE, CLC11_MOUSE, CLC3A_MOUSE, TETN_MOUSE	gfas1.m1.15697.m1, gfas1.m1.7144.m1, gfas1.m1.3297.m1
OG0000309	ZO3_MOUSE, ZO1_MOUSE, ZO2_MOUSE	gfas1.m1.17213.m1
OG0000316	LIN7B_MOUSE, LIN7C_MOUSE	gfas1.m1.21828.m1, gfas1.m1.16014.m1
OG0000317	TYRO_MOUSE, TYRP1_MOUSE, TYRP2_MOUSE	gfas1.m1.10196.m1, gfas1.m1.11470.m1, gfas1.m1.4817.m1, gfas1.m1.17318.m1, gfas1.m1.17321.m1, gfas1.m1.5963.m1, gfas1.m1.16922.m1, gfas1.m1.17509.m1, gfas1.m1.15024.m1
OG0000320	DEDD_MOUSE, DEDD2_MOUSE	gfas1.m1.2617.m1, gfas1.m1.14556.m1, gfas1.m1.9271.m1, gfas1.m1.12814.m1, gfas1.m1.8464.m1, gfas1.m1.12652.m1, gfas1.m1.7992.m1, gfas1.m1.9758.m1, gfas1.m1.10160.m1, gfas1.m1.17039.m1, gfas1.m1.213.m1, gfas1.m1.23849.m1, gfas1.m1.8837.m1, gfas1.m1.22225.m1, gfas1.m1.9272.m1
OG0000321	CDN2C_MOUSE, CDN2B_MOUSE, CDN2A_MOUSE, CDN2D_MOUSE	gfas1.m1.18653.m1, gfas1.m1.17856.m1, gfas1.m1.18929.m1, gfas1.m1.15537.m1, gfas1.m1.3489.m1, gfas1.m1.13681.m1
OG0000323	OAS1A_MOUSE, OAS1C_MOUSE, OAS1D_MOUSE, OAS1B_MOUSE, OAS2_MOUSE, OAS3_MOUSE, OASL2_MOUSE, OASL1_MOUSE	gfas1.m1.10610.m1, gfas1.m1.2839.m1, gfas1.m1.11576.m1, gfas1.m1.10930.m1
OG0000324	WFDC2_MOUSE	gfas1.m1.16138.m1
OG0000325	EAA2_MOUSE, EAA3_MOUSE, EAA4_MOUSE, EAA1_MOUSE	gfas1.m1.19181.m1, gfas1.m1.20772.m1, gfas1.m1.19180.m1, gfas1.m1.7293.m1, gfas1.m1.17102.m1
OG0000326	BAT1_MOUSE, LAT1_MOUSE	gfas1.m1.2359.m1, gfas1.m1.2360.m1, gfas1.m1.2351.m1
OG0000328	TAGL_MOUSE, TAGL3_MOUSE, TAGL2_MOUSE	gfas1.m1.6368.m1, gfas1.m1.6369.m1, gfas1.m1.6370.m1
OG0000329	S28A3_MOUSE, S28A1_MOUSE, S28A2_MOUSE	gfas1.m1.5463.m1, gfas1.m1.11761.m1, gfas1.m1.11760.m1
OG0000331	CNTN1_MOUSE, CNTN2_MOUSE, CNTN5_MOUSE, CNTN4_MOUSE, CNTN6_MOUSE, CNTN3_MOUSE	gfas1.m1.9735.m1
OG0000332	TGM1_MOUSE, TGM4_MOUSE	gfas1.m1.2244.m1, gfas1.m1.2236.m1, gfas1.m1.2241.m1
OG0000333	ACOT4_MOUSE, ACOT6_MOUSE, ACOT3_MOUSE, ACOT5_MOUSE, ACOT1_MOUSE, ACOT2_MOUSE, ACNT1_MOUSE, ACNT2_MOUSE, BAAT_MOUSE	gfas1.m1.81.m1, gfas1.m1.23755.m1, gfas1.m1.11991.m1
OG0000336	TMOD2_MOUSE, TMOD3_MOUSE, TMOD4_MOUSE, TMOD1_MOUSE	gfas1.m1.17212.m1
OG0000337	B4GT6_MOUSE, B4GT5_MOUSE, B4GT2_MOUSE, B4GT1_MOUSE, B4GT3_MOUSE, B4GT4_MOUSE	gfas1.m1.16039.m1
OG0000338	MEIS3_MOUSE, MEIS2_MOUSE, MEIS1_MOUSE	gfas1.m1.14916.m1
OG0000344	CP2U1_MOUSE, CP2R1_MOUSE, CP2J5_MOUSE, CP2J6_MOUSE	gfas1.m1.10657.m1, gfas1.m1.14749.m1, gfas1.m1.13877.m1, gfas1.m1.149.m1, gfas1.m1.154.m1, gfas1.m1.20541.m1, gfas1.m1.21492.m1, gfas1.m1.1148.m1
OG0000345	PTPRA_MOUSE, PTPRE_MOUSE	gfas1.m1.2057.m1, gfas1.m1.17457.m1, gfas1.m1.20657.m1, gfas1.m1.552.m1, gfas1.m1.5249.m1, gfas1.m1.5252.m1
OG0000346	EPPI_MOUSE, TFPI2_MOUSE	gfas1.m1.1079.m1, gfas1.m1.6872.m1
OG0000346	WAP_MOUSE, SLPI_MOUSE, WFD18_MOUSE, WFDC3_MOUSE	gfas1.m1.454.m1
OG0000347	PERT_MOUSE, PERL_MOUSE, PERE_MOUSE, PERM_MOUSE	gfas1.m1.16123.m1, gfas1.m1.2383.m1, gfas1.m1.2369.m1, gfas1.m1.2384.m1, gfas1.m1.9526.m1, gfas1.m1.2381.m1, gfas1.m1.2377.m1
OG0000348	FBLN7_MOUSE	gfas1.m1.8045.m1, gfas1.m1.20530.m1, gfas1.m1.22478.m1, gfas1.m1.8478.m1, gfas1.m1.20117.m1, gfas1.m1.17495.m1, gfas1.m1.3890.m1, gfas1.m1.7522.m1, gfas1.m1.23140.m1, gfas1.m1.22828.m1, gfas1.m1.5401.m1, gfas1.m1.18953.m1
OG0000350	TRPA1_MOUSE	gfas1.m1.6633.m1, gfas1.m1.9162.m1, gfas1.m1.16760.m1, gfas1.m1.21190.m1, gfas1.m1.18197.m1, gfas1.m1.18512.m1, gfas1.m1.18511.m1, gfas1.m1.18513.m1
OG0000355	ITA9_MOUSE, ITA4_MOUSE, ITA2B_MOUSE, ITA8_MOUSE, ITA5_MOUSE, ITAV_MOUSE	gfas1.m1.9018.m1, gfas1.m1.9016.m1
OG0000356	HSPB2_MOUSE, HSPB1_MOUSE, HSPB6_MOUSE, CRYAA_MOUSE, CRYAB_MOUSE	gfas1.m1.18442.m1, gfas1.m1.18366.m1, gfas1.m1.6424.m1, gfas1.m1.4170.m1, gfas1.m1.4166.m1
OG0000357	HES2_MOUSE, HES1_MOUSE	gfas1.m1.6663.m1, gfas1.m1.8339.m1, gfas1.m1.7696.m1, gfas1.m1.7698.m1, gfas1.m1.8964.m1, gfas1.m1.7695.m1
OG0000359	SPAT6_MOUSE, SPA6L_MOUSE	gfas1.m1.19247.m1, gfas1.m1.5363.m1
OG0000360	LRC3B_MOUSE, LRRC3_MOUSE, ALS_MOUSE	gfas1.m1.3788.m1
OG0000361	JKIP3_MOUSE, JKIP1_MOUSE	gfas1.m1.17478.m1
OG0000362	BPIFC_MOUSE, LBP_MOUSE, BPI_MOUSE	gfas1.m1.18736.m1, gfas1.m1.22391.m1, gfas1.m1.7631.m1
OG0000364	PTBP2_MOUSE, PTBP3_MOUSE, PTBP1_MOUSE	gfas1.m1.19949.m1
OG0000365	RBMS2_MOUSE, RBMS1_MOUSE, RBMS3_MOUSE	gfas1.m1.3991.m1
OG0000366	NCAM2_MOUSE, NCAM1_MOUSE	gfas1.m1.4007.m1
OG0000372	CD53_MOUSE, TSN9_MOUSE, TSN4_MOUSE	gfas1.m1.6230.m1, gfas1.m1.13405.m1, gfas1.m1.15506.m1
OG0000373	NGB_MOUSE	gfas1.m1.416.m1, gfas1.m1.6531.m1, gfas1.m1.419.m1, gfas1.m1.413.m1, gfas1.m1.16853.m1, gfas1.m1.16962.m1
OG0000374	BARH1_MOUSE, BARH2_MOUSE	gfas1.m1.11508.m1, gfas1.m1.14376.m1, gfas1.m1.16381.m1, gfas1.m1.16375.m1, gfas1.m1.16379.m1, gfas1.m1.16372.m1, gfas1.m1.16373.m1
OG0000375	PAR14_MOUSE	gfas1.m1.3075.m1, gfas1.m1.16060.m1, gfas1.m1.295.m1, gfas1.m1.22383.m1, gfas1.m1.296.m1, gfas1.m1.14127.m1, gfas1.m1.15702.m1, gfas1.m1.7822.m1, gfas1.m1.23562.m1, gfas1.m1.627.m1, gfas1.m1.629.m1, gfas1.m1.628.m1, gfas1.m1.11524.m1
OG0000377	S4A7_MOUSE, S4A10_MOUSE, S4A8_MOUSE, B3A4_MOUSE, S4A5_MOUSE, S4A4_MOUSE	gfas1.m1.13173.m1
OG0000378	SCRB2_MOUSE, SCRB1_MOUSE	gfas1.m1.14392.m1, gfas1.m1.19789.m1, gfas1.m1.14393.m1, gfas1.m1.9855.m1, gfas1.m1.9858.m1
OG0000379	CHSTB_MOUSE	gfas1.m1.15012.m1, gfas1.m1.23045.m1, gfas1.m1.14440.m1, gfas1.m1.5503.m1, gfas1.m1.2547.m1, gfas1.m1.2550.m1, gfas1.m1.2548.m1, gfas1.m1.914.m1, gfas1.m1.12880.m1, gfas1.m1.6274.m1, gfas1.m1.2250.m1, gfas1.m1.1238.m1, gfas1.m1.1239.m1
OG0000382	FRRS1_MOUSE	gfas1.m1.9868.m1, gfas1.m1.10993.m1, gfas1.m1.3651.m1, gfas1.m1.16722.m1, gfas1.m1.22206.m1, gfas1.m1.3648.m1, gfas1.m1.2122.m1, gfas1.m1.3652.m1, gfas1.m1.3649.m1
OG0000383	DERM_MOUSE	gfas1.m1.19824.m1, gfas1.m1.19822.m1, gfas1.m1.5118.m1, gfas1.m1.16924.m1, gfas1.m1.7536.m1, gfas1.m1.15550.m1, gfas1.m1.7533.m1, gfas1.m1.7535.m1, gfas1.m1.19823.m1
OG0000384	MIP_MOUSE, AQP6_MOUSE, AQP5_MOUSE, AQP2_MOUSE	gfas1.m1.951.m1, gfas1.m1.952.m1, gfas1.m1.954.m1
OG0000385	TXNIP_MOUSE, ARRD4_MOUSE, ARRD3_MOUSE, ARRD2_MOUSE	gfas1.m1.14266.m1, gfas1.m1.2508.m1, gfas1.m1.5043.m1, gfas1.m1.13146.m1, gfas1.m1.14994.m1, gfas1.m1.14992.m1, gfas1.m1.14993.m1
OG0000386	PCFT_MOUSE	gfas1.m1.13503.m1, gfas1.m1.18676.m1, gfas1.m1.6768.m1, gfas1.m1.14087.m1
OG0000387	GPSM1_MOUSE, GPSM2_MOUSE	gfas1.m1.4814.m1, gfas1.m1.9688.m1, gfas1.m1.9691.m1, gfas1.m1.12310.m1, gfas1.m1.10039.m1, gfas1.m1.12308.m1, gfas1.m1.10038.m1, gfas1.m1.13440.m1
OG0000388	5HT4R_MOUSE	gfas1.m1.8590.m1, gfas1.m1.9891.m1, gfas1.m1.2651.m1, gfas1.m1.2464.m1, gfas1.m1.8654.m1, gfas1.m1.8653.m1, gfas1.m1.6102.m1, gfas1.m1.17028.m1, gfas1.m1.18818.m1, gfas1.m1.5073.m1, gfas1.m1.20360.m1
OG0000389	NCOA5_MOUSE, RALYL_MOUSE, RALY_MOUSE, HNRPC_MOUSE	gfas1.m1.5165.m1
OG0000390	AL1B1_MOUSE, ALDH2_MOUSE, AL1A1_MOUSE, AL1A7_MOUSE, AL1A3_MOUSE, AL1A2_MOUSE	gfas1.m1.20716.m1, gfas1.m1.10349.m1, gfas1.m1.21035.m1
