Orthogroup	Mmus	Nvec
OG0000023	FCN2_MOUSE, FCN1_MOUSE	NV2t017096001.1, NV2t017096002.1, NV2t006014001.1, NV2t006014002.1, NV2t019779002.1, NV2t019779001.1, NV2t022609001.1, NV2t022609002.1, NV2t022610001.1, NV2t025469001.1, NV2t025526001.1
OG0000024	MAMC2_MOUSE	NV2t023644001.1, NV2t014862004.1, NV2t016729001.1, NV2t016730001.1, NV2t015011001.1, NV2t023859001.1, NV2t023064001.1, NV2t023064002.1, NV2t013745005.1, NV2t013749001.1, NV2t021684001.1, NV2t021687001.1, NV2t013368001.1, NV2t003279001.1, NV2t021385001.1, NV2t011270001.1, NV2t020640001.1, NV2t025961001.1, NV2t020641002.1, NV2t020641003.1, NV2t020641005.1, NV2t020641004.1, NV2t020641001.1, NV2t016035001.1, NV2t016035002.1, NV2t016036001.1, NV2t017022001.1, NV2t015925001.1, NV2t015925002.1, NV2t008948001.1, NV2t015924001.1, NV2t017021001.1, NV2t016574001.1, NV2t023642001.1, NV2t016080001.1, NV2t016077001.1, NV2t006019001.1, NV2t003953001.1
OG0000028	KLK14_MOUSE, KLK4_MOUSE, KLK7_MOUSE, KLK11_MOUSE, KLK8_MOUSE, TRY2_MOUSE, TRY4_MOUSE, TRY5_MOUSE, TRYB2_MOUSE, TRYB1_MOUSE, PRS28_MOUSE, PRS29_MOUSE	NV2t013137001.1, NV2t024582001.1, NV2t017651001.1, NV2t017651002.1, NV2t010261001.1, NV2t013630001.1, NV2t015018001.1, NV2t004021001.1, NV2t004021002.1, NV2t004021003.1, NV2t014863001.1, NV2t013966001.1, NV2t014330001.1, NV2t017852002.1, NV2t017852001.1, NV2t017852003.1, NV2t017852004.1
OG0000029	RN183_MOUSE	NV2t019652001.1, NV2t018358001.1, NV2t016955001.1, NV2t024542001.1, NV2t025141001.1
OG0000030	PCDA9_MOUSE, PCDA4_MOUSE, PCDA7_MOUSE, PCDAA_MOUSE, PCDBI_MOUSE, PCDBE_MOUSE, PCDB6_MOUSE, PCDB8_MOUSE, PCDG4_MOUSE, PCD19_MOUSE	NV2t001711001.1
OG0000032	ANGP1_MOUSE, ANGP2_MOUSE, ANGP4_MOUSE, FGL1_MOUSE, ANGL7_MOUSE	NV2t005119001.1, NV2t009101001.1, NV2t022115001.1, NV2t003941001.1, NV2t006207001.1
OG0000033	ACHA7_MOUSE, ACHB2_MOUSE, ACHB4_MOUSE, ACHA_MOUSE, ACHA3_MOUSE, ACHA6_MOUSE, ACHA4_MOUSE, ACHA2_MOUSE, ACHB3_MOUSE, ACHA5_MOUSE	NV2t024173001.1, NV2t023851001.1, NV2t023852001.1, NV2t013576001.1, NV2t013576002.1, NV2t008022001.1, NV2t013313001.1, NV2t023573001.1, NV2t023338001.1, NV2t023339001.1, NV2t000753001.1, NV2t023340001.1, NV2t010263001.1, NV2t010263002.1, NV2t010263003.1, NV2t010263004.1, NV2t010262002.1, NV2t010262003.1, NV2t010809001.1, NV2t008714001.1, NV2t008714002.1, NV2t009095001.1, NV2t009096001.1, NV2t009096002.1, NV2t023096001.1
OG0000037	CYRIA_MOUSE, CYRIB_MOUSE	NV2t015878001.1, NV2t009253001.1, NV2t020729001.1, NV2t011666001.1
OG0000039	GALR1_MOUSE, GALR3_MOUSE, GALR2_MOUSE	NV2t010075001.1, NV2t010075002.1, NV2t010076001.1, NV2t010076002.1, NV2t024983001.1, NV2t022136001.1, NV2t021302002.1, NV2t021302001.1, NV2t022132001.1, NV2t022132002.1, NV2t021659001.1, NV2t021659002.1, NV2t021659003.1, NV2t011164002.1, NV2t011164001.1, NV2t011164003.1, NV2t003314001.1, NV2t003314002.1, NV2t003314003.1, NV2t003314004.1, NV2t000620001.1, NV2t010405001.1, NV2t009673001.1, NV2t001942001.1, NV2t000511001.1
OG0000040	MMP17_MOUSE, MMP25_MOUSE, MMP11_MOUSE, MMP2_MOUSE, MMP9_MOUSE, MMP13_MOUSE, MMP20_MOUSE, MMP7_MOUSE, MMP8_MOUSE, MMP1A_MOUSE, MMP1B_MOUSE, MMP3_MOUSE, MMP10_MOUSE, MMP12_MOUSE	NV2t020474001.1, NV2t020474002.1, NV2t020475001.1, NV2t014297001.1, NV2t014820001.1, NV2t008375001.1, NV2t008375002.1, NV2t010833001.1, NV2t010833003.1, NV2t010833002.1, NV2t019316002.1, NV2t019316003.1, NV2t001647001.1, NV2t003581001.1, NV2t003582001.1, NV2t008027001.1, NV2t008027002.1
OG0000041	B3GT1_MOUSE, B3GT2_MOUSE, B3GT5_MOUSE, B3GL1_MOUSE, B3GN2_MOUSE, B3GN6_MOUSE, B3GN3_MOUSE, B3GN7_MOUSE, B3GN4_MOUSE, B3GN9_MOUSE	NV2t003662001.1, NV2t003540001.1, NV2t014254001.1, NV2t007073001.1, NV2t021626001.1, NV2t021463001.1, NV2t021466001.1, NV2t021464001.1, NV2t024665001.1, NV2t008559001.1, NV2t008559002.1, NV2t008559003.1, NV2t004393001.1, NV2t000552001.1, NV2t000500001.1, NV2t000497001.1, NV2t000495001.1, NV2t000498001.1
OG0000042	LY6L_MOUSE, LY6H_MOUSE, LY6F_MOUSE, LY6A_MOUSE, LY6I_MOUSE, LY6C1_MOUSE, LY6C2_MOUSE, LY6G_MOUSE	NV2t013762001.1, NV2t013593001.1, NV2t013593002.1, NV2t013592001.1, NV2t013592002.1, NV2t013592003.1, NV2t007377001.1, NV2t007377002.1, NV2t005159001.1, NV2t017913001.1, NV2t011769001.1, NV2t021376001.1, NV2t016988001.1, NV2t023072001.1, NV2t015556001.1, NV2t002034001.1, NV2t014378001.1, NV2t000768001.1, NV2t000769001.1, NV2t014260001.1, NV2t015290001.1, NV2t013626001.1, NV2t018229001.1
OG0000045	MTR1L_MOUSE, MTR1A_MOUSE, MTR1B_MOUSE	NV2t018782001.1, NV2t006395001.1, NV2t020327001.1, NV2t009759001.1, NV2t019842001.1, NV2t014321001.1, NV2t014321002.1, NV2t005634001.1, NV2t005685001.1, NV2t006023001.1, NV2t003658001.1, NV2t003789001.1
OG0000046	CO3_MOUSE	NV2t014519001.1, NV2t014519002.1, NV2t022606001.1, NV2t025597001.1, NV2t008971001.1, NV2t019663001.1, NV2t023551001.1, NV2t012321001.1, NV2t013374002.1, NV2t025764001.1, NV2t025764002.1, NV2t016850002.1, NV2t014873001.1, NV2t014870001.1, NV2t015751002.1, NV2t013374003.1, NV2t015751001.1, NV2t021447001.1, NV2t013374001.1, NV2t003281001.1, NV2t003281007.1, NV2t008616001.1, NV2t025347006.1, NV2t019663002.1, NV2t005823002.1, NV2t023551002.1, NV2t025597002.1, NV2t005823001.1, NV2t003281003.1, NV2t009854001.1, NV2t003281004.1, NV2t003281006.1, NV2t003281005.1, NV2t023860001.1, NV2t016850001.1, NV2t011284001.1, NV2t005135001.1, NV2t003281002.1, NV2t012322001.1, NV2t016185001.1, NV2t018178001.1, NV2t025347005.1, NV2t021162001.1, NV2t021162002.1, NV2t007429001.1, NV2t025347001.1, NV2t025347003.1, NV2t025347004.1, NV2t025347002.1
OG0000049	STOM_MOUSE	NV2t024666001.1, NV2t025006001.1, NV2t025006002.1, NV2t025006003.1, NV2t025005001.1, NV2t025005002.1, NV2t025004001.1, NV2t012960002.1, NV2t000233001.1, NV2t015623002.1, NV2t024667001.1
OG0000051	KLH11_MOUSE, KLH38_MOUSE	NV2t001595001.1, NV2t007026001.1, NV2t007022001.1, NV2t007024001.1, NV2t009615001.1, NV2t009696001.1, NV2t001271001.1
OG0000052	CK5P3_MOUSE	NV2t007397001.1, NV2t020159001.1, NV2t010036001.1, NV2t010307001.1, NV2t024861001.1, NV2t021036001.1, NV2t011343001.1, NV2t009822001.1, NV2t014985001.1, NV2t021730001.1, NV2t025243001.1, NV2t010751001.1, NV2t006984001.1, NV2t014832001.1, NV2t011501001.1
OG0000053	CP3AB_MOUSE, CP341_MOUSE, CP3AG_MOUSE, CP3AP_MOUSE, CP3AD_MOUSE	NV2t024607001.1, NV2t024603001.1, NV2t024603002.1, NV2t024608002.1, NV2t024608003.1, NV2t024608001.1, NV2t024608004.1, NV2t006409001.1, NV2t021725001.1, NV2t015547001.1, NV2t015547003.1, NV2t015547002.1, NV2t015547004.1, NV2t008460001.1, NV2t008459002.1, NV2t008459001.1, NV2t008459003.1, NV2t006667002.1, NV2t006667003.1, NV2t006667001.1, NV2t006667004.1, NV2t006668001.1, NV2t006668002.1, NV2t006114001.1
OG0000054	HIUH_MOUSE	NV2t010165001.1, NV2t003650001.1, NV2t003650003.1
OG0000056	SRB4D_MOUSE, CD5L_MOUSE, DMBT1_MOUSE, C163A_MOUSE	NV2t022574001.1, NV2t012747001.1, NV2t012749001.1, NV2t012752001.1, NV2t012753002.1, NV2t017205001.1, NV2t017205002.1, NV2t017357001.1, NV2t017357002.1
OG0000058	AA2AR_MOUSE, AA2BR_MOUSE, AA1R_MOUSE, AA3R_MOUSE, DRD1_MOUSE, DRD5_MOUSE, ADA1A_MOUSE, ADA1B_MOUSE, ADA1D_MOUSE, ADRB2_MOUSE, ADRB1_MOUSE, ADRB3_MOUSE	NV2t009968001.1, NV2t009968002.1, NV2t009968003.1, NV2t012100001.1, NV2t012923001.1, NV2t018770001.1, NV2t005346001.1, NV2t005347001.1, NV2t005458001.1, NV2t011392001.1, NV2t005202001.1, NV2t005202004.1, NV2t005202002.1, NV2t005202003.1, NV2t013641001.1, NV2t013641002.1, NV2t005394001.1
OG0000060	PIDD1_MOUSE	NV2t002867001.1, NV2t002870001.1, NV2t010871001.1
OG0000061	YKT6_MOUSE	NV2t011158001.1, NV2t024997001.1, NV2t017587001.1, NV2t017587002.1
OG0000063	H2B1A_MOUSE, H2B1P_MOUSE, H2B3A_MOUSE, H2B3B_MOUSE, H2B1K_MOUSE, H2B1H_MOUSE, H2B1C_MOUSE, H2B2B_MOUSE, H2B1M_MOUSE, H2B1F_MOUSE, H2B2E_MOUSE	NV2t008108001.1, NV2t008108002.1, NV2t021894001.1, NV2t007148001.1, NV2t004453001.1, NV2t020250001.1
OG0000065	ANR26_MOUSE, ANKR7_MOUSE	NV2t000773006.1, NV2t000773005.1, NV2t000773004.1, NV2t000773001.1, NV2t000773002.1, NV2t000773003.1
OG0000066	MOT8_MOUSE, MOT10_MOUSE, MOT6_MOUSE, MOT1_MOUSE, MOT2_MOUSE, MOT3_MOUSE, MOT4_MOUSE	NV2t021351001.1, NV2t021351002.1, NV2t021351003.1, NV2t022187001.1, NV2t022510001.1, NV2t008361001.1, NV2t017306001.1, NV2t005371001.1, NV2t005371002.1, NV2t005371003.1, NV2t014365001.1, NV2t015512001.1, NV2t016355001.1, NV2t016359001.1, NV2t002297001.1
OG0000067	HELB_MOUSE	NV2t008620001.1, NV2t013584001.1, NV2t018745001.1, NV2t001124001.1
OG0000070	CGT_MOUSE, UDB17_MOUSE, UD2A1_MOUSE, UD2A2_MOUSE, UD2A3_MOUSE, UD11_MOUSE, UD12_MOUSE, UD16_MOUSE, UD17_MOUSE, UD19_MOUSE	NV2t011589001.1, NV2t011589002.1, NV2t011589003.1, NV2t025539001.1, NV2t004709001.1, NV2t015485001.1
OG0000071	NAL10_MOUSE, NLRP3_MOUSE, NAL12_MOUSE, RINI_MOUSE, NLRP6_MOUSE, NLR1A_MOUSE, NL1B2_MOUSE, NL1B3_MOUSE, NL1B4_MOUSE, NL1B1_MOUSE, NL1B5_MOUSE, NALP5_MOUSE, NAL4A_MOUSE, NAL4C_MOUSE, NAL4E_MOUSE, NAL4F_MOUSE, NAL4B_MOUSE, NLR9B_MOUSE, NLR9A_MOUSE, NLR9C_MOUSE, NAL14_MOUSE	NV2t020152001.1
OG0000075	CTHR1_MOUSE	NV2t005041001.1, NV2t002667001.1, NV2t009852001.1, NV2t020336001.1
OG0000076	HORN_MOUSE, FILA2_MOUSE, S100B_MOUSE, S10A1_MOUSE, S10A5_MOUSE, S10A3_MOUSE, S10A6_MOUSE, S10A4_MOUSE, S10AA_MOUSE, S10AB_MOUSE, S10AD_MOUSE, S10A9_MOUSE, S10A8_MOUSE, S115A_MOUSE, S100G_MOUSE, RPTN_MOUSE	NV2t010336001.1
OG0000077	HRH2_MOUSE	NV2t000139002.1, NV2t005982001.1, NV2t017365001.1, NV2t018515001.1, NV2t018530001.1, NV2t009418001.1, NV2t017795001.1, NV2t018127001.1, NV2t017813001.1, NV2t017818001.1, NV2t017818002.1, NV2t017818003.1, NV2t017818005.1, NV2t017818004.1, NV2t017818006.1, NV2t017818007.1, NV2t017817001.1, NV2t017679001.1, NV2t021256001.1, NV2t018362001.1, NV2t021261001.1, NV2t021975001.1
OG0000078	MATN3_MOUSE, MATN1_MOUSE, MATN4_MOUSE, MATN2_MOUSE, COCH_MOUSE, VITRN_MOUSE	NV2t008413001.1, NV2t001047001.1, NV2t001047002.1, NV2t001047003.1, NV2t001044001.1, NV2t001045001.1, NV2t001045002.1, NV2t000975001.1, NV2t008609001.1, NV2t008614001.1, NV2t008618001.1, NV2t009760001.1, NV2t003005001.1, NV2t015846001.1
OG0000081	K1958_MOUSE	NV2t025173001.1, NV2t025283001.1
OG0000082	AGRD1_MOUSE	NV2t010145001.1, NV2t010158001.1, NV2t006061001.1, NV2t006060002.1, NV2t006060001.1, NV2t006059001.1, NV2t006060004.1, NV2t006060003.1, NV2t006060005.1, NV2t006436001.1, NV2t006062001.1, NV2t005624001.1, NV2t005624002.1, NV2t005624003.1, NV2t010007001.1, NV2t010007002.1
OG0000085	EPHA1_MOUSE, EPHA2_MOUSE, EPHB6_MOUSE, EPHB1_MOUSE, EPHB3_MOUSE, EPHB4_MOUSE, EPHB2_MOUSE, EPHA8_MOUSE, EPHAA_MOUSE, EPHA7_MOUSE, EPHA3_MOUSE, EPHA5_MOUSE, EPHA6_MOUSE, EPHA4_MOUSE	NV2t014294001.1, NV2t019940001.1, NV2t019861001.1, NV2t019858001.1, NV2t019866001.1, NV2t019860001.1, NV2t019864001.1, NV2t019863002.1, NV2t019863001.1, NV2t013658001.1
OG0000087	S22AD_MOUSE	NV2t016371001.1, NV2t017181001.1, NV2t007427001.1, NV2t017208001.1, NV2t014115001.1, NV2t014120001.1, NV2t023743001.1, NV2t023743002.1, NV2t016153001.1, NV2t013901001.1, NV2t013909001.1, NV2t013902001.1, NV2t013910001.1, NV2t013910003.1, NV2t013910002.1, NV2t016546002.1, NV2t016546003.1, NV2t016547001.1, NV2t016547002.1, NV2t016547003.1, NV2t016547004.1, NV2t023660001.1, NV2t000312001.1, NV2t000307001.1, NV2t000309001.1, NV2t003238001.1, NV2t017297001.1, NV2t017124001.1, NV2t017124002.1
OG0000088	TNF10_MOUSE, TNFC_MOUSE, TNF13_MOUSE, TN13B_MOUSE, TNFA_MOUSE, TNFB_MOUSE, TNF12_MOUSE, CD40L_MOUSE, TNF11_MOUSE	NV2t022054001.1, NV2t022058001.1, NV2t022058002.1, NV2t022056001.1, NV2t022707001.1, NV2t022707002.1, NV2t022131001.1
OG0000090	GOGA2_MOUSE	NV2t025385001.1, NV2t025385002.1
OG0000091	FGFR4_MOUSE, FGFR3_MOUSE, FGFR1_MOUSE, FGFR2_MOUSE	NV2t005945001.1, NV2t011070001.1, NV2t012117001.1, NV2t011067002.1, NV2t011067001.1, NV2t018089001.1, NV2t018089002.1, NV2t018089003.1
OG0000092	VWA2_MOUSE	NV2t016479001.1, NV2t016342001.1, NV2t018169001.1, NV2t018169002.1, NV2t018169003.1, NV2t024541001.1, NV2t024541002.1, NV2t002131001.1, NV2t004438001.1, NV2t004437001.1, NV2t004439001.1, NV2t018921001.1, NV2t018929001.1, NV2t014287001.1, NV2t014281001.1, NV2t014281002.1, NV2t020958001.1, NV2t020881001.1, NV2t020019001.1, NV2t020019002.1
OG0000095	EST3A_MOUSE, EST3B_MOUSE, EST5A_MOUSE, EST2E_MOUSE, EST2A_MOUSE, EST2C_MOUSE, EST4A_MOUSE, EST1C_MOUSE, EST1_MOUSE, EST1D_MOUSE, EST1E_MOUSE, EST1F_MOUSE	NV2t012529001.1, NV2t012529002.1, NV2t010619001.1, NV2t010682001.1
OG0000096	SKP1_MOUSE	NV2t007975001.1, NV2t024334001.1, NV2t009945001.1, NV2t016345001.1, NV2t016345002.1, NV2t005803001.1
OG0000098	MYH6_MOUSE, MYH7_MOUSE, MYH3_MOUSE, MYH8_MOUSE, MYH2_MOUSE, MYH4_MOUSE, MYH1_MOUSE, MYH7B_MOUSE	NV2t008024003.1, NV2t008024008.1, NV2t008024001.1, NV2t008024002.1, NV2t008024012.1, NV2t008024010.1, NV2t008024014.1, NV2t008024015.1, NV2t008024011.1, NV2t008024013.1, NV2t008024016.1, NV2t008024006.1, NV2t008024004.1, NV2t008024007.1, NV2t008024009.1, NV2t008024005.1
OG0000099	EFNB2_MOUSE, EFNB1_MOUSE, EFNB3_MOUSE	NV2t014928001.1, NV2t014928002.1, NV2t014108001.1, NV2t014108002.1, NV2t014108003.1, NV2t014108004.1, NV2t012138003.1, NV2t012138001.1, NV2t012138002.1, NV2t012138004.1, NV2t013151001.1, NV2t013151002.1, NV2t014430001.1, NV2t014430002.1, NV2t013330001.1, NV2t013330002.1, NV2t013330003.1, NV2t013330005.1, NV2t013330006.1, NV2t013330004.1
OG0000101	GRIA1_MOUSE, GRIA2_MOUSE, GRIA4_MOUSE, GRIA3_MOUSE, GRIK3_MOUSE, GRIK1_MOUSE, GRIK2_MOUSE, GRIK4_MOUSE, GRIK5_MOUSE	NV2t006566001.1, NV2t006567001.1, NV2t016902001.1, NV2t016903001.1, NV2t016901001.1
OG0000103	H2A2B_MOUSE, H2AX_MOUSE, H2AJ_MOUSE, H2A2C_MOUSE, H2A2A_MOUSE, H2A3_MOUSE, H2A1H_MOUSE, H2A1B_MOUSE, H2A1C_MOUSE, H2A1D_MOUSE, H2A1E_MOUSE, H2A1G_MOUSE, H2A1I_MOUSE, H2A1N_MOUSE, H2A1O_MOUSE, H2A1P_MOUSE, H2A1F_MOUSE, H2A1K_MOUSE	NV2t021893002.1, NV2t003357001.1, NV2t008110002.1
OG0000104	ADA11_MOUSE, ADA23_MOUSE, ADAM9_MOUSE, ADM1A_MOUSE, ADM1B_MOUSE, ADA21_MOUSE, ADA25_MOUSE, ADA24_MOUSE, AD26A_MOUSE, ADA29_MOUSE, ADAM8_MOUSE, ADAM7_MOUSE, ADA28_MOUSE, ADA15_MOUSE, ADA33_MOUSE, ADA19_MOUSE, ADA12_MOUSE	NV2t018385003.1, NV2t018385001.1, NV2t018385002.1
OG0000111	FUT4_MOUSE, FUT7_MOUSE, FUT9_MOUSE	NV2t017646001.1, NV2t013600001.1, NV2t005853001.1, NV2t013599001.1, NV2t003904001.1, NV2t023828001.1, NV2t006372001.1, NV2t025282001.1, NV2t014016001.1, NV2t005015001.1
OG0000114	CAD15_MOUSE, CADH2_MOUSE, CADH4_MOUSE, CADH5_MOUSE, CAD22_MOUSE, CAD20_MOUSE, CADH7_MOUSE, CAD12_MOUSE, CAD10_MOUSE, CADH6_MOUSE, CADH9_MOUSE, CADH8_MOUSE, CAD24_MOUSE, CAD11_MOUSE	NV2t013611001.1
OG0000115	KCNA5_MOUSE, KCNA7_MOUSE, KCNA6_MOUSE, KCNA4_MOUSE, KCNA3_MOUSE, KCNA2_MOUSE, KCNA1_MOUSE	NV2t017768001.1, NV2t014379001.1, NV2t006568001.1, NV2t020582001.1, NV2t020585001.1, NV2t004330001.1, NV2t018284001.1, NV2t018284002.1
OG0000117	CEL3B_MOUSE, CELA1_MOUSE, CTRC_MOUSE, CEL2A_MOUSE	NV2t007833001.1, NV2t013528001.1, NV2t013528002.1, NV2t013528003.1, NV2t024925001.1, NV2t013873001.1, NV2t019483001.1, NV2t000814001.1, NV2t000814002.1, NV2t024809001.1, NV2t024809002.1, NV2t024809003.1, NV2t024809004.1, NV2t024811001.1, NV2t025524001.1
OG0000119	ST1E1_MOUSE, ST1B1_MOUSE, ST1C1_MOUSE, ST1C2_MOUSE, ST1D1_MOUSE, ST1A1_MOUSE	NV2t020068001.1, NV2t020068002.1, NV2t014755001.1, NV2t014756001.1, NV2t000522001.1, NV2t000523001.1, NV2t002692001.1, NV2t002694001.1
OG0000122	SACS_MOUSE	NV2t016422001.1, NV2t016407001.1, NV2t016410001.1, NV2t016417001.1, NV2t016407002.1, NV2t016404001.1, NV2t016404002.1, NV2t016416001.1, NV2t016407003.1, NV2t016407004.1, NV2t016407005.1, NV2t016406001.1, NV2t019429001.1
