Orthogroup	Mmus	Pdam
OG0000356	VIAAT_MOUSE	pdam_00003261-RA, pdam_00013669-RA, pdam_00013668-RA, pdam_00013670-RA, pdam_00021243-RA, pdam_00011664-RA, pdam_00011662-RA, pdam_00011663-RA, pdam_00006023-RA, pdam_00014306-RA, pdam_00006022-RA, pdam_00018804-RA, pdam_00008989-RA
OG0000357	ZO3_MOUSE, ZO2_MOUSE, ZO1_MOUSE	pdam_00003908-RA
OG0000363	CEL3B_MOUSE, CTRC_MOUSE, CEL2A_MOUSE, CELA1_MOUSE, CTRB1_MOUSE	pdam_00000092-RA, pdam_00007343-RA, pdam_00009710-RA, pdam_00019275-RA
OG0000366	ACTBL_MOUSE, ACTB_MOUSE, ACTG_MOUSE	pdam_00019358-RA, pdam_00019357-RA, pdam_00019851-RA, pdam_00018247-RA
OG0000367	OPSX_MOUSE	pdam_00006692-RA, pdam_00006691-RA, pdam_00020797-RA, pdam_00000629-RA, pdam_00007429-RA, pdam_00007431-RA, pdam_00012246-RA, pdam_00019022-RA, pdam_00002270-RA, pdam_00002271-RA
OG0000368	LR74B_MOUSE	pdam_00009358-RA, pdam_00017307-RA, pdam_00003885-RA, pdam_00001017-RA, pdam_00006553-RA
OG0000369	AQP4_MOUSE, MIP_MOUSE, AQP6_MOUSE, AQP5_MOUSE, AQP2_MOUSE	pdam_00013274-RA, pdam_00013273-RA, pdam_00013272-RA
OG0000370	CA2D3_MOUSE, CA2D4_MOUSE, CA2D1_MOUSE, CA2D2_MOUSE	pdam_00008241-RA, pdam_00016360-RA
OG0000372	CKLF7_MOUSE, CKLF4_MOUSE, CKLF6_MOUSE	pdam_00014549-RA, pdam_00014569-RA, pdam_00014572-RA, pdam_00014574-RA, pdam_00014548-RA, pdam_00014571-RA
OG0000373	CNTN1_MOUSE, CNTN2_MOUSE, CNTN5_MOUSE, CNTN4_MOUSE, CNTN6_MOUSE, CNTN3_MOUSE	pdam_00001400-RA
OG0000374	HSPB2_MOUSE, HSPB8_MOUSE, HSPB1_MOUSE, HSPB6_MOUSE, CRYAA_MOUSE, CRYAB_MOUSE	pdam_00015387-RA, pdam_00016248-RA, pdam_00015381-RA, pdam_00013009-RA
OG0000375	DR9C7_MOUSE, RDH16_MOUSE, RDH7_MOUSE, H17B6_MOUSE, RDH5_MOUSE, DHRS9_MOUSE	pdam_00006487-RA, pdam_00008234-RA, pdam_00016050-RA, pdam_00019298-RA, pdam_00011716-RA
OG0000376	FR1L5_MOUSE, DYSF_MOUSE, MYOF_MOUSE	pdam_00006777-RA, pdam_00006779-RA, pdam_00006781-RA, pdam_00016054-RA
OG0000377	EAA2_MOUSE, EAA3_MOUSE, EAA4_MOUSE, EAA1_MOUSE	pdam_00022733-RA, pdam_00025015-RA, pdam_00001811-RA, pdam_00001810-RA, pdam_00001802-RA
OG0000378	GARE1_MOUSE, GARE2_MOUSE	pdam_00011873-RA, pdam_00000355-RA, pdam_00011868-RA, pdam_00011870-RA, pdam_00011869-RA, pdam_00011871-RA, pdam_00011872-RA, pdam_00011874-RA
OG0000380	MEIS2_MOUSE, MEIS3_MOUSE, MEIS1_MOUSE	pdam_00010040-RA
OG0000381	OAS1A_MOUSE, OAS1C_MOUSE, OAS1D_MOUSE, OAS1B_MOUSE, OAS2_MOUSE, OAS3_MOUSE, OASL2_MOUSE, OASL1_MOUSE	pdam_00003682-RA
OG0000382	POC1B_MOUSE, POC1A_MOUSE	pdam_00023305-RA, pdam_00007237-RA, pdam_00025075-RA, pdam_00025074-RA, pdam_00025683-RA, pdam_00016792-RA, pdam_00016793-RA, pdam_00025097-RA, pdam_00017440-RA, pdam_00024531-RA, pdam_00025098-RA, pdam_00020593-RA, pdam_00025793-RA, pdam_00025807-RA
OG0000383	RRN3_MOUSE	pdam_00015747-RA, pdam_00005982-RA, pdam_00025396-RA, pdam_00020492-RA, pdam_00010812-RA, pdam_00025138-RA, pdam_00019866-RA, pdam_00002314-RA, pdam_00014502-RA, pdam_00008554-RA, pdam_00002316-RA, pdam_00002313-RA, pdam_00000593-RA
OG0000384	USF1_MOUSE, USF2_MOUSE	pdam_00001831-RA, pdam_00001834-RA, pdam_00001833-RA
OG0000401	SVEP1_MOUSE	pdam_00018170-RA, pdam_00007910-RA, pdam_00017137-RA, pdam_00014858-RA, pdam_00018331-RA, pdam_00004327-RA
OG0000402	OPN4_MOUSE	pdam_00018326-RA, pdam_00020233-RA, pdam_00019942-RA, pdam_00019773-RA, pdam_00019775-RA, pdam_00021693-RA, pdam_00019771-RA, pdam_00018194-RA, pdam_00018192-RA, pdam_00018193-RA
OG0000403	WFDC8_MOUSE, WFD12_MOUSE, WAP_MOUSE, SLPI_MOUSE, WFC6A_MOUSE, WFC6B_MOUSE, EPPI_MOUSE	pdam_00000578-RA, pdam_00010493-RA
OG0000404	TENS1_MOUSE, TENS2_MOUSE, TENS4_MOUSE	pdam_00000657-RA
OG0000406	DYLT5_MOUSE	pdam_00002210-RA, pdam_00002244-RA, pdam_00005919-RA, pdam_00007872-RA, pdam_00002327-RA, pdam_00005929-RA, pdam_00005921-RA, pdam_00020633-RA, pdam_00013241-RA, pdam_00002319-RA, pdam_00002295-RA
OG0000407	HES2_MOUSE, HES1_MOUSE	pdam_00014774-RA, pdam_00017890-RA, pdam_00011032-RA, pdam_00011039-RA, pdam_00011036-RA, pdam_00016548-RA, pdam_00016547-RA, pdam_00011037-RA
OG0000408	JKIP3_MOUSE, JKIP1_MOUSE	pdam_00008557-RA
OG0000411	MID51_MOUSE, MID49_MOUSE	pdam_00013671-RA, pdam_00005998-RA, pdam_00014152-RA, pdam_00014151-RA, pdam_00014147-RA, pdam_00014148-RA, pdam_00014146-RA
OG0000412	PTBP2_MOUSE, PTBP3_MOUSE, PTBP1_MOUSE	pdam_00012966-RA
OG0000413	RBMS2_MOUSE, RBMS1_MOUSE, RBMS3_MOUSE	pdam_00017618-RA
OG0000414	RFX1_MOUSE, RFX2_MOUSE, RFX3_MOUSE	pdam_00010814-RA
OG0000415	RHAG_MOUSE, RHBG_MOUSE, RHCG_MOUSE	pdam_00008082-RA, pdam_00007869-RA, pdam_00007871-RA, pdam_00007870-RA
OG0000416	S15A4_MOUSE, S15A3_MOUSE	pdam_00023781-RA, pdam_00014105-RA, pdam_00014103-RA, pdam_00014102-RA, pdam_00014104-RA, pdam_00014100-RA, pdam_00019747-RA, pdam_00014101-RA
OG0000417	SC5A3_MOUSE, SC5AB_MOUSE, SC5A2_MOUSE, SC5A1_MOUSE, S5A4B_MOUSE, S5A4A_MOUSE, SC5AA_MOUSE, SC5A9_MOUSE	pdam_00005740-RA
OG0000418	SPAT6_MOUSE, SPA6L_MOUSE	pdam_00022382-RA, pdam_00021855-RA
OG0000419	T121B_MOUSE	pdam_00022545-RA, pdam_00020211-RA, pdam_00020210-RA, pdam_00006159-RA, pdam_00011532-RA, pdam_00021313-RA, pdam_00011535-RA, pdam_00011533-RA, pdam_00011534-RA, pdam_00011536-RA, pdam_00010403-RA
OG0000420	ZIC4_MOUSE, ZIC1_MOUSE, ZIC3_MOUSE, ZIC2_MOUSE	pdam_00001349-RA, pdam_00002986-RA, pdam_00002982-RA, pdam_00005633-RA, pdam_00002983-RA, pdam_00002985-RA
OG0000434	CAH2_MOUSE, CAH1_MOUSE, CAH13_MOUSE, CAH3_MOUSE, CAH7_MOUSE, CAH5B_MOUSE, CAH5A_MOUSE	pdam_00007465-RA
OG0000435	SC6A8_MOUSE, SC6A6_MOUSE, S6A11_MOUSE, S6A13_MOUSE, S6A12_MOUSE	pdam_00006034-RA, pdam_00020239-RA, pdam_00020238-RA, pdam_00020240-RA, pdam_00020243-RA, pdam_00020242-RA
OG0000436	ELK4_MOUSE, ELK3_MOUSE	pdam_00003295-RA, pdam_00014011-RA, pdam_00014016-RA, pdam_00014013-RA, pdam_00014015-RA, pdam_00014012-RA, pdam_00003296-RA
OG0000437	HME1_MOUSE, HME2_MOUSE	pdam_00006258-RA, pdam_00009780-RA, pdam_00001903-RA, pdam_00006249-RA, pdam_00007199-RA, pdam_00006246-RA, pdam_00014662-RA, pdam_00014659-RA, pdam_00018935-RA
OG0000438	KREM1_MOUSE, KREM2_MOUSE	pdam_00011119-RA, pdam_00011118-RA, pdam_00003062-RA, pdam_00010553-RA, pdam_00011252-RA
OG0000439	AA2BR_MOUSE, AA2AR_MOUSE, AA1R_MOUSE, AA3R_MOUSE	pdam_00013988-RA, pdam_00020225-RA, pdam_00020224-RA
OG0000440	ABEC1_MOUSE, ABEC3_MOUSE, AICDA_MOUSE	pdam_00010961-RA, pdam_00010963-RA, pdam_00010962-RA, pdam_00010964-RA
OG0000441	ARM10_MOUSE, ARMX3_MOUSE, ARMX6_MOUSE, ARMX1_MOUSE, ARMX2_MOUSE, ARMX5_MOUSE	pdam_00006189-RA
OG0000442	B3A4_MOUSE, S4A5_MOUSE, S4A4_MOUSE, S4A7_MOUSE, S4A8_MOUSE, S4A10_MOUSE	pdam_00009357-RA
OG0000443	TLL1_MOUSE, BMP1_MOUSE, TLL2_MOUSE	pdam_00008705-RA, pdam_00008699-RA, pdam_00008704-RA, pdam_00008702-RA, pdam_00008701-RA, pdam_00004273-RA
OG0000445	CR1L_MOUSE, DAF1_MOUSE, DAF2_MOUSE, ZP3R_MOUSE, C4BPA_MOUSE	pdam_00019768-RA, pdam_00019770-RA, pdam_00009547-RA, pdam_00019769-RA, pdam_00009420-RA, pdam_00023983-RA
OG0000446	CAHD1_MOUSE	pdam_00006175-RA, pdam_00006177-RA, pdam_00006176-RA
OG0000447	CATD_MOUSE, RENI1_MOUSE, RENI2_MOUSE, CATE_MOUSE, PEPC_MOUSE, PEPA5_MOUSE, NAPSA_MOUSE	pdam_00020834-RA
OG0000449	CLC11_MOUSE, CLC3A_MOUSE, TETN_MOUSE, SFTPA_MOUSE, SFTPD_MOUSE, MBL1_MOUSE, MBL2_MOUSE	pdam_00014475-RA, pdam_00010658-RA
OG0000450	CLIC3_MOUSE, CLIC1_MOUSE, CLIC6_MOUSE, CLIC5_MOUSE, CLIC4_MOUSE	pdam_00020884-RA, pdam_00005788-RA, pdam_00020885-RA
OG0000451	CLIP2_MOUSE, CLIP1_MOUSE	pdam_00016928-RA
OG0000452	CP4B1_MOUSE, CP4X1_MOUSE, CP4F3_MOUSE, CP4FE_MOUSE	pdam_00009300-RA, pdam_00002243-RA, pdam_00017433-RA, pdam_00011109-RA
OG0000453	INT6_MOUSE, INT6L_MOUSE	pdam_00001037-RA
OG0000454	CTL4_MOUSE, CTL2_MOUSE, CTL5_MOUSE	pdam_00010114-RA
OG0000455	DKK3_MOUSE, DKK4_MOUSE, DKK2_MOUSE, DKK1_MOUSE	pdam_00004901-RA, pdam_00001057-RA, pdam_00014398-RA, pdam_00014399-RA
OG0000457	FAT2_MOUSE, FAT3_MOUSE	pdam_00001647-RA, pdam_00007706-RA
OG0000458	FRPD2_MOUSE, FRMD6_MOUSE	pdam_00011235-RA
OG0000459	FUCO_MOUSE, FUCO2_MOUSE	pdam_00020734-RA, pdam_00000569-RA, pdam_00010510-RA, pdam_00009075-RA
OG0000460	HXK4_MOUSE, HXK3_MOUSE, HXK2_MOUSE, HKDC1_MOUSE, HXK1_MOUSE	pdam_00002118-RA, pdam_00010781-RA
OG0000461	NCOA5_MOUSE, RALY_MOUSE, RALYL_MOUSE, HNRPC_MOUSE	pdam_00002539-RA
OG0000462	KI20A_MOUSE	pdam_00011138-RA
OG0000466	LY6L_MOUSE, LY6H_MOUSE, LY6E_MOUSE, LY6A_MOUSE, LY6I_MOUSE, LY6C1_MOUSE, LY6C2_MOUSE, LY6G_MOUSE, LY6F_MOUSE	pdam_00016770-RA, pdam_00016754-RA
OG0000467	MARK4_MOUSE, MARK3_MOUSE, MARK1_MOUSE, MARK2_MOUSE	pdam_00002898-RA
OG0000469	NCAM1_MOUSE, NCAM2_MOUSE	pdam_00001849-RA
OG0000470	PRDM6_MOUSE	pdam_00018537-RA, pdam_00006212-RA, pdam_00000827-RA, pdam_00000831-RA, pdam_00000825-RA, pdam_00000824-RA, pdam_00000826-RA
OG0000471	RN213_MOUSE	pdam_00025246-RA, pdam_00007858-RA, pdam_00007851-RA, pdam_00019454-RA, pdam_00019452-RA, pdam_00007847-RA, pdam_00007857-RA, pdam_00007850-RA, pdam_00007853-RA, pdam_00019450-RA, pdam_00019451-RA
OG0000473	S18B1_MOUSE	pdam_00010715-RA, pdam_00021887-RA, pdam_00021884-RA, pdam_00021885-RA, pdam_00022818-RA, pdam_00021886-RA, pdam_00021883-RA, pdam_00021880-RA, pdam_00021881-RA
OG0000474	S26A1_MOUSE, S26A5_MOUSE, S26A6_MOUSE	pdam_00021069-RA, pdam_00021078-RA, pdam_00021065-RA, pdam_00021076-RA, pdam_00021066-RA
OG0000475	SCRIB_MOUSE	pdam_00022767-RA
OG0000476	SLFN5_MOUSE, SLFN2_MOUSE, SLFN1_MOUSE, SLN14_MOUSE, SLFN8_MOUSE, SLFN9_MOUSE	pdam_00000211-RA, pdam_00000213-RA, pdam_00000214-RA, pdam_00000207-RA, pdam_00000208-RA
OG0000477	TAF11_MOUSE	pdam_00005133-RA
OG0000478	U3IP2_MOUSE	pdam_00023264-RA, pdam_00023445-RA, pdam_00020035-RA, pdam_00020034-RA
OG0000497	FGF16_MOUSE, FGF9_MOUSE, FGF20_MOUSE, FGF3_MOUSE, FGF7_MOUSE, FGF10_MOUSE, FGF22_MOUSE	pdam_00001752-RA
OG0000498	S7A14_MOUSE, CTR2_MOUSE, CTR3_MOUSE, CTR1_MOUSE	pdam_00004159-RA, pdam_00004163-RA, pdam_00004162-RA, pdam_00012049-RA, pdam_00012073-RA
OG0000499	BEND3_MOUSE	pdam_00023727-RA, pdam_00020984-RA, pdam_00017777-RA, pdam_00022957-RA
OG0000500	RHOU_MOUSE, RHOQ_MOUSE, RAC1_MOUSE, RAC2_MOUSE, RAC3_MOUSE, RHOG_MOUSE	pdam_00000553-RA
OG0000501	GNAZ_MOUSE, GNAI2_MOUSE, GNAI1_MOUSE, GNAI3_MOUSE, GNAT3_MOUSE, GNAT1_MOUSE, GNAT2_MOUSE	pdam_00011071-RA
OG0000502	AL1B1_MOUSE, ALDH2_MOUSE, AL1A1_MOUSE, AL1A7_MOUSE, AL1A3_MOUSE, AL1A2_MOUSE	pdam_00009038-RA, pdam_00012855-RA
OG0000503	AQP7_MOUSE, AQP3_MOUSE, AQP9_MOUSE	pdam_00008307-RA, pdam_00014087-RA, pdam_00014088-RA
OG0000504	P5I11_MOUSE, ARG39_MOUSE	pdam_00004483-RA
OG0000505	ASB13_MOUSE, ASB9_MOUSE, ASB5_MOUSE, ASB11_MOUSE	pdam_00024621-RA, pdam_00009340-RA, pdam_00007493-RA
OG0000506	CBPA5_MOUSE, CBPA1_MOUSE, CBPA4_MOUSE, CBPA2_MOUSE	pdam_00001432-RA, pdam_00024456-RA, pdam_00024455-RA, pdam_00011050-RA, pdam_00001430-RA
OG0000507	CELF6_MOUSE, CELF3_MOUSE, CELF4_MOUSE	pdam_00002765-RA
OG0000508	CRUM2_MOUSE, CRUM1_MOUSE	pdam_00012768-RA
OG0000509	CSTN2_MOUSE, CSTN3_MOUSE, CSTN1_MOUSE	pdam_00014599-RA
OG0000510	DOK4_MOUSE, DOK5_MOUSE, DOK6_MOUSE, DOK1_MOUSE, DOK3_MOUSE, DOK2_MOUSE	pdam_00011358-RA
OG0000511	GAS6_MOUSE, PROS_MOUSE	pdam_00024518-RA, pdam_00025132-RA, pdam_00020489-RA, pdam_00020486-RA, pdam_00015341-RA, pdam_00020482-RA, pdam_00015573-RA, pdam_00007861-RA, pdam_00007862-RA, pdam_00007863-RA, pdam_00007860-RA
OG0000513	GSTM5_MOUSE, GSTM2_MOUSE, GSTM6_MOUSE, GSTM1_MOUSE, GSTM3_MOUSE, GSTM7_MOUSE, GSTM4_MOUSE	pdam_00015777-RA
OG0000514	GSTP1_MOUSE, GSTP2_MOUSE, HPGDS_MOUSE	pdam_00025154-RA, pdam_00025155-RA, pdam_00021222-RA, pdam_00021221-RA, pdam_00021223-RA
OG0000515	HMGB3_MOUSE, HMGB2_MOUSE, SP110_MOUSE, CSPRS_MOUSE, SP100_MOUSE, HMGB1_MOUSE	pdam_00009551-RA
OG0000517	LMX1A_MOUSE, LMX1B_MOUSE	pdam_00013771-RA
OG0000518	MARC1_MOUSE, MARC2_MOUSE	pdam_00003782-RA, pdam_00003780-RA, pdam_00003781-RA
OG0000519	MRP2_MOUSE, MRP3_MOUSE, MRP1_MOUSE, MRP6_MOUSE	pdam_00025048-RA, pdam_00023462-RA, pdam_00019734-RA, pdam_00000247-RA, pdam_00023461-RA, pdam_00000932-RA
OG0000520	PAQR9_MOUSE, PAQR5_MOUSE, PAQR6_MOUSE	pdam_00013499-RA, pdam_00013500-RA, pdam_00005947-RA, pdam_00005948-RA, pdam_00005949-RA, pdam_00005252-RA, pdam_00005251-RA
OG0000521	PCFT_MOUSE	pdam_00006443-RA, pdam_00011269-RA, pdam_00002095-RA, pdam_00002136-RA, pdam_00002094-RA, pdam_00006271-RA
OG0000522	PPBT_MOUSE, PPBN_MOUSE, PPBI_MOUSE	pdam_00001525-RA, pdam_00002061-RA, pdam_00001528-RA, pdam_00001527-RA
OG0000523	PTPRA_MOUSE, PTPRE_MOUSE	pdam_00022153-RA, pdam_00022323-RA, pdam_00014953-RA, pdam_00015776-RA, pdam_00009267-RA
OG0000524	RC3H1_MOUSE, RC3H2_MOUSE	pdam_00018313-RA, pdam_00017456-RA
OG0000525	RING1_MOUSE, RING2_MOUSE	pdam_00019512-RA, pdam_00025499-RA, pdam_00019513-RA, pdam_00014552-RA, pdam_00014551-RA, pdam_00005608-RA, pdam_00005609-RA, pdam_00005612-RA, pdam_00003154-RA
OG0000527	S28A3_MOUSE, S28A1_MOUSE, S28A2_MOUSE	pdam_00007331-RA, pdam_00001440-RA
OG0000529	TMM26_MOUSE	pdam_00018334-RA, pdam_00013825-RA, pdam_00006370-RA, pdam_00000458-RA
OG0000530	UNC5D_MOUSE, UNC5B_MOUSE, UNC5A_MOUSE, UNC5C_MOUSE	pdam_00022003-RA, pdam_00002140-RA, pdam_00006904-RA
OG0000548	THAP1_MOUSE, THAP3_MOUSE	pdam_00019314-RA, pdam_00023786-RA, pdam_00025733-RA, pdam_00021015-RA, pdam_00003890-RA, pdam_00015885-RA, pdam_00025379-RA, pdam_00025205-RA, pdam_00025752-RA, pdam_00015543-RA, pdam_00025753-RA
OG0000549	ATS5_MOUSE, ATS15_MOUSE, ATS8_MOUSE, ATS4_MOUSE, ATS1_MOUSE, ATS20_MOUSE	pdam_00012221-RA
OG0000550	CPNE4_MOUSE, CPNE6_MOUSE, CPNE7_MOUSE, CPNE2_MOUSE, CPNE1_MOUSE, CPNE3_MOUSE	pdam_00018862-RA, pdam_00015801-RA
OG0000551	PAX9_MOUSE, PAX1_MOUSE, PAX6_MOUSE, PAX5_MOUSE, PAX2_MOUSE, PAX8_MOUSE	pdam_00019284-RA
OG0000552	ANO7_MOUSE	pdam_00013501-RA, pdam_00013502-RA
OG0000553	1433G_MOUSE, 1433F_MOUSE, 1433S_MOUSE, 1433Z_MOUSE, 1433B_MOUSE, 1433T_MOUSE	pdam_00009441-RA
OG0000554	ABCBB_MOUSE, ABCB5_MOUSE, MDR3_MOUSE, MDR1A_MOUSE, MDR1B_MOUSE	pdam_00005547-RA, pdam_00014319-RA, pdam_00006065-RA
OG0000555	ABI3_MOUSE, ABI1_MOUSE, ABI2_MOUSE	pdam_00009864-RA, pdam_00009863-RA
OG0000556	ARHG6_MOUSE, ARHG7_MOUSE	pdam_00006798-RA
OG0000557	ASIC4_MOUSE, ASIC3_MOUSE, ASIC2_MOUSE, ASIC1_MOUSE	pdam_00000930-RA, pdam_00000927-RA, pdam_00000928-RA, pdam_00001790-RA, pdam_00000929-RA, pdam_00010574-RA
OG0000558	DCOR_MOUSE, AZIN2_MOUSE, AZIN1_MOUSE	pdam_00004637-RA
OG0000559	CFAB_MOUSE, CO2_MOUSE	pdam_00010272-RA, pdam_00009423-RA, pdam_00020697-RA, pdam_00009413-RA, pdam_00009412-RA, pdam_00005825-RA
OG0000560	OVGP1_MOUSE, CHIT1_MOUSE, CHIL3_MOUSE, CHIL4_MOUSE, CHIA_MOUSE	pdam_00001652-RA, pdam_00015025-RA, pdam_00007557-RA
OG0000561	MRC1_MOUSE, MRC2_MOUSE, PLA2R_MOUSE, FCER2_MOUSE	pdam_00016955-RA, pdam_00016960-RA, pdam_00016959-RA, pdam_00010591-RA
OG0000562	CO4A3_MOUSE, CO4A1_MOUSE, CO4A5_MOUSE, CO4A4_MOUSE, CO4A2_MOUSE	pdam_00001816-RA, pdam_00001814-RA
OG0000563	DERM_MOUSE	pdam_00018507-RA, pdam_00019487-RA, pdam_00012547-RA, pdam_00018508-RA, pdam_00004208-RA, pdam_00008787-RA, pdam_00008790-RA
OG0000564	DUS2_MOUSE	pdam_00010325-RA
OG0000565	EF2_MOUSE	pdam_00007646-RA
OG0000567	ENDOU_MOUSE	pdam_00002961-RA, pdam_00002958-RA, pdam_00003005-RA, pdam_00002999-RA, pdam_00003000-RA, pdam_00003002-RA, pdam_00003004-RA, pdam_00003003-RA
OG0000568	FAS_MOUSE	pdam_00016312-RA, pdam_00010753-RA, pdam_00010747-RA, pdam_00010751-RA, pdam_00010752-RA, pdam_00009755-RA
OG0000569	MGLYR_MOUSE, GP179_MOUSE	pdam_00020269-RA, pdam_00009128-RA, pdam_00004813-RA, pdam_00009131-RA, pdam_00009130-RA
OG0000570	H4_MOUSE	pdam_00017708-RA, pdam_00022737-RA, pdam_00006497-RA, pdam_00012229-RA, pdam_00010810-RA, pdam_00010801-RA, pdam_00007058-RA
OG0000572	HS3S5_MOUSE, HS3SA_MOUSE, HS3SB_MOUSE, HS3S6_MOUSE, HS3S2_MOUSE	pdam_00013206-RA, pdam_00003100-RA, pdam_00003026-RA
OG0000573	KCNQ1_MOUSE, KCNQ5_MOUSE, KCNQ4_MOUSE, KCNQ3_MOUSE, KCNQ2_MOUSE	pdam_00002653-RA
OG0000574	KDM4A_MOUSE, KDM4B_MOUSE, KDM4D_MOUSE, KDM4C_MOUSE	pdam_00022851-RA
OG0000575	KLC1_MOUSE, KLC2_MOUSE, KLC4_MOUSE, KLC3_MOUSE	pdam_00006490-RA
OG0000576	KLHL6_MOUSE, KLH24_MOUSE, KLH35_MOUSE	pdam_00010300-RA, pdam_00019088-RA, pdam_00004841-RA, pdam_00004798-RA, pdam_00004840-RA, pdam_00004842-RA, pdam_00007382-RA
OG0000577	KPCB_MOUSE, KPCG_MOUSE, KPCA_MOUSE	pdam_00020998-RA
OG0000578	MGT5A_MOUSE	pdam_00000668-RA, pdam_00020014-RA, pdam_00020016-RA, pdam_00020012-RA, pdam_00019669-RA, pdam_00020011-RA
OG0000579	TSG6_MOUSE, PCOC2_MOUSE, PCOC1_MOUSE	pdam_00005530-RA, pdam_00021096-RA, pdam_00005529-RA, pdam_00004110-RA
OG0000580	PEA15_MOUSE	pdam_00004405-RA, pdam_00004407-RA, pdam_00004417-RA, pdam_00004408-RA, pdam_00004414-RA, pdam_00004409-RA, pdam_00004411-RA, pdam_00004410-RA, pdam_00021673-RA, pdam_00016321-RA
OG0000581	PMFBP_MOUSE	pdam_00003622-RA
OG0000582	PRP39_MOUSE	pdam_00022365-RA
OG0000583	ROA0_MOUSE, ROA3_MOUSE, ROA2_MOUSE, ROA1_MOUSE	pdam_00019346-RA, pdam_00021297-RA, pdam_00019348-RA
OG0000585	RN182_MOUSE, RN224_MOUSE, RN227_MOUSE	pdam_00001496-RA, pdam_00000033-RA, pdam_00002786-RA, pdam_00018197-RA, pdam_00001900-RA
OG0000586	RUFY1_MOUSE, RUFY3_MOUSE, RUFY2_MOUSE	pdam_00003215-RA
OG0000587	SGSM3_MOUSE	pdam_00003052-RA
OG0000589	TMOD2_MOUSE, TMOD3_MOUSE, TMOD4_MOUSE, TMOD1_MOUSE	pdam_00003907-RA
OG0000590	TRFM_MOUSE, TRFL_MOUSE, ICA_MOUSE, TRFE_MOUSE	pdam_00002442-RA, pdam_00002441-RA, pdam_00014712-RA, pdam_00014715-RA, pdam_00014717-RA, pdam_00014718-RA, pdam_00002444-RA
OG0000591	TSN14_MOUSE, TSN5_MOUSE, TSN17_MOUSE	pdam_00001878-RA, pdam_00023241-RA, pdam_00006369-RA, pdam_00016019-RA, pdam_00016545-RA
OG0000592	ZNFX1_MOUSE	pdam_00003578-RA, pdam_00003551-RA, pdam_00022849-RA, pdam_00005261-RA, pdam_00005260-RA, pdam_00022848-RA, pdam_00004654-RA, pdam_00004649-RA, pdam_00004652-RA, pdam_00004653-RA, pdam_00004650-RA
OG0000605	EDIL3_MOUSE, MFGM_MOUSE	pdam_00003189-RA, pdam_00022968-RA, pdam_00015590-RA, pdam_00008303-RA, pdam_00008299-RA
OG0000607	CP1A1_MOUSE, CP1A2_MOUSE	pdam_00023281-RA, pdam_00023279-RA, pdam_00023280-RA, pdam_00017504-RA, pdam_00013955-RA, pdam_00009885-RA
OG0000608	MK09_MOUSE, MK10_MOUSE, MK08_MOUSE	pdam_00010352-RA
OG0000609	TBB1_MOUSE, TBB6_MOUSE, TBB3_MOUSE	pdam_00015864-RA, pdam_00011860-RA
OG0000610	BARH1_MOUSE, BARH2_MOUSE	pdam_00005570-RA, pdam_00005568-RA, pdam_00010680-RA, pdam_00010682-RA, pdam_00010679-RA
OG0000611	ATOH7_MOUSE, FIGLA_MOUSE	pdam_00004918-RA, pdam_00004916-RA, pdam_00004915-RA, pdam_00004917-RA, pdam_00004919-RA, pdam_00004921-RA, pdam_00004920-RA
OG0000612	SPB6_MOUSE, SPB8_MOUSE, ILEUA_MOUSE, ILEUC_MOUSE, ILEUB_MOUSE	pdam_00006802-RA, pdam_00006803-RA, pdam_00011538-RA
OG0000613	CDN2A_MOUSE, CDN2B_MOUSE, CDN2C_MOUSE, CDN2D_MOUSE	pdam_00003733-RA, pdam_00006656-RA
OG0000614	GBG12_MOUSE, GBG7_MOUSE, GBG4_MOUSE, GBG3_MOUSE, GBG2_MOUSE, GBG8_MOUSE	pdam_00016581-RA
OG0000615	CCBE1_MOUSE	pdam_00023188-RA, pdam_00021081-RA, pdam_00002948-RA
OG0000616	GPX5_MOUSE, GPX3_MOUSE, GPX6_MOUSE	pdam_00007388-RA, pdam_00014688-RA, pdam_00014086-RA
OG0000617	ANR16_MOUSE	pdam_00006954-RA, pdam_00006197-RA, pdam_00013787-RA, pdam_00005627-RA
OG0000618	TNF12_MOUSE, TNF13_MOUSE, TN13B_MOUSE	pdam_00001258-RA, pdam_00001259-RA, pdam_00001264-RA
OG0000619	AGAP2_MOUSE, AGAP3_MOUSE, AGAP1_MOUSE	pdam_00010617-RA
OG0000620	ANR63_MOUSE	pdam_00024165-RA, pdam_00005918-RA, pdam_00016930-RA, pdam_00000278-RA, pdam_00016602-RA, pdam_00000194-RA, pdam_00023678-RA, pdam_00024166-RA
OG0000623	BHA15_MOUSE	pdam_00016420-RA, pdam_00012553-RA, pdam_00017795-RA, pdam_00008652-RA, pdam_00006293-RA, pdam_00006290-RA
OG0000624	BHMT1_MOUSE, BHMT2_MOUSE	pdam_00017049-RA, pdam_00015005-RA, pdam_00015008-RA, pdam_00015007-RA, pdam_00023084-RA, pdam_00009164-RA
OG0000625	BMP8A_MOUSE, BMP8B_MOUSE, BMP6_MOUSE, BMP7_MOUSE, BMP5_MOUSE	pdam_00021083-RA
OG0000626	LBP_MOUSE, BPI_MOUSE	pdam_00009794-RA, pdam_00009793-RA
