Orthogroup	Pdam	Mmus
OG0000865	pdam_00007506-RA	TFE3_MOUSE, MITF_MOUSE, TFEB_MOUSE, TFEC_MOUSE
OG0000866	pdam_00003377-RA, pdam_00020244-RA, pdam_00025158-RA, pdam_00025159-RA, pdam_00017211-RA, pdam_00017209-RA, pdam_00017208-RA	MPRD_MOUSE
OG0000867	pdam_00022394-RA, pdam_00022393-RA	PHF19_MOUSE, PHF1_MOUSE, MTF2_MOUSE
OG0000868	pdam_00021758-RA	MTG8R_MOUSE, MTG8_MOUSE, MTG16_MOUSE
OG0000870	pdam_00010159-RA, pdam_00014856-RA, pdam_00010160-RA, pdam_00013315-RA	MYOC_MOUSE, NOE2_MOUSE, NOE3_MOUSE, NOE1_MOUSE
OG0000871	pdam_00002700-RA	MYPT1_MOUSE, MYPT2_MOUSE
OG0000872	pdam_00005019-RA	NPM2_MOUSE, NPM_MOUSE, NPM3_MOUSE
OG0000873	pdam_00001928-RA	PRLHR_MOUSE, NPY4R_MOUSE, NPY1R_MOUSE, NPY6R_MOUSE
OG0000874	pdam_00004244-RA	PAQRB_MOUSE, PAQRA_MOUSE
OG0000875	pdam_00000846-RA	PLIN2_MOUSE, PLIN3_MOUSE, PLIN5_MOUSE, PLIN4_MOUSE
OG0000876	pdam_00011023-RA, pdam_00025306-RA, pdam_00015739-RA, pdam_00011194-RA, pdam_00015564-RA, pdam_00009979-RA, pdam_00017738-RA, pdam_00008843-RA, pdam_00018008-RA, pdam_00022497-RA	POGK_MOUSE
OG0000877	pdam_00007359-RA	PSD3_MOUSE, PSD2_MOUSE, PSD1_MOUSE
OG0000878	pdam_00010428-RA	RGF1C_MOUSE, RGF1B_MOUSE
OG0000879	pdam_00008944-RA, pdam_00000367-RA	RGS19_MOUSE, RGS17_MOUSE, RGS20_MOUSE
OG0000880	pdam_00012205-RA	SRGP3_MOUSE, SRGP1_MOUSE, SRGP2_MOUSE
OG0000881	pdam_00000746-RA	ZN641_MOUSE, RHIT_MOUSE
OG0000882	pdam_00017635-RA	RIPR1_MOUSE, RIPR2_MOUSE, RIPR3_MOUSE
OG0000883	pdam_00007298-RA	RMI1_MOUSE
OG0000884	pdam_00021691-RA, pdam_00021689-RA, pdam_00021692-RA, pdam_00021690-RA	S13A5_MOUSE, S13A2_MOUSE, S13A3_MOUSE
OG0000886	pdam_00007228-RA	S36A4_MOUSE, S36A3_MOUSE, S36A1_MOUSE, S36A2_MOUSE
OG0000887	pdam_00010704-RA	SHC4_MOUSE, SHC1_MOUSE, SHC2_MOUSE, SHC3_MOUSE
OG0000888	pdam_00020412-RA	SLMAP_MOUSE
OG0000889	pdam_00000270-RA, pdam_00009233-RA	SP8_MOUSE, SP9_MOUSE, SP7_MOUSE, SP6_MOUSE
OG0000890	pdam_00005441-RA	SUN3_MOUSE, SPAG4_MOUSE, SUN5_MOUSE, SUN2_MOUSE, SUN1_MOUSE
OG0000892	pdam_00000340-RA	SSH3_MOUSE, SSH2_MOUSE, SSH1_MOUSE
OG0000893	pdam_00016364-RA	STAG2_MOUSE, STAG1_MOUSE, STAG3_MOUSE
OG0000894	pdam_00010695-RA	STML3_MOUSE, STOM_MOUSE
OG0000895	pdam_00011028-RA, pdam_00025633-RA, pdam_00025634-RA	SVIL_MOUSE
OG0000896	pdam_00020212-RA, pdam_00020214-RA	SYTL4_MOUSE, SYTL5_MOUSE
OG0000897	pdam_00002263-RA, pdam_00002264-RA, pdam_00006843-RA, pdam_00007398-RA, pdam_00025763-RA, pdam_00002258-RA, pdam_00002261-RA	TM38A_MOUSE, TM38B_MOUSE
OG0000898	pdam_00014830-RA, pdam_00001042-RA, pdam_00019990-RA	TMIG1_MOUSE
OG0000899	pdam_00014050-RA, pdam_00020220-RA	TRPM3_MOUSE, TRPM1_MOUSE, TRPM7_MOUSE, TRPM6_MOUSE
OG0000900	pdam_00015028-RA	TTC14_MOUSE
OG0000901	pdam_00003266-RA	TTL12_MOUSE
OG0000902	pdam_00019927-RA	UB2D1_MOUSE, UB2D3_MOUSE, U2D2B_MOUSE, UB2D2_MOUSE
OG0000903	pdam_00022506-RA	UBQL4_MOUSE, UBQL2_MOUSE, UBQL1_MOUSE
OG0000904	pdam_00015547-RA, pdam_00020201-RA, pdam_00018252-RA, pdam_00005324-RA	WSB2_MOUSE, WSB1_MOUSE
OG0000926	pdam_00005269-RA, pdam_00021164-RA	ANGP1_MOUSE, ANGP2_MOUSE, ANGP4_MOUSE
OG0000927	pdam_00019885-RA	ZMYM4_MOUSE
OG0000928	pdam_00005731-RA	MYH14_MOUSE, MYH10_MOUSE, MYH11_MOUSE, MYH9_MOUSE
OG0000929	pdam_00007280-RA, pdam_00007281-RA	PSA_MOUSE
OG0000930	pdam_00019031-RA, pdam_00019819-RA	ADA23_MOUSE, ADA22_MOUSE, ADA11_MOUSE
OG0000932	pdam_00011862-RA, pdam_00011859-RA, pdam_00011858-RA, pdam_00019524-RA, pdam_00009644-RA, pdam_00000968-RA	TBB4A_MOUSE, TBB4B_MOUSE
OG0000933	pdam_00014817-RA, pdam_00014816-RA, pdam_00014818-RA	MEOX2_MOUSE, MEOX1_MOUSE
OG0000934	pdam_00016137-RA	ELF3_MOUSE, ELF5_MOUSE, EHF_MOUSE
OG0000935	pdam_00000236-RA	AT8B1_MOUSE, AT8B3_MOUSE, AT8B2_MOUSE, AT8B5_MOUSE
OG0000936	pdam_00016672-RA, pdam_00016673-RA, pdam_00016675-RA, pdam_00016671-RA, pdam_00016674-RA	NKX22_MOUSE
OG0000937	pdam_00008096-RA, pdam_00008097-RA	TBX1_MOUSE, TBX10_MOUSE
OG0000938	pdam_00001454-RA	CAC1S_MOUSE, CAC1C_MOUSE, CAC1D_MOUSE, CAC1F_MOUSE
OG0000939	pdam_00001247-RA, pdam_00001250-RA	RBP2_MOUSE
OG0000940	pdam_00016608-RA, pdam_00007705-RA, pdam_00016607-RA	MUC19_MOUSE, MUC6_MOUSE, MUC2_MOUSE
OG0000941	pdam_00018631-RA	PLCB2_MOUSE, PLCB1_MOUSE, PLCB3_MOUSE
OG0000942	pdam_00016036-RA	SYWC_MOUSE
OG0000943	pdam_00020685-RA, pdam_00020686-RA, pdam_00020684-RA, pdam_00007547-RA, pdam_00007543-RA, pdam_00007551-RA, pdam_00007544-RA	ERI1_MOUSE
OG0000944	pdam_00019240-RA	KCNH5_MOUSE, KCNH1_MOUSE
OG0000945	pdam_00006173-RA	NET4_MOUSE, LAMB3_MOUSE, LAMB1_MOUSE, LAMB2_MOUSE
OG0000946	pdam_00006636-RA, pdam_00006639-RA, pdam_00006631-RA	ASCL1_MOUSE, ASCL2_MOUSE
OG0000947	pdam_00001702-RA, pdam_00001703-RA, pdam_00001704-RA, pdam_00001700-RA, pdam_00001697-RA	ISX_MOUSE
OG0000948	pdam_00017999-RA	SMBT1_MOUSE, SMBT2_MOUSE
OG0000949	pdam_00005631-RA, pdam_00005628-RA	ASB2_MOUSE, ASB15_MOUSE, ASB14_MOUSE
OG0000950	pdam_00018677-RA, pdam_00025667-RA	ATR_MOUSE
OG0000951	pdam_00002598-RA, pdam_00004836-RA, pdam_00010080-RA, pdam_00010897-RA	M21D2_MOUSE, TM102_MOUSE
OG0000952	pdam_00010719-RA, pdam_00000582-RA, pdam_00019748-RA, pdam_00006210-RA	ZN579_MOUSE
OG0000953	pdam_00000786-RA, pdam_00012618-RA	M3K3_MOUSE, M3K2_MOUSE
OG0000954	pdam_00013176-RA	SAMD1_MOUSE
OG0000955	pdam_00006435-RA	KGP1_MOUSE
OG0000956	pdam_00017443-RA	PRDX3_MOUSE, PRDX1_MOUSE, PRDX2_MOUSE
OG0000957	pdam_00017955-RA	2AAB_MOUSE, 2AAA_MOUSE
OG0000958	pdam_00010288-RA	OVOS_MOUSE, PZP_MOUSE, A2MG_MOUSE, MUG1_MOUSE, MUG2_MOUSE
OG0000959	pdam_00007132-RA	AMPD2_MOUSE, AMPD1_MOUSE, AMPD3_MOUSE
OG0000960	pdam_00017596-RA, pdam_00003556-RA	ADDA_MOUSE, ADDB_MOUSE, ADDG_MOUSE
OG0000961	pdam_00021582-RA, pdam_00008238-RA	ADT4_MOUSE, ADT1_MOUSE, ADT2_MOUSE
OG0000962	pdam_00018821-RA	AFF1_MOUSE, AFF4_MOUSE, AFF2_MOUSE, AFF3_MOUSE
OG0000963	pdam_00011398-RA, pdam_00000759-RA, pdam_00000760-RA	NAGAB_MOUSE, AGAL_MOUSE
OG0000964	pdam_00017899-RA	AN32E_MOUSE, AN32B_MOUSE, AN32A_MOUSE, AN32C_MOUSE
OG0000965	pdam_00014126-RA	ANK1_MOUSE, ANK3_MOUSE, ANK2_MOUSE
OG0000966	pdam_00010015-RA, pdam_00007507-RA, pdam_00001437-RA, pdam_00006877-RA, pdam_00018520-RA, pdam_00003273-RA, pdam_00005958-RA, pdam_00005957-RA	AOC1_MOUSE
OG0000967	pdam_00018823-RA	APBB1_MOUSE, APBB3_MOUSE, APBB2_MOUSE
OG0000968	pdam_00011131-RA	NGEF_MOUSE, ARHGG_MOUSE
OG0000969	pdam_00014498-RA	ATCAY_MOUSE, BNIPL_MOUSE, BNIP2_MOUSE, PRUN2_MOUSE
OG0000970	pdam_00002763-RA	BAK_MOUSE
OG0000971	pdam_00016869-RA, pdam_00003138-RA, pdam_00016870-RA	BBS2_MOUSE
OG0000972	pdam_00018875-RA	BCL7A_MOUSE, BCL7C_MOUSE, BCL7B_MOUSE
OG0000973	pdam_00009126-RA, pdam_00009127-RA, pdam_00020055-RA	CALB1_MOUSE, CALB2_MOUSE
OG0000974	pdam_00020364-RA	CCNY_MOUSE, CCYL1_MOUSE
OG0000975	pdam_00011665-RA	CERS6_MOUSE, CERS5_MOUSE, CERS2_MOUSE, CERS3_MOUSE
OG0000976	pdam_00007964-RA	CNOT4_MOUSE
OG0000977	pdam_00012883-RA	COE4_MOUSE, COE1_MOUSE, COE2_MOUSE, COE3_MOUSE
OG0000978	pdam_00000890-RA	NR2F6_MOUSE, COT2_MOUSE, COT1_MOUSE
OG0000979	pdam_00016033-RA, pdam_00016022-RA, pdam_00016035-RA, pdam_00003814-RA	CP089_MOUSE
OG0000980	pdam_00006628-RA	CPT1B_MOUSE, CPT1C_MOUSE, CPT1A_MOUSE
OG0000981	pdam_00009995-RA	CRCC2_MOUSE, CROCC_MOUSE
OG0000983	pdam_00011150-RA	DRP2_MOUSE, DMD_MOUSE
OG0000984	pdam_00020694-RA	DYN3_MOUSE, DYN2_MOUSE, DYN1_MOUSE
OG0000985	pdam_00016719-RA, pdam_00016720-RA	DPEP1_MOUSE, DPEP3_MOUSE, DPEP2_MOUSE
OG0000986	pdam_00013581-RA, pdam_00015792-RA, pdam_00016654-RA, pdam_00016653-RA, pdam_00013400-RA, pdam_00017647-RA, pdam_00010595-RA	DSEL_MOUSE
OG0000987	pdam_00014697-RA, pdam_00015910-RA	DSRAD_MOUSE
OG0000988	pdam_00007825-RA	DX39A_MOUSE, DX39B_MOUSE
OG0000989	pdam_00009948-RA	E2F8_MOUSE, E2F7_MOUSE
OG0000990	pdam_00017598-RA	E41L3_MOUSE, EPB41_MOUSE, E41L2_MOUSE
OG0000991	pdam_00014908-RA	EF1A2_MOUSE, EF1A1_MOUSE
OG0000992	pdam_00008266-RA	EFC4A_MOUSE, EFC4B_MOUSE
OG0000993	pdam_00015221-RA	EGR1_MOUSE, EGR2_MOUSE, EGR3_MOUSE
OG0000994	pdam_00011016-RA	ELAP1_MOUSE, ELAP2_MOUSE
OG0000995	pdam_00019835-RA	VASP_MOUSE, ENAH_MOUSE
OG0000996	pdam_00024825-RA, pdam_00024826-RA, pdam_00008147-RA, pdam_00024018-RA, pdam_00024017-RA	ESYT2_MOUSE
OG0000997	pdam_00005580-RA, pdam_00005582-RA	FBXL4_MOUSE
OG0000998	pdam_00010173-RA	FOXO3_MOUSE, FOXO1_MOUSE, FOXO6_MOUSE, FOXO4_MOUSE
OG0000999	pdam_00014586-RA	GBB1_MOUSE, GBB3_MOUSE, GBB2_MOUSE, GBB4_MOUSE
OG0001000	pdam_00023986-RA, pdam_00023984-RA	GNAL_MOUSE, GNAS1_MOUSE, GNAS2_MOUSE
OG0001001	pdam_00005052-RA	GRHL3_MOUSE, GRHL1_MOUSE, GRHL2_MOUSE
OG0001002	pdam_00020440-RA	HS90B_MOUSE, HS90A_MOUSE
OG0001003	pdam_00016769-RA	HDGR2_MOUSE, PSIP1_MOUSE, HDGR3_MOUSE, HDGF_MOUSE
OG0001004	pdam_00019405-RA, pdam_00010191-RA, pdam_00021502-RA, pdam_00021503-RA	HLX_MOUSE
OG0001005	pdam_00018229-RA	ID4_MOUSE, ID1_MOUSE, ID3_MOUSE, ID2_MOUSE
OG0001006	pdam_00012676-RA, pdam_00009294-RA	INHBB_MOUSE, INHBA_MOUSE, INHBE_MOUSE, INHBC_MOUSE
OG0001007	pdam_00004801-RA	IRX4_MOUSE, IRX6_MOUSE
OG0001008	pdam_00004837-RA	JPH4_MOUSE, JPH3_MOUSE, JPH1_MOUSE, JPH2_MOUSE
OG0001009	pdam_00015716-RA	KMT2C_MOUSE, KMT2D_MOUSE
OG0001010	pdam_00009701-RA	KPB1_MOUSE, KPB2_MOUSE
OG0001011	pdam_00015822-RA	KPCD3_MOUSE, KPCD2_MOUSE, KPCD1_MOUSE
OG0001012	pdam_00020536-RA	KS6R_MOUSE
OG0001013	pdam_00013707-RA	LEMD1_MOUSE, LAP2B_MOUSE, LAP2A_MOUSE
OG0001014	pdam_00009451-RA	TF7L2_MOUSE, TF7L1_MOUSE, LEF1_MOUSE, TCF7_MOUSE
OG0001015	pdam_00014555-RA, pdam_00016320-RA, pdam_00009836-RA, pdam_00000257-RA	LITAF_MOUSE
OG0001016	pdam_00009364-RA, pdam_00019094-RA, pdam_00011084-RA, pdam_00011085-RA	LMO3_MOUSE, RBTN1_MOUSE
OG0001017	pdam_00008313-RA	LRC49_MOUSE
OG0001019	pdam_00003711-RA	MARE1_MOUSE, MARE2_MOUSE, MARE3_MOUSE
OG0001020	pdam_00002317-RA	MAST3_MOUSE, MAST4_MOUSE, MAST1_MOUSE, MAST2_MOUSE
OG0001021	pdam_00011941-RA, pdam_00023477-RA, pdam_00003372-RA, pdam_00017687-RA, pdam_00014974-RA, pdam_00020830-RA	MB211_MOUSE, MB212_MOUSE
OG0001022	pdam_00008482-RA, pdam_00016599-RA	MCLN1_MOUSE, MCLN2_MOUSE, MCLN3_MOUSE
OG0001023	pdam_00004994-RA, pdam_00015414-RA, pdam_00024952-RA	MDM4_MOUSE, MDM2_MOUSE
OG0001024	pdam_00014588-RA	MINT_MOUSE
OG0001025	pdam_00007874-RA, pdam_00010098-RA	MKRN2_MOUSE, MKRN3_MOUSE, MKRN1_MOUSE
OG0001026	pdam_00018441-RA, pdam_00005137-RA, pdam_00011765-RA, pdam_00011763-RA	MORN4_MOUSE
OG0001027	pdam_00020549-RA, pdam_00009618-RA, pdam_00001587-RA, pdam_00004013-RA	MOS_MOUSE
OG0001028	pdam_00015180-RA, pdam_00009956-RA, pdam_00009957-RA, pdam_00003599-RA, pdam_00001465-RA	MOXD1_MOUSE
OG0001029	pdam_00023044-RA	NPSR1_MOUSE, V2R_MOUSE, OXYR_MOUSE, V1AR_MOUSE, V1BR_MOUSE
OG0001030	pdam_00020496-RA	NUDC3_MOUSE
OG0001032	pdam_00002665-RA	PAFA2_MOUSE, PAFA_MOUSE
OG0001033	pdam_00000165-RA	PDE8B_MOUSE, PDE8A_MOUSE
OG0001034	pdam_00011241-RA, pdam_00011244-RA, pdam_00023316-RA, pdam_00009202-RA	PGH1_MOUSE, PGH2_MOUSE
OG0001035	pdam_00019193-RA	PKN2_MOUSE, PKN3_MOUSE, PKN1_MOUSE
OG0001036	pdam_00005243-RA	PLOD3_MOUSE, PLOD1_MOUSE, PLOD2_MOUSE
OG0001037	pdam_00009025-RA, pdam_00009020-RA	PLPL6_MOUSE, PLPL7_MOUSE
OG0001038	pdam_00006695-RA	PO4F3_MOUSE, PO4F2_MOUSE, PO4F1_MOUSE
OG0001039	pdam_00003966-RA	PON1_MOUSE, PON3_MOUSE, PON2_MOUSE
OG0001040	pdam_00017025-RA, pdam_00017026-RA, pdam_00022113-RA, pdam_00015833-RA	PRS23_MOUSE, PRS35_MOUSE
OG0001041	pdam_00018058-RA	PYGL_MOUSE, PYGM_MOUSE, PYGB_MOUSE
OG0001042	pdam_00019838-RA	RBM4_MOUSE, RBM4B_MOUSE
OG0001043	pdam_00019036-RA	REEP2_MOUSE, REEP1_MOUSE, REEP3_MOUSE, REEP4_MOUSE
OG0001044	pdam_00008270-RA	RHG35_MOUSE, RHG05_MOUSE
OG0001045	pdam_00002349-RA, pdam_00000260-RA	RIR2B_MOUSE, RIR2_MOUSE
OG0001046	pdam_00001574-RA	RT15_MOUSE
OG0001047	pdam_00012607-RA	S11IP_MOUSE
OG0001048	pdam_00012584-RA, pdam_00009678-RA, pdam_00009679-RA	S12A3_MOUSE, S12A1_MOUSE, S12A2_MOUSE
OG0001049	pdam_00021314-RA, pdam_00013909-RA	SAM12_MOUSE, SAM10_MOUSE
OG0001050	pdam_00018887-RA	SMOC1_MOUSE, SMOC2_MOUSE
OG0001051	pdam_00008178-RA, pdam_00002731-RA	SPRC_MOUSE, SPRL1_MOUSE
OG0001052	pdam_00002333-RA	SSBP3_MOUSE, SSBP2_MOUSE
OG0001053	pdam_00007358-RA	STALP_MOUSE, STABP_MOUSE
OG0001054	pdam_00016042-RA	TIAR_MOUSE, TIA1_MOUSE
OG0001055	pdam_00008042-RA	TIAM1_MOUSE, TIAM2_MOUSE
OG0001056	pdam_00014964-RA	TIF1B_MOUSE, TIF1A_MOUSE, TRI33_MOUSE
OG0001057	pdam_00021869-RA, pdam_00022088-RA, pdam_00023161-RA, pdam_00000586-RA, pdam_00004210-RA	TPMT_MOUSE
OG0001058	pdam_00015418-RA	TPPP2_MOUSE, TPPP3_MOUSE, TPPP_MOUSE
OG0001059	pdam_00011931-RA	TRIR_MOUSE
OG0001060	pdam_00008255-RA	TRM9B_MOUSE
OG0001061	pdam_00001895-RA	TUB_MOUSE, TULP3_MOUSE, TULP1_MOUSE, TULP2_MOUSE
OG0001062	pdam_00000702-RA, pdam_00000701-RA, pdam_00000696-RA	UB2E1_MOUSE, UB2E3_MOUSE, UB2E2_MOUSE
OG0001063	pdam_00019814-RA	UBP43_MOUSE
OG0001064	pdam_00001276-RA	WDFY1_MOUSE, WDFY2_MOUSE
OG0001065	pdam_00020178-RA	ZDH15_MOUSE, ZDH20_MOUSE, ZDHC2_MOUSE
OG0001101	pdam_00025092-RA	EPMIP_MOUSE, GT2D1_MOUSE, GTF2I_MOUSE, GT2D2_MOUSE
OG0001102	pdam_00006914-RA, pdam_00006913-RA, pdam_00026042-RA	SCAR5_MOUSE, MSRE_MOUSE, MARCO_MOUSE
OG0001104	pdam_00020968-RA	ACTA_MOUSE, ACTH_MOUSE, ACTC_MOUSE, ACTS_MOUSE
OG0001105	pdam_00018169-RA, pdam_00018171-RA, pdam_00018172-RA, pdam_00018168-RA	LYAM2_MOUSE, LYAM1_MOUSE, LYAM3_MOUSE
OG0001106	pdam_00006714-RA	WNT5A_MOUSE, WNT5B_MOUSE
OG0001107	pdam_00011024-RA	MK13_MOUSE, MK12_MOUSE, MK11_MOUSE, MK14_MOUSE
OG0001108	pdam_00009916-RA, pdam_00008089-RA, pdam_00001846-RA	BARX1_MOUSE, BARX2_MOUSE
OG0001109	pdam_00018695-RA	PCD20_MOUSE
OG0001110	pdam_00014847-RA, pdam_00009088-RA	HS71L_MOUSE, HS71A_MOUSE, HS71B_MOUSE
OG0001111	pdam_00004192-RA, pdam_00014728-RA, pdam_00023499-RA, pdam_00004195-RA	CTR4_MOUSE
OG0001112	pdam_00014004-RA	CPNE8_MOUSE, CPNE5_MOUSE, CPNE9_MOUSE
OG0001113	pdam_00006144-RA	RAB3D_MOUSE, RAB3B_MOUSE, RAB3A_MOUSE, RAB3C_MOUSE
OG0001114	pdam_00003668-RA, pdam_00017018-RA	S6A19_MOUSE, S6A18_MOUSE, S620B_MOUSE, S620A_MOUSE
OG0001115	pdam_00015315-RA	S39A6_MOUSE, S39AA_MOUSE
OG0001116	pdam_00005795-RA	VWF_MOUSE, OTOGL_MOUSE, OTOG_MOUSE, SSPO_MOUSE
OG0001118	pdam_00006597-RA	COR1A_MOUSE, CORO6_MOUSE, COR1C_MOUSE, COR1B_MOUSE
OG0001119	pdam_00003198-RA, pdam_00010383-RA	DAZP1_MOUSE
OG0001120	pdam_00004365-RA, pdam_00004367-RA, pdam_00004366-RA, pdam_00015410-RA, pdam_00018992-RA, pdam_00018991-RA, pdam_00018990-RA	IOD1_MOUSE
OG0001121	pdam_00014690-RA	PLPL2_MOUSE, PLPL3_MOUSE
OG0001122	pdam_00017593-RA	DOCK2_MOUSE, DOCK5_MOUSE, DOCK1_MOUSE
OG0001123	pdam_00000975-RA, pdam_00018461-RA, pdam_00018460-RA	VGLU3_MOUSE, VGLU1_MOUSE, VGLU2_MOUSE
OG0001124	pdam_00001972-RA	ANX13_MOUSE, ANXA3_MOUSE, ANXA5_MOUSE, ANXA4_MOUSE
OG0001125	pdam_00002025-RA, pdam_00012122-RA	KCD12_MOUSE, KCD16_MOUSE, KCTD8_MOUSE
OG0001126	pdam_00008324-RA, pdam_00009409-RA, pdam_00000832-RA	AMD_MOUSE
OG0001127	pdam_00003477-RA	GPC2_MOUSE, GPC1_MOUSE, GPC4_MOUSE, GPC6_MOUSE
OG0001128	pdam_00012187-RA	PDLI2_MOUSE, PDLI1_MOUSE, PDLI4_MOUSE, PDLI3_MOUSE
OG0001129	pdam_00017739-RA	2ABG_MOUSE, 2ABB_MOUSE, 2ABA_MOUSE, 2ABD_MOUSE
OG0001130	pdam_00003235-RA	4EBP2_MOUSE, 4EBP1_MOUSE
OG0001132	pdam_00021402-RA	AB17B_MOUSE, AB17C_MOUSE, AB17A_MOUSE
OG0001133	pdam_00010030-RA	ACAP2_MOUSE, ACAP1_MOUSE
OG0001134	pdam_00002880-RA	ACTN4_MOUSE, ACTN1_MOUSE, ACTN3_MOUSE, ACTN2_MOUSE
OG0001135	pdam_00024643-RA, pdam_00017675-RA	ALAT2_MOUSE, ALAT1_MOUSE
OG0001136	pdam_00004896-RA	BIN1_MOUSE, AMPH_MOUSE
OG0001137	pdam_00006900-RA	AP2B1_MOUSE, AP1B1_MOUSE
OG0001138	pdam_00014059-RA, pdam_00014324-RA	BRAF_MOUSE, RAF1_MOUSE, ARAF_MOUSE
OG0001139	pdam_00019000-RA	R3HD2_MOUSE, ARP21_MOUSE
OG0001140	pdam_00012625-RA	ARP3B_MOUSE, ARP3_MOUSE
OG0001141	pdam_00005762-RA	CREM_MOUSE, ATF1_MOUSE, CREB1_MOUSE
OG0001142	pdam_00022877-RA, pdam_00022876-RA, pdam_00012943-RA	B3A3_MOUSE, B3AT_MOUSE, B3A2_MOUSE
OG0001143	pdam_00003769-RA	BABA2_MOUSE
OG0001144	pdam_00007232-RA, pdam_00016117-RA, pdam_00020247-RA	GLB1L_MOUSE, BGAL_MOUSE
OG0001145	pdam_00019940-RA	BRE1A_MOUSE, BRE1B_MOUSE
OG0001146	pdam_00013790-RA	C2CD5_MOUSE
OG0001147	pdam_00016318-RA	CACB1_MOUSE, CACB3_MOUSE, CACB4_MOUSE, CACB2_MOUSE
OG0001148	pdam_00025896-RA, pdam_00017612-RA	CAND2_MOUSE, CAND1_MOUSE
OG0001150	pdam_00012921-RA	CAST1_MOUSE, CAST2_MOUSE
OG0001151	pdam_00009612-RA	CCD62_MOUSE
OG0001152	pdam_00002732-RA, pdam_00002023-RA, pdam_00002024-RA, pdam_00025076-RA, pdam_00025077-RA	CILP1_MOUSE, CILP2_MOUSE
OG0001153	pdam_00001768-RA, pdam_00008678-RA	CNGA2_MOUSE, CNGA1_MOUSE, CNGA3_MOUSE
OG0001154	pdam_00011997-RA	CO72L_MOUSE, CO72R_MOUSE, CX7A1_MOUSE, CX7A2_MOUSE
OG0001155	pdam_00012669-RA	COQA1_MOUSE, EMID1_MOUSE, EMIL3_MOUSE, EMIL1_MOUSE
OG0001156	pdam_00009135-RA	CSK22_MOUSE, CSK21_MOUSE
OG0001158	pdam_00002070-RA, pdam_00006837-RA	CY24B_MOUSE, NOX1_MOUSE, NOX3_MOUSE
OG0001159	pdam_00019359-RA	CYH1_MOUSE, CYH2_MOUSE, CYH3_MOUSE, CYH4_MOUSE
OG0001160	pdam_00008080-RA	CYTB_MOUSE, CYT2_MOUSE, CYT3_MOUSE, CYTA_MOUSE, CYT1_MOUSE
OG0001161	pdam_00020314-RA	D19L1_MOUSE, D19L2_MOUSE
OG0001162	pdam_00007491-RA, pdam_00007495-RA	DAG1_MOUSE
OG0001163	pdam_00019780-RA	DCDC2_MOUSE, DCD2C_MOUSE
OG0001164	pdam_00001336-RA	DLG3_MOUSE, DLG2_MOUSE, DLG4_MOUSE, DLG1_MOUSE
OG0001165	pdam_00009837-RA	DLGP4_MOUSE, DLGP1_MOUSE, DLGP3_MOUSE, DLGP2_MOUSE
OG0001166	pdam_00006684-RA, pdam_00013101-RA, pdam_00010635-RA	DNJB8_MOUSE, DNJB3_MOUSE, DNJB6_MOUSE
OG0001168	pdam_00014124-RA	DRC1_MOUSE
OG0001169	pdam_00009784-RA	DUSP2_MOUSE, DUS4_MOUSE, DUS1_MOUSE
OG0001170	pdam_00014584-RA	DVL2_MOUSE, DVL3_MOUSE, DVL1_MOUSE
OG0001171	pdam_00017921-RA, pdam_00017925-RA	DYR_MOUSE
OG0001172	pdam_00010307-RA	ELMO2_MOUSE, ELMO1_MOUSE
OG0001173	pdam_00019216-RA	ENPP2_MOUSE, ENPP1_MOUSE, ENPP3_MOUSE
OG0001174	pdam_00012410-RA	ENTP3_MOUSE, ENTP2_MOUSE, ENTP1_MOUSE, ENTP8_MOUSE
OG0001175	pdam_00011655-RA	F117B_MOUSE, F117A_MOUSE, GLCI1_MOUSE
OG0001176	pdam_00019894-RA	F178B_MOUSE, SLF2_MOUSE
OG0001178	pdam_00004980-RA	FA53C_MOUSE, FA53A_MOUSE, FA53B_MOUSE
OG0001179	pdam_00019872-RA, pdam_00010234-RA, pdam_00017099-RA, pdam_00017095-RA, pdam_00017098-RA	FAXC_MOUSE
OG0001180	pdam_00000298-RA	FUS_MOUSE
OG0001181	pdam_00004277-RA	GAB1_MOUSE, GAB3_MOUSE, GAB2_MOUSE
OG0001182	pdam_00016544-RA	GFPT2_MOUSE, GFPT1_MOUSE
OG0001183	pdam_00005682-RA	GGA2_MOUSE, GGA3_MOUSE, GGA1_MOUSE
OG0001184	pdam_00001222-RA, pdam_00001223-RA	GLBL2_MOUSE, GLBL3_MOUSE
OG0001185	pdam_00017900-RA	GNA11_MOUSE, GNAQ_MOUSE, GNA15_MOUSE, GNA14_MOUSE
OG0001186	pdam_00016625-RA	PJVK_MOUSE, GSDME_MOUSE
OG0001187	pdam_00000044-RA	HCN3_MOUSE, HCN4_MOUSE, HCN1_MOUSE, HCN2_MOUSE
OG0001188	pdam_00021721-RA, pdam_00019097-RA	HDA11_MOUSE
OG0001189	pdam_00012179-RA	HNF6_MOUSE, ONEC3_MOUSE, ONEC2_MOUSE
OG0001190	pdam_00020638-RA, pdam_00022061-RA	HNRL1_MOUSE, HNRL2_MOUSE, HNRPU_MOUSE
OG0001191	pdam_00003774-RA	HNRLL_MOUSE, HNRPL_MOUSE
OG0001192	pdam_00012419-RA	HTRA2_MOUSE, HTRA3_MOUSE, HTRA4_MOUSE, HTRA1_MOUSE
OG0001193	pdam_00011453-RA, pdam_00016349-RA, pdam_00016348-RA, pdam_00021436-RA	HYKK_MOUSE
