Orthogroup	Gfas	Mmus
OG0000744	gfas1.m1.20239.m1	MGT4B_MOUSE, MGT4A_MOUSE
OG0000746	gfas1.m1.21803.m1, gfas1.m1.6022.m1, gfas1.m1.22993.m1	SVIL_MOUSE
OG0000747	gfas1.m1.15763.m1, gfas1.m1.4245.m1	TNNC2_MOUSE
OG0000748	gfas1.m1.6944.m1	EREP1_MOUSE, EREP3_MOUSE, EREP2_MOUSE
OG0000749	gfas1.m1.4962.m1, gfas1.m1.11321.m1, gfas1.m1.22102.m1, gfas1.m1.11904.m1, gfas1.m1.4964.m1, gfas1.m1.7962.m1	CCD73_MOUSE
OG0000750	gfas1.m1.15279.m1, gfas1.m1.4686.m1, gfas1.m1.4689.m1, gfas1.m1.1786.m1	LONF1_MOUSE, LONF3_MOUSE
OG0000751	gfas1.m1.5566.m1	POSTN_MOUSE, BGH3_MOUSE
OG0000752	gfas1.m1.11613.m1, gfas1.m1.7482.m1, gfas1.m1.11471.m1	HG2A_MOUSE
OG0000753	gfas1.m1.15693.m1, gfas1.m1.22595.m1, gfas1.m1.10799.m1, gfas1.m1.12606.m1, gfas1.m1.12503.m1	VTNC_MOUSE
OG0000755	gfas1.m1.1002.m1	GRB14_MOUSE, GRB7_MOUSE, GRB10_MOUSE
OG0000756	gfas1.m1.2552.m1, gfas1.m1.2581.m1, gfas1.m1.2574.m1, gfas1.m1.21080.m1, gfas1.m1.3218.m1	T121B_MOUSE
OG0000757	gfas1.m1.8261.m1, gfas1.m1.939.m1, gfas1.m1.15438.m1	TSHR_MOUSE, FSHR_MOUSE, LSHR_MOUSE
OG0000758	gfas1.m1.3434.m1, gfas1.m1.4096.m1, gfas1.m1.18557.m1	KAZD1_MOUSE, IBP7_MOUSE, IBPL1_MOUSE
OG0000759	gfas1.m1.11088.m1	ABCBB_MOUSE, ABCB5_MOUSE, MDR3_MOUSE, MDR1A_MOUSE, MDR1B_MOUSE
OG0000762	gfas1.m1.9877.m1, gfas1.m1.4373.m1, gfas1.m1.6166.m1, gfas1.m1.17043.m1, gfas1.m1.23407.m1	PRS23_MOUSE, PRS35_MOUSE
OG0000763	gfas1.m1.12685.m1	NPM2_MOUSE, NPM3_MOUSE, NPM_MOUSE
OG0000764	gfas1.m1.16490.m1	MTG8R_MOUSE, MTG8_MOUSE, MTG16_MOUSE
OG0000765	gfas1.m1.10374.m1, gfas1.m1.20692.m1	GAB1_MOUSE, GAB3_MOUSE, GAB2_MOUSE
OG0000766	gfas1.m1.14679.m1	IQEC3_MOUSE, IQEC2_MOUSE, IQEC1_MOUSE
OG0000767	gfas1.m1.14943.m1	SLMAP_MOUSE
OG0000768	gfas1.m1.2837.m1	ABCA5_MOUSE, ABCA9_MOUSE, ABC8A_MOUSE, ABC8B_MOUSE, ABCA6_MOUSE
OG0000769	gfas1.m1.2318.m1	ARGL1_MOUSE
OG0000770	gfas1.m1.2579.m1, gfas1.m1.2573.m1	SYTL5_MOUSE, SYTL4_MOUSE
OG0000771	gfas1.m1.15469.m1	SHC4_MOUSE, SHC3_MOUSE, SHC2_MOUSE, SHC1_MOUSE
OG0000773	gfas1.m1.13575.m1	EPS8_MOUSE, ES8L1_MOUSE, ES8L2_MOUSE
OG0000774	gfas1.m1.6296.m1, gfas1.m1.1519.m1	LICH_MOUSE, LIPK_MOUSE, LIPF_MOUSE
OG0000775	gfas1.m1.18738.m1, gfas1.m1.21383.m1	PTPRN_MOUSE, PTPR2_MOUSE
OG0000776	gfas1.m1.8636.m1	STAG2_MOUSE, STAG1_MOUSE, STAG3_MOUSE
OG0000777	gfas1.m1.14495.m1, gfas1.m1.18657.m1, gfas1.m1.18825.m1, gfas1.m1.19404.m1	H10_MOUSE
OG0000779	gfas1.m1.20253.m1	RMI1_MOUSE
OG0000780	gfas1.m1.10015.m1	GABT_MOUSE
OG0000781	gfas1.m1.2580.m1, gfas1.m1.7640.m1	TRPM3_MOUSE, TRPM1_MOUSE, TRPM7_MOUSE, TRPM6_MOUSE
OG0000782	gfas1.m1.16170.m1	BRD2_MOUSE, BRD3_MOUSE
OG0000783	gfas1.m1.5467.m1, gfas1.m1.5468.m1	BIRC7_MOUSE, XIAP_MOUSE, BIRC3_MOUSE, BIRC2_MOUSE
OG0000784	gfas1.m1.13572.m1	ZN641_MOUSE, RHIT_MOUSE
OG0000785	gfas1.m1.5157.m1	M3K9_MOUSE, M3K10_MOUSE, M3K11_MOUSE, M3K21_MOUSE
OG0000786	gfas1.m1.8585.m1	RIPR3_MOUSE, RIPR2_MOUSE, RIPR1_MOUSE
OG0000787	gfas1.m1.1661.m1, gfas1.m1.1672.m1	GCYB1_MOUSE
OG0000788	gfas1.m1.1209.m1	LRCH2_MOUSE, LRCH1_MOUSE, LRCH4_MOUSE, LRCH3_MOUSE
OG0000789	gfas1.m1.22972.m1	SCAM5_MOUSE, SCAM4_MOUSE, SCAM2_MOUSE, SCAM3_MOUSE, SCAM1_MOUSE
OG0000790	gfas1.m1.18613.m1	F219A_MOUSE, F219B_MOUSE
OG0000791	gfas1.m1.15027.m1	LRIG1_MOUSE, LRIG2_MOUSE, LRIG3_MOUSE
OG0000792	gfas1.m1.16994.m1	DNJB8_MOUSE, DNJB3_MOUSE, DNJB7_MOUSE, DNJB6_MOUSE, DNJB2_MOUSE
OG0000794	gfas1.m1.19677.m1	GHC1_MOUSE, GHC2_MOUSE
OG0000795	gfas1.m1.10673.m1	TGO1_MOUSE, MIA_MOUSE, OTOR_MOUSE
OG0000797	gfas1.m1.4230.m1	ADIPL_MOUSE, ERFE_MOUSE
OG0000798	gfas1.m1.8591.m1	S36A4_MOUSE, S36A3_MOUSE, S36A2_MOUSE, S36A1_MOUSE
OG0000799	gfas1.m1.6093.m1	MITF_MOUSE, TFE3_MOUSE, TFEB_MOUSE, TFEC_MOUSE
OG0000800	gfas1.m1.9348.m1, gfas1.m1.22615.m1	2AAB_MOUSE, 2AAA_MOUSE
OG0000801	gfas1.m1.17353.m1	ZDH15_MOUSE, ZDH20_MOUSE, ZDHC2_MOUSE
OG0000802	gfas1.m1.8251.m1	LNEBL_MOUSE, LASP1_MOUSE
OG0000803	gfas1.m1.6738.m1, gfas1.m1.16833.m1	RGS19_MOUSE, RGS17_MOUSE, RGS20_MOUSE
OG0000804	gfas1.m1.16555.m1	FBRS_MOUSE, AUTS2_MOUSE
OG0000805	gfas1.m1.15753.m1	PSD1_MOUSE, PSD2_MOUSE, PSD3_MOUSE
OG0000806	gfas1.m1.9907.m1, gfas1.m1.13331.m1	HAOX2_MOUSE, HAOX1_MOUSE
OG0000807	gfas1.m1.5045.m1	AL3A2_MOUSE, AL3A1_MOUSE, AL3B2_MOUSE, AL3B3_MOUSE, AL3B1_MOUSE
OG0000808	gfas1.m1.19223.m1	PAK1_MOUSE, PAK2_MOUSE, PAK3_MOUSE
OG0000809	gfas1.m1.14265.m1	UBQL4_MOUSE, UBQL2_MOUSE, UBQL1_MOUSE
OG0000810	gfas1.m1.9806.m1	PAQRB_MOUSE, PAQRA_MOUSE
OG0000811	gfas1.m1.1506.m1	UB2D1_MOUSE, UB2D3_MOUSE, U2D2B_MOUSE, UB2D2_MOUSE
OG0000830	gfas1.m1.2652.m1, gfas1.m1.2646.m1, gfas1.m1.2659.m1, gfas1.m1.2665.m1	ACES_MOUSE, CHLE_MOUSE
OG0000832	gfas1.m1.17588.m1	WNT5A_MOUSE, WNT5B_MOUSE
OG0000833	gfas1.m1.6246.m1	MYH14_MOUSE, MYH10_MOUSE, MYH11_MOUSE, MYH9_MOUSE
OG0000834	gfas1.m1.22538.m1, gfas1.m1.16686.m1, gfas1.m1.1944.m1	TSG6_MOUSE
OG0000835	gfas1.m1.18392.m1, gfas1.m1.18388.m1, gfas1.m1.5197.m1	FGF2_MOUSE, FGF1_MOUSE
OG0000836	gfas1.m1.8802.m1, gfas1.m1.19739.m1, gfas1.m1.18035.m1, gfas1.m1.579.m1, gfas1.m1.19740.m1	GSC2_MOUSE
OG0000837	gfas1.m1.6360.m1, gfas1.m1.7758.m1, gfas1.m1.23529.m1, gfas1.m1.8326.m1, gfas1.m1.11536.m1, gfas1.m1.17630.m1, gfas1.m1.13084.m1, gfas1.m1.22283.m1, gfas1.m1.8330.m1	TRI45_MOUSE
OG0000838	gfas1.m1.2328.m1, gfas1.m1.2333.m1	TBX1_MOUSE, TBX10_MOUSE
OG0000839	gfas1.m1.16688.m1, gfas1.m1.16689.m1, gfas1.m1.16690.m1	S6A17_MOUSE, S6A15_MOUSE
OG0000840	gfas1.m1.500.m1	KCNH5_MOUSE, KCNH1_MOUSE
OG0000842	gfas1.m1.16702.m1	PLCB2_MOUSE, PLCB1_MOUSE, PLCB3_MOUSE
OG0000843	gfas1.m1.4602.m1	CAC1S_MOUSE, CAC1C_MOUSE, CAC1D_MOUSE, CAC1F_MOUSE
OG0000845	gfas1.m1.20604.m1, gfas1.m1.13652.m1, gfas1.m1.13035.m1	LAMA4_MOUSE, LAMA5_MOUSE, LAMA3_MOUSE
OG0000846	gfas1.m1.12183.m1, gfas1.m1.5904.m1	STRA6_MOUSE
OG0000847	gfas1.m1.2540.m1, gfas1.m1.2527.m1, gfas1.m1.16131.m1	KCRS_MOUSE, KCRU_MOUSE
OG0000848	gfas1.m1.20854.m1, gfas1.m1.9786.m1, gfas1.m1.19321.m1	BMI1_MOUSE, PCGF2_MOUSE
OG0000849	gfas1.m1.1005.m1, gfas1.m1.1010.m1, gfas1.m1.995.m1, gfas1.m1.998.m1, gfas1.m1.1011.m1, gfas1.m1.1004.m1	FIGLA_MOUSE
OG0000850	gfas1.m1.1043.m1, gfas1.m1.18299.m1	VP13A_MOUSE
OG0000851	gfas1.m1.12668.m1, gfas1.m1.17809.m1, gfas1.m1.11090.m1, gfas1.m1.21594.m1, gfas1.m1.16153.m1, gfas1.m1.21353.m1, gfas1.m1.469.m1, gfas1.m1.23367.m1	NEUR1_MOUSE
OG0000852	gfas1.m1.3958.m1	PRDX3_MOUSE, PRDX1_MOUSE, PRDX2_MOUSE
OG0000853	gfas1.m1.6848.m1	KGP1_MOUSE
OG0000855	gfas1.m1.6651.m1	S11IP_MOUSE
OG0000856	gfas1.m1.724.m1	WDFY1_MOUSE, WDFY2_MOUSE
OG0000857	gfas1.m1.15271.m1, gfas1.m1.5687.m1, gfas1.m1.16708.m1, gfas1.m1.298.m1, gfas1.m1.12887.m1	MIB2_MOUSE
OG0000858	gfas1.m1.17754.m1, gfas1.m1.17752.m1, gfas1.m1.15011.m1, gfas1.m1.5261.m1, gfas1.m1.3062.m1, gfas1.m1.15006.m1	WNT8B_MOUSE, WNT8A_MOUSE
OG0000859	gfas1.m1.2877.m1, gfas1.m1.53.m1	DSRAD_MOUSE
OG0000860	gfas1.m1.7593.m1	HDGR2_MOUSE, PSIP1_MOUSE, HDGR3_MOUSE, HDGF_MOUSE
OG0000861	gfas1.m1.2316.m1	IP6K3_MOUSE, IP6K2_MOUSE, IP6K1_MOUSE
OG0000862	gfas1.m1.8615.m1	TRIR_MOUSE
OG0000864	gfas1.m1.13275.m1, gfas1.m1.13276.m1, gfas1.m1.13274.m1	CAN5_MOUSE
OG0000866	gfas1.m1.4629.m1, gfas1.m1.3089.m1, gfas1.m1.7344.m1	WSB2_MOUSE, WSB1_MOUSE
OG0000867	gfas1.m1.22759.m1, gfas1.m1.13116.m1, gfas1.m1.10180.m1, gfas1.m1.23617.m1, gfas1.m1.11561.m1, gfas1.m1.20247.m1, gfas1.m1.16227.m1	HARB1_MOUSE
OG0000868	gfas1.m1.3213.m1	RT15_MOUSE
OG0000869	gfas1.m1.474.m1, gfas1.m1.1856.m1	TPC1_MOUSE
OG0000870	gfas1.m1.5607.m1	AN32E_MOUSE, AN32B_MOUSE, AN32A_MOUSE, AN32C_MOUSE
OG0000871	gfas1.m1.18924.m1, gfas1.m1.17906.m1	KCNN4_MOUSE, KCNN1_MOUSE, KCNN2_MOUSE, KCNN3_MOUSE
OG0000872	gfas1.m1.21818.m1, gfas1.m1.18052.m1	PI15_MOUSE, CRSPL_MOUSE, CRLD1_MOUSE, CRLD2_MOUSE
OG0000874	gfas1.m1.17181.m1, gfas1.m1.6525.m1	CALB1_MOUSE, CALB2_MOUSE
OG0000876	gfas1.m1.6954.m1	RBM4B_MOUSE, RBM4_MOUSE
OG0000877	gfas1.m1.19930.m1, gfas1.m1.21884.m1, gfas1.m1.9408.m1, gfas1.m1.8288.m1, gfas1.m1.20079.m1	NAIF1_MOUSE
OG0000878	gfas1.m1.4816.m1, gfas1.m1.19722.m1, gfas1.m1.14333.m1, gfas1.m1.3428.m1	ANR16_MOUSE
OG0000881	gfas1.m1.7162.m1	BAK_MOUSE
OG0000882	gfas1.m1.5591.m1	GBB1_MOUSE, GBB3_MOUSE, GBB2_MOUSE, GBB4_MOUSE
OG0000886	gfas1.m1.7193.m1, gfas1.m1.3930.m1, gfas1.m1.2257.m1, gfas1.m1.2273.m1	PAQR5_MOUSE, PAQR6_MOUSE
OG0000890	gfas1.m1.5343.m1	EGR1_MOUSE, EGR2_MOUSE, EGR3_MOUSE
OG0000891	gfas1.m1.712.m1	SALL2_MOUSE, SALL4_MOUSE, SALL1_MOUSE, SALL3_MOUSE
OG0000892	gfas1.m1.7739.m1, gfas1.m1.18983.m1, gfas1.m1.20093.m1, gfas1.m1.20092.m1, gfas1.m1.18142.m1	PCOC2_MOUSE, PCOC1_MOUSE
OG0000893	gfas1.m1.15986.m1, gfas1.m1.14673.m1	DMTF1_MOUSE
OG0000894	gfas1.m1.1671.m1	LARP1_MOUSE
OG0000895	gfas1.m1.2471.m1	CSTFT_MOUSE, CSTF2_MOUSE
OG0000896	gfas1.m1.4486.m1	BCAP_MOUSE, BANK1_MOUSE
OG0000897	gfas1.m1.540.m1	KDM4A_MOUSE, KDM4B_MOUSE, KDM4C_MOUSE
OG0000898	gfas1.m1.15867.m1, gfas1.m1.15330.m1, gfas1.m1.16995.m1	CMA1A_MOUSE, CMA1B_MOUSE
OG0000902	gfas1.m1.15906.m1	LEMD1_MOUSE, LAP2B_MOUSE, LAP2A_MOUSE
OG0000903	gfas1.m1.18360.m1, gfas1.m1.2655.m1, gfas1.m1.16018.m1, gfas1.m1.19065.m1, gfas1.m1.20453.m1, gfas1.m1.10759.m1	ZN363_MOUSE
OG0000904	gfas1.m1.14954.m1, gfas1.m1.5887.m1, gfas1.m1.5888.m1, gfas1.m1.2638.m1, gfas1.m1.2636.m1	NANP_MOUSE
OG0000905	gfas1.m1.6385.m1	EFS_MOUSE, BCAR1_MOUSE, CASS4_MOUSE, CASL_MOUSE
OG0000906	gfas1.m1.18312.m1	PO4F3_MOUSE, PO4F2_MOUSE, PO4F1_MOUSE
OG0000909	gfas1.m1.3284.m1, gfas1.m1.12625.m1, gfas1.m1.11547.m1	STAC3_MOUSE, STAC2_MOUSE, STAC_MOUSE
OG0000910	gfas1.m1.9620.m1, gfas1.m1.18490.m1, gfas1.m1.9621.m1, gfas1.m1.9623.m1	PXDC2_MOUSE, PLDX1_MOUSE
OG0000911	gfas1.m1.7491.m1, gfas1.m1.10925.m1, gfas1.m1.6693.m1, gfas1.m1.20228.m1	CP089_MOUSE
OG0000913	gfas1.m1.6756.m1, gfas1.m1.6758.m1	BGLR_MOUSE
OG0000914	gfas1.m1.17166.m1	ATS15_MOUSE, ATS8_MOUSE, ATS1_MOUSE, ATS20_MOUSE
OG0000915	gfas1.m1.17844.m1, gfas1.m1.22574.m1, gfas1.m1.17920.m1, gfas1.m1.2559.m1, gfas1.m1.23249.m1, gfas1.m1.23250.m1	VWA7_MOUSE
OG0000916	gfas1.m1.15355.m1	FOXO3_MOUSE, FOXO1_MOUSE, FOXO6_MOUSE, FOXO4_MOUSE
OG0000917	gfas1.m1.19515.m1, gfas1.m1.19514.m1	DPEP1_MOUSE, DPEP3_MOUSE, DPEP2_MOUSE
OG0000918	gfas1.m1.15128.m1, gfas1.m1.12252.m1, gfas1.m1.11621.m1, gfas1.m1.21434.m1, gfas1.m1.12187.m1	KIBRA_MOUSE, WWC2_MOUSE
OG0000919	gfas1.m1.1427.m1, gfas1.m1.2088.m1	ADT4_MOUSE, ADT1_MOUSE, ADT2_MOUSE
OG0000920	gfas1.m1.14794.m1, gfas1.m1.15491.m1	TYB10_MOUSE, TYB4_MOUSE
OG0000921	gfas1.m1.13375.m1, gfas1.m1.14158.m1, gfas1.m1.4010.m1, gfas1.m1.4011.m1, gfas1.m1.7354.m1, gfas1.m1.7343.m1, gfas1.m1.2106.m1	PRRT4_MOUSE
OG0000922	gfas1.m1.16969.m1, gfas1.m1.16438.m1	CO72L_MOUSE, CO72R_MOUSE, CX7A1_MOUSE, CX7A2_MOUSE
OG0000923	gfas1.m1.9441.m1, gfas1.m1.5542.m1, gfas1.m1.3579.m1, gfas1.m1.3580.m1	S23A2_MOUSE, S23A1_MOUSE
OG0000924	gfas1.m1.13141.m1	CCNY_MOUSE, CCYL1_MOUSE
OG0000925	gfas1.m1.71.m1	CNOT4_MOUSE
OG0000926	gfas1.m1.6349.m1, gfas1.m1.21791.m1	OVOL3_MOUSE, OVOL1_MOUSE, OVOL2_MOUSE
OG0000928	gfas1.m1.19532.m1	LRC49_MOUSE
OG0000929	gfas1.m1.1343.m1, gfas1.m1.15699.m1	ADDA_MOUSE, ADDB_MOUSE, ADDG_MOUSE
OG0000930	gfas1.m1.2342.m1	PHKG2_MOUSE, PHKG1_MOUSE
OG0000931	gfas1.m1.1119.m1	AMD_MOUSE
OG0000933	gfas1.m1.14176.m1, gfas1.m1.3950.m1, gfas1.m1.3946.m1, gfas1.m1.10127.m1	DICER_MOUSE
OG0000934	gfas1.m1.18382.m1, gfas1.m1.4303.m1, gfas1.m1.4301.m1	MYO7A_MOUSE, MYO7B_MOUSE
OG0000935	gfas1.m1.17414.m1	NUDC3_MOUSE
OG0000936	gfas1.m1.11377.m1, gfas1.m1.11067.m1	GNL3L_MOUSE, GNL3_MOUSE
OG0000937	gfas1.m1.5593.m1	MINT_MOUSE
OG0000938	gfas1.m1.7236.m1	BNIPL_MOUSE, BNIP2_MOUSE, ATCAY_MOUSE, PRUN2_MOUSE
OG0000939	gfas1.m1.15750.m1	STALP_MOUSE, STABP_MOUSE
OG0000940	gfas1.m1.11551.m1	AMPD2_MOUSE, AMPD3_MOUSE, AMPD1_MOUSE
OG0000941	gfas1.m1.2624.m1	TULP1_MOUSE, TUB_MOUSE, TULP2_MOUSE, TULP3_MOUSE
OG0000942	gfas1.m1.15179.m1	PDE8B_MOUSE, PDE8A_MOUSE
OG0000943	gfas1.m1.16481.m1	SSBP3_MOUSE, SSBP2_MOUSE
OG0000944	gfas1.m1.18598.m1, gfas1.m1.10022.m1, gfas1.m1.10024.m1	TRFM_MOUSE, TRFE_MOUSE, ICA_MOUSE, TRFL_MOUSE
OG0000945	gfas1.m1.9121.m1	UBP43_MOUSE
OG0000946	gfas1.m1.2496.m1	TIA1_MOUSE, TIAR_MOUSE
OG0000947	gfas1.m1.15832.m1	TRM9B_MOUSE
OG0000948	gfas1.m1.1186.m1, gfas1.m1.1169.m1	SPD2B_MOUSE, SPD2A_MOUSE, NCF1_MOUSE
OG0000949	gfas1.m1.5464.m1	ZC12A_MOUSE, ZC12D_MOUSE
OG0000950	gfas1.m1.242.m1	KS6R_MOUSE
OG0000952	gfas1.m1.5695.m1, gfas1.m1.7023.m1	RIR2B_MOUSE, RIR2_MOUSE
OG0000953	gfas1.m1.1405.m1	NDKD_MOUSE, NDKC_MOUSE, NDKB_MOUSE, NDKA_MOUSE
OG0000954	gfas1.m1.3646.m1, gfas1.m1.8271.m1	TLL1_MOUSE, BMP1_MOUSE, TLL2_MOUSE
OG0000955	gfas1.m1.14953.m1	ZN746_MOUSE
OG0000956	gfas1.m1.13134.m1	VASP_MOUSE, ENAH_MOUSE
OG0000957	gfas1.m1.1591.m1	KPCD3_MOUSE, KPCD2_MOUSE, KPCD1_MOUSE
OG0000958	gfas1.m1.17641.m1, gfas1.m1.2915.m1, gfas1.m1.2919.m1	UB2E3_MOUSE, UB2E1_MOUSE, UB2E2_MOUSE
OG0000959	gfas1.m1.7429.m1	F13B_MOUSE, CFAH_MOUSE
OG0000960	gfas1.m1.4332.m1	DX39A_MOUSE, DX39B_MOUSE
OG0000961	gfas1.m1.15172.m1	ANK1_MOUSE, ANK3_MOUSE, ANK2_MOUSE
OG0000962	gfas1.m1.17540.m1	PHF1_MOUSE, MTF2_MOUSE, PHF19_MOUSE
OG0000963	gfas1.m1.17234.m1	NKAI1_MOUSE, NKAI3_MOUSE, NKAI4_MOUSE, NKAI2_MOUSE
OG0000964	gfas1.m1.10236.m1	COE4_MOUSE, COE2_MOUSE, COE1_MOUSE, COE3_MOUSE
OG0000965	gfas1.m1.13808.m1	CARL1_MOUSE, CARL2_MOUSE, CARL3_MOUSE
OG0000966	gfas1.m1.18211.m1	TPPP2_MOUSE, TPPP3_MOUSE, TPPP_MOUSE
OG0000967	gfas1.m1.16778.m1, gfas1.m1.4148.m1	B4GN1_MOUSE, B4GN2_MOUSE
OG0000968	gfas1.m1.1362.m1, gfas1.m1.1361.m1	S27A2_MOUSE, S27A6_MOUSE, S27A4_MOUSE, S27A1_MOUSE
OG0000969	gfas1.m1.18745.m1	PAFA2_MOUSE, PAFA_MOUSE
OG0000970	gfas1.m1.23191.m1	NCEH1_MOUSE, AAAD_MOUSE, AD4F1_MOUSE, ADCL3_MOUSE
OG0000971	gfas1.m1.23221.m1	APBB1_MOUSE, APBB3_MOUSE, APBB2_MOUSE
OG0000972	gfas1.m1.4824.m1	SRRM1_MOUSE
OG0000973	gfas1.m1.2756.m1	RHG35_MOUSE, RHG05_MOUSE
OG0000974	gfas1.m1.19041.m1	TIAM1_MOUSE, TIAM2_MOUSE
OG0000975	gfas1.m1.23224.m1	AFF1_MOUSE, AFF4_MOUSE, AFF2_MOUSE, AFF3_MOUSE
OG0000976	gfas1.m1.12189.m1	EF1A2_MOUSE, EF1A1_MOUSE
OG0000977	gfas1.m1.18107.m1, gfas1.m1.588.m1	PROM2_MOUSE, PROM1_MOUSE
OG0000978	gfas1.m1.14012.m1	SMOC1_MOUSE, SMOC2_MOUSE
OG0000979	gfas1.m1.15515.m1	CERS6_MOUSE, CERS5_MOUSE, CERS2_MOUSE, CERS3_MOUSE
OG0000980	gfas1.m1.4634.m1	PYGL_MOUSE, PYGM_MOUSE, PYGB_MOUSE
OG0000981	gfas1.m1.1477.m1	GRHL3_MOUSE, GRHL1_MOUSE, GRHL2_MOUSE
OG0000982	gfas1.m1.7619.m1	TIF1B_MOUSE, TIF1A_MOUSE, TRI33_MOUSE
OG0000983	gfas1.m1.14066.m1	MRCKB_MOUSE, MRCKA_MOUSE
OG0000984	gfas1.m1.13834.m1	TACC3_MOUSE, TACC1_MOUSE, TACC2_MOUSE
OG0000985	gfas1.m1.3232.m1	CRCC2_MOUSE, CROCC_MOUSE
OG0000986	gfas1.m1.2781.m1	REEP2_MOUSE, REEP1_MOUSE, REEP4_MOUSE, REEP3_MOUSE
OG0000987	gfas1.m1.6206.m1	JPH1_MOUSE, JPH4_MOUSE, JPH3_MOUSE, JPH2_MOUSE
OG0000988	gfas1.m1.6029.m1	NRBP_MOUSE
OG0000989	gfas1.m1.16572.m1	LEF1_MOUSE, TCF7_MOUSE, TF7L1_MOUSE, TF7L2_MOUSE
OG0000990	gfas1.m1.14678.m1	AGRG6_MOUSE, AGRG2_MOUSE
OG0000991	gfas1.m1.13551.m1	BCL7A_MOUSE, BCL7C_MOUSE, BCL7B_MOUSE
OG0000992	gfas1.m1.2989.m1	IRX4_MOUSE, IRX6_MOUSE
OG0000993	gfas1.m1.9763.m1	CNKR2_MOUSE, CNKR3_MOUSE, ICEF1_MOUSE
OG0000994	gfas1.m1.2189.m1	AT1B1_MOUSE, AT1B3_MOUSE, AT1B4_MOUSE, AT1B2_MOUSE
OG0000995	gfas1.m1.814.m1	ADRM1_MOUSE
OG0001011	gfas1.m1.6587.m1, gfas1.m1.6579.m1	TSN11_MOUSE, CD151_MOUSE
OG0001012	gfas1.m1.17973.m1	MK11_MOUSE, MK14_MOUSE, MK13_MOUSE, MK12_MOUSE
OG0001013	gfas1.m1.15427.m1, gfas1.m1.15425.m1	COBA2_MOUSE, CO5A1_MOUSE, COBA1_MOUSE
OG0001014	gfas1.m1.4905.m1	RAB3D_MOUSE, RAB3B_MOUSE, RAB3A_MOUSE, RAB3C_MOUSE
OG0001015	gfas1.m1.16434.m1	GLRA1_MOUSE, GLRA3_MOUSE, GLRA4_MOUSE, GLRA2_MOUSE
OG0001017	gfas1.m1.1034.m1	FOXA3_MOUSE, FOXA1_MOUSE, FOXA2_MOUSE
OG0001018	gfas1.m1.8497.m1	MSI1H_MOUSE, MSI2H_MOUSE
OG0001019	gfas1.m1.14741.m1, gfas1.m1.17289.m1, gfas1.m1.17264.m1, gfas1.m1.2426.m1	SSPO_MOUSE
OG0001020	gfas1.m1.18857.m1	SYT8_MOUSE, SYT5_MOUSE, SYT2_MOUSE, SYT1_MOUSE
OG0001021	gfas1.m1.13374.m1, gfas1.m1.13373.m1, gfas1.m1.13377.m1	CAH15_MOUSE
OG0001022	gfas1.m1.20896.m1, gfas1.m1.14267.m1, gfas1.m1.16549.m1	PAX3_MOUSE, PAX7_MOUSE
OG0001023	gfas1.m1.14772.m1, gfas1.m1.17361.m1, gfas1.m1.14150.m1, gfas1.m1.14151.m1	SC6A1_MOUSE
OG0001024	gfas1.m1.14052.m1	MYO1B_MOUSE, MYO1A_MOUSE
OG0001025	gfas1.m1.688.m1, gfas1.m1.687.m1	NCALD_MOUSE, HPCA_MOUSE, HPCL1_MOUSE
OG0001027	gfas1.m1.1024.m1	MPP4_MOUSE, MPP3_MOUSE, MPP7_MOUSE
OG0001028	gfas1.m1.9987.m1	RAC2_MOUSE, RAC3_MOUSE, RHOG_MOUSE, RAC1_MOUSE
OG0001029	gfas1.m1.10555.m1	PLXD1_MOUSE, PLXB2_MOUSE, PLXB3_MOUSE, PLXB1_MOUSE
OG0001030	gfas1.m1.193.m1, gfas1.m1.5526.m1	KC1A_MOUSE
OG0001031	gfas1.m1.1806.m1	CORO6_MOUSE, COR1A_MOUSE, COR1C_MOUSE, COR1B_MOUSE
OG0001032	gfas1.m1.22136.m1	VAMP8_MOUSE, VAMP2_MOUSE, VAMP1_MOUSE, VAMP3_MOUSE
OG0001034	gfas1.m1.6791.m1	PRIC3_MOUSE
OG0001035	gfas1.m1.8951.m1	DOCK2_MOUSE, DOCK5_MOUSE, DOCK1_MOUSE
OG0001036	gfas1.m1.9391.m1, gfas1.m1.9389.m1, gfas1.m1.9392.m1, gfas1.m1.9390.m1	PPR3E_MOUSE
OG0001037	gfas1.m1.16000.m1, gfas1.m1.20048.m1	CR3L1_MOUSE, CR3L2_MOUSE
OG0001038	gfas1.m1.2875.m1	KCNC2_MOUSE, KCNC4_MOUSE, KCNC3_MOUSE, KCNC1_MOUSE
OG0001039	gfas1.m1.13731.m1, gfas1.m1.14391.m1	KCD12_MOUSE, KCD16_MOUSE, KCTD8_MOUSE
OG0001040	gfas1.m1.4795.m1, gfas1.m1.5923.m1	TMC7_MOUSE
OG0001041	gfas1.m1.4492.m1, gfas1.m1.19120.m1, gfas1.m1.22621.m1	GTSFL_MOUSE
OG0001042	gfas1.m1.3402.m1	SORC2_MOUSE, SORC1_MOUSE, SORC3_MOUSE
OG0001043	gfas1.m1.8656.m1	GPC4_MOUSE, GPC6_MOUSE, GPC1_MOUSE, GPC2_MOUSE
OG0001045	gfas1.m1.19614.m1	UCP4_MOUSE
OG0001046	gfas1.m1.15749.m1	S12A4_MOUSE, S12A6_MOUSE, S12A5_MOUSE, S12A7_MOUSE
