Orthogroup	Gfas	Hsap
OG0000789	gfas1.m1.22972.m1	SCAM5_HUMAN, SCAM4_HUMAN, SCAM2_HUMAN, SCAM3_HUMAN, SCAM1_HUMAN
OG0000790	gfas1.m1.18613.m1	F219A_HUMAN, F219B_HUMAN
OG0000791	gfas1.m1.15027.m1	LRIG1_HUMAN, LRIG2_HUMAN, LRIG3_HUMAN
OG0000792	gfas1.m1.16994.m1	DNJB8_HUMAN, DNJB6_HUMAN, DNJB7_HUMAN, DNJB3_HUMAN, DNJB2_HUMAN
OG0000794	gfas1.m1.19677.m1	GHC1_HUMAN, GHC2_HUMAN
OG0000795	gfas1.m1.10673.m1	TGO1_HUMAN, MIA_HUMAN, OTOR_HUMAN
OG0000797	gfas1.m1.4230.m1	ADIPL_HUMAN, ERFE_HUMAN
OG0000798	gfas1.m1.8591.m1	S36A4_HUMAN, S36A3_HUMAN, S36A2_HUMAN, S36A1_HUMAN
OG0000799	gfas1.m1.6093.m1	MITF_HUMAN, TFE3_HUMAN, TFEB_HUMAN, TFEC_HUMAN
OG0000800	gfas1.m1.9348.m1, gfas1.m1.22615.m1	2AAB_HUMAN, 2AAA_HUMAN
OG0000801	gfas1.m1.17353.m1	ZDH15_HUMAN, ZDH20_HUMAN, ZDHC2_HUMAN
OG0000802	gfas1.m1.8251.m1	LASP1_HUMAN
OG0000803	gfas1.m1.6738.m1, gfas1.m1.16833.m1	RGS19_HUMAN, RGS17_HUMAN, RGS20_HUMAN
OG0000804	gfas1.m1.16555.m1	FBRS_HUMAN, AUTS2_HUMAN, FBSL_HUMAN
OG0000805	gfas1.m1.15753.m1	PSD1_HUMAN, PSD2_HUMAN, PSD3_HUMAN
OG0000806	gfas1.m1.9907.m1, gfas1.m1.13331.m1	HAOX2_HUMAN, HAOX1_HUMAN
OG0000807	gfas1.m1.5045.m1	AL3A2_HUMAN, AL3A1_HUMAN, AL3B1_HUMAN, AL3B2_HUMAN
OG0000808	gfas1.m1.19223.m1	PAK1_HUMAN, PAK2_HUMAN, PAK3_HUMAN
OG0000809	gfas1.m1.14265.m1	UBQL4_HUMAN, UBQL2_HUMAN, UBQL1_HUMAN
OG0000810	gfas1.m1.9806.m1	PAQRB_HUMAN, PAQRA_HUMAN
OG0000811	gfas1.m1.1506.m1	UB2D1_HUMAN, UB2D3_HUMAN, UB2D2_HUMAN
OG0000829	gfas1.m1.13296.m1, gfas1.m1.4819.m1, gfas1.m1.21055.m1, gfas1.m1.14215.m1	CL19A_HUMAN
OG0000830	gfas1.m1.2652.m1, gfas1.m1.2646.m1, gfas1.m1.2659.m1, gfas1.m1.2665.m1	ACES_HUMAN, CHLE_HUMAN
OG0000832	gfas1.m1.17588.m1	WNT5A_HUMAN, WNT5B_HUMAN
OG0000833	gfas1.m1.6246.m1	MYH14_HUMAN, MYH10_HUMAN, MYH11_HUMAN, MYH9_HUMAN
OG0000834	gfas1.m1.22538.m1, gfas1.m1.16686.m1, gfas1.m1.1944.m1	TSG6_HUMAN
OG0000835	gfas1.m1.18392.m1, gfas1.m1.18388.m1, gfas1.m1.5197.m1	FGF2_HUMAN, FGF1_HUMAN
OG0000836	gfas1.m1.8802.m1, gfas1.m1.19739.m1, gfas1.m1.18035.m1, gfas1.m1.579.m1, gfas1.m1.19740.m1	GSC2_HUMAN
OG0000837	gfas1.m1.6360.m1, gfas1.m1.7758.m1, gfas1.m1.23529.m1, gfas1.m1.8326.m1, gfas1.m1.11536.m1, gfas1.m1.17630.m1, gfas1.m1.13084.m1, gfas1.m1.22283.m1, gfas1.m1.8330.m1	TRI45_HUMAN
OG0000838	gfas1.m1.2328.m1, gfas1.m1.2333.m1	TBX1_HUMAN, TBX10_HUMAN
OG0000839	gfas1.m1.16688.m1, gfas1.m1.16689.m1, gfas1.m1.16690.m1	S6A17_HUMAN, S6A15_HUMAN
OG0000840	gfas1.m1.500.m1	KCNH5_HUMAN, KCNH1_HUMAN
OG0000842	gfas1.m1.16702.m1	PLCB2_HUMAN, PLCB1_HUMAN, PLCB3_HUMAN
OG0000843	gfas1.m1.4602.m1	CAC1S_HUMAN, CAC1C_HUMAN, CAC1D_HUMAN, CAC1F_HUMAN
OG0000845	gfas1.m1.20604.m1, gfas1.m1.13652.m1, gfas1.m1.13035.m1	LAMA4_HUMAN, LAMA5_HUMAN, LAMA3_HUMAN
OG0000846	gfas1.m1.12183.m1, gfas1.m1.5904.m1	STRA6_HUMAN
OG0000847	gfas1.m1.2540.m1, gfas1.m1.2527.m1, gfas1.m1.16131.m1	KCRS_HUMAN, KCRU_HUMAN
OG0000848	gfas1.m1.20854.m1, gfas1.m1.9786.m1, gfas1.m1.19321.m1	BMI1_HUMAN, PCGF2_HUMAN
OG0000849	gfas1.m1.1005.m1, gfas1.m1.1010.m1, gfas1.m1.995.m1, gfas1.m1.998.m1, gfas1.m1.1011.m1, gfas1.m1.1004.m1	FIGLA_HUMAN
OG0000850	gfas1.m1.1043.m1, gfas1.m1.18299.m1	VP13A_HUMAN
OG0000851	gfas1.m1.12668.m1, gfas1.m1.17809.m1, gfas1.m1.11090.m1, gfas1.m1.21594.m1, gfas1.m1.16153.m1, gfas1.m1.21353.m1, gfas1.m1.469.m1, gfas1.m1.23367.m1	NEUR1_HUMAN
OG0000852	gfas1.m1.3958.m1	PRDX3_HUMAN, PRDX1_HUMAN, PRDX2_HUMAN
OG0000853	gfas1.m1.6848.m1	KGP1_HUMAN
OG0000855	gfas1.m1.6651.m1	S11IP_HUMAN
OG0000856	gfas1.m1.724.m1	WDFY1_HUMAN, WDFY2_HUMAN
OG0000857	gfas1.m1.15271.m1, gfas1.m1.5687.m1, gfas1.m1.16708.m1, gfas1.m1.298.m1, gfas1.m1.12887.m1	MIB2_HUMAN
OG0000858	gfas1.m1.17754.m1, gfas1.m1.17752.m1, gfas1.m1.15011.m1, gfas1.m1.5261.m1, gfas1.m1.3062.m1, gfas1.m1.15006.m1	WNT8B_HUMAN, WNT8A_HUMAN
OG0000859	gfas1.m1.2877.m1, gfas1.m1.53.m1	DSRAD_HUMAN
OG0000860	gfas1.m1.7593.m1	HDGR2_HUMAN, PSIP1_HUMAN, HDGR3_HUMAN, HDGL1_HUMAN, HDGF_HUMAN
OG0000861	gfas1.m1.2316.m1	IP6K3_HUMAN, IP6K2_HUMAN, IP6K1_HUMAN
OG0000862	gfas1.m1.8615.m1	TRIR_HUMAN
OG0000864	gfas1.m1.13275.m1, gfas1.m1.13276.m1, gfas1.m1.13274.m1	CAN5_HUMAN
OG0000866	gfas1.m1.4629.m1, gfas1.m1.3089.m1, gfas1.m1.7344.m1	WSB2_HUMAN, WSB1_HUMAN
OG0000867	gfas1.m1.22759.m1, gfas1.m1.13116.m1, gfas1.m1.10180.m1, gfas1.m1.23617.m1, gfas1.m1.11561.m1, gfas1.m1.20247.m1, gfas1.m1.16227.m1	HARB1_HUMAN
OG0000868	gfas1.m1.3213.m1	RT15_HUMAN
OG0000869	gfas1.m1.474.m1, gfas1.m1.1856.m1	TPC1_HUMAN
OG0000870	gfas1.m1.5607.m1	AN32E_HUMAN, AN32B_HUMAN, AN32C_HUMAN, AN32A_HUMAN, AN32D_HUMAN
OG0000871	gfas1.m1.18924.m1, gfas1.m1.17906.m1	KCNN4_HUMAN, KCNN1_HUMAN, KCNN2_HUMAN, KCNN3_HUMAN
OG0000872	gfas1.m1.21818.m1, gfas1.m1.18052.m1	PI15_HUMAN, CRSPL_HUMAN, CRLD1_HUMAN, CRLD2_HUMAN
OG0000874	gfas1.m1.17181.m1, gfas1.m1.6525.m1	CALB1_HUMAN, CALB2_HUMAN
OG0000876	gfas1.m1.6954.m1	RBM4B_HUMAN, RBM4_HUMAN
OG0000877	gfas1.m1.19930.m1, gfas1.m1.21884.m1, gfas1.m1.9408.m1, gfas1.m1.8288.m1, gfas1.m1.20079.m1	TSNA1_HUMAN, NAIF1_HUMAN
OG0000878	gfas1.m1.4816.m1, gfas1.m1.19722.m1, gfas1.m1.14333.m1, gfas1.m1.3428.m1	ANR16_HUMAN
OG0000879	gfas1.m1.5222.m1, gfas1.m1.5225.m1, gfas1.m1.7078.m1, gfas1.m1.7080.m1, gfas1.m1.19517.m1, gfas1.m1.19519.m1, gfas1.m1.15792.m1	BLML_HUMAN
OG0000881	gfas1.m1.7162.m1	BAK_HUMAN
OG0000882	gfas1.m1.5591.m1	GBB1_HUMAN, GBB3_HUMAN, GBB2_HUMAN, GBB4_HUMAN
OG0000886	gfas1.m1.7193.m1, gfas1.m1.3930.m1, gfas1.m1.2257.m1, gfas1.m1.2273.m1	PAQR5_HUMAN, PAQR6_HUMAN
OG0000890	gfas1.m1.5343.m1	EGR1_HUMAN, EGR2_HUMAN, EGR3_HUMAN
OG0000891	gfas1.m1.712.m1	ZN774_HUMAN, SALL2_HUMAN, SALL4_HUMAN, SALL1_HUMAN, SALL3_HUMAN
OG0000892	gfas1.m1.7739.m1, gfas1.m1.18983.m1, gfas1.m1.20093.m1, gfas1.m1.20092.m1, gfas1.m1.18142.m1	PCOC2_HUMAN, PCOC1_HUMAN
OG0000893	gfas1.m1.15986.m1, gfas1.m1.14673.m1	DMTF1_HUMAN
OG0000894	gfas1.m1.1671.m1	LAR1B_HUMAN, LARP1_HUMAN
OG0000895	gfas1.m1.2471.m1	CSTFT_HUMAN, CSTF2_HUMAN
OG0000896	gfas1.m1.4486.m1	BCAP_HUMAN, BANK1_HUMAN
OG0000897	gfas1.m1.540.m1	KDM4A_HUMAN, KDM4B_HUMAN, KDM4C_HUMAN
OG0000898	gfas1.m1.15867.m1, gfas1.m1.15330.m1, gfas1.m1.16995.m1	CMA1A_HUMAN, CMA1B_HUMAN
OG0000902	gfas1.m1.15906.m1	LEMD1_HUMAN, LAP2B_HUMAN, LAP2A_HUMAN
OG0000903	gfas1.m1.18360.m1, gfas1.m1.2655.m1, gfas1.m1.16018.m1, gfas1.m1.19065.m1, gfas1.m1.20453.m1, gfas1.m1.10759.m1	ZN363_HUMAN
OG0000904	gfas1.m1.14954.m1, gfas1.m1.5887.m1, gfas1.m1.5888.m1, gfas1.m1.2638.m1, gfas1.m1.2636.m1	NANP_HUMAN
OG0000905	gfas1.m1.6385.m1	EFS_HUMAN, BCAR1_HUMAN, CASS4_HUMAN, CASL_HUMAN
OG0000906	gfas1.m1.18312.m1	PO4F3_HUMAN, PO4F2_HUMAN, PO4F1_HUMAN
OG0000909	gfas1.m1.3284.m1, gfas1.m1.12625.m1, gfas1.m1.11547.m1	STAC3_HUMAN, STAC2_HUMAN, STAC_HUMAN
OG0000910	gfas1.m1.9620.m1, gfas1.m1.18490.m1, gfas1.m1.9621.m1, gfas1.m1.9623.m1	PXDC2_HUMAN, PLDX1_HUMAN
OG0000911	gfas1.m1.7491.m1, gfas1.m1.10925.m1, gfas1.m1.6693.m1, gfas1.m1.20228.m1	CP089_HUMAN
OG0000913	gfas1.m1.6756.m1, gfas1.m1.6758.m1	GUSP1_HUMAN, BGP11_HUMAN, BGLR_HUMAN
OG0000914	gfas1.m1.17166.m1	ATS15_HUMAN, ATS8_HUMAN, ATS1_HUMAN, ATS9_HUMAN, ATS20_HUMAN
OG0000915	gfas1.m1.17844.m1, gfas1.m1.22574.m1, gfas1.m1.17920.m1, gfas1.m1.2559.m1, gfas1.m1.23249.m1, gfas1.m1.23250.m1	VWA7_HUMAN
OG0000916	gfas1.m1.15355.m1	FOXO3_HUMAN, FXO3B_HUMAN, FOXO1_HUMAN, FOXO6_HUMAN, FOXO4_HUMAN
OG0000917	gfas1.m1.19515.m1, gfas1.m1.19514.m1	DPEP1_HUMAN, DPEP3_HUMAN, DPEP2_HUMAN
OG0000918	gfas1.m1.15128.m1, gfas1.m1.12252.m1, gfas1.m1.11621.m1, gfas1.m1.21434.m1, gfas1.m1.12187.m1	WWC3_HUMAN, KIBRA_HUMAN, WWC2_HUMAN
OG0000919	gfas1.m1.1427.m1, gfas1.m1.2088.m1	ADT4_HUMAN, ADT1_HUMAN, ADT3_HUMAN, ADT2_HUMAN
OG0000920	gfas1.m1.14794.m1, gfas1.m1.15491.m1	TYB10_HUMAN, TB15A_HUMAN, TB15B_HUMAN, TB15C_HUMAN, TYB4_HUMAN, TYB4Y_HUMAN
OG0000921	gfas1.m1.13375.m1, gfas1.m1.14158.m1, gfas1.m1.4010.m1, gfas1.m1.4011.m1, gfas1.m1.7354.m1, gfas1.m1.7343.m1, gfas1.m1.2106.m1	PRRT4_HUMAN
OG0000922	gfas1.m1.16969.m1, gfas1.m1.16438.m1	CO72L_HUMAN, CX7A1_HUMAN, COX7S_HUMAN, CX7A2_HUMAN
OG0000923	gfas1.m1.9441.m1, gfas1.m1.5542.m1, gfas1.m1.3579.m1, gfas1.m1.3580.m1	S23A2_HUMAN, S23A1_HUMAN
OG0000924	gfas1.m1.13141.m1	CCNY_HUMAN, CCYL1_HUMAN, CCYL2_HUMAN, CCYL3_HUMAN, CYL1B_HUMAN, CV042_HUMAN, DRIC1_HUMAN
OG0000925	gfas1.m1.71.m1	CNOT4_HUMAN
OG0000926	gfas1.m1.6349.m1, gfas1.m1.21791.m1	OVOL3_HUMAN, OVOL1_HUMAN, OVOL2_HUMAN
OG0000928	gfas1.m1.19532.m1	LRC49_HUMAN
OG0000929	gfas1.m1.1343.m1, gfas1.m1.15699.m1	ADDA_HUMAN, ADDB_HUMAN, ADDG_HUMAN
OG0000930	gfas1.m1.2342.m1	PHKG2_HUMAN, PHKG1_HUMAN
OG0000931	gfas1.m1.1119.m1	AMD_HUMAN
OG0000933	gfas1.m1.14176.m1, gfas1.m1.3950.m1, gfas1.m1.3946.m1, gfas1.m1.10127.m1	DICER_HUMAN
OG0000934	gfas1.m1.18382.m1, gfas1.m1.4303.m1, gfas1.m1.4301.m1	MYO7A_HUMAN, MYO7B_HUMAN
OG0000935	gfas1.m1.17414.m1	NUDC3_HUMAN
OG0000936	gfas1.m1.11377.m1, gfas1.m1.11067.m1	GNL3L_HUMAN, GNL3_HUMAN
OG0000937	gfas1.m1.5593.m1	MINT_HUMAN
OG0000938	gfas1.m1.7236.m1	BNIPL_HUMAN, BNIP2_HUMAN, ATCAY_HUMAN, PRUN2_HUMAN
OG0000939	gfas1.m1.15750.m1	STALP_HUMAN, STABP_HUMAN
OG0000940	gfas1.m1.11551.m1	AMPD2_HUMAN, AMPD3_HUMAN, ADA2_HUMAN, AMPD1_HUMAN
OG0000941	gfas1.m1.2624.m1	TULP1_HUMAN, TUB_HUMAN, TULP2_HUMAN, TULP3_HUMAN
OG0000942	gfas1.m1.15179.m1	PDE8B_HUMAN, PDE8A_HUMAN
OG0000943	gfas1.m1.16481.m1	SSBP3_HUMAN, SSBP4_HUMAN, SSBP2_HUMAN
OG0000944	gfas1.m1.18598.m1, gfas1.m1.10022.m1, gfas1.m1.10024.m1	TRFM_HUMAN, TRFE_HUMAN, TRFL_HUMAN
OG0000945	gfas1.m1.9121.m1	UBP31_HUMAN, UBP43_HUMAN
OG0000946	gfas1.m1.2496.m1	TIA1_HUMAN, TIAR_HUMAN
OG0000947	gfas1.m1.15832.m1	TRM9B_HUMAN
OG0000948	gfas1.m1.1186.m1, gfas1.m1.1169.m1	SPD2B_HUMAN, SPD2A_HUMAN, NCF1_HUMAN, NCF1B_HUMAN, NCF1C_HUMAN
OG0000949	gfas1.m1.5464.m1	ZC12A_HUMAN, ZC12D_HUMAN
OG0000950	gfas1.m1.242.m1	KS6R_HUMAN
OG0000952	gfas1.m1.5695.m1, gfas1.m1.7023.m1	RIR2B_HUMAN, RIR2_HUMAN
OG0000953	gfas1.m1.1405.m1	NDKD_HUMAN, NDKC_HUMAN, NDKB_HUMAN, NDKA_HUMAN
OG0000954	gfas1.m1.3646.m1, gfas1.m1.8271.m1	TLL1_HUMAN, BMP1_HUMAN, TLL2_HUMAN
OG0000955	gfas1.m1.14953.m1	ZN425_HUMAN, ZN777_HUMAN, ZN398_HUMAN, ZN282_HUMAN, ZN212_HUMAN, ZN783_HUMAN, ZN767_HUMAN, ZN746_HUMAN
OG0000956	gfas1.m1.13134.m1	VASP_HUMAN, ENAH_HUMAN
OG0000957	gfas1.m1.1591.m1	KPCD3_HUMAN, KPCD2_HUMAN, KPCD1_HUMAN
OG0000958	gfas1.m1.17641.m1, gfas1.m1.2915.m1, gfas1.m1.2919.m1	UB2E3_HUMAN, UB2E1_HUMAN, UB2E2_HUMAN
OG0000959	gfas1.m1.7429.m1	F13B_HUMAN, FHR3_HUMAN, FHR4_HUMAN, CFAH_HUMAN, FHR1_HUMAN, FHR5_HUMAN, FHR2_HUMAN
OG0000960	gfas1.m1.4332.m1	DX39A_HUMAN, DX39B_HUMAN
OG0000961	gfas1.m1.15172.m1	ANK1_HUMAN, ANK3_HUMAN, ANK2_HUMAN
OG0000962	gfas1.m1.17540.m1	PHF1_HUMAN, MTF2_HUMAN, PHF19_HUMAN
OG0000963	gfas1.m1.17234.m1	NKAI1_HUMAN, NKAI3_HUMAN, NKAI4_HUMAN, NKAI2_HUMAN
OG0000964	gfas1.m1.10236.m1	COE4_HUMAN, COE2_HUMAN, COE1_HUMAN, COE3_HUMAN
OG0000965	gfas1.m1.13808.m1	CARL1_HUMAN, CARL2_HUMAN, CARL3_HUMAN
OG0000966	gfas1.m1.18211.m1	TPPP2_HUMAN, TPPP3_HUMAN, TPPP_HUMAN
OG0000967	gfas1.m1.16778.m1, gfas1.m1.4148.m1	B4GN1_HUMAN, B4GN2_HUMAN
OG0000968	gfas1.m1.1362.m1, gfas1.m1.1361.m1	S27A2_HUMAN, S27A6_HUMAN, S27A4_HUMAN, S27A1_HUMAN
OG0000969	gfas1.m1.18745.m1	PAFA2_HUMAN, PAFA_HUMAN
OG0000970	gfas1.m1.23191.m1	NCEH1_HUMAN, ADCL2_HUMAN, AAAD_HUMAN, ADCL4_HUMAN, ADCL3_HUMAN
OG0000971	gfas1.m1.23221.m1	APBB1_HUMAN, APBB3_HUMAN, APBB2_HUMAN
OG0000972	gfas1.m1.4824.m1	SRRM1_HUMAN
OG0000973	gfas1.m1.2756.m1	RHG35_HUMAN, RHG05_HUMAN
OG0000974	gfas1.m1.19041.m1	TIAM1_HUMAN, TIAM2_HUMAN
OG0000975	gfas1.m1.23224.m1	AFF1_HUMAN, AFF4_HUMAN, AFF2_HUMAN, AFF3_HUMAN
OG0000976	gfas1.m1.12189.m1	EF1A2_HUMAN, EF1A1_HUMAN, EF1A3_HUMAN
OG0000977	gfas1.m1.18107.m1, gfas1.m1.588.m1	PROM2_HUMAN, PROM1_HUMAN
OG0000978	gfas1.m1.14012.m1	SMOC1_HUMAN, SMOC2_HUMAN
OG0000979	gfas1.m1.15515.m1	CERS6_HUMAN, CERS5_HUMAN, CERS2_HUMAN, CERS3_HUMAN
OG0000980	gfas1.m1.4634.m1	PYGL_HUMAN, PYGM_HUMAN, PYGB_HUMAN
OG0000981	gfas1.m1.1477.m1	GRHL3_HUMAN, GRHL1_HUMAN, GRHL2_HUMAN
OG0000982	gfas1.m1.7619.m1	TIF1B_HUMAN, TIF1A_HUMAN, TRI33_HUMAN
OG0000983	gfas1.m1.14066.m1	MRCKB_HUMAN, MRCKA_HUMAN
OG0000984	gfas1.m1.13834.m1	TACC3_HUMAN, TACC1_HUMAN, TACC2_HUMAN
OG0000985	gfas1.m1.3232.m1	CRCC2_HUMAN, CROCC_HUMAN, CROL2_HUMAN
OG0000986	gfas1.m1.2781.m1	REEP2_HUMAN, REEP1_HUMAN, REEP4_HUMAN, REEP3_HUMAN
OG0000987	gfas1.m1.6206.m1	JPH1_HUMAN, JPH4_HUMAN, JPH3_HUMAN, JPH2_HUMAN
OG0000988	gfas1.m1.6029.m1	NRBP_HUMAN
OG0000989	gfas1.m1.16572.m1	LEF1_HUMAN, TCF7_HUMAN, TF7L1_HUMAN, TF7L2_HUMAN
OG0000990	gfas1.m1.14678.m1	AGRG6_HUMAN, AGRG2_HUMAN
OG0000991	gfas1.m1.13551.m1	BCL7A_HUMAN, BCL7C_HUMAN, BCL7B_HUMAN
OG0000992	gfas1.m1.2989.m1	IRX4_HUMAN, IRX6_HUMAN
OG0000993	gfas1.m1.9763.m1	CNKR1_HUMAN, CNKR2_HUMAN, CNKR3_HUMAN, CNIPF_HUMAN, ICEF1_HUMAN
OG0000994	gfas1.m1.2189.m1	AT1B1_HUMAN, AT1B3_HUMAN, AT1B4_HUMAN, AT1B2_HUMAN
OG0000995	gfas1.m1.814.m1	ADRM1_HUMAN
OG0001011	gfas1.m1.6587.m1, gfas1.m1.6579.m1	TSN11_HUMAN, CD151_HUMAN
OG0001012	gfas1.m1.17973.m1	MK11_HUMAN, MK14_HUMAN, MK13_HUMAN, MK12_HUMAN
OG0001013	gfas1.m1.15427.m1, gfas1.m1.15425.m1	CO5A3_HUMAN, COBA2_HUMAN, CO5A1_HUMAN, COBA1_HUMAN
OG0001014	gfas1.m1.4905.m1	RAB3D_HUMAN, RAB3B_HUMAN, RAB3A_HUMAN, RAB3C_HUMAN
OG0001015	gfas1.m1.16434.m1	GLRA1_HUMAN, GLRA3_HUMAN, GLRA2_HUMAN
OG0001017	gfas1.m1.1034.m1	FOXA3_HUMAN, FOXA1_HUMAN, FOXA2_HUMAN
OG0001018	gfas1.m1.8497.m1	MSI1H_HUMAN, MSI2H_HUMAN
OG0001019	gfas1.m1.14741.m1, gfas1.m1.17289.m1, gfas1.m1.17264.m1, gfas1.m1.2426.m1	SSPO_HUMAN
OG0001020	gfas1.m1.18857.m1	SYT8_HUMAN, SYT5_HUMAN, SYT2_HUMAN, SYT1_HUMAN
OG0001022	gfas1.m1.20896.m1, gfas1.m1.14267.m1, gfas1.m1.16549.m1	PAX3_HUMAN, PAX7_HUMAN
OG0001023	gfas1.m1.14772.m1, gfas1.m1.17361.m1, gfas1.m1.14150.m1, gfas1.m1.14151.m1	SC6A1_HUMAN
OG0001024	gfas1.m1.14052.m1	MYO1B_HUMAN, MYO1A_HUMAN
OG0001025	gfas1.m1.688.m1, gfas1.m1.687.m1	NCALD_HUMAN, HPCA_HUMAN, HPCL1_HUMAN
OG0001026	gfas1.m1.15988.m1	PLCB4_HUMAN
OG0001027	gfas1.m1.1024.m1	MPP4_HUMAN, MPP3_HUMAN, MPP7_HUMAN
OG0001028	gfas1.m1.9987.m1	RAC2_HUMAN, RAC3_HUMAN, RHOG_HUMAN, RAC1_HUMAN
OG0001029	gfas1.m1.10555.m1	PLXD1_HUMAN, PLXB2_HUMAN, PLXB3_HUMAN, PLXB1_HUMAN
OG0001030	gfas1.m1.193.m1, gfas1.m1.5526.m1	KC1AL_HUMAN, KC1A_HUMAN
OG0001031	gfas1.m1.1806.m1	CORO6_HUMAN, COR1A_HUMAN, COR1C_HUMAN, COR1B_HUMAN
OG0001032	gfas1.m1.22136.m1	VAMP8_HUMAN, VAMP2_HUMAN, VAMP1_HUMAN, VAMP3_HUMAN
OG0001034	gfas1.m1.6791.m1	PRIC3_HUMAN
OG0001035	gfas1.m1.8951.m1	DOCK2_HUMAN, DOCK5_HUMAN, DOCK1_HUMAN
OG0001036	gfas1.m1.9391.m1, gfas1.m1.9389.m1, gfas1.m1.9392.m1, gfas1.m1.9390.m1	PPR3D_HUMAN, PPR3E_HUMAN
OG0001037	gfas1.m1.16000.m1, gfas1.m1.20048.m1	CR3L1_HUMAN, CR3L2_HUMAN
OG0001038	gfas1.m1.2875.m1	KCNC2_HUMAN, KCNC4_HUMAN, KCNC3_HUMAN, KCNC1_HUMAN
OG0001039	gfas1.m1.13731.m1, gfas1.m1.14391.m1	KCD12_HUMAN, KCD16_HUMAN, KCTD8_HUMAN
OG0001040	gfas1.m1.4795.m1, gfas1.m1.5923.m1	TMC7_HUMAN
OG0001041	gfas1.m1.4492.m1, gfas1.m1.19120.m1, gfas1.m1.22621.m1	GTSFL_HUMAN
OG0001042	gfas1.m1.3402.m1	SORC2_HUMAN, SORC1_HUMAN, SORC3_HUMAN
OG0001043	gfas1.m1.8656.m1	GPC4_HUMAN, GPC6_HUMAN, GPC1_HUMAN, GPC2_HUMAN
OG0001045	gfas1.m1.19614.m1	UCP4_HUMAN
OG0001046	gfas1.m1.15749.m1	S12A4_HUMAN, S12A6_HUMAN, S12A5_HUMAN, S12A7_HUMAN
OG0001047	gfas1.m1.18601.m1	MOCOS_HUMAN
OG0001049	gfas1.m1.1016.m1	ARP3B_HUMAN, ARP3_HUMAN
OG0001050	gfas1.m1.104.m1	HNF6_HUMAN, ONEC3_HUMAN, ONEC2_HUMAN
OG0001053	gfas1.m1.2743.m1, gfas1.m1.10846.m1, gfas1.m1.10847.m1, gfas1.m1.21923.m1, gfas1.m1.11144.m1	TPC_HUMAN
OG0001054	gfas1.m1.8304.m1, gfas1.m1.616.m1, gfas1.m1.7326.m1, gfas1.m1.7324.m1	PGGHG_HUMAN
OG0001055	gfas1.m1.858.m1	PARD3_HUMAN, PAR3L_HUMAN
OG0001056	gfas1.m1.6890.m1, gfas1.m1.6896.m1	CALM1_HUMAN, CALM2_HUMAN, CALM3_HUMAN
OG0001057	gfas1.m1.1347.m1, gfas1.m1.21982.m1, gfas1.m1.4324.m1, gfas1.m1.11866.m1, gfas1.m1.10017.m1, gfas1.m1.11170.m1, gfas1.m1.6290.m1	SMI11_HUMAN
OG0001058	gfas1.m1.1531.m1, gfas1.m1.18897.m1	SH3G3_HUMAN, SH3G2_HUMAN, SH3G1_HUMAN
OG0001059	gfas1.m1.19861.m1	MAOM_HUMAN, MAON_HUMAN, MAOX_HUMAN
OG0001060	gfas1.m1.12532.m1, gfas1.m1.23594.m1, gfas1.m1.16171.m1, gfas1.m1.16169.m1	TM198_HUMAN
OG0001061	gfas1.m1.677.m1	SIA7F_HUMAN, SIA7E_HUMAN, SIA7D_HUMAN, SIA7C_HUMAN
OG0001062	gfas1.m1.23417.m1, gfas1.m1.19289.m1, gfas1.m1.17814.m1, gfas1.m1.17818.m1, gfas1.m1.11122.m1, gfas1.m1.22968.m1, gfas1.m1.11121.m1, gfas1.m1.16963.m1	MYOC_HUMAN
OG0001063	gfas1.m1.5474.m1, gfas1.m1.18112.m1	SNX10_HUMAN, SNX11_HUMAN
OG0001064	gfas1.m1.4239.m1, gfas1.m1.8463.m1	TTC7A_HUMAN, TTC7B_HUMAN
OG0001066	gfas1.m1.21656.m1, gfas1.m1.3865.m1, gfas1.m1.19042.m1, gfas1.m1.3761.m1	GP157_HUMAN
OG0001068	gfas1.m1.7760.m1, gfas1.m1.7767.m1, gfas1.m1.7766.m1, gfas1.m1.22888.m1, gfas1.m1.824.m1	PDK1L_HUMAN, STK35_HUMAN
OG0001069	gfas1.m1.1596.m1	SPE39_HUMAN
OG0001071	gfas1.m1.22471.m1, gfas1.m1.12529.m1	BAIP2_HUMAN, BI2L2_HUMAN, BI2L1_HUMAN
OG0001072	gfas1.m1.7462.m1	SDHA_HUMAN
OG0001073	gfas1.m1.2469.m1, gfas1.m1.8347.m1	CY24B_HUMAN, NOX1_HUMAN, NOX3_HUMAN
OG0001074	gfas1.m1.23550.m1	DUSP2_HUMAN, DUS4_HUMAN, DUS1_HUMAN
OG0001075	gfas1.m1.1082.m1, gfas1.m1.6038.m1	STX12_HUMAN, STX7_HUMAN
OG0001076	gfas1.m1.508.m1	ENPP2_HUMAN, ENPP1_HUMAN, ENPP3_HUMAN
OG0001077	gfas1.m1.13232.m1, gfas1.m1.23443.m1, gfas1.m1.13237.m1, gfas1.m1.15013.m1	CERU_HUMAN, HPHL1_HUMAN, HEPH_HUMAN
OG0001081	gfas1.m1.2731.m1	PBX4_HUMAN, PBX1_HUMAN, PBX2_HUMAN, PBX3_HUMAN
OG0001082	gfas1.m1.5606.m1	GNA15_HUMAN, GNA11_HUMAN, GNA14_HUMAN, GNAQ_HUMAN
