Orthogroup	Nvec	Hsap
OG0000017	NV2t007368001.1, NV2t007368002.1, NV2t007368003.1, NV2t007369001.1, NV2t000181001.1	CC14A_HUMAN
OG0000037	NV2t025517001.1, NV2t006046001.1, NV2t009940001.1, NV2t021398001.1, NV2t004708001.1, NV2t023025001.1, NV2t013854001.1, NV2t010347001.1, NV2t002121001.1, NV2t025040001.1, NV2t014952001.1	P52K_HUMAN
OG0000068	NV2t024665001.1, NV2t008559001.1, NV2t008559002.1, NV2t008559003.1, NV2t004393001.1, NV2t000552001.1, NV2t014254001.1, NV2t007813001.1, NV2t022519001.1, NV2t003540001.1, NV2t003656001.1, NV2t003661001.1, NV2t000500001.1, NV2t000497001.1, NV2t000495001.1, NV2t000498001.1	B3GN5_HUMAN, B3GT1_HUMAN, B3GT2_HUMAN, B3GT5_HUMAN, B3GL1_HUMAN
OG0000000	NV2t009950001.1, NV2t010480001.1, NV2t000299001.1, NV2t000299002.1, NV2t006904001.1, NV2t024459001.1, NV2t019579001.1, NV2t000766001.1, NV2t017884001.1, NV2t004634001.1, NV2t005891002.1, NV2t005891003.1, NV2t019013001.1, NV2t017565001.1, NV2t009762001.1	CE290_HUMAN
OG0000058	NV2t000773002.1, NV2t000773004.1, NV2t000773005.1, NV2t000773003.1, NV2t000773006.1, NV2t000773001.1	ANKR7_HUMAN, ANR62_HUMAN, A26L1_HUMAN, AN36C_HUMAN, AN36A_HUMAN, AN36B_HUMAN, A30BL_HUMAN, AN30A_HUMAN, AN30B_HUMAN, ANR19_HUMAN, AN18A_HUMAN, AN18B_HUMAN, A2012_HUMAN, AN20B_HUMAN, A20A5_HUMAN, A20A4_HUMAN, A20A2_HUMAN, A20A1_HUMAN, A20A3_HUMAN, AR26L_HUMAN, POTEA_HUMAN, POTB2_HUMAN, POTEB_HUMAN, POTB3_HUMAN, POTEC_HUMAN, POTED_HUMAN, POTEH_HUMAN, POTEG_HUMAN, POTEM_HUMAN, POTEI_HUMAN, POTEJ_HUMAN, POTEE_HUMAN, POTEF_HUMAN, C144B_HUMAN, C144C_HUMAN, C144L_HUMAN, C144A_HUMAN, ANR26_HUMAN
OG0000078	NV2t013847001.1, NV2t018136001.1, NV2t017872001.1, NV2t018114001.1, NV2t025674001.1, NV2t025675002.1, NV2t021307001.1, NV2t021320001.1	CLC4G_HUMAN
OG0000089	NV2t004709001.1, NV2t015485001.1, NV2t011589001.1, NV2t011589002.1, NV2t011589003.1	CGT_HUMAN, UDB15_HUMAN, UDB17_HUMAN, UD2B4_HUMAN, UD2B7_HUMAN, UDB10_HUMAN, UDB11_HUMAN, UDB28_HUMAN, UD2A1_HUMAN, UD2A2_HUMAN, UD2A3_HUMAN, UD11_HUMAN, UD13_HUMAN, UD14_HUMAN, UD15_HUMAN, UD16_HUMAN, UD19_HUMAN, UD18_HUMAN, UD110_HUMAN, UD17_HUMAN
OG0000006	NV2t016380001.1, NV2t022979001.1, NV2t010222001.1, NV2t004821001.1, NV2t025345001.1, NV2t006321001.1, NV2t008073001.1	STPG1_HUMAN
OG0000100	NV2t000663001.1, NV2t000671001.1, NV2t000671002.1, NV2t005314001.1, NV2t005234001.1, NV2t001998001.1	SMKR1_HUMAN
OG0000046	NV2t003789001.1, NV2t023196001.1, NV2t010443001.1, NV2t006395001.1, NV2t005634001.1, NV2t005685001.1, NV2t014321001.1, NV2t014321002.1, NV2t018782001.1, NV2t006023001.1, NV2t003658001.1, NV2t019367001.1, NV2t019368001.1, NV2t019368002.1, NV2t019842001.1, NV2t019845001.1, NV2t009759001.1, NV2t010396001.1, NV2t007690004.1, NV2t025027001.1, NV2t004565001.1, NV2t005336001.1, NV2t020327001.1, NV2t011571001.1	MTR1L_HUMAN, MTR1A_HUMAN, MTR1B_HUMAN
OG0000095	NV2t025385001.1, NV2t025385002.1	GOGA2_HUMAN, GG6L7_HUMAN, GG6L2_HUMAN, GG6LZ_HUMAN, GG6L1_HUMAN, GG6LV_HUMAN, GG6LX_HUMAN, GG6LY_HUMAN, GG6L6_HUMAN, GG6L4_HUMAN, GG6L9_HUMAN, GG6LS_HUMAN, GG6LA_HUMAN, GOG6A_HUMAN, GOG6B_HUMAN, GOG6C_HUMAN, GOG6D_HUMAN, GGA2B_HUMAN, GOG8A_HUMAN, GOG8B_HUMAN, GOG8F_HUMAN, GOG8G_HUMAN, GOG8D_HUMAN, GOG8C_HUMAN, GOG8S_HUMAN, GOG8R_HUMAN, GOG8O_HUMAN, GOG8N_HUMAN, GOG8Q_HUMAN, GOG8M_HUMAN, GOG8I_HUMAN, GOG8J_HUMAN, GOG8K_HUMAN, GOG8T_HUMAN, GOG8H_HUMAN
OG0000103	NV2t012312001.1, NV2t012312002.1, NV2t008312001.1, NV2t010788001.1, NV2t019047001.1, NV2t011044001.1, NV2t011743001.1, NV2t008823001.1, NV2t008825001.1, NV2t015476001.1, NV2t020479001.1	HBM_HUMAN, HBAZ_HUMAN, HBAT_HUMAN, HBA_HUMAN, HBG1_HUMAN, HBG2_HUMAN, HBE_HUMAN, HBB_HUMAN, HBD_HUMAN, MYG_HUMAN, CYGB_HUMAN, NGB_HUMAN
OG0000048	NV2t025732001.1, NV2t019365001.1	CLCC1_HUMAN
OG0000053	NV2t003150001.1, NV2t013313001.1, NV2t013576001.1, NV2t013576002.1, NV2t008716001.1, NV2t009096001.1, NV2t009096002.1, NV2t009095001.1, NV2t008714001.1, NV2t008714002.1, NV2t010263001.1, NV2t010263002.1, NV2t010263003.1, NV2t010263004.1, NV2t010262002.1, NV2t010262003.1, NV2t023851001.1, NV2t023852001.1, NV2t023913001.1	ACH10_HUMAN, ACHA9_HUMAN, ACHB2_HUMAN, ACHB4_HUMAN, ACHA3_HUMAN, ACHA6_HUMAN, ACHA4_HUMAN, ACHA2_HUMAN, ACHA5_HUMAN, ACHB3_HUMAN, ACHA7_HUMAN, CRFM7_HUMAN
OG0000094	NV2t014831001.1, NV2t015933001.1, NV2t015933002.1, NV2t004066003.1, NV2t018541001.1, NV2t024746001.1, NV2t013919001.1, NV2t019412001.1, NV2t010038001.1, NV2t010253001.1, NV2t014919001.1, NV2t014919004.1, NV2t014919002.1, NV2t014919003.1, NV2t014919005.1, NV2t010399001.1, NV2t017647001.1, NV2t002666001.1, NV2t025851001.1, NV2t025851002.1, NV2t017429002.1, NV2t017429001.1, NV2t017429004.1, NV2t017429003.1, NV2t017421001.1, NV2t017422001.1, NV2t025847001.1, NV2t025847002.1	PROP_HUMAN
OG0000013	NV2t022758001.1, NV2t000530001.1, NV2t020120001.1, NV2t010261001.1, NV2t017651002.1, NV2t024582001.1, NV2t014330001.1, NV2t017852002.1, NV2t017852001.1, NV2t017852003.1, NV2t017852004.1, NV2t013630001.1, NV2t013966001.1, NV2t015018001.1, NV2t014863001.1, NV2t014279002.1, NV2t014279001.1, NV2t014279003.1, NV2t004021001.1, NV2t004021002.1, NV2t004021003.1, NV2t013964001.1	CTRL_HUMAN, CTRB1_HUMAN, CTRB2_HUMAN, KLK7_HUMAN, KLK14_HUMAN, KLK5_HUMAN, KLK4_HUMAN, KLK15_HUMAN, KLK8_HUMAN, KLK10_HUMAN, KLK12_HUMAN, KLK13_HUMAN, KLK6_HUMAN, KLK9_HUMAN, KLK11_HUMAN, TRY1_HUMAN, TRY2_HUMAN, TRY6_HUMAN, TRY3_HUMAN, TMPS9_HUMAN, TEST_HUMAN, PRS41_HUMAN, PRS33_HUMAN, BSSP4_HUMAN, PRS27_HUMAN, TRYD_HUMAN, TRYB1_HUMAN, TRYB2_HUMAN, PRS29_HUMAN, PRS38_HUMAN
OG0000027	NV2t001711001.1	PCDC2_HUMAN, PCDC1_HUMAN, PCDAD_HUMAN, PCDAB_HUMAN, PCDAC_HUMAN, PCDA6_HUMAN, PCDA8_HUMAN, PCDAA_HUMAN, PCDA2_HUMAN, PCDA3_HUMAN, PCDA4_HUMAN, PCDA7_HUMAN, PCDA9_HUMAN, PCDA1_HUMAN, PCDA5_HUMAN, PCD10_HUMAN, PCD19_HUMAN, PCD12_HUMAN, PCDB1_HUMAN, PCDBB_HUMAN, PCDBC_HUMAN, PCDBE_HUMAN, PCDBI_HUMAN, PCDB7_HUMAN, PCDB9_HUMAN, PCDBA_HUMAN, PCDBF_HUMAN, PCDB2_HUMAN, PCDB3_HUMAN, PCDBG_HUMAN, PCDB8_HUMAN, PCDBD_HUMAN, PCDB6_HUMAN, PCDB4_HUMAN, PCDB5_HUMAN, PCDGL_HUMAN, PCDGM_HUMAN, PCDGK_HUMAN, PCDGG_HUMAN, PCDGH_HUMAN, PCDGI_HUMAN, PCDGJ_HUMAN, PCDGF_HUMAN, PCDGD_HUMAN, PCDGE_HUMAN, PCDGB_HUMAN, PCDGC_HUMAN, PCDGA_HUMAN, PCDG8_HUMAN, PCDG9_HUMAN, PCDG7_HUMAN, PCDG3_HUMAN, PCDG2_HUMAN, PCDG1_HUMAN, PCDG6_HUMAN, PCDG5_HUMAN, PCDG4_HUMAN
OG0000063	NV2t006566001.1, NV2t006567001.1, NV2t016902001.1, NV2t016903001.1, NV2t016901001.1, NV2t014687001.1, NV2t013953001.1, NV2t004129001.1	GRIA1_HUMAN, GRIA2_HUMAN, GRIA4_HUMAN, GRIA3_HUMAN, GRIK5_HUMAN, GRIK4_HUMAN, GRIK2_HUMAN, GRIK3_HUMAN, GRIK1_HUMAN
OG0000082	NV2t004851001.1	CRFR1_HUMAN, CRFR2_HUMAN, CALRL_HUMAN, CALCR_HUMAN, PTH1R_HUMAN, PTH2R_HUMAN, GLP2R_HUMAN, GLP1R_HUMAN, GLR_HUMAN, GIPR_HUMAN, SCTR_HUMAN, GHRHR_HUMAN, VIPR1_HUMAN, PACR_HUMAN, VIPR2_HUMAN
OG0000105	NV2t008024005.1, NV2t008024002.1, NV2t008024012.1, NV2t008024010.1, NV2t008024014.1, NV2t008024015.1, NV2t008024011.1, NV2t008024013.1, NV2t008024016.1, NV2t008024001.1, NV2t008024006.1, NV2t008024004.1, NV2t008024007.1, NV2t008024009.1, NV2t008024003.1, NV2t008024008.1	MYH16_HUMAN, MYH6_HUMAN, MYH7_HUMAN, MYH13_HUMAN, MYH3_HUMAN, MYH8_HUMAN, MYH2_HUMAN, MYH4_HUMAN, MYH1_HUMAN, MYH15_HUMAN, MYH7B_HUMAN
OG0000043	NV2t014294001.1, NV2t019940001.1, NV2t019860001.1, NV2t019866001.1, NV2t019861001.1, NV2t019858001.1, NV2t019864001.1, NV2t019863002.1, NV2t019863001.1, NV2t013658001.1	EPHA1_HUMAN, EPHA2_HUMAN, EPHB3_HUMAN, EPHB1_HUMAN, EPHB2_HUMAN, EPHB4_HUMAN, EPHB6_HUMAN, EPHA8_HUMAN, EPHAA_HUMAN, EPHA7_HUMAN, EPHA3_HUMAN, EPHA5_HUMAN, EPHA6_HUMAN, EPHA4_HUMAN
OG0000064	NV2t004279001.1, NV2t014172001.1	POGK_HUMAN
OG0000104	NV2t020920001.1, NV2t004581001.1, NV2t004581002.1, NV2t016712001.1, NV2t019935001.1, NV2t019935002.1, NV2t019938001.1, NV2t019939001.1, NV2t019931001.1, NV2t011923001.1, NV2t002668001.1, NV2t024749001.1, NV2t001006001.1, NV2t003325001.1, NV2t003325002.1, NV2t018893001.1, NV2t016159002.1, NV2t004982001.1, NV2t016159001.1, NV2t019089001.1, NV2t012134001.1, NV2t012134002.1, NV2t011320001.1, NV2t010407001.1, NV2t021525001.1, NV2t016051001.1, NV2t022201001.1, NV2t008550001.1, NV2t008549001.1, NV2t008548001.1, NV2t001001001.1	EDIL3_HUMAN, MFGM_HUMAN
OG0000049	NV2t025638001.1, NV2t025638002.1, NV2t014578001.1, NV2t014579001.1, NV2t010732001.1	GBP5_HUMAN, GBP1_HUMAN, GBP3_HUMAN, GBP2_HUMAN, GBP6_HUMAN, GBP4_HUMAN, GBP7_HUMAN
OG0000087	NV2t021932001.1, NV2t021932002.1, NV2t021932003.1, NV2t021932004.1, NV2t021932005.1, NV2t005945001.1, NV2t011067002.1, NV2t011067001.1, NV2t011070001.1, NV2t012117001.1	TLR2_HUMAN, TLR10_HUMAN, TLR6_HUMAN, TLR1_HUMAN
OG0000113	NV2t023689001.1, NV2t023689002.1, NV2t019339001.1, NV2t019339002.1, NV2t019340001.1, NV2t019340002.1, NV2t019340003.1, NV2t019340004.1, NV2t019340005.1, NV2t019340006.1, NV2t019340007.1, NV2t019340008.1, NV2t019340009.1, NV2t019340010.1, NV2t019340011.1, NV2t019340012.1, NV2t019340013.1, NV2t019749001.1, NV2t020774001.1, NV2t020205001.1	JDP2_HUMAN, ATF3_HUMAN, FOSB_HUMAN, FOS_HUMAN, FOSL1_HUMAN, FOSL2_HUMAN
OG0000109	NV2t006114001.1, NV2t006668001.1, NV2t006668002.1, NV2t006667002.1, NV2t006667003.1, NV2t006667001.1, NV2t006667004.1, NV2t015547001.1, NV2t015547003.1, NV2t015547002.1, NV2t015547004.1, NV2t006409001.1, NV2t021725001.1, NV2t024607001.1, NV2t024603001.1, NV2t024603002.1, NV2t024608002.1, NV2t024608003.1, NV2t024608001.1, NV2t024608004.1	CP3A5_HUMAN, CP343_HUMAN, CP3A4_HUMAN, CP3A7_HUMAN
OG0000120	NV2t025283001.1	K1958_HUMAN
OG0000129	NV2t000526001.1, NV2t000507001.1, NV2t020510001.1, NV2t020510002.1, NV2t020510003.1, NV2t020510004.1, NV2t020510005.1, NV2t020510006.1, NV2t020510007.1, NV2t020510008.1, NV2t020510009.1, NV2t020510010.1, NV2t001797001.1	LIPR3_HUMAN, LIPR1_HUMAN, LIPP_HUMAN, LIPR2_HUMAN, LIPI_HUMAN, LIPH_HUMAN
OG0000134	NV2t008147001.1, NV2t000712001.1, NV2t000715001.1, NV2t012555001.1	RN152_HUMAN
OG0000107	NV2t010727004.1, NV2t009295001.1, NV2t009373001.1, NV2t009372001.1, NV2t009287004.1, NV2t009287003.1, NV2t009287005.1, NV2t009287001.1, NV2t009287002.1, NV2t009290001.1, NV2t009290002.1, NV2t009290005.1, NV2t009361001.1, NV2t009361002.1, NV2t009374001.1, NV2t021786001.1, NV2t021785001.1, NV2t009359001.1, NV2t009302001.1, NV2t009305001.1, NV2t005727001.1, NV2t002216004.1, NV2t002216001.1, NV2t002216003.1, NV2t002216002.1	VWDE_HUMAN
OG0000130	NV2t008394001.1, NV2t008394002.1, NV2t008395001.1, NV2t008396001.1, NV2t008396002.1, NV2t009314001.1, NV2t009314002.1, NV2t008367001.1, NV2t008829001.1, NV2t008829002.1, NV2t008828001.1, NV2t008364004.1, NV2t008364001.1, NV2t008364002.1, NV2t008364003.1, NV2t009112004.1, NV2t009112003.1, NV2t009112002.1, NV2t009092001.1, NV2t009092002.1	TAGL_HUMAN, TAGL3_HUMAN, TAGL2_HUMAN, CNN3_HUMAN, CNN1_HUMAN, CNN2_HUMAN
OG0000060	NV2t022136001.1, NV2t021659001.1, NV2t021659002.1, NV2t021659003.1, NV2t021302002.1, NV2t021302001.1, NV2t021303001.1, NV2t022132001.1, NV2t022132002.1, NV2t011164002.1, NV2t011164001.1, NV2t011164003.1, NV2t011164004.1, NV2t003314001.1, NV2t003314002.1, NV2t003314003.1, NV2t003314004.1, NV2t000620001.1, NV2t009673001.1, NV2t010075001.1, NV2t010075002.1, NV2t010076001.1	GALR1_HUMAN, GALR3_HUMAN, GALR2_HUMAN
OG0000077	NV2t020152001.1	LRC31_HUMAN, RINI_HUMAN, NLRP6_HUMAN, NLRP3_HUMAN, NAL12_HUMAN, NAL10_HUMAN, NLRP1_HUMAN, CARD8_HUMAN, NALP7_HUMAN, NALP2_HUMAN, PYDC2_HUMAN, PYDC4_HUMAN, NALP8_HUMAN, NALP4_HUMAN, NAL11_HUMAN, NLRP9_HUMAN, NALP5_HUMAN, NAL14_HUMAN, NAL13_HUMAN
OG0000136	NV2t014070001.1, NV2t014049001.1, NV2t014050001.1, NV2t023706005.1, NV2t023706006.1, NV2t023706002.1, NV2t023706004.1, NV2t023706003.1, NV2t014041003.1, NV2t014041002.1, NV2t014041001.1, NV2t014043001.1, NV2t014046006.1, NV2t014048001.1, NV2t014047001.1, NV2t014046005.1, NV2t014046003.1, NV2t014046004.1, NV2t014046001.1, NV2t014046002.1, NV2t013522001.1, NV2t014093001.1	TEFF2_HUMAN, TEFF1_HUMAN
OG0000098	NV2t010370001.1, NV2t010398001.1, NV2t010398002.1, NV2t010691001.1, NV2t010691003.1, NV2t010691005.1, NV2t010691006.1, NV2t010691007.1, NV2t019675001.1, NV2t014920002.1, NV2t014920001.1, NV2t014921001.1, NV2t017697001.1	RPA43_HUMAN
OG0000108	NV2t025526001.1, NV2t022609001.1, NV2t022609002.1, NV2t022610001.1, NV2t019779002.1, NV2t019779001.1, NV2t006014001.1, NV2t006014002.1, NV2t018512001.1, NV2t017096001.1, NV2t017096002.1, NV2t015846001.1	MFAP4_HUMAN, FCN1_HUMAN, FCN2_HUMAN
OG0000139	NV2t024622001.1, NV2t024622002.1, NV2t006438001.1	NOTC1_HUMAN, NOTC3_HUMAN, NOTC2_HUMAN, NT2NA_HUMAN, NT2NC_HUMAN, NT2NB_HUMAN, NT2NR_HUMAN, NBPFP_HUMAN, NBPF9_HUMAN, NBPFF_HUMAN, NBPFJ_HUMAN, NBPFK_HUMAN, NBPFE_HUMAN, NBPFA_HUMAN, NBPF8_HUMAN, NBPF1_HUMAN, NBPFC_HUMAN, NBPFB_HUMAN, NBPF3_HUMAN, NBPF7_HUMAN, NBPF5_HUMAN, NBPF4_HUMAN, NBPF6_HUMAN, MYOME_HUMAN
OG0000170	NV2t012960002.1, NV2t021679004.1, NV2t008586001.1, NV2t008586002.1	TM135_HUMAN
OG0000021	NV2t024118001.1, NV2t019286001.1	NEGR1_HUMAN, LSAMP_HUMAN, IGLO5_HUMAN, OPCM_HUMAN, NTRI_HUMAN
OG0000069	NV2t014928001.1, NV2t014928002.1, NV2t013151001.1, NV2t013151002.1, NV2t013330001.1, NV2t013330002.1, NV2t013330003.1, NV2t013330005.1, NV2t013330006.1, NV2t013330004.1, NV2t012138003.1, NV2t012138001.1, NV2t012138002.1, NV2t012138004.1, NV2t014109002.1, NV2t014109001.1, NV2t014109003.1, NV2t014430001.1, NV2t014430002.1, NV2t014108001.1, NV2t014108002.1, NV2t014108003.1, NV2t014108004.1	EFNB3_HUMAN, EFNB1_HUMAN, EFNB2_HUMAN
OG0000085	NV2t009217001.1, NV2t005817001.1, NV2t017619001.1	CASR_HUMAN
OG0000162	NV2t020475001.1, NV2t020474001.1, NV2t020474002.1, NV2t016880001.1, NV2t001647001.1, NV2t003582001.1, NV2t008027001.1, NV2t008027002.1, NV2t010833001.1, NV2t010833003.1, NV2t010833002.1, NV2t019316002.1, NV2t019316003.1, NV2t019316001.1, NV2t019316004.1	MMP16_HUMAN, MMP24_HUMAN, MMP14_HUMAN, MMP15_HUMAN, MMP25_HUMAN
OG0000056	NV2t012928001.1, NV2t019331001.1, NV2t002846001.1	IF2P_HUMAN
OG0000084	NV2t025042001.1, NV2t008922001.1, NV2t008922002.1	NAIF1_HUMAN
OG0000106	NV2t021894001.1, NV2t007148001.1, NV2t004453001.1, NV2t020250001.1, NV2t008108001.1, NV2t008108002.1	H2B1A_HUMAN, H2B1M_HUMAN, H2B1D_HUMAN, H2B1C_HUMAN, H2B2C_HUMAN, H2B2D_HUMAN, H2B2E_HUMAN, H2B1J_HUMAN, H2B1K_HUMAN, H2BFS_HUMAN, H2B1O_HUMAN, H2B1H_HUMAN, H2B2F_HUMAN, H2B1B_HUMAN, H2B1N_HUMAN, H2B1L_HUMAN, H2B3B_HUMAN
OG0000128	NV2t000817001.1	MA13P_HUMAN, MAGC3_HUMAN, MAGC2_HUMAN, MAGC1_HUMAN, MAGAA_HUMAN, MAGAB_HUMAN, MAGA9_HUMAN, MAGA8_HUMAN, MAGA3_HUMAN, MAGA6_HUMAN, MAGA2_HUMAN, MAGAC_HUMAN, MAGA5_HUMAN, MAGA1_HUMAN, MAGA4_HUMAN, MAGBG_HUMAN, MAGBA_HUMAN, MAGB3_HUMAN, MAGB5_HUMAN, MAGB4_HUMAN, MAGB1_HUMAN, MAGB2_HUMAN, MAGBH_HUMAN, MAB6B_HUMAN, MAGB6_HUMAN, MAGBI_HUMAN, MAGF1_HUMAN, NSE3_HUMAN
OG0000168	NV2t025200001.1, NV2t025202001.1, NV2t021483001.1, NV2t021484001.1, NV2t002906001.1	EST3_HUMAN, EST5A_HUMAN, EST2_HUMAN, EST4A_HUMAN, CES1P_HUMAN, EST1_HUMAN, ACES_HUMAN, CHLE_HUMAN
OG0000142	NV2t024465001.1, NV2t001464001.1	ENK11_HUMAN, ENK13_HUMAN, ENK18_HUMAN, ENK5_HUMAN, ENK25_HUMAN, ENK6_HUMAN, EN113_HUMAN, ENK19_HUMAN, ERK25_HUMAN, RE113_HUMAN, REC19_HUMAN, REC6_HUMAN, REC9_HUMAN, REC04_HUMAN, REC16_HUMAN, REC21_HUMAN, RECK8_HUMAN, ENK21_HUMAN, ENK9_HUMAN, ENK8_HUMAN, ENK24_HUMAN, POK11_HUMAN, POK10_HUMAN, ENK7_HUMAN, POK7_HUMAN, POK6_HUMAN, POK25_HUMAN, POK18_HUMAN, POK8_HUMAN, PO113_HUMAN, POK19_HUMAN
OG0000166	NV2t022863001.1, NV2t022863003.1, NV2t022863002.1	SEM3E_HUMAN, SEM3G_HUMAN, SEM3B_HUMAN, SEM3A_HUMAN, SEM3D_HUMAN, SEM3C_HUMAN, SEM3F_HUMAN, SEM4D_HUMAN, SEM4G_HUMAN, SEM4C_HUMAN, SEM4F_HUMAN, SEM4B_HUMAN, SEM4A_HUMAN
OG0000178	NV2t020068001.1, NV2t020068002.1, NV2t014755001.1, NV2t014756001.1, NV2t000522001.1, NV2t000523001.1, NV2t002692001.1, NV2t002694001.1	ST1C3_HUMAN, ST1C4_HUMAN, ST1C2_HUMAN, ST1A2_HUMAN, ST1A1_HUMAN, ST1A3_HUMAN, ST1A4_HUMAN, ST1B1_HUMAN, ST1E1_HUMAN
OG0000187	NV2t006810001.1, NV2t023031001.1, NV2t023050001.1, NV2t022982002.1, NV2t022982001.1, NV2t023024001.1, NV2t023042001.1, NV2t023028001.1, NV2t022985001.1, NV2t023037001.1, NV2t023022001.1, NV2t016009001.1, NV2t023023001.1, NV2t023035001.1, NV2t023009001.1, NV2t023295001.1, NV2t023295002.1, NV2t023044001.1, NV2t022984001.1, NV2t022983001.1, NV2t023045001.1, NV2t022974002.1, NV2t023029001.1, NV2t023013001.1, NV2t005232001.1	CD320_HUMAN
