Orthogroup	Nvec	Acer
OG0000007	NV2t021653001.1	KAK2546688.1, KAK2551338.1, KAK2557560.1, KAK2548239.1
OG0000016	NV2t008555001.1	KAK2565130.1
OG0000016	NV2t009618001.1	KAK2565131.1
OG0000016	NV2t018622001.1	KAK2559581.1, KAK2559580.1, KAK2559583.1, KAK2572150.1, KAK2572365.1, KAK2572359.1
OG0000016	NV2t011008001.1, NV2t016530001.1, NV2t016530002.1, NV2t016530003.1, NV2t016530004.1, NV2t016530005.1	KAK2562365.1
OG0000016	NV2t010575001.1, NV2t010575005.1, NV2t010575002.1, NV2t010575004.1, NV2t010575003.1, NV2t010575006.1, NV2t010575007.1	KAK2573133.1
OG0000016	NV2t009619001.1, NV2t009619002.1, NV2t009619003.1	KAK2572853.1, KAK2572858.1, KAK2573228.1
OG0000016	NV2t002941001.1	KAK2572993.1
OG0000016	NV2t009730001.1, NV2t009730002.1	KAK2558350.1
OG0000016	NV2t009527001.1, NV2t009922001.1	KAK2563666.1
OG0000016	NV2t009996001.1	KAK2573106.1
OG0000016	NV2t010586001.1	KAK2563854.1
OG0000016	NV2t010100001.1	KAK2572748.1, KAK2572749.1
OG0000016	NV2t010102001.1	KAK2563852.1, KAK2572952.1, KAK2572951.1, KAK2572755.1, KAK2573187.1, KAK2572750.1, KAK2572753.1, KAK2572751.1
OG0000039	NV2t021126001.1	KAK2547128.1, KAK2547127.1, KAK2564599.1
OG0000039	NV2t011677001.1	KAK2567583.1, KAK2560861.1, KAK2567741.1, KAK2554734.1, KAK2553217.1, KAK2557890.1, KAK2566161.1, KAK2550623.1, KAK2553605.1, KAK2546981.1, KAK2556119.1, KAK2548339.1, KAK2568130.1, KAK2556828.1, KAK2557891.1, KAK2553967.1, KAK2556568.1, KAK2553214.1, KAK2555648.1, KAK2555647.1, KAK2552963.1, KAK2569303.1, KAK2557525.1, KAK2555649.1, KAK2553225.1, KAK2546720.1, KAK2557349.1, KAK2550432.1, KAK2555182.1, KAK2550430.1, KAK2566044.1, KAK2547310.1, KAK2554148.1, KAK2554147.1, KAK2549024.1, KAK2554197.1, KAK2550433.1, KAK2549212.1, KAK2555142.1, KAK2567673.1, KAK2565308.1, KAK2567674.1, KAK2555143.1, KAK2547302.1
OG0000039	NV2t017910001.1	KAK2554905.1
OG0000008	NV2t025372001.1, NV2t025372002.1	KAK2547537.1, KAK2567788.1, KAK2547540.1, KAK2546963.1, KAK2560668.1, KAK2552058.1, KAK2556475.1
OG0000008	NV2t024758001.1	KAK2552776.1, KAK2555738.1, KAK2554080.1
OG0000008	NV2t015019001.1	KAK2561770.1, KAK2548185.1, KAK2564297.1, KAK2547547.1, KAK2561769.1, KAK2547165.1, KAK2568043.1
OG0000008	NV2t001502001.1	KAK2551370.1, KAK2573322.1, KAK2554918.1, KAK2553495.1, KAK2547696.1, KAK2548103.1, KAK2573598.1, KAK2550846.1, KAK2551369.1, KAK2547124.1, KAK2559398.1, KAK2553048.1, KAK2561690.1, KAK2551541.1, KAK2551538.1, KAK2558807.1, KAK2561698.1, KAK2561691.1
OG0000038	NV2t011687001.1	KAK2547743.1
OG0000038	NV2t005346001.1, NV2t005347001.1	KAK2560741.1
OG0000038	NV2t017817001.1, NV2t017818001.1, NV2t017818002.1, NV2t017818003.1, NV2t017818005.1, NV2t017818004.1, NV2t017818006.1, NV2t017818007.1	KAK2558445.1
OG0000038	NV2t017679001.1	KAK2558443.1, KAK2558409.1
OG0000038	NV2t017813001.1	KAK2558448.1
OG0000038	NV2t017795001.1, NV2t018127001.1	KAK2558449.1
OG0000038	NV2t021256001.1	KAK2573252.1
OG0000038	NV2t005982001.1	KAK2559973.1
OG0000038	NV2t015750001.1	KAK2558343.1
OG0000038	NV2t018530001.1	KAK2558508.1
OG0000038	NV2t018519001.1	KAK2558473.1
OG0000038	NV2t018515001.1	KAK2558477.1
OG0000038	NV2t017365001.1	KAK2572270.1
OG0000038	NV2t018517001.1, NV2t018517002.1, NV2t018517003.1, NV2t018517004.1, NV2t018517005.1	KAK2558472.1
OG0000038	NV2t009418001.1	KAK2570591.1
OG0000038	NV2t021261001.1	KAK2573658.1, KAK2573798.1
OG0000061	NV2t025876001.1	KAK2571453.1, KAK2554198.1, KAK2568083.1, KAK2550359.1, KAK2550556.1, KAK2560105.1, KAK2567870.1, KAK2563774.1, KAK2573057.1, KAK2550248.1, KAK2550245.1, KAK2564048.1, KAK2551922.1, KAK2567872.1, KAK2550303.1, KAK2557205.1, KAK2558572.1, KAK2546707.1, KAK2554727.1, KAK2559957.1, KAK2552991.1, KAK2559527.1, KAK2552752.1, KAK2554196.1, KAK2568082.1, KAK2558924.1, KAK2556211.1, KAK2553563.1, KAK2553908.1, KAK2554880.1, KAK2547226.1, KAK2566452.1, KAK2568078.1, KAK2553033.1, KAK2554199.1, KAK2559074.1, KAK2554189.1, KAK2558002.1, KAK2570411.1, KAK2546948.1, KAK2568996.1, KAK2569286.1, KAK2561653.1, KAK2572045.1, KAK2563821.1, KAK2568839.1
OG0000076	NV2t020786001.1	KAK2557457.1, KAK2557456.1, KAK2559428.1, KAK2562955.1, KAK2559429.1, KAK2551604.1, KAK2550469.1, KAK2550537.1, KAK2550472.1, KAK2550335.1, KAK2550536.1
OG0000076	NV2t022104001.1, NV2t000731001.1, NV2t014303001.1, NV2t000395001.1, NV2t000483001.1, NV2t005513001.1, NV2t018668001.1, NV2t015634001.1, NV2t021766001.1, NV2t025934001.1, NV2t017235001.1, NV2t007152001.1, NV2t017804001.1, NV2t001899001.1, NV2t005775001.1	KAK2562692.1, KAK2550163.1, KAK2567125.1, KAK2564169.1
OG0000076	NV2t005384001.1	KAK2550157.1
OG0000015	NV2t011241001.1, NV2t011241002.1, NV2t011241004.1, NV2t011241003.1, NV2t011247001.1, NV2t011243001.1, NV2t011245001.1, NV2t011242001.1, NV2t008280001.1, NV2t008280002.1, NV2t009371008.1, NV2t009371010.1, NV2t009371012.1, NV2t009371009.1, NV2t009371004.1, NV2t009371007.1, NV2t009371015.1, NV2t009371016.1, NV2t009371006.1, NV2t009371011.1, NV2t009371013.1, NV2t009371014.1, NV2t009371003.1, NV2t009371005.1, NV2t009371001.1, NV2t009371002.1, NV2t009363015.1, NV2t009363010.1, NV2t009363008.1, NV2t009363005.1, NV2t009363016.1, NV2t009363011.1, NV2t009363009.1, NV2t009363003.1, NV2t009363001.1, NV2t009363004.1, NV2t009363007.1, NV2t009363014.1, NV2t009363006.1, NV2t009363002.1, NV2t009363012.1, NV2t009363013.1, NV2t009307006.1, NV2t009307009.1, NV2t009307010.1, NV2t009307017.1, NV2t008771001.1, NV2t009307001.1, NV2t009307005.1, NV2t009303003.1, NV2t009303002.1, NV2t009307019.1, NV2t009307004.1, NV2t009307016.1, NV2t009307003.1, NV2t009363020.1, NV2t009363018.1, NV2t009363019.1, NV2t009363017.1, NV2t009303004.1, NV2t009303010.1, NV2t009303012.1, NV2t009303011.1, NV2t009303007.1, NV2t009303009.1, NV2t009303008.1, NV2t009303005.1, NV2t009303006.1, NV2t009303001.1, NV2t009307002.1, NV2t009307021.1, NV2t009307020.1, NV2t009307008.1, NV2t009307015.1, NV2t009307007.1, NV2t009307014.1, NV2t009307022.1, NV2t009307023.1, NV2t009307011.1, NV2t009307012.1, NV2t009307013.1, NV2t009307018.1	KAK2556800.1, KAK2556804.1, KAK2556806.1
OG0000031	NV2t009180001.1	KAK2549842.1
OG0000031	NV2t019115001.1	KAK2560689.1
OG0000031	NV2t022893003.1	KAK2559397.1, KAK2550551.1
OG0000047	NV2t015545001.1	KAK2562233.1, KAK2562236.1
OG0000047	NV2t017123001.1	KAK2562235.1, KAK2562237.1, KAK2562238.1
OG0000072	NV2t010237001.1, NV2t019451001.1, NV2t005755001.1, NV2t007620001.1, NV2t004364001.1, NV2t025406001.1, NV2t015343001.1, NV2t018128001.1	KAK2555788.1, KAK2554171.1, KAK2564500.1, KAK2554066.1
OG0000072	NV2t018688001.1, NV2t009325001.1, NV2t009659001.1, NV2t015180001.1, NV2t025784003.1, NV2t014097001.1, NV2t025784001.1, NV2t015173001.1, NV2t025784002.1	KAK2549162.1, KAK2548521.1, KAK2549163.1, KAK2547383.1
OG0000072	NV2t018627001.1	KAK2549524.1
OG0000003	NV2t023758001.1	KAK2551387.1, KAK2554191.1, KAK2559189.1, KAK2550122.1, KAK2562546.1
OG0000003	NV2t012317001.1	KAK2552047.1, KAK2557441.1, KAK2552751.1, KAK2559246.1, KAK2565683.1, KAK2556149.1, KAK2561962.1, KAK2550120.1, KAK2559292.1, KAK2557439.1, KAK2547040.1, KAK2558986.1, KAK2557440.1, KAK2558989.1, KAK2558615.1, KAK2549164.1, KAK2564145.1, KAK2549093.1, KAK2551152.1, KAK2564292.1, KAK2549266.1, KAK2551972.1, KAK2558593.1, KAK2564178.1, KAK2548873.1, KAK2568081.1, KAK2567995.1, KAK2551374.1, KAK2548030.1, KAK2548101.1, KAK2550345.1, KAK2547344.1, KAK2547153.1, KAK2549002.1, KAK2556136.1, KAK2548746.1, KAK2559234.1, KAK2565538.1, KAK2568837.1, KAK2564355.1, KAK2559196.1, KAK2550179.1, KAK2552424.1, KAK2559197.1, KAK2561777.1, KAK2556263.1, KAK2552976.1, KAK2552977.1, KAK2566262.1, KAK2548902.1, KAK2553545.1, KAK2571006.1, KAK2570197.1, KAK2558840.1, KAK2558859.1, KAK2548093.1, KAK2572194.1, KAK2549560.1, KAK2548094.1, KAK2556137.1, KAK2556007.1, KAK2560716.1, KAK2549325.1, KAK2549848.1, KAK2555107.1, KAK2561190.1, KAK2552461.1, KAK2560181.1, KAK2551765.1, KAK2567873.1, KAK2564043.1, KAK2570280.1, KAK2549324.1, KAK2562452.1, KAK2562725.1, KAK2570323.1, KAK2551620.1, KAK2556398.1, KAK2561213.1, KAK2573748.1, KAK2559396.1, KAK2554908.1, KAK2551954.1, KAK2550077.1, KAK2559012.1, KAK2546994.1, KAK2549204.1, KAK2568668.1, KAK2562264.1, KAK2557575.1, KAK2558858.1, KAK2564032.1, KAK2552079.1, KAK2557025.1, KAK2558004.1, KAK2553111.1, KAK2548081.1, KAK2561694.1, KAK2568407.1, KAK2570067.1, KAK2552033.1, KAK2554027.1, KAK2555189.1, KAK2548084.1, KAK2564321.1, KAK2555775.1, KAK2547008.1, KAK2560680.1, KAK2548698.1, KAK2569529.1, KAK2553584.1, KAK2555766.1, KAK2555242.1, KAK2556279.1, KAK2565849.1, KAK2568404.1, KAK2570273.1, KAK2559341.1, KAK2564252.1, KAK2555195.1, KAK2568524.1, KAK2568526.1, KAK2564530.1, KAK2562496.1, KAK2562495.1, KAK2568754.1, KAK2554036.1, KAK2562930.1, KAK2552373.1, KAK2557015.1, KAK2562929.1, KAK2553559.1, KAK2561418.1, KAK2564489.1, KAK2562471.1, KAK2550439.1, KAK2554859.1, KAK2561826.1, KAK2559072.1, KAK2564679.1, KAK2547049.1, KAK2561964.1, KAK2549129.1, KAK2561781.1, KAK2555197.1, KAK2561790.1, KAK2559142.1, KAK2553586.1, KAK2549578.1, KAK2547371.1, KAK2549285.1, KAK2549290.1, KAK2547388.1, KAK2555890.1, KAK2562500.1, KAK2554860.1, KAK2556258.1, KAK2548996.1, KAK2562405.1, KAK2556256.1, KAK2561881.1, KAK2555808.1, KAK2556363.1, KAK2559326.1, KAK2550748.1, KAK2551339.1, KAK2551344.1
OG0000017	NV2t007368001.1, NV2t007368002.1, NV2t007368003.1, NV2t007369001.1	KAK2572147.1, KAK2572148.1, KAK2549548.1, KAK2547122.1, KAK2559466.1, KAK2572800.1, KAK2569167.1, KAK2560838.1, KAK2547123.1, KAK2562008.1, KAK2564587.1, KAK2548038.1, KAK2549080.1, KAK2570676.1, KAK2570799.1, KAK2564325.1, KAK2562851.1, KAK2566565.1, KAK2547214.1, KAK2551777.1, KAK2547854.1, KAK2548993.1, KAK2566377.1, KAK2553023.1, KAK2572183.1, KAK2548737.1, KAK2564540.1, KAK2558765.1, KAK2559249.1, KAK2546703.1, KAK2547412.1, KAK2547231.1, KAK2549811.1, KAK2557414.1, KAK2562942.1, KAK2570474.1, KAK2549053.1, KAK2559041.1, KAK2568809.1, KAK2568094.1, KAK2554850.1, KAK2570691.1, KAK2568672.1, KAK2557413.1, KAK2551626.1, KAK2562941.1, KAK2560145.1, KAK2566192.1, KAK2551091.1, KAK2547595.1, KAK2557530.1, KAK2547594.1, KAK2551089.1, KAK2547706.1, KAK2562572.1, KAK2547311.1, KAK2547707.1, KAK2549388.1, KAK2554847.1, KAK2557552.1, KAK2558774.1, KAK2567505.1, KAK2548031.1
OG0000017	NV2t000181001.1	KAK2549615.1, KAK2553836.1, KAK2549614.1, KAK2557038.1, KAK2546631.1, KAK2569915.1, KAK2555958.1, KAK2569624.1, KAK2556902.1, KAK2569817.1
OG0000037	NV2t025517001.1, NV2t006046001.1	KAK2549573.1, KAK2548314.1, KAK2549571.1, KAK2561742.1, KAK2552154.1, KAK2558618.1, KAK2566099.1, KAK2552153.1, KAK2568036.1, KAK2571665.1, KAK2561865.1, KAK2571227.1, KAK2561757.1, KAK2562793.1, KAK2550745.1
OG0000037	NV2t009940001.1	KAK2571485.1, KAK2550114.1, KAK2548291.1, KAK2555443.1, KAK2563359.1, KAK2564778.1, KAK2558882.1, KAK2572357.1, KAK2561127.1, KAK2557805.1, KAK2548160.1, KAK2558900.1, KAK2555912.1, KAK2558879.1, KAK2569571.1, KAK2564027.1, KAK2553973.1, KAK2548485.1, KAK2572910.1, KAK2573203.1
OG0000037	NV2t021398001.1, NV2t004708001.1, NV2t023025001.1, NV2t013854001.1, NV2t010347001.1, NV2t002121001.1	KAK2568976.1, KAK2550693.1, KAK2558651.1, KAK2556062.1, KAK2551621.1, KAK2561744.1, KAK2571415.1, KAK2569726.1, KAK2569725.1, KAK2564046.1, KAK2558772.1, KAK2558773.1
OG0000037	NV2t025040001.1, NV2t014952001.1	KAK2569438.1
OG0000052	NV2t021742001.1	KAK2568705.1, KAK2548100.1, KAK2551664.1, KAK2551663.1, KAK2564368.1, KAK2551665.1, KAK2564367.1, KAK2550067.1, KAK2561807.1, KAK2557300.1, KAK2570285.1, KAK2561806.1, KAK2559361.1, KAK2547176.1, KAK2559409.1, KAK2564463.1, KAK2547066.1, KAK2547569.1, KAK2548647.1, KAK2559417.1, KAK2562977.1, KAK2547823.1, KAK2546895.1, KAK2559418.1, KAK2560784.1, KAK2553208.1, KAK2554902.1, KAK2554086.1, KAK2556195.1, KAK2547536.1, KAK2556130.1, KAK2554875.1, KAK2563305.1, KAK2558835.1, KAK2557043.1, KAK2565690.1, KAK2567920.1, KAK2548381.1, KAK2570080.1, KAK2566118.1, KAK2549503.1, KAK2565701.1, KAK2558188.1, KAK2553548.1, KAK2563996.1, KAK2570926.1, KAK2570164.1, KAK2548061.1, KAK2564606.1, KAK2565700.1
OG0000068	NV2t024665001.1, NV2t008559001.1, NV2t008559002.1, NV2t008559003.1, NV2t004393001.1, NV2t000552001.1, NV2t014254001.1	KAK2556527.1
OG0000068	NV2t007813001.1, NV2t022519001.1	KAK2560187.1, KAK2560185.1, KAK2560238.1, KAK2560186.1, KAK2560237.1
OG0000068	NV2t003540001.1	KAK2563589.1
OG0000068	NV2t003656001.1, NV2t003661001.1	KAK2563587.1
OG0000068	NV2t000500001.1, NV2t000497001.1, NV2t000495001.1, NV2t000498001.1	KAK2556352.1, KAK2556351.1, KAK2556447.1, KAK2558088.1, KAK2561866.1, KAK2574433.1, KAK2551011.1, KAK2551012.1, KAK2553140.1, KAK2562758.1, KAK2572838.1
OG0000000	NV2t009950001.1	KAK2549296.1, KAK2562736.1, KAK2565661.1, KAK2548275.1, KAK2551943.1, KAK2555389.1, KAK2551090.1, KAK2551944.1
OG0000000	NV2t010480001.1, NV2t000299001.1, NV2t000299002.1	KAK2549263.1, KAK2571587.1, KAK2551946.1, KAK2551086.1, KAK2551592.1, KAK2551544.1, KAK2551591.1, KAK2552803.1, KAK2553065.1, KAK2564450.1, KAK2553066.1
OG0000000	NV2t006904001.1, NV2t024459001.1	KAK2559240.1, KAK2555355.1, KAK2560659.1
OG0000000	NV2t019579001.1	KAK2552743.1, KAK2549843.1, KAK2554049.1, KAK2560970.1, KAK2561756.1, KAK2564074.1, KAK2568012.1, KAK2549083.1, KAK2564647.1, KAK2553645.1, KAK2558854.1, KAK2547269.1, KAK2556999.1, KAK2548062.1, KAK2547271.1, KAK2548065.1, KAK2558779.1, KAK2549338.1, KAK2552773.1, KAK2549330.1, KAK2572925.1, KAK2549339.1, KAK2564352.1, KAK2558624.1, KAK2558892.1, KAK2552807.1, KAK2547504.1, KAK2552366.1, KAK2546807.1, KAK2557513.1, KAK2559811.1, KAK2551372.1, KAK2548274.1, KAK2564674.1, KAK2566453.1, KAK2550689.1, KAK2564666.1, KAK2551371.1, KAK2559286.1, KAK2559407.1, KAK2556964.1, KAK2551963.1, KAK2550393.1, KAK2563193.1, KAK2561528.1, KAK2563196.1, KAK2559274.1, KAK2560089.1, KAK2550695.1, KAK2563195.1, KAK2561453.1, KAK2572805.1, KAK2546690.1, KAK2572917.1, KAK2546691.1, KAK2550140.1, KAK2559406.1, KAK2556429.1, KAK2557299.1, KAK2562403.1, KAK2552837.1, KAK2563948.1, KAK2553646.1, KAK2548231.1
OG0000000	NV2t000766001.1	KAK2554083.1, KAK2560684.1
OG0000000	NV2t017884001.1	KAK2562770.1, KAK2547470.1, KAK2548196.1, KAK2562243.1, KAK2564565.1, KAK2564559.1, KAK2549278.1, KAK2551629.1, KAK2549279.1, KAK2550413.1, KAK2560812.1, KAK2558891.1, KAK2551984.1
OG0000000	NV2t004634001.1	KAK2556969.1, KAK2558647.1, KAK2568584.1, KAK2552136.1
OG0000000	NV2t005891002.1, NV2t005891003.1	KAK2564054.1, KAK2547894.1, KAK2558534.1
OG0000000	NV2t019013001.1	KAK2547120.1, KAK2552409.1, KAK2546744.1, KAK2551635.1, KAK2551939.1, KAK2562729.1, KAK2555847.1, KAK2560823.1, KAK2546618.1, KAK2572293.1, KAK2566307.1, KAK2547003.1, KAK2560645.1, KAK2553368.1, KAK2573522.1, KAK2568332.1, KAK2554755.1, KAK2557501.1, KAK2572193.1, KAK2551482.1, KAK2556169.1, KAK2547002.1, KAK2554758.1, KAK2546619.1, KAK2566374.1, KAK2551481.1, KAK2549464.1, KAK2551360.1, KAK2557507.1, KAK2571539.1, KAK2571538.1, KAK2559519.1, KAK2548212.1, KAK2570905.1, KAK2547184.1, KAK2553629.1, KAK2551361.1, KAK2549265.1, KAK2571265.1, KAK2560822.1, KAK2573521.1, KAK2569319.1, KAK2553369.1, KAK2572294.1, KAK2568331.1, KAK2570013.1
OG0000000	NV2t017565001.1	KAK2553631.1, KAK2564578.1, KAK2548059.1, KAK2555791.1, KAK2568972.1, KAK2562703.1, KAK2550655.1, KAK2555250.1, KAK2559030.1, KAK2559566.1, KAK2555141.1
OG0000000	NV2t009762001.1	KAK2564155.1, KAK2553064.1, KAK2556043.1, KAK2550594.1, KAK2559023.1, KAK2562809.1, KAK2565115.1, KAK2551494.1, KAK2565830.1, KAK2567813.1, KAK2568064.1, KAK2558216.1, KAK2565724.1, KAK2563558.1, KAK2562998.1, KAK2572772.1
OG0000033	NV2t015297001.1	KAK2549815.1, KAK2566945.1
OG0000033	NV2t018044001.1	KAK2546919.1, KAK2549387.1, KAK2548711.1, KAK2564430.1, KAK2549003.1, KAK2548345.1, KAK2571705.1, KAK2549112.1, KAK2559294.1, KAK2552432.1, KAK2556303.1, KAK2566185.1, KAK2556304.1, KAK2553041.1, KAK2564415.1, KAK2562721.1, KAK2548648.1, KAK2550734.1, KAK2558698.1, KAK2564589.1, KAK2555718.1, KAK2564474.1, KAK2556310.1, KAK2561200.1, KAK2548998.1, KAK2552040.1, KAK2564039.1, KAK2560786.1, KAK2567899.1, KAK2560787.1, KAK2551399.1, KAK2550728.1, KAK2550700.1, KAK2551985.1, KAK2560027.1, KAK2551458.1, KAK2558768.1, KAK2552431.1, KAK2570136.1, KAK2549131.1, KAK2551533.1, KAK2549550.1, KAK2549551.1, KAK2572101.1, KAK2553516.1, KAK2567964.1, KAK2571868.1, KAK2549040.1, KAK2558694.1, KAK2556361.1, KAK2564675.1, KAK2548483.1, KAK2549142.1, KAK2549114.1, KAK2567245.1, KAK2551446.1, KAK2558494.1, KAK2550516.1, KAK2547172.1
OG0000058	NV2t000773002.1, NV2t000773004.1, NV2t000773005.1, NV2t000773003.1, NV2t000773006.1	KAK2555581.1
OG0000058	NV2t000773001.1	KAK2555580.1
OG0000067	NV2t024024001.1	KAK2550028.1, KAK2573647.1
