Orthogroup	Nvec	Gfas
OG0000002	NV2t009731001.1	gfas1.m1.22911.m1, gfas1.m1.10547.m1, gfas1.m1.10546.m1, gfas1.m1.119.m1
OG0000002	NV2t014358001.1, NV2t014358002.1	gfas1.m1.19503.m1
OG0000002	NV2t008679001.1	gfas1.m1.9376.m1, gfas1.m1.5964.m1, gfas1.m1.10395.m1, gfas1.m1.21954.m1, gfas1.m1.11874.m1, gfas1.m1.3993.m1, gfas1.m1.9375.m1, gfas1.m1.12244.m1
OG0000002	NV2t010243001.1, NV2t010243002.1, NV2t014643001.1, NV2t020787001.1, NV2t013623001.1, NV2t004309001.1	gfas1.m1.6859.m1, gfas1.m1.11438.m1, gfas1.m1.6671.m1, gfas1.m1.10393.m1, gfas1.m1.12567.m1, gfas1.m1.11972.m1, gfas1.m1.19997.m1, gfas1.m1.13027.m1, gfas1.m1.10978.m1, gfas1.m1.11202.m1, gfas1.m1.20147.m1, gfas1.m1.1723.m1, gfas1.m1.11437.m1, gfas1.m1.11333.m1, gfas1.m1.4638.m1
OG0000002	NV2t019489001.1, NV2t016090001.1, NV2t010474001.1, NV2t024006001.1, NV2t020788001.1, NV2t019485001.1, NV2t019486001.1, NV2t019486002.1	gfas1.m1.21312.m1
OG0000002	NV2t020785001.1	gfas1.m1.10093.m1, gfas1.m1.20389.m1
OG0000002	NV2t017327001.1	gfas1.m1.22602.m1, gfas1.m1.11312.m1, gfas1.m1.21727.m1, gfas1.m1.22488.m1, gfas1.m1.12807.m1, gfas1.m1.4647.m1, gfas1.m1.12773.m1, gfas1.m1.19063.m1, gfas1.m1.9551.m1, gfas1.m1.4646.m1
OG0000002	NV2t025186001.1	gfas1.m1.22746.m1, gfas1.m1.20867.m1, gfas1.m1.22482.m1, gfas1.m1.17965.m1, gfas1.m1.18012.m1
OG0000003	NV2t015016001.1, NV2t011903001.1, NV2t011904003.1, NV2t011904006.1, NV2t011904009.1, NV2t011904004.1, NV2t011904011.1, NV2t011904017.1, NV2t011904007.1, NV2t011904008.1, NV2t011904010.1, NV2t011904013.1, NV2t011904014.1, NV2t011904016.1, NV2t011904015.1, NV2t011904001.1, NV2t011904002.1, NV2t011904005.1, NV2t011904012.1, NV2t014524001.1	gfas1.m1.3630.m1
OG0000003	NV2t025182001.1	gfas1.m1.22896.m1, gfas1.m1.19143.m1, gfas1.m1.14084.m1, gfas1.m1.8993.m1, gfas1.m1.18156.m1, gfas1.m1.20843.m1
OG0000003	NV2t010176001.1, NV2t023746001.1, NV2t019957001.1, NV2t008000001.1, NV2t022307001.1, NV2t022306001.1, NV2t020124001.1, NV2t020124002.1, NV2t020124004.1, NV2t020124003.1, NV2t020124005.1	gfas1.m1.14902.m1
OG0000003	NV2t007079001.1	gfas1.m1.12491.m1, gfas1.m1.20728.m1, gfas1.m1.12592.m1, gfas1.m1.21918.m1, gfas1.m1.12236.m1, gfas1.m1.11467.m1, gfas1.m1.21861.m1, gfas1.m1.12594.m1, gfas1.m1.12392.m1, gfas1.m1.11096.m1, gfas1.m1.21355.m1, gfas1.m1.12398.m1, gfas1.m1.10215.m1, gfas1.m1.6710.m1, gfas1.m1.3070.m1, gfas1.m1.6707.m1, gfas1.m1.22754.m1, gfas1.m1.12538.m1, gfas1.m1.1413.m1, gfas1.m1.1415.m1, gfas1.m1.1412.m1, gfas1.m1.16160.m1, gfas1.m1.13245.m1
OG0000003	NV2t006411001.1	gfas1.m1.20842.m1
OG0000003	NV2t014921001.1, NV2t014920001.1, NV2t014920002.1	gfas1.m1.10889.m1, gfas1.m1.17230.m1, gfas1.m1.21592.m1, gfas1.m1.12045.m1, gfas1.m1.8483.m1, gfas1.m1.8481.m1
OG0000003	NV2t008771001.1, NV2t009307006.1, NV2t009307009.1, NV2t009307010.1, NV2t009307017.1	gfas1.m1.818.m1, gfas1.m1.3787.m1
OG0000003	NV2t000849001.1	gfas1.m1.23110.m1
OG0000003	NV2t010370001.1, NV2t010398001.1, NV2t006474001.1	gfas1.m1.8970.m1, gfas1.m1.6553.m1, gfas1.m1.19483.m1, gfas1.m1.19092.m1, gfas1.m1.20425.m1, gfas1.m1.21393.m1, gfas1.m1.10225.m1, gfas1.m1.8021.m1, gfas1.m1.20890.m1, gfas1.m1.8022.m1, gfas1.m1.22998.m1, gfas1.m1.7052.m1, gfas1.m1.1644.m1, gfas1.m1.4113.m1
OG0000003	NV2t005046001.1	gfas1.m1.10245.m1, gfas1.m1.10249.m1, gfas1.m1.23328.m1, gfas1.m1.17277.m1, gfas1.m1.18060.m1, gfas1.m1.8226.m1, gfas1.m1.7086.m1, gfas1.m1.7085.m1, gfas1.m1.12615.m1, gfas1.m1.9607.m1, gfas1.m1.5450.m1, gfas1.m1.9608.m1, gfas1.m1.22196.m1, gfas1.m1.9612.m1, gfas1.m1.2682.m1
OG0000003	NV2t016998001.1, NV2t024865001.1	gfas1.m1.4746.m1
OG0000003	NV2t003071001.1, NV2t001244001.1, NV2t025572001.1	gfas1.m1.12843.m1
OG0000003	NV2t007390001.1	gfas1.m1.23681.m1
OG0000004	NV2t021535001.1, NV2t021535003.1, NV2t021535002.1	gfas1.m1.10942.m1, gfas1.m1.21454.m1, gfas1.m1.6253.m1, gfas1.m1.12648.m1, gfas1.m1.11031.m1, gfas1.m1.21241.m1, gfas1.m1.12826.m1, gfas1.m1.12472.m1, gfas1.m1.21134.m1, gfas1.m1.11881.m1, gfas1.m1.4300.m1, gfas1.m1.11445.m1, gfas1.m1.9980.m1, gfas1.m1.10912.m1, gfas1.m1.22143.m1, gfas1.m1.12961.m1, gfas1.m1.22335.m1, gfas1.m1.12294.m1, gfas1.m1.22306.m1, gfas1.m1.11642.m1, gfas1.m1.3316.m1, gfas1.m1.3317.m1, gfas1.m1.10915.m1, gfas1.m1.10913.m1, gfas1.m1.23858.m1, gfas1.m1.11640.m1, gfas1.m1.12051.m1, gfas1.m1.3318.m1, gfas1.m1.21150.m1, gfas1.m1.21385.m1, gfas1.m1.21977.m1, gfas1.m1.11100.m1, gfas1.m1.21760.m1, gfas1.m1.10756.m1, gfas1.m1.3250.m1, gfas1.m1.22870.m1, gfas1.m1.20870.m1, gfas1.m1.9265.m1, gfas1.m1.23553.m1, gfas1.m1.23552.m1
OG0000004	NV2t019855001.1, NV2t019862001.1	gfas1.m1.4308.m1, gfas1.m1.13605.m1, gfas1.m1.13020.m1, gfas1.m1.22127.m1, gfas1.m1.13616.m1, gfas1.m1.13617.m1, gfas1.m1.13270.m1, gfas1.m1.12147.m1, gfas1.m1.12404.m1, gfas1.m1.12928.m1, gfas1.m1.22795.m1, gfas1.m1.13040.m1, gfas1.m1.5676.m1, gfas1.m1.12286.m1, gfas1.m1.837.m1, gfas1.m1.10746.m1, gfas1.m1.13091.m1, gfas1.m1.10085.m1, gfas1.m1.22678.m1, gfas1.m1.6836.m1, gfas1.m1.21792.m1, gfas1.m1.12339.m1, gfas1.m1.5522.m1, gfas1.m1.5524.m1, gfas1.m1.10899.m1, gfas1.m1.6832.m1, gfas1.m1.6833.m1, gfas1.m1.11584.m1, gfas1.m1.20397.m1, gfas1.m1.10900.m1, gfas1.m1.6835.m1, gfas1.m1.20619.m1, gfas1.m1.12340.m1, gfas1.m1.3264.m1, gfas1.m1.11099.m1, gfas1.m1.19476.m1
OG0000004	NV2t022081001.1	gfas1.m1.23902.m1, gfas1.m1.11444.m1, gfas1.m1.3251.m1, gfas1.m1.11443.m1, gfas1.m1.12307.m1, gfas1.m1.12768.m1, gfas1.m1.3263.m1, gfas1.m1.21050.m1, gfas1.m1.21759.m1, gfas1.m1.23691.m1, gfas1.m1.7798.m1, gfas1.m1.11882.m1, gfas1.m1.22732.m1, gfas1.m1.9212.m1, gfas1.m1.23817.m1, gfas1.m1.9213.m1, gfas1.m1.11641.m1, gfas1.m1.20605.m1, gfas1.m1.20876.m1, gfas1.m1.11002.m1, gfas1.m1.19951.m1, gfas1.m1.21535.m1, gfas1.m1.10755.m1, gfas1.m1.21978.m1, gfas1.m1.21937.m1, gfas1.m1.12701.m1, gfas1.m1.11479.m1, gfas1.m1.9982.m1, gfas1.m1.21384.m1, gfas1.m1.11033.m1, gfas1.m1.10914.m1, gfas1.m1.21135.m1, gfas1.m1.10941.m1, gfas1.m1.11976.m1, gfas1.m1.11374.m1, gfas1.m1.3252.m1, gfas1.m1.3253.m1
OG0000005	NV2t003955001.1	gfas1.m1.1068.m1, gfas1.m1.10862.m1, gfas1.m1.21490.m1, gfas1.m1.10002.m1, gfas1.m1.12688.m1
OG0000005	NV2t005156001.1, NV2t022830001.1, NV2t004892001.1	gfas1.m1.22807.m1
OG0000005	NV2t024659001.1, NV2t024659002.1	gfas1.m1.11037.m1, gfas1.m1.17169.m1, gfas1.m1.23366.m1, gfas1.m1.2976.m1, gfas1.m1.11440.m1, gfas1.m1.11249.m1, gfas1.m1.8377.m1, gfas1.m1.12373.m1, gfas1.m1.11808.m1, gfas1.m1.4669.m1, gfas1.m1.3859.m1, gfas1.m1.2910.m1, gfas1.m1.23603.m1, gfas1.m1.17745.m1, gfas1.m1.21437.m1, gfas1.m1.22987.m1, gfas1.m1.21935.m1, gfas1.m1.21232.m1, gfas1.m1.17238.m1
OG0000005	NV2t025003001.1	gfas1.m1.5380.m1, gfas1.m1.20002.m1, gfas1.m1.11223.m1, gfas1.m1.22797.m1, gfas1.m1.21439.m1, gfas1.m1.471.m1, gfas1.m1.21481.m1, gfas1.m1.16895.m1, gfas1.m1.23165.m1, gfas1.m1.11225.m1, gfas1.m1.4179.m1, gfas1.m1.8595.m1, gfas1.m1.23400.m1, gfas1.m1.3856.m1, gfas1.m1.22577.m1, gfas1.m1.23936.m1, gfas1.m1.9115.m1, gfas1.m1.22177.m1, gfas1.m1.13012.m1, gfas1.m1.22929.m1, gfas1.m1.17392.m1, gfas1.m1.19326.m1, gfas1.m1.4147.m1, gfas1.m1.20727.m1, gfas1.m1.19804.m1, gfas1.m1.19801.m1, gfas1.m1.10696.m1, gfas1.m1.8559.m1, gfas1.m1.20916.m1, gfas1.m1.22377.m1, gfas1.m1.21148.m1, gfas1.m1.736.m1, gfas1.m1.17692.m1, gfas1.m1.13056.m1, gfas1.m1.20289.m1, gfas1.m1.21587.m1, gfas1.m1.17023.m1, gfas1.m1.20791.m1, gfas1.m1.10496.m1, gfas1.m1.10081.m1, gfas1.m1.6703.m1, gfas1.m1.18075.m1, gfas1.m1.11982.m1, gfas1.m1.21098.m1, gfas1.m1.945.m1, gfas1.m1.12270.m1, gfas1.m1.21174.m1, gfas1.m1.11998.m1
OG0000005	NV2t013549001.1	gfas1.m1.10036.m1, gfas1.m1.1649.m1, gfas1.m1.9812.m1, gfas1.m1.23135.m1, gfas1.m1.18050.m1, gfas1.m1.12466.m1, gfas1.m1.7934.m1, gfas1.m1.8535.m1, gfas1.m1.22567.m1, gfas1.m1.4884.m1, gfas1.m1.19995.m1, gfas1.m1.9372.m1, gfas1.m1.18155.m1, gfas1.m1.14306.m1, gfas1.m1.23006.m1, gfas1.m1.18271.m1, gfas1.m1.9814.m1, gfas1.m1.12699.m1, gfas1.m1.6241.m1, gfas1.m1.10699.m1, gfas1.m1.23041.m1, gfas1.m1.21725.m1, gfas1.m1.12596.m1, gfas1.m1.13140.m1, gfas1.m1.22087.m1, gfas1.m1.22799.m1, gfas1.m1.22014.m1, gfas1.m1.21800.m1, gfas1.m1.11220.m1, gfas1.m1.8558.m1, gfas1.m1.20773.m1, gfas1.m1.8171.m1, gfas1.m1.12334.m1, gfas1.m1.18205.m1, gfas1.m1.7067.m1, gfas1.m1.21928.m1, gfas1.m1.10679.m1, gfas1.m1.10387.m1, gfas1.m1.11657.m1, gfas1.m1.16580.m1, gfas1.m1.22914.m1, gfas1.m1.12182.m1, gfas1.m1.8141.m1, gfas1.m1.21988.m1, gfas1.m1.11449.m1, gfas1.m1.20973.m1, gfas1.m1.8858.m1
OG0000005	NV2t006661001.1	gfas1.m1.16826.m1, gfas1.m1.16825.m1, gfas1.m1.21567.m1, gfas1.m1.22468.m1, gfas1.m1.22684.m1, gfas1.m1.10587.m1, gfas1.m1.11964.m1, gfas1.m1.10586.m1, gfas1.m1.21064.m1
OG0000008	NV2t015019001.1	gfas1.m1.11092.m1
OG0000008	NV2t024758001.1	gfas1.m1.20063.m1, gfas1.m1.19854.m1, gfas1.m1.21983.m1, gfas1.m1.9609.m1, gfas1.m1.22318.m1, gfas1.m1.21742.m1, gfas1.m1.9610.m1, gfas1.m1.12550.m1, gfas1.m1.21740.m1, gfas1.m1.974.m1, gfas1.m1.22068.m1, gfas1.m1.23771.m1, gfas1.m1.20325.m1, gfas1.m1.20140.m1, gfas1.m1.20138.m1, gfas1.m1.20139.m1, gfas1.m1.11706.m1, gfas1.m1.20324.m1, gfas1.m1.6307.m1, gfas1.m1.14471.m1, gfas1.m1.2804.m1, gfas1.m1.18473.m1, gfas1.m1.6314.m1
OG0000008	NV2t003718002.1	gfas1.m1.13045.m1, gfas1.m1.20098.m1, gfas1.m1.20068.m1, gfas1.m1.23010.m1, gfas1.m1.8146.m1
OG0000008	NV2t021181001.1	gfas1.m1.10528.m1, gfas1.m1.21335.m1, gfas1.m1.21229.m1, gfas1.m1.335.m1, gfas1.m1.20507.m1, gfas1.m1.11452.m1
OG0000008	NV2t023721001.1	gfas1.m1.11833.m1, gfas1.m1.21609.m1, gfas1.m1.11057.m1, gfas1.m1.23115.m1, gfas1.m1.5573.m1
OG0000008	NV2t004820001.1, NV2t001535001.1	gfas1.m1.18019.m1, gfas1.m1.10527.m1, gfas1.m1.20302.m1, gfas1.m1.10123.m1, gfas1.m1.22180.m1, gfas1.m1.22384.m1, gfas1.m1.9911.m1, gfas1.m1.20939.m1, gfas1.m1.12915.m1, gfas1.m1.18824.m1, gfas1.m1.20301.m1, gfas1.m1.23671.m1, gfas1.m1.23083.m1, gfas1.m1.22406.m1, gfas1.m1.6615.m1, gfas1.m1.5103.m1, gfas1.m1.5096.m1, gfas1.m1.23962.m1, gfas1.m1.23049.m1, gfas1.m1.11268.m1, gfas1.m1.12546.m1, gfas1.m1.9157.m1, gfas1.m1.11626.m1
OG0000008	NV2t007422001.1	gfas1.m1.19592.m1, gfas1.m1.23862.m1, gfas1.m1.21127.m1, gfas1.m1.4376.m1, gfas1.m1.11355.m1
OG0000009	NV2t002660003.1, NV2t004985001.1, NV2t013149003.1, NV2t013020001.1, NV2t022392001.1, NV2t004349001.1, NV2t015535001.1, NV2t013333001.1, NV2t024501001.1, NV2t012882001.1, NV2t009304001.1, NV2t016010001.1, NV2t023970001.1, NV2t010905001.1, NV2t010905002.1, NV2t002892001.1, NV2t016209001.1, NV2t004947001.1, NV2t024916001.1, NV2t024584001.1, NV2t009446001.1, NV2t009717001.1, NV2t023979001.1, NV2t008350001.1, NV2t002351001.1, NV2t012512001.1, NV2t011365001.1, NV2t017644004.1, NV2t020454001.1, NV2t025084001.1, NV2t011459002.1, NV2t011455001.1, NV2t011455002.1, NV2t011459001.1, NV2t010416001.1, NV2t017079001.1, NV2t006138001.1, NV2t004283001.1, NV2t011139001.1, NV2t022526001.1, NV2t025758001.1, NV2t019063001.1, NV2t006867001.1, NV2t007098001.1, NV2t017372001.1, NV2t002879001.1, NV2t019190001.1, NV2t002560001.1, NV2t017724001.1, NV2t001570001.1, NV2t001579001.1, NV2t010761001.1, NV2t006131001.1, NV2t006131002.1, NV2t025493001.1, NV2t009040003.1, NV2t019119001.1, NV2t004540001.1, NV2t008905001.1, NV2t023853001.1, NV2t009487001.1, NV2t020786001.1, NV2t024118001.1, NV2t019283001.1, NV2t025934001.1, NV2t017235001.1, NV2t005513001.1, NV2t007152001.1, NV2t022104001.1, NV2t002369001.1, NV2t017192001.1, NV2t017804001.1, NV2t005775001.1, NV2t001899001.1, NV2t000395001.1, NV2t015634001.1, NV2t018668001.1, NV2t014303001.1, NV2t000731001.1, NV2t021766001.1, NV2t000483001.1, NV2t005384001.1, NV2t017959001.1, NV2t019372001.1, NV2t019372002.1, NV2t000047001.1, NV2t024200001.1, NV2t001672001.1, NV2t006497001.1, NV2t006499001.1, NV2t006499002.1, NV2t001671002.1, NV2t001671003.1, NV2t024891001.1, NV2t006597001.1, NV2t016151001.1, NV2t020113001.1, NV2t000602001.1, NV2t003914001.1, NV2t024465001.1, NV2t006288004.1, NV2t006288001.1, NV2t006447001.1, NV2t018997001.1, NV2t018997002.1, NV2t010498001.1, NV2t021957001.1, NV2t017711001.1, NV2t025383001.1, NV2t001618001.1, NV2t023704001.1, NV2t015627001.1, NV2t009688001.1, NV2t025835001.1, NV2t009392001.1, NV2t001919001.1	gfas1.m1.10514.m1
OG0000010	NV2t008019001.1	gfas1.m1.22291.m1
OG0000010	NV2t014699001.1	gfas1.m1.17055.m1, gfas1.m1.17060.m1, gfas1.m1.23685.m1, gfas1.m1.12894.m1, gfas1.m1.12628.m1, gfas1.m1.17057.m1, gfas1.m1.11303.m1, gfas1.m1.12412.m1, gfas1.m1.12566.m1, gfas1.m1.22668.m1, gfas1.m1.11133.m1, gfas1.m1.18002.m1, gfas1.m1.9336.m1, gfas1.m1.22718.m1, gfas1.m1.14438.m1, gfas1.m1.3243.m1, gfas1.m1.14436.m1, gfas1.m1.12145.m1, gfas1.m1.13346.m1, gfas1.m1.21166.m1, gfas1.m1.20435.m1, gfas1.m1.12188.m1, gfas1.m1.12442.m1, gfas1.m1.12866.m1, gfas1.m1.7820.m1, gfas1.m1.21650.m1
OG0000010	NV2t012753001.1, NV2t012755001.1	gfas1.m1.11335.m1, gfas1.m1.2972.m1, gfas1.m1.22973.m1
OG0000010	NV2t002890001.1	gfas1.m1.21428.m1, gfas1.m1.22613.m1, gfas1.m1.3966.m1, gfas1.m1.23085.m1, gfas1.m1.18123.m1, gfas1.m1.11134.m1, gfas1.m1.19900.m1, gfas1.m1.21824.m1, gfas1.m1.22073.m1, gfas1.m1.3245.m1, gfas1.m1.18124.m1, gfas1.m1.20332.m1, gfas1.m1.22569.m1, gfas1.m1.9670.m1, gfas1.m1.10447.m1, gfas1.m1.9672.m1, gfas1.m1.10552.m1, gfas1.m1.22970.m1, gfas1.m1.18122.m1, gfas1.m1.11795.m1, gfas1.m1.23974.m1, gfas1.m1.12764.m1, gfas1.m1.9458.m1, gfas1.m1.12801.m1, gfas1.m1.12184.m1, gfas1.m1.23600.m1, gfas1.m1.10554.m1, gfas1.m1.5852.m1, gfas1.m1.22780.m1, gfas1.m1.12873.m1, gfas1.m1.12996.m1, gfas1.m1.13066.m1, gfas1.m1.11254.m1, gfas1.m1.9525.m1, gfas1.m1.10168.m1, gfas1.m1.12122.m1, gfas1.m1.12840.m1, gfas1.m1.22700.m1, gfas1.m1.12712.m1, gfas1.m1.12612.m1, gfas1.m1.12799.m1, gfas1.m1.13093.m1, gfas1.m1.1402.m1, gfas1.m1.13050.m1, gfas1.m1.12125.m1, gfas1.m1.11113.m1, gfas1.m1.12522.m1, gfas1.m1.21672.m1, gfas1.m1.12636.m1
OG0000010	NV2t002891001.1, NV2t014975001.1, NV2t014975002.1	gfas1.m1.9835.m1
OG0000011	NV2t003471001.1	gfas1.m1.8360.m1
OG0000011	NV2t024834002.1, NV2t024834003.1, NV2t024834004.1, NV2t024834005.1, NV2t024834006.1	gfas1.m1.20687.m1, gfas1.m1.18346.m1
OG0000011	NV2t009751002.1, NV2t009786001.1	gfas1.m1.12264.m1
OG0000011	NV2t006730001.1, NV2t024416001.1, NV2t015068001.1, NV2t015068002.1, NV2t012335001.1, NV2t021268001.1, NV2t010621001.1, NV2t024269001.1, NV2t010966001.1, NV2t016496001.1, NV2t016496002.1, NV2t019257001.1, NV2t022359001.1, NV2t004669001.1, NV2t024604001.1, NV2t021201001.1, NV2t021201002.1	gfas1.m1.23861.m1, gfas1.m1.36.m1
OG0000011	NV2t021157001.1, NV2t022972001.1, NV2t009292001.1	gfas1.m1.20274.m1
OG0000011	NV2t007235001.1, NV2t004819001.1, NV2t025313001.1	gfas1.m1.18313.m1
OG0000011	NV2t002021001.1, NV2t011030002.1, NV2t001574001.1, NV2t000022001.1, NV2t016412001.1, NV2t020149001.1, NV2t018336001.1, NV2t003655001.1, NV2t015595001.1	gfas1.m1.12319.m1
OG0000011	NV2t019286001.1, NV2t005449001.1, NV2t025884001.1, NV2t024556001.1, NV2t023948001.1, NV2t011023001.1, NV2t010584001.1, NV2t010425001.1, NV2t002547001.1, NV2t009388001.1, NV2t009388002.1, NV2t015848001.1, NV2t015722001.1, NV2t007973001.1, NV2t020080001.1, NV2t001756001.1, NV2t012955001.1, NV2t007780001.1, NV2t012954001.1, NV2t025857001.1, NV2t008239001.1, NV2t019296001.1, NV2t005490001.1, NV2t011859001.1	gfas1.m1.12607.m1, gfas1.m1.20221.m1
OG0000012	NV2t002134001.1, NV2t009946001.1, NV2t015331001.1, NV2t005929001.1, NV2t005009001.1	gfas1.m1.22470.m1
OG0000012	NV2t004698001.1	gfas1.m1.22154.m1
OG0000012	NV2t019377001.1	gfas1.m1.17504.m1
OG0000012	NV2t002287001.1	gfas1.m1.22850.m1, gfas1.m1.4222.m1, gfas1.m1.19322.m1, gfas1.m1.2677.m1, gfas1.m1.10906.m1, gfas1.m1.9274.m1, gfas1.m1.19097.m1, gfas1.m1.19547.m1, gfas1.m1.7787.m1, gfas1.m1.21061.m1, gfas1.m1.3961.m1, gfas1.m1.10933.m1, gfas1.m1.19101.m1, gfas1.m1.15938.m1, gfas1.m1.12771.m1, gfas1.m1.17253.m1, gfas1.m1.12770.m1, gfas1.m1.2977.m1
OG0000012	NV2t021844001.1	gfas1.m1.21658.m1, gfas1.m1.21657.m1, gfas1.m1.10148.m1, gfas1.m1.23844.m1, gfas1.m1.11856.m1, gfas1.m1.17611.m1, gfas1.m1.21363.m1, gfas1.m1.20279.m1, gfas1.m1.11573.m1, gfas1.m1.22921.m1, gfas1.m1.1054.m1, gfas1.m1.11183.m1, gfas1.m1.11827.m1, gfas1.m1.19182.m1
OG0000013	NV2t006267001.1	gfas1.m1.22343.m1, gfas1.m1.8225.m1
OG0000014	NV2t018273001.1	gfas1.m1.2291.m1, gfas1.m1.16437.m1, gfas1.m1.14061.m1, gfas1.m1.14059.m1, gfas1.m1.19734.m1, gfas1.m1.14060.m1, gfas1.m1.18158.m1, gfas1.m1.18157.m1, gfas1.m1.18159.m1, gfas1.m1.13826.m1, gfas1.m1.13825.m1, gfas1.m1.12448.m1, gfas1.m1.6372.m1, gfas1.m1.6373.m1
OG0000014	NV2t023990001.1	gfas1.m1.5583.m1
OG0000014	NV2t000866001.1	gfas1.m1.3964.m1, gfas1.m1.544.m1, gfas1.m1.3963.m1, gfas1.m1.3956.m1, gfas1.m1.9508.m1, gfas1.m1.23044.m1
