Orthogroup	Mmus	Nvec
OG0000120	K1958_MOUSE	NV2t025283001.1
OG0000129	LIPR1_MOUSE, LIPP_MOUSE, LIPR2_MOUSE, LIPH_MOUSE	NV2t000526001.1, NV2t000507001.1, NV2t020510001.1, NV2t020510002.1, NV2t020510003.1, NV2t020510004.1, NV2t020510005.1, NV2t020510006.1, NV2t020510007.1, NV2t020510008.1, NV2t020510009.1, NV2t020510010.1, NV2t001797001.1
OG0000134	RN152_MOUSE	NV2t008147001.1, NV2t000712001.1, NV2t000715001.1, NV2t012555001.1
OG0000166	SEM3E_MOUSE, SEM3G_MOUSE, SEM3B_MOUSE, SEM3A_MOUSE, SEM3D_MOUSE, SEM3C_MOUSE, SEM3F_MOUSE, SEM4D_MOUSE, SEM4G_MOUSE, SEM4C_MOUSE, SEM4F_MOUSE, SEM4B_MOUSE, SEM4A_MOUSE	NV2t022863001.1, NV2t022863003.1, NV2t022863002.1
OG0000178	ST1C1_MOUSE, ST1C2_MOUSE, ST1A1_MOUSE, ST1B1_MOUSE, ST1D1_MOUSE, ST1E1_MOUSE	NV2t020068001.1, NV2t020068002.1, NV2t014755001.1, NV2t014756001.1, NV2t000522001.1, NV2t000523001.1, NV2t002692001.1, NV2t002694001.1
OG0000007	CFA68_MOUSE	NV2t015371001.1, NV2t021653001.1
OG0000016	NPY2R_MOUSE, GPR83_MOUSE, NK2R_MOUSE, NK3R_MOUSE, NK1R_MOUSE, QRFPR_MOUSE, OX1R_MOUSE, OX2R_MOUSE, NPFF2_MOUSE	NV2t008555001.1, NV2t009618001.1, NV2t018622001.1, NV2t011008001.1, NV2t016530001.1, NV2t016530002.1, NV2t016530003.1, NV2t016530004.1, NV2t016530005.1, NV2t010575001.1, NV2t010575005.1, NV2t010575002.1, NV2t010575004.1, NV2t010575003.1, NV2t010575006.1, NV2t010575007.1, NV2t009619001.1, NV2t009619002.1, NV2t009619003.1, NV2t000557001.1, NV2t010078001.1, NV2t010078002.1, NV2t002941001.1, NV2t009730001.1, NV2t009730002.1, NV2t009527001.1, NV2t009922001.1, NV2t009996001.1, NV2t010586001.1, NV2t010100001.1, NV2t010102001.1
OG0000039	DDX41_MOUSE	NV2t021126001.1, NV2t011677001.1, NV2t017910001.1
OG0000046	MTR1L_MOUSE, MTR1A_MOUSE, MTR1B_MOUSE	NV2t003789001.1, NV2t023196001.1, NV2t010443001.1, NV2t006395001.1, NV2t005634001.1, NV2t005685001.1, NV2t014321001.1, NV2t014321002.1, NV2t018782001.1, NV2t006023001.1, NV2t003658001.1, NV2t019367001.1, NV2t019368001.1, NV2t019368002.1, NV2t019842001.1, NV2t019845001.1, NV2t009759001.1, NV2t010396001.1, NV2t007690004.1, NV2t025027001.1, NV2t004565001.1, NV2t005336001.1, NV2t020327001.1, NV2t011571001.1
OG0000095	GOGA2_MOUSE	NV2t025385001.1, NV2t025385002.1
OG0000103	HBAZ_MOUSE, HBA_MOUSE, HBB0_MOUSE, HBBZ_MOUSE, HBE_MOUSE, HBB1_MOUSE, HBB2_MOUSE, MYG_MOUSE, CYGB_MOUSE, NGB_MOUSE	NV2t012312001.1, NV2t012312002.1, NV2t008312001.1, NV2t010788001.1, NV2t019047001.1, NV2t011044001.1, NV2t011743001.1, NV2t008823001.1, NV2t008825001.1, NV2t015476001.1, NV2t020479001.1
OG0000167	PAPOG_MOUSE, PAPOB_MOUSE, PAPOA_MOUSE	NV2t020462003.1, NV2t020462005.1, NV2t020462002.1, NV2t020462001.1, NV2t020462006.1, NV2t020462007.1, NV2t020462004.1, NV2t020465002.1, NV2t020465005.1, NV2t020465003.1, NV2t020465006.1, NV2t020465004.1, NV2t020465008.1, NV2t020465007.1, NV2t020465001.1, NV2t020463002.1, NV2t020463004.1, NV2t020463005.1, NV2t020463003.1, NV2t020463001.1, NV2t020467001.1
OG0000186	B4GN4_MOUSE, B4GN3_MOUSE	NV2t014645001.1, NV2t014645002.1, NV2t004108001.1, NV2t011693001.1, NV2t013525001.1, NV2t014964001.1
OG0000021	NEGR1_MOUSE, LSAMP_MOUSE, IGLO5_MOUSE, NTRI_MOUSE	NV2t024118001.1, NV2t019286001.1
OG0000069	EFNB3_MOUSE, EFNB1_MOUSE, EFNB2_MOUSE	NV2t014928001.1, NV2t014928002.1, NV2t013151001.1, NV2t013151002.1, NV2t013330001.1, NV2t013330002.1, NV2t013330003.1, NV2t013330005.1, NV2t013330006.1, NV2t013330004.1, NV2t012138003.1, NV2t012138001.1, NV2t012138002.1, NV2t012138004.1, NV2t014109002.1, NV2t014109001.1, NV2t014109003.1, NV2t014430001.1, NV2t014430002.1, NV2t014108001.1, NV2t014108002.1, NV2t014108003.1, NV2t014108004.1
OG0000085	V2R1_MOUSE, V2116_MOUSE, V2R26_MOUSE, CASR_MOUSE	NV2t009217001.1, NV2t005817001.1, NV2t017619001.1
OG0000162	MMP16_MOUSE, MMP24_MOUSE, MMP14_MOUSE, MMP15_MOUSE, MMP25_MOUSE	NV2t020475001.1, NV2t020474001.1, NV2t020474002.1, NV2t016880001.1, NV2t001647001.1, NV2t003582001.1, NV2t008027001.1, NV2t008027002.1, NV2t010833001.1, NV2t010833003.1, NV2t010833002.1, NV2t019316002.1, NV2t019316003.1, NV2t019316001.1, NV2t019316004.1
OG0000047	BKRB2_MOUSE, BKRB1_MOUSE, AGTR2_MOUSE, AGTRB_MOUSE, AGTRA_MOUSE, ACKR2_MOUSE, XCR1_MOUSE, CCR4_MOUSE, CCR5_MOUSE, CCR2_MOUSE, CCR3_MOUSE, CC1L1_MOUSE, CCR1_MOUSE, CCR8_MOUSE, CX3C1_MOUSE, CXCR2_MOUSE, CXCR1_MOUSE, CCR7_MOUSE, CCR6_MOUSE, CXCR4_MOUSE, CXCR3_MOUSE	NV2t016280001.1, NV2t015545001.1, NV2t017123001.1
OG0000072	SPD2A_MOUSE, SPD2B_MOUSE	NV2t010237001.1, NV2t019451001.1, NV2t005755001.1, NV2t007620001.1, NV2t004364001.1, NV2t025406001.1, NV2t015343001.1, NV2t018128001.1, NV2t018688001.1, NV2t009325001.1, NV2t009659001.1, NV2t015180001.1, NV2t025784003.1, NV2t014097001.1, NV2t025784001.1, NV2t015173001.1, NV2t025784002.1, NV2t018627001.1
OG0000107	VWDE_MOUSE	NV2t010727004.1, NV2t009295001.1, NV2t009373001.1, NV2t009372001.1, NV2t009287004.1, NV2t009287003.1, NV2t009287005.1, NV2t009287001.1, NV2t009287002.1, NV2t009290001.1, NV2t009290002.1, NV2t009290005.1, NV2t009361001.1, NV2t009361002.1, NV2t009374001.1, NV2t021786001.1, NV2t021785001.1, NV2t009359001.1, NV2t009302001.1, NV2t009305001.1, NV2t005727001.1, NV2t002216004.1, NV2t002216001.1, NV2t002216003.1, NV2t002216002.1
OG0000130	TAGL_MOUSE, TAGL3_MOUSE, TAGL2_MOUSE, CNN3_MOUSE, CNN1_MOUSE, CNN2_MOUSE	NV2t008394001.1, NV2t008394002.1, NV2t008395001.1, NV2t008396001.1, NV2t008396002.1, NV2t009314001.1, NV2t009314002.1, NV2t008367001.1, NV2t008829001.1, NV2t008829002.1, NV2t008828001.1, NV2t008364004.1, NV2t008364001.1, NV2t008364002.1, NV2t008364003.1, NV2t009112004.1, NV2t009112003.1, NV2t009112002.1, NV2t009092001.1, NV2t009092002.1
OG0000174	CUZD1_MOUSE	NV2t013603001.1, NV2t001890001.1, NV2t005822001.1, NV2t024461001.1, NV2t021585001.1, NV2t024741004.1, NV2t024741002.1, NV2t024741001.1, NV2t024741003.1
OG0000188	PAP1L_MOUSE, PABP1_MOUSE	NV2t005899016.1, NV2t005899015.1, NV2t005899017.1, NV2t005899003.1, NV2t005899022.1, NV2t005899014.1, NV2t005899018.1, NV2t005899009.1, NV2t005899012.1, NV2t005899013.1, NV2t005899010.1, NV2t005899011.1, NV2t005899023.1, NV2t005899019.1, NV2t005899020.1
OG0000056	IF2P_MOUSE	NV2t012928001.1, NV2t019331001.1, NV2t002846001.1
OG0000084	NAIF1_MOUSE	NV2t025042001.1, NV2t008922001.1, NV2t008922002.1
OG0000106	H2B1A_MOUSE, H2B1M_MOUSE, H2B1H_MOUSE, H2B1C_MOUSE, H2B2B_MOUSE, H2B1B_MOUSE, H2B1P_MOUSE, H2B1F_MOUSE, H2B1K_MOUSE, H2B2E_MOUSE, H2B3A_MOUSE, H2B3B_MOUSE	NV2t021894001.1, NV2t007148001.1, NV2t004453001.1, NV2t020250001.1, NV2t008108001.1, NV2t008108002.1
OG0000128	MAGBG_MOUSE, MAGBI_MOUSE, NSE3_MOUSE	NV2t000817001.1
OG0000168	EST3A_MOUSE, EST3B_MOUSE, EST5A_MOUSE, EST2C_MOUSE, EST2A_MOUSE, EST2E_MOUSE, EST4A_MOUSE, EST1C_MOUSE, EST1D_MOUSE, EST1_MOUSE, EST1E_MOUSE, EST1F_MOUSE, ACES_MOUSE, CHLE_MOUSE	NV2t025200001.1, NV2t025202001.1, NV2t021483001.1, NV2t021484001.1, NV2t002906001.1
OG0000228	PTPRT_MOUSE, PTPRM_MOUSE, PTPRU_MOUSE, PTPRK_MOUSE	NV2t000599001.1, NV2t000599002.1, NV2t000595001.1, NV2t000578001.1, NV2t000579001.1, NV2t000593001.1, NV2t000593002.1, NV2t000581002.1, NV2t000581001.1, NV2t000581004.1, NV2t000580001.1, NV2t000597001.1, NV2t000596001.1, NV2t000585001.1, NV2t000576001.1
OG0000082	CRFR1_MOUSE, CRFR2_MOUSE, CALRL_MOUSE, CALCR_MOUSE, PTH1R_MOUSE, PTH2R_MOUSE, GLP2R_MOUSE, GLP1R_MOUSE, GLR_MOUSE, GIPR_MOUSE, SCTR_MOUSE, GHRHR_MOUSE, VIPR1_MOUSE, PACR_MOUSE, VIPR2_MOUSE	NV2t004851001.1
OG0000105	MYH6_MOUSE, MYH7_MOUSE, MYH3_MOUSE, MYH8_MOUSE, MYH2_MOUSE, MYH4_MOUSE, MYH1_MOUSE, MYH7B_MOUSE	NV2t008024005.1, NV2t008024002.1, NV2t008024012.1, NV2t008024010.1, NV2t008024014.1, NV2t008024015.1, NV2t008024011.1, NV2t008024013.1, NV2t008024016.1, NV2t008024001.1, NV2t008024006.1, NV2t008024004.1, NV2t008024007.1, NV2t008024009.1, NV2t008024003.1, NV2t008024008.1
OG0000154	RDH13_MOUSE, RDH11_MOUSE, RDH12_MOUSE	NV2t000061001.1, NV2t001081001.1, NV2t001081002.1
OG0000176	HARB1_MOUSE	NV2t003177002.1, NV2t008227001.1
OG0000190	MARK4_MOUSE, MARK3_MOUSE, MARK1_MOUSE, MARK2_MOUSE	NV2t019609020.1, NV2t019609004.1, NV2t019609010.1, NV2t019609009.1, NV2t019609013.1, NV2t019609002.1, NV2t019609003.1, NV2t019609005.1, NV2t019609001.1, NV2t019609006.1, NV2t019609016.1, NV2t019609014.1, NV2t019609015.1, NV2t019609018.1, NV2t019609019.1, NV2t019609012.1, NV2t019609017.1, NV2t019609008.1, NV2t019609011.1
OG0000229	CAHM5_MOUSE, CAHM6_MOUSE, CAHM1_MOUSE, CAHM3_MOUSE, CAHM2_MOUSE, CAHM4_MOUSE	NV2t025235001.1, NV2t021884001.1, NV2t022378001.1, NV2t022382001.1
OG0000000	CE290_MOUSE	NV2t009950001.1, NV2t010480001.1, NV2t000299001.1, NV2t000299002.1, NV2t006904001.1, NV2t024459001.1, NV2t019579001.1, NV2t000766001.1, NV2t017884001.1, NV2t004634001.1, NV2t005891002.1, NV2t005891003.1, NV2t019013001.1, NV2t017565001.1, NV2t009762001.1
OG0000058	ANKR7_MOUSE, ANR26_MOUSE	NV2t000773002.1, NV2t000773004.1, NV2t000773005.1, NV2t000773003.1, NV2t000773006.1, NV2t000773001.1
OG0000078	CLC4G_MOUSE	NV2t013847001.1, NV2t018136001.1, NV2t017872001.1, NV2t018114001.1, NV2t025674001.1, NV2t025675002.1, NV2t021307001.1, NV2t021320001.1
OG0000089	CGT_MOUSE, UDB17_MOUSE, UD2A1_MOUSE, UD2A2_MOUSE, UD2A3_MOUSE, UD11_MOUSE, UD12_MOUSE, UD16_MOUSE, UD17_MOUSE, UD19_MOUSE	NV2t004709001.1, NV2t015485001.1, NV2t011589001.1, NV2t011589002.1, NV2t011589003.1
OG0000098	RPA43_MOUSE	NV2t010370001.1, NV2t010398001.1, NV2t010398002.1, NV2t010691001.1, NV2t010691003.1, NV2t010691005.1, NV2t010691006.1, NV2t010691007.1, NV2t019675001.1, NV2t014920002.1, NV2t014920001.1, NV2t014921001.1, NV2t017697001.1
OG0000108	MFAP4_MOUSE, FCN1_MOUSE, FCN2_MOUSE	NV2t025526001.1, NV2t022609001.1, NV2t022609002.1, NV2t022610001.1, NV2t019779002.1, NV2t019779001.1, NV2t006014001.1, NV2t006014002.1, NV2t018512001.1, NV2t017096001.1, NV2t017096002.1, NV2t015846001.1
OG0000139	NOTC1_MOUSE, NOTC3_MOUSE, NOTC2_MOUSE, MYOME_MOUSE	NV2t024622001.1, NV2t024622002.1, NV2t006438001.1
OG0000170	TM135_MOUSE	NV2t012960002.1, NV2t021679004.1, NV2t008586001.1, NV2t008586002.1
OG0000193	VPS4A_MOUSE, VPS4B_MOUSE	NV2t005481001.1, NV2t004178001.1
OG0000205	LYAM2_MOUSE, LYAM3_MOUSE, LYAM1_MOUSE	NV2t024979003.1, NV2t024979001.1, NV2t024979002.1, NV2t025722001.1, NV2t025727001.1, NV2t025727002.1, NV2t025725004.1, NV2t025725001.1, NV2t025725002.1, NV2t025725003.1, NV2t025725006.1, NV2t025725005.1
OG0000227	NTH_MOUSE	NV2t004773001.1, NV2t005104001.1, NV2t005903001.1, NV2t025255001.1, NV2t007785001.1
OG0000254	GTR5_MOUSE, GTR7_MOUSE, GTR9_MOUSE, GLUT4_MOUSE, GTR2_MOUSE, GTR1_MOUSE, GTR3_MOUSE	NV2t010462001.1, NV2t013781005.1, NV2t013781002.1, NV2t013781001.1, NV2t013781004.1, NV2t013781003.1
OG0000048	CLCC1_MOUSE	NV2t025732001.1, NV2t019365001.1
OG0000053	ACHB2_MOUSE, ACHB4_MOUSE, ACHA3_MOUSE, ACHA6_MOUSE, ACHA4_MOUSE, ACHA2_MOUSE, ACHA5_MOUSE, ACHB3_MOUSE, ACHA7_MOUSE	NV2t003150001.1, NV2t013313001.1, NV2t013576001.1, NV2t013576002.1, NV2t008716001.1, NV2t009096001.1, NV2t009096002.1, NV2t009095001.1, NV2t008714001.1, NV2t008714002.1, NV2t010263001.1, NV2t010263002.1, NV2t010263003.1, NV2t010263004.1, NV2t010262002.1, NV2t010262003.1, NV2t023851001.1, NV2t023852001.1, NV2t023913001.1
OG0000094	PROP_MOUSE	NV2t014831001.1, NV2t015933001.1, NV2t015933002.1, NV2t004066003.1, NV2t018541001.1, NV2t024746001.1, NV2t013919001.1, NV2t019412001.1, NV2t010038001.1, NV2t010253001.1, NV2t014919001.1, NV2t014919004.1, NV2t014919002.1, NV2t014919003.1, NV2t014919005.1, NV2t010399001.1, NV2t017647001.1, NV2t002666001.1, NV2t025851001.1, NV2t025851002.1, NV2t017429002.1, NV2t017429001.1, NV2t017429004.1, NV2t017429003.1, NV2t017421001.1, NV2t017422001.1, NV2t025847001.1, NV2t025847002.1
OG0000256	TNR22_MOUSE, TNR23_MOUSE, TNR26_MOUSE, CD27_MOUSE, TNR6_MOUSE, TNR1B_MOUSE, TR11B_MOUSE, TNR5_MOUSE, TNR14_MOUSE	NV2t022271003.1, NV2t022271001.1, NV2t022271002.1, NV2t020319001.1
OG0000269	TYRO_MOUSE, TYRP1_MOUSE, TYRP2_MOUSE	NV2t015573001.1, NV2t015573002.1, NV2t010708001.1, NV2t012418001.1
OG0000289	HSP7C_MOUSE, HSP72_MOUSE, HS71L_MOUSE, HS71A_MOUSE, HS71B_MOUSE	NV2t012640001.1, NV2t012885001.1, NV2t016121001.1
OG0000049	GBP5_MOUSE, GBP1_MOUSE, GBP2_MOUSE, GBP4_MOUSE, GBP6_MOUSE, GBP3_MOUSE, GBP7_MOUSE	NV2t025638001.1, NV2t025638002.1, NV2t014578001.1, NV2t014579001.1, NV2t010732001.1
OG0000087	TLR13_MOUSE, TLR2_MOUSE, TLR6_MOUSE, TLR1_MOUSE	NV2t021932001.1, NV2t021932002.1, NV2t021932003.1, NV2t021932004.1, NV2t021932005.1, NV2t005945001.1, NV2t011067002.1, NV2t011067001.1, NV2t011070001.1, NV2t012117001.1
OG0000113	JDP2_MOUSE, ATF3_MOUSE, FOSB_MOUSE, FOS_MOUSE, FOSL1_MOUSE, FOSL2_MOUSE	NV2t023689001.1, NV2t023689002.1, NV2t019339001.1, NV2t019339002.1, NV2t019340001.1, NV2t019340002.1, NV2t019340003.1, NV2t019340004.1, NV2t019340005.1, NV2t019340006.1, NV2t019340007.1, NV2t019340008.1, NV2t019340009.1, NV2t019340010.1, NV2t019340011.1, NV2t019340012.1, NV2t019340013.1, NV2t019749001.1, NV2t020774001.1, NV2t020205001.1
OG0000138	ACSM3_MOUSE, ACSM5_MOUSE, ACSM4_MOUSE, ACSM2_MOUSE, ACSM1_MOUSE	NV2t025507001.1
OG0000211	CAHD1_MOUSE	NV2t001994001.1, NV2t000907004.1, NV2t000907005.1, NV2t000903003.1, NV2t000903001.1, NV2t000907003.1, NV2t000904001.1, NV2t000904002.1, NV2t000908001.1, NV2t000903002.1, NV2t000907002.1, NV2t000907001.1, NV2t000628001.1
OG0000225	UBP36_MOUSE	NV2t007615001.1
OG0000277	PTHD3_MOUSE	NV2t008622001.1, NV2t021517001.1, NV2t025533001.1, NV2t007405001.1, NV2t007405003.1, NV2t007405004.1, NV2t007405006.1, NV2t007405002.1, NV2t007405005.1, NV2t007408004.1, NV2t007408001.1, NV2t007408003.1, NV2t007408005.1, NV2t007408002.1, NV2t007408006.1
OG0000300	HPGDS_MOUSE, GSTA4_MOUSE, GSTA1_MOUSE, GSTA2_MOUSE, GSTA3_MOUSE	NV2t006535001.1, NV2t006537001.1, NV2t001237001.1, NV2t005973001.1, NV2t016447001.1, NV2t000416001.1
OG0000030	UROM_MOUSE, GP2_MOUSE, OIT3_MOUSE	NV2t000849001.1, NV2t001244001.1, NV2t006197001.1, NV2t003071001.1, NV2t006411001.1, NV2t025572001.1, NV2t010176001.1, NV2t023746001.1, NV2t008000001.1, NV2t022307001.1, NV2t020124001.1, NV2t020124002.1, NV2t020124004.1, NV2t020124003.1, NV2t020124005.1, NV2t019957001.1, NV2t025300001.1, NV2t025182001.1, NV2t014524001.1, NV2t015016001.1, NV2t011904013.1, NV2t011904016.1, NV2t011904001.1, NV2t011904002.1, NV2t011904010.1, NV2t011904007.1, NV2t011904015.1, NV2t011904014.1, NV2t011904008.1, NV2t011904003.1, NV2t011904009.1, NV2t011904004.1, NV2t011904006.1, NV2t011904012.1, NV2t011904005.1, NV2t011904011.1, NV2t011903001.1, NV2t011904017.1, NV2t006099001.1, NV2t006100001.1
OG0000036	G2E3_MOUSE	NV2t005941001.1, NV2t015623002.1
OG0000055	HIUH_MOUSE	NV2t003650003.1, NV2t003650001.1
OG0000055	TTHY_MOUSE	NV2t002186001.1, NV2t024916001.1, NV2t010165001.1
OG0000079	S10A9_MOUSE, S10AD_MOUSE, S10AB_MOUSE, S10A5_MOUSE, S10A3_MOUSE, S10A6_MOUSE, S10A4_MOUSE, S10A1_MOUSE, S10AA_MOUSE, S100B_MOUSE, S100G_MOUSE, S115A_MOUSE, S10A8_MOUSE, HORN_MOUSE, FILA2_MOUSE	NV2t010336001.1
OG0000218	NPTX1_MOUSE, NPTXR_MOUSE, NPTX2_MOUSE	NV2t014358001.1, NV2t014358002.1, NV2t009731001.1, NV2t008564001.1, NV2t001775001.1, NV2t017327001.1, NV2t023160001.1, NV2t018959001.1, NV2t018957001.1, NV2t018960001.1, NV2t023162001.1, NV2t018961001.1
OG0000230	ZNF22_MOUSE, ZN239_MOUSE	NV2t010481001.1, NV2t024034001.1, NV2t008707001.1, NV2t008707002.1, NV2t008710001.1, NV2t016397001.1, NV2t009645001.1, NV2t009641001.1, NV2t009718001.1, NV2t009638001.1, NV2t009638002.1, NV2t009638003.1, NV2t009624001.1, NV2t009623001.1, NV2t009626001.1, NV2t009627001.1, NV2t009634001.1, NV2t009637001.1, NV2t014196001.1
OG0000276	5HT4R_MOUSE	NV2t022109001.1, NV2t003436001.1, NV2t002426001.1, NV2t014586001.1, NV2t013708001.1, NV2t013715001.1, NV2t000086001.1, NV2t013453001.1, NV2t004537001.1
OG0000198	PRRT4_MOUSE, PRRT3_MOUSE	NV2t024601001.1, NV2t016811001.1
OG0000209	KCA10_MOUSE, KCNA5_MOUSE, KCNA6_MOUSE, KCNA4_MOUSE, KCNA3_MOUSE, KCNA2_MOUSE, KCNA1_MOUSE	NV2t004330001.1, NV2t006359001.1, NV2t020582001.1, NV2t020585001.1, NV2t017768001.1, NV2t018284001.1, NV2t018284002.1
OG0000219	OMD_MOUSE, FMOD_MOUSE, LUM_MOUSE, OPT_MOUSE, MIME_MOUSE, EPYC_MOUSE, ASPN_MOUSE, PGS2_MOUSE, NEPN_MOUSE, PODN_MOUSE, PONL1_MOUSE	NV2t020861001.1, NV2t012452001.1
OG0000273	LOX5_MOUSE, LOX12_MOUSE, LX12E_MOUSE, LOX15_MOUSE, ALOX8_MOUSE, LOXE3_MOUSE, LX12B_MOUSE	NV2t005693001.1
OG0000301	MIA_MOUSE, OTOR_MOUSE, TGO1_MOUSE, MIA2_MOUSE	NV2t020396003.1, NV2t020396001.1, NV2t020396002.1, NV2t020396004.1, NV2t020396005.1
