Orthogroup	Mmus	Hsap
OG0000004	O1165_MOUSE	OR5L1_HUMAN, OR5L2_HUMAN, OR5DG_HUMAN, OR5DI_HUMAN, OR5DE_HUMAN, OR5D3_HUMAN, OR5DD_HUMAN
OG0000045	K1C18_MOUSE	K1C18_HUMAN
OG0000045	K1C20_MOUSE	K1C20_HUMAN
OG0000045	K1C17_MOUSE	K1C17_HUMAN
OG0000045	K1C14_MOUSE	K1C14_HUMAN
OG0000045	K1C16_MOUSE	K1C16_HUMAN
OG0000045	K1C12_MOUSE	K1C12_HUMAN
OG0000045	K1C24_MOUSE	K1C24_HUMAN
OG0000045	K1C26_MOUSE	K1C26_HUMAN
OG0000045	K1C28_MOUSE	K1C28_HUMAN
OG0000045	K1C25_MOUSE	K1C25_HUMAN
OG0000045	K1C27_MOUSE	K1C27_HUMAN
OG0000045	K1C9_MOUSE	K1C9_HUMAN
OG0000045	K1C10_MOUSE	K1C10_HUMAN
OG0000045	K1C19_MOUSE	K1C19_HUMAN
OG0000045	K1C13_MOUSE	K1C13_HUMAN
OG0000045	K1C15_MOUSE	K1C15_HUMAN
OG0000045	KRT36_MOUSE	KRT36_HUMAN
OG0000045	KRT35_MOUSE	KRT35_HUMAN
OG0000045	K1H2_MOUSE	K1H2_HUMAN
OG0000045	K1C39_MOUSE	K1C39_HUMAN
OG0000045	K1C40_MOUSE	K1C40_HUMAN
OG0000045	KRT34_MOUSE, K1H1_MOUSE, KT33A_MOUSE, KT33B_MOUSE	KRT37_HUMAN, KRT38_HUMAN, KRT34_HUMAN, K1H1_HUMAN, KT33A_HUMAN, KT33B_HUMAN
OG0000013	CTRB1_MOUSE	CTRL_HUMAN, CTRB1_HUMAN, CTRB2_HUMAN
OG0000013	KLK7_MOUSE	KLK7_HUMAN
OG0000013	KLK14_MOUSE	KLK14_HUMAN
OG0000013	KLK4_MOUSE	KLK5_HUMAN, KLK4_HUMAN
OG0000013	KLK8_MOUSE	KLK15_HUMAN, KLK8_HUMAN
OG0000013	KLK11_MOUSE	KLK10_HUMAN, KLK12_HUMAN, KLK13_HUMAN, KLK6_HUMAN, KLK9_HUMAN, KLK11_HUMAN
OG0000013	TRY2_MOUSE, TRY4_MOUSE, TRY5_MOUSE	TRY1_HUMAN, TRY2_HUMAN, TRY6_HUMAN, TRY3_HUMAN
OG0000013	TMPS9_MOUSE	TMPS9_HUMAN
OG0000013	TEST_MOUSE	TEST_HUMAN
OG0000013	PRS41_MOUSE	PRS41_HUMAN
OG0000013	PRS33_MOUSE	PRS33_HUMAN
OG0000013	BSSP4_MOUSE	BSSP4_HUMAN
OG0000013	PRS27_MOUSE	PRS27_HUMAN
OG0000013	TRYB1_MOUSE, TRYB2_MOUSE	TRYD_HUMAN, TRYB1_HUMAN, TRYB2_HUMAN
OG0000013	PRS28_MOUSE, PRS29_MOUSE	PRS29_HUMAN
OG0000013	PRS39_MOUSE, PRS40_MOUSE, PRS38_MOUSE	PRS38_HUMAN
OG0000027	PCDA9_MOUSE	PCDA6_HUMAN, PCDA8_HUMAN, PCDAA_HUMAN
OG0000027	PCDA4_MOUSE	PCDA4_HUMAN
OG0000027	PCDA7_MOUSE	PCDA7_HUMAN, PCDA9_HUMAN
OG0000027	PCDAA_MOUSE	PCDA1_HUMAN, PCDA5_HUMAN
OG0000027	PCD19_MOUSE	PCD19_HUMAN
OG0000027	PCD12_MOUSE	PCD12_HUMAN
OG0000027	PCDBI_MOUSE	PCDBB_HUMAN, PCDBC_HUMAN, PCDBE_HUMAN, PCDBI_HUMAN, PCDB7_HUMAN, PCDB9_HUMAN, PCDBA_HUMAN
OG0000027	PCDBE_MOUSE, PCDB6_MOUSE, PCDB8_MOUSE	PCDBF_HUMAN, PCDB2_HUMAN, PCDB3_HUMAN, PCDBG_HUMAN, PCDB8_HUMAN, PCDBD_HUMAN, PCDB6_HUMAN, PCDB4_HUMAN, PCDB5_HUMAN
OG0000027	PCDG4_MOUSE	PCDGL_HUMAN, PCDGM_HUMAN, PCDGK_HUMAN, PCDGG_HUMAN, PCDGH_HUMAN, PCDGI_HUMAN, PCDGJ_HUMAN, PCDGF_HUMAN, PCDGD_HUMAN, PCDGE_HUMAN, PCDGB_HUMAN, PCDGC_HUMAN, PCDGA_HUMAN, PCDG8_HUMAN, PCDG9_HUMAN, PCDG7_HUMAN, PCDG3_HUMAN, PCDG2_HUMAN, PCDG1_HUMAN, PCDG6_HUMAN, PCDG5_HUMAN, PCDG4_HUMAN
OG0000063	GRIA1_MOUSE	GRIA1_HUMAN
OG0000063	GRIA2_MOUSE	GRIA2_HUMAN
OG0000063	GRIA4_MOUSE	GRIA4_HUMAN
OG0000063	GRIA3_MOUSE	GRIA3_HUMAN
OG0000063	GRIK5_MOUSE	GRIK5_HUMAN
OG0000063	GRIK4_MOUSE	GRIK4_HUMAN
OG0000063	GRIK2_MOUSE	GRIK2_HUMAN
OG0000063	GRIK3_MOUSE	GRIK3_HUMAN
OG0000063	GRIK1_MOUSE	GRIK1_HUMAN
OG0000029	ZN496_MOUSE	ZN446_HUMAN, ZSCA1_HUMAN, ZSC18_HUMAN, SCND1_HUMAN, ZN496_HUMAN
OG0000029	ZN263_MOUSE	MSD7_HUMAN, SCND2_HUMAN, ZN75C_HUMAN, ZN75D_HUMAN, ZN263_HUMAN
OG0000029	ZSC20_MOUSE	ZN215_HUMAN, ZN213_HUMAN, ZN444_HUMAN, ZKSC2_HUMAN, ZSC29_HUMAN, ZSC32_HUMAN, ZN500_HUMAN, ZSC20_HUMAN
OG0000029	ZN394_MOUSE	ZSC25_HUMAN, ZN394_HUMAN
OG0000029	ZSC26_MOUSE	ZSC26_HUMAN
OG0000029	ZKSC1_MOUSE	ZKSC1_HUMAN
OG0000029	ZNF24_MOUSE	ZSC31_HUMAN, ZSC23_HUMAN, ZSC9_HUMAN, ZN396_HUMAN, ZNF24_HUMAN
OG0000029	ZKSC3_MOUSE	ZSC16_HUMAN, ZKSC3_HUMAN, ZKSC4_HUMAN
OG0000029	ZSC12_MOUSE	ZSC12_HUMAN
OG0000029	ZN445_MOUSE	ZN197_HUMAN, ZKSC7_HUMAN, ZN852_HUMAN, ZN445_HUMAN
OG0000029	ZSC21_MOUSE	ZN165_HUMAN, ZSC30_HUMAN, ZN232_HUMAN, ZSC21_HUMAN
OG0000029	ZKSC5_MOUSE	ZN449_HUMAN, ZKSC5_HUMAN
OG0000060	GALR1_MOUSE	GALR1_HUMAN
OG0000060	GALR3_MOUSE	GALR3_HUMAN
OG0000060	GALR2_MOUSE	GALR2_HUMAN
OG0000077	RINI_MOUSE	RINI_HUMAN
OG0000077	NLRP6_MOUSE	NLRP6_HUMAN
OG0000077	NLRP3_MOUSE	NLRP3_HUMAN
OG0000077	NAL12_MOUSE	NAL12_HUMAN
OG0000077	NAL10_MOUSE	NAL10_HUMAN
OG0000077	NLR1A_MOUSE, NL1B2_MOUSE, NL1B3_MOUSE, NL1B4_MOUSE, NL1B1_MOUSE, NL1B5_MOUSE	NLRP1_HUMAN, CARD8_HUMAN
OG0000077	NAL4B_MOUSE, NAL4F_MOUSE, NAL4A_MOUSE, NAL4C_MOUSE, NAL4E_MOUSE	NALP4_HUMAN
OG0000077	NLR9B_MOUSE, NLR9A_MOUSE, NLR9C_MOUSE	NAL11_HUMAN, NLRP9_HUMAN
OG0000077	NALP5_MOUSE	NALP5_HUMAN
OG0000077	NAL14_MOUSE	NAL14_HUMAN
OG0000136	TEFF2_MOUSE	TEFF2_HUMAN
OG0000136	TEFF1_MOUSE	TEFF1_HUMAN
OG0000017	CC14A_MOUSE	CC14A_HUMAN
OG0000037	P52K_MOUSE	P52K_HUMAN
OG0000068	B3GN5_MOUSE	B3GN5_HUMAN
OG0000068	B3GT1_MOUSE	B3GT1_HUMAN
OG0000068	B3GT2_MOUSE	B3GT2_HUMAN
OG0000068	B3GT5_MOUSE	B3GT5_HUMAN
OG0000068	B3GL1_MOUSE	B3GL1_HUMAN
OG0000097	ZN120_MOUSE, ZN431_MOUSE	ZN556_HUMAN, ZN699_HUMAN, ZNF77_HUMAN, ZN555_HUMAN, ZNF57_HUMAN, ZN709_HUMAN, ZN136_HUMAN, ZN844_HUMAN, ZN861_HUMAN, ZN627_HUMAN, ZN441_HUMAN, ZNF44_HUMAN, ZN823_HUMAN, ZN442_HUMAN, ZN563_HUMAN, ZN443_HUMAN, ZN799_HUMAN, ZN491_HUMAN, ZN763_HUMAN, ZN700_HUMAN, ZN439_HUMAN, ZNF69_HUMAN, ZN440_HUMAN, ZN433_HUMAN, ZN625_HUMAN, ZNF20_HUMAN, ZN788_HUMAN, ZN101_HUMAN, ZN669_HUMAN, ZN124_HUMAN, ZN670_HUMAN, ZN564_HUMAN, ZNF14_HUMAN, ZN878_HUMAN, ZN490_HUMAN, ZN791_HUMAN
OG0000141	DEFA4_MOUSE, DFA20_MOUSE, DFA21_MOUSE, DFA22_MOUSE, DEFA5_MOUSE, DFA26_MOUSE, DFA29_MOUSE, DFA31_MOUSE, DFAR2_MOUSE, DAR10_MOUSE, DAR12_MOUSE, DFA16_MOUSE, DEFA6_MOUSE, DFA24_MOUSE, DFA11_MOUSE, DEFA1_MOUSE, DFA25_MOUSE, DFA23_MOUSE, DEFA2_MOUSE, DEFA7_MOUSE, DFA14_MOUSE, DFA10_MOUSE, DEFA3_MOUSE, DEFA8_MOUSE, DFA13_MOUSE, DEFA9_MOUSE, DFA15_MOUSE, DFA17_MOUSE	DEF5_HUMAN, DEF1_HUMAN, DEF3_HUMAN, DEF6_HUMAN, DEF4_HUMAN
OG0000149	SCNBA_MOUSE	SCNBA_HUMAN
OG0000149	SCNAA_MOUSE	SCNAA_HUMAN
OG0000149	SCN5A_MOUSE	SCN5A_HUMAN
OG0000149	SCN4A_MOUSE	SCN4A_HUMAN
OG0000149	SCN8A_MOUSE	SCN8A_HUMAN
OG0000149	SCN7A_MOUSE	SCN7A_HUMAN
OG0000149	SCN9A_MOUSE	SCN9A_HUMAN
OG0000149	SCN3A_MOUSE	SCN3A_HUMAN
OG0000149	SCN1A_MOUSE	SCN1A_HUMAN
OG0000149	SCN2A_MOUSE	SCN2A_HUMAN
OG0000159	CRBB1_MOUSE	CRBB1_HUMAN
OG0000159	CRBB2_MOUSE	CRBB2_HUMAN
OG0000159	CRBB3_MOUSE	CRBB3_HUMAN
OG0000159	CRBA2_MOUSE	CRBA2_HUMAN
OG0000159	CRBA4_MOUSE	CRBA4_HUMAN
OG0000159	CRBA1_MOUSE	CRBA1_HUMAN
OG0000159	CRGN_MOUSE	CRGN_HUMAN
OG0000159	CRYGS_MOUSE	CRYGS_HUMAN
OG0000159	CRGB_MOUSE	CRGB_HUMAN
OG0000159	CRGD_MOUSE, CRGE_MOUSE, CRGF_MOUSE	CRGD_HUMAN
OG0000159	CRGA_MOUSE	CRGA_HUMAN
OG0000159	CRGC_MOUSE	CRGC_HUMAN
OG0000032	56B34_MOUSE	O56B4_HUMAN
OG0000032	O51E2_MOUSE	O56B1_HUMAN, O56B2_HUMAN, O56A3_HUMAN, O56A1_HUMAN, O56A4_HUMAN, O56A5_HUMAN, O52I1_HUMAN, O52I2_HUMAN, O52J3_HUMAN, O52E6_HUMAN, O52E8_HUMAN, O52E1_HUMAN, O52E2_HUMAN, O52E4_HUMAN, O52E5_HUMAN, O52D1_HUMAN, O52B6_HUMAN, O52B4_HUMAN, O52H1_HUMAN, O52B2_HUMAN, O52Z1_HUMAN, O52A5_HUMAN, O52A1_HUMAN, O52A4_HUMAN, O52R1_HUMAN, O52W1_HUMAN, O52L1_HUMAN, O52L2_HUMAN, O52P1_HUMAN, O52N5_HUMAN, O52N2_HUMAN, O52N1_HUMAN, O52N4_HUMAN, O52M1_HUMAN, O52K1_HUMAN, O52K2_HUMAN, O51I1_HUMAN, O51I2_HUMAN, O51M1_HUMAN, O51J1_HUMAN, O51T1_HUMAN, O51C1_HUMAN, O51F1_HUMAN, O51F2_HUMAN, O51S1_HUMAN, O51H1_HUMAN, O51L1_HUMAN, O51G2_HUMAN, O51G1_HUMAN, O51V1_HUMAN, O51B5_HUMAN, O51B6_HUMAN, O51B2_HUMAN, O51B4_HUMAN, O51Q1_HUMAN, O51A7_HUMAN, O51A2_HUMAN, O51A4_HUMAN, O51E1_HUMAN, O51D1_HUMAN, O51E2_HUMAN
OG0000038	HRH2_MOUSE	HRH2_HUMAN
OG0000038	ADRB2_MOUSE	ADRB2_HUMAN
OG0000038	ADRB1_MOUSE	ADRB1_HUMAN
OG0000038	ADRB3_MOUSE	ADRB3_HUMAN
OG0000038	DRD1_MOUSE	DRD1_HUMAN
OG0000038	DRD5_MOUSE	DRD5_HUMAN
OG0000109	CP3AB_MOUSE, CP341_MOUSE, CP3AG_MOUSE, CP3AP_MOUSE, CP3AD_MOUSE	CP3A5_HUMAN, CP343_HUMAN, CP3A4_HUMAN, CP3A7_HUMAN
OG0000120	K1958_MOUSE	K1958_HUMAN
OG0000129	LIPR1_MOUSE	LIPR1_HUMAN
OG0000129	LIPP_MOUSE	LIPP_HUMAN
OG0000129	LIPR2_MOUSE	LIPR2_HUMAN
OG0000129	LIPH_MOUSE	LIPI_HUMAN, LIPH_HUMAN
OG0000134	RN152_MOUSE	RN152_HUMAN
OG0000166	SEM3E_MOUSE	SEM3E_HUMAN
OG0000166	SEM3G_MOUSE	SEM3G_HUMAN
OG0000166	SEM3B_MOUSE	SEM3B_HUMAN
OG0000166	SEM3A_MOUSE	SEM3A_HUMAN
OG0000166	SEM3D_MOUSE	SEM3D_HUMAN
OG0000166	SEM3C_MOUSE	SEM3C_HUMAN
OG0000166	SEM3F_MOUSE	SEM3F_HUMAN
OG0000166	SEM4D_MOUSE	SEM4D_HUMAN
OG0000166	SEM4G_MOUSE	SEM4G_HUMAN
OG0000166	SEM4C_MOUSE	SEM4C_HUMAN
OG0000166	SEM4F_MOUSE	SEM4F_HUMAN
OG0000166	SEM4B_MOUSE	SEM4B_HUMAN
OG0000166	SEM4A_MOUSE	SEM4A_HUMAN
OG0000178	ST1C1_MOUSE	ST1C3_HUMAN
OG0000178	ST1C2_MOUSE	ST1C4_HUMAN, ST1C2_HUMAN
OG0000178	ST1A1_MOUSE	ST1A2_HUMAN, ST1A1_HUMAN, ST1A3_HUMAN, ST1A4_HUMAN
OG0000178	ST1B1_MOUSE	ST1B1_HUMAN
OG0000178	ST1D1_MOUSE, ST1E1_MOUSE	ST1E1_HUMAN
OG0000007	CFA68_MOUSE	CFA68_HUMAN
OG0000016	NPY2R_MOUSE	NPY2R_HUMAN
OG0000016	GPR83_MOUSE	GPR83_HUMAN
OG0000016	NK2R_MOUSE	NK2R_HUMAN
OG0000016	NK3R_MOUSE	NK3R_HUMAN
OG0000016	NK1R_MOUSE	NK1R_HUMAN
OG0000016	QRFPR_MOUSE	QRFPR_HUMAN
OG0000016	OX1R_MOUSE	OX1R_HUMAN
OG0000016	OX2R_MOUSE	OX2R_HUMAN
OG0000016	NPFF2_MOUSE	NPFF1_HUMAN, NPFF2_HUMAN
OG0000039	DDX41_MOUSE	DDX41_HUMAN
OG0000046	MTR1L_MOUSE	MTR1L_HUMAN
OG0000046	MTR1A_MOUSE	MTR1A_HUMAN
OG0000046	MTR1B_MOUSE	MTR1B_HUMAN
OG0000095	GOGA2_MOUSE	GOGA2_HUMAN, GG6L7_HUMAN, GG6L2_HUMAN, GG6LZ_HUMAN, GG6L1_HUMAN, GG6LV_HUMAN, GG6LX_HUMAN, GG6LY_HUMAN, GG6L6_HUMAN, GG6L4_HUMAN, GG6L9_HUMAN, GG6LS_HUMAN, GG6LA_HUMAN, GOG6A_HUMAN, GOG6B_HUMAN, GOG6C_HUMAN, GOG6D_HUMAN, GGA2B_HUMAN, GOG8A_HUMAN, GOG8B_HUMAN, GOG8F_HUMAN, GOG8G_HUMAN, GOG8D_HUMAN, GOG8C_HUMAN, GOG8S_HUMAN, GOG8R_HUMAN, GOG8O_HUMAN, GOG8N_HUMAN, GOG8Q_HUMAN, GOG8M_HUMAN, GOG8I_HUMAN, GOG8J_HUMAN, GOG8K_HUMAN, GOG8T_HUMAN, GOG8H_HUMAN
OG0000103	HBAZ_MOUSE	HBAZ_HUMAN
OG0000103	HBA_MOUSE	HBAT_HUMAN, HBA_HUMAN
OG0000103	HBE_MOUSE	HBE_HUMAN
OG0000103	HBB1_MOUSE, HBB2_MOUSE	HBB_HUMAN, HBD_HUMAN
OG0000103	MYG_MOUSE	MYG_HUMAN
OG0000103	CYGB_MOUSE	CYGB_HUMAN
OG0000103	NGB_MOUSE	NGB_HUMAN
OG0000116	OR2V1_MOUSE	OR2V1_HUMAN, OR2V2_HUMAN, OR2M4_HUMAN, OR2M5_HUMAN, OR2M7_HUMAN, OR2M3_HUMAN, OR2M2_HUMAN, OR2T8_HUMAN, O2T12_HUMAN, O2T33_HUMAN, O2T34_HUMAN, OR2T3_HUMAN, O2T10_HUMAN, OR2T4_HUMAN, O2T29_HUMAN, OR2T5_HUMAN, O2T11_HUMAN, O2T35_HUMAN, OR2T2_HUMAN, O2T27_HUMAN, OR2T7_HUMAN, OR2T1_HUMAN, OR2T6_HUMAN, O2AE1_HUMAN, OR2Z1_HUMAN, O2AG1_HUMAN, O2AG2_HUMAN, O2AJ1_HUMAN, O2AK2_HUMAN, OR2LD_HUMAN, OR2L3_HUMAN, OR2L8_HUMAN, OR2L2_HUMAN, OR2L5_HUMAN
OG0000167	PAPOG_MOUSE	PAPOG_HUMAN
OG0000167	PAPOB_MOUSE	PAPOB_HUMAN
OG0000167	PAPOA_MOUSE	PAPOA_HUMAN
OG0000179	CP2E1_MOUSE	CP2E1_HUMAN
OG0000179	CP2F2_MOUSE	CP2F1_HUMAN
OG0000179	CP2BJ_MOUSE, CP2B9_MOUSE, CP2BA_MOUSE	CP2B6_HUMAN
OG0000179	CP2A4_MOUSE, CP2A5_MOUSE	CP2AD_HUMAN, CP2A6_HUMAN, CP2A7_HUMAN
OG0000179	CP2AC_MOUSE	C2G1P_HUMAN
OG0000179	CP270_MOUSE, CP255_MOUSE, CP2CT_MOUSE, CP238_MOUSE, CP239_MOUSE, CP240_MOUSE, CP237_MOUSE, CP254_MOUSE, CY250_MOUSE	CP2CI_HUMAN, CP2C8_HUMAN, CP2C9_HUMAN, CP2CJ_HUMAN
OG0000186	B4GN4_MOUSE	B4GN4_HUMAN
OG0000186	B4GN3_MOUSE	B4GN3_HUMAN
OG0000002	ZN235_MOUSE	ZN227_HUMAN, ZN226_HUMAN, ZN234_HUMAN, ZN221_HUMAN, ZN225_HUMAN, ZN224_HUMAN, ZN284_HUMAN, ZN155_HUMAN, ZN230_HUMAN, ZN222_HUMAN, ZN223_HUMAN, ZN233_HUMAN, ZN235_HUMAN
OG0000002	ZN112_MOUSE	ZNF45_HUMAN, ZN112_HUMAN
OG0000002	Z354A_MOUSE	Z354A_HUMAN
OG0000002	Z354B_MOUSE	Z354B_HUMAN
OG0000002	ZN879_MOUSE	ZN879_HUMAN
OG0000002	Z354C_MOUSE	ZN620_HUMAN, Z354C_HUMAN
OG0000002	ZN184_MOUSE	ZN391_HUMAN, ZN892_HUMAN, ZN251_HUMAN, ZNF7_HUMAN, ZN485_HUMAN, ZN502_HUMAN, ZN184_HUMAN
OG0000002	ZN667_MOUSE	ZN667_HUMAN
OG0000002	ZFP28_MOUSE	ZFP28_HUMAN
OG0000002	ZN583_MOUSE	ZN570_HUMAN, ZN583_HUMAN
OG0000002	ZFP14_MOUSE	ZFP14_HUMAN
OG0000002	ZFP82_MOUSE	ZFP82_HUMAN
OG0000002	ZFP30_MOUSE	ZFP30_HUMAN
OG0000002	ZFP59_MOUSE, ZFP60_MOUSE	ZN540_HUMAN, Z780A_HUMAN, Z780B_HUMAN
OG0000002	ZFP27_MOUSE	Z585A_HUMAN, Z585B_HUMAN
OG0000002	ZFP54_MOUSE	Z658B_HUMAN, ZN658_HUMAN
OG0000002	ZFP1_MOUSE	ZFP1_HUMAN
OG0000002	RBAK_MOUSE	RBAK_HUMAN
OG0000002	ZNF12_MOUSE	ZNF12_HUMAN
OG0000002	ZN382_MOUSE	ZN567_HUMAN, ZN382_HUMAN
OG0000002	ZFOI1_MOUSE, ZFP39_MOUSE, ZN809_MOUSE	ZN157_HUMAN, ZN717_HUMAN
OG0000002	ZN182_MOUSE	KRBD4_HUMAN, ZN674_HUMAN, ZN793_HUMAN, ZN577_HUMAN, ZN484_HUMAN, ZNF41_HUMAN, ZN175_HUMAN, ZNF81_HUMAN, ZN268_HUMAN, ZNF26_HUMAN, ZN605_HUMAN, ZNF84_HUMAN, ZN432_HUMAN, ZN615_HUMAN, ZN614_HUMAN, ZN613_HUMAN, ZN350_HUMAN, ZN649_HUMAN, ZN133_HUMAN, ZN169_HUMAN, ZN875_HUMAN, ZN337_HUMAN, ZN343_HUMAN, ZN589_HUMAN, ZN300_HUMAN, ZN630_HUMAN, ZN182_HUMAN
OG0000002	ZN569_MOUSE	ZN569_HUMAN
OG0000002	ZN568_MOUSE	ZN568_HUMAN
OG0000002	ZN426_MOUSE	ZN426_HUMAN
OG0000002	ZFP26_MOUSE	ZN121_HUMAN, ZN778_HUMAN, ZN560_HUMAN, ZN266_HUMAN
OG0000002	ZFP90_MOUSE	ZFP90_HUMAN
OG0000002	ZFP69_MOUSE	ZN542_HUMAN, ZN789_HUMAN, ZF69B_HUMAN, ZFP69_HUMAN
OG0000002	ZNF8_MOUSE	ZN713_HUMAN, ZN75A_HUMAN, ZNF8_HUMAN
OG0000021	NEGR1_MOUSE	NEGR1_HUMAN
OG0000021	LSAMP_MOUSE	LSAMP_HUMAN
OG0000021	IGLO5_MOUSE	IGLO5_HUMAN
OG0000021	NTRI_MOUSE	OPCM_HUMAN, NTRI_HUMAN
OG0000069	EFNB3_MOUSE	EFNB3_HUMAN
OG0000069	EFNB1_MOUSE	EFNB1_HUMAN
OG0000069	EFNB2_MOUSE	EFNB2_HUMAN
OG0000085	V2R1_MOUSE, V2116_MOUSE, V2R26_MOUSE, CASR_MOUSE	CASR_HUMAN
OG0000151	ZIK1_MOUSE	ZIK1_HUMAN, ZN416_HUMAN, ZN551_HUMAN, ZN530_HUMAN, ZN154_HUMAN, ZN256_HUMAN, ZN418_HUMAN, ZN552_HUMAN, Z587B_HUMAN, ZN814_HUMAN, ZN417_HUMAN, ZN587_HUMAN, ZN776_HUMAN, ZN211_HUMAN, ZN586_HUMAN, ZN549_HUMAN, ZN419_HUMAN, ZN773_HUMAN, ZN132_HUMAN, ZN584_HUMAN, ZN671_HUMAN, ZN548_HUMAN, ZN547_HUMAN, ZN749_HUMAN, ZNF17_HUMAN, ZN304_HUMAN, ZN134_HUMAN, ZN772_HUMAN, ZN792_HUMAN, Z324A_HUMAN, Z324B_HUMAN
OG0000162	MMP16_MOUSE	MMP16_HUMAN
OG0000162	MMP24_MOUSE	MMP24_HUMAN
OG0000162	MMP14_MOUSE	MMP14_HUMAN
OG0000162	MMP15_MOUSE	MMP15_HUMAN
OG0000162	MMP25_MOUSE	MMP25_HUMAN
OG0000047	BKRB2_MOUSE	BKRB2_HUMAN
OG0000047	BKRB1_MOUSE	BKRB1_HUMAN
OG0000047	AGTR2_MOUSE	AGTR2_HUMAN
OG0000047	AGTRB_MOUSE, AGTRA_MOUSE	AGTR1_HUMAN
OG0000047	ACKR2_MOUSE	ACKR2_HUMAN
OG0000047	XCR1_MOUSE	XCR1_HUMAN
OG0000047	CCR4_MOUSE	CCR4_HUMAN
OG0000047	CCR5_MOUSE	CCR5_HUMAN
OG0000047	CCR2_MOUSE	CCR2_HUMAN
OG0000047	CCR3_MOUSE	CCR3_HUMAN
OG0000047	CC1L1_MOUSE, CCR1_MOUSE	CCR1_HUMAN
OG0000047	CCR8_MOUSE	CCR8_HUMAN
OG0000047	CX3C1_MOUSE	CX3C1_HUMAN
OG0000047	CXCR2_MOUSE	CXCR2_HUMAN
OG0000047	CXCR1_MOUSE	CXCR1_HUMAN
OG0000047	CCR7_MOUSE	CCR7_HUMAN
OG0000047	CCR6_MOUSE	CCR6_HUMAN
OG0000047	CXCR4_MOUSE	CXCR4_HUMAN
OG0000047	CXCR3_MOUSE	CXCR3_HUMAN
OG0000072	SPD2A_MOUSE	SPD2A_HUMAN
OG0000072	SPD2B_MOUSE	SPD2B_HUMAN
OG0000107	VWDE_MOUSE	VWDE_HUMAN
OG0000130	TAGL_MOUSE	TAGL_HUMAN
OG0000130	TAGL3_MOUSE	TAGL3_HUMAN
OG0000130	TAGL2_MOUSE	TAGL2_HUMAN
OG0000130	CNN3_MOUSE	CNN3_HUMAN
OG0000130	CNN1_MOUSE	CNN1_HUMAN
OG0000130	CNN2_MOUSE	CNN2_HUMAN
OG0000174	CUZD1_MOUSE	CUZD1_HUMAN
