Orthogroup	Mmus	Acer
OG0000149	SCNBA_MOUSE, SCNAA_MOUSE, SCN5A_MOUSE, SCN4A_MOUSE, SCN8A_MOUSE, SCN7A_MOUSE, SCN9A_MOUSE, SCN3A_MOUSE, SCN1A_MOUSE, SCN2A_MOUSE	KAK2561011.1, KAK2560867.1, KAK2550803.1, KAK2563045.1
OG0000159	CRBB1_MOUSE, CRBB2_MOUSE, CRBB3_MOUSE, CRBA2_MOUSE, CRBA4_MOUSE, CRBA1_MOUSE, CRGN_MOUSE, CRYGS_MOUSE, CRGB_MOUSE, CRGD_MOUSE, CRGE_MOUSE, CRGF_MOUSE, CRGA_MOUSE, CRGC_MOUSE	KAK2554811.1, KAK2549870.1, KAK2572656.1, KAK2572810.1
OG0000038	HRH2_MOUSE, ADRB2_MOUSE, ADRB1_MOUSE, ADRB3_MOUSE, DRD1_MOUSE, DRD5_MOUSE	KAK2547743.1, KAK2560741.1, KAK2558445.1, KAK2558443.1, KAK2558409.1, KAK2558448.1, KAK2558449.1, KAK2573252.1, KAK2559973.1, KAK2558343.1, KAK2558508.1, KAK2558473.1, KAK2558477.1, KAK2572270.1, KAK2558472.1, KAK2570591.1, KAK2573658.1, KAK2573798.1
OG0000109	CP3AB_MOUSE, CP341_MOUSE, CP3AG_MOUSE, CP3AP_MOUSE, CP3AD_MOUSE	KAK2565310.1, KAK2565311.1, KAK2572598.1, KAK2564867.1, KAK2550634.1, KAK2550632.1, KAK2550633.1
OG0000120	K1958_MOUSE	KAK2570276.1, KAK2570275.1, KAK2564195.1, KAK2562688.1, KAK2569729.1, KAK2564194.1, KAK2548534.1, KAK2560616.1, KAK2548495.1, KAK2561787.1, KAK2557412.1, KAK2554202.1, KAK2568042.1, KAK2557411.1, KAK2548496.1, KAK2566437.1, KAK2561665.1, KAK2555969.1, KAK2565695.1, KAK2558906.1, KAK2562655.1, KAK2552436.1, KAK2554104.1, KAK2557072.1, KAK2564386.1, KAK2562522.1, KAK2548374.1, KAK2555801.1, KAK2547577.1, KAK2547579.1, KAK2552013.1
OG0000129	LIPR1_MOUSE, LIPP_MOUSE, LIPR2_MOUSE, LIPH_MOUSE	KAK2556749.1, KAK2551307.1, KAK2563114.1, KAK2563113.1, KAK2563117.1, KAK2551308.1, KAK2551784.1, KAK2566340.1, KAK2560734.1, KAK2566337.1, KAK2556680.1
OG0000134	RN152_MOUSE	KAK2557336.1, KAK2562633.1, KAK2552147.1, KAK2549853.1, KAK2560842.1, KAK2552592.1, KAK2549849.1, KAK2560847.1, KAK2570459.1, KAK2560841.1, KAK2559049.1, KAK2547257.1, KAK2559522.1, KAK2548868.1, KAK2558596.1, KAK2548502.1, KAK2547099.1, KAK2548515.1, KAK2563707.1, KAK2572696.1, KAK2547188.1, KAK2547452.1, KAK2573068.1, KAK2572693.1, KAK2548516.1, KAK2553013.1, KAK2563827.1
OG0000166	SEM3E_MOUSE, SEM3G_MOUSE, SEM3B_MOUSE, SEM3A_MOUSE, SEM3D_MOUSE, SEM3C_MOUSE, SEM3F_MOUSE, SEM4D_MOUSE, SEM4G_MOUSE, SEM4C_MOUSE, SEM4F_MOUSE, SEM4B_MOUSE, SEM4A_MOUSE	KAK2564685.1
OG0000178	ST1C1_MOUSE, ST1C2_MOUSE, ST1A1_MOUSE, ST1B1_MOUSE, ST1D1_MOUSE, ST1E1_MOUSE	KAK2561348.1, KAK2561350.1, KAK2561351.1, KAK2559975.1, KAK2571047.1, KAK2571384.1
OG0000007	CFA68_MOUSE	KAK2550691.1, KAK2564519.1, KAK2547364.1, KAK2549584.1, KAK2555889.1, KAK2553585.1, KAK2555194.1, KAK2559141.1, KAK2568982.1, KAK2562501.1, KAK2559190.1, KAK2555740.1, KAK2559073.1, KAK2555776.1, KAK2564055.1, KAK2564678.1, KAK2552193.1, KAK2549140.1, KAK2555258.1, KAK2555836.1, KAK2561823.1, KAK2561758.1, KAK2554169.1, KAK2549000.1, KAK2571417.1, KAK2547372.1, KAK2554888.1, KAK2562412.1, KAK2560778.1, KAK2555207.1, KAK2547442.1, KAK2552069.1, KAK2548394.1, KAK2567631.1, KAK2568545.1, KAK2569823.1, KAK2551642.1, KAK2553693.1, KAK2567256.1, KAK2556460.1, KAK2554248.1, KAK2568540.1, KAK2558110.1, KAK2558109.1, KAK2567630.1, KAK2554247.1, KAK2556461.1, KAK2569822.1, KAK2567107.1, KAK2553689.1, KAK2554931.1, KAK2558771.1, KAK2549788.1, KAK2556975.1, KAK2548173.1, KAK2556181.1, KAK2563086.1, KAK2552057.1, KAK2552062.1, KAK2571669.1, KAK2553553.1, KAK2546801.1, KAK2550732.1, KAK2571416.1, KAK2554684.1, KAK2558129.1, KAK2565484.1, KAK2568753.1, KAK2564192.1, KAK2565615.1, KAK2549364.1, KAK2558923.1, KAK2553564.1, KAK2560769.1, KAK2558638.1, KAK2552350.1, KAK2555734.1, KAK2559458.1, KAK2566629.1, KAK2551129.1, KAK2546742.1, KAK2565102.1, KAK2550740.1, KAK2559153.1, KAK2552656.1, KAK2550735.1, KAK2564148.1, KAK2564873.1, KAK2550562.1, KAK2555827.1, KAK2549463.1, KAK2573776.1, KAK2548979.1, KAK2563416.1, KAK2568283.1, KAK2562627.1, KAK2552430.1, KAK2548531.1, KAK2548360.1, KAK2550325.1, KAK2554116.1, KAK2548487.1, KAK2549860.1, KAK2552011.1, KAK2565630.1, KAK2546688.1, KAK2551338.1, KAK2557560.1, KAK2548239.1
OG0000016	NPY2R_MOUSE, GPR83_MOUSE, NK2R_MOUSE, NK3R_MOUSE, NK1R_MOUSE, QRFPR_MOUSE, OX1R_MOUSE, OX2R_MOUSE, NPFF2_MOUSE	KAK2565130.1, KAK2565131.1, KAK2573590.1, KAK2572460.1, KAK2559581.1, KAK2559580.1, KAK2559583.1, KAK2572150.1, KAK2572365.1, KAK2572359.1, KAK2562365.1, KAK2572380.1, KAK2573133.1, KAK2572853.1, KAK2572858.1, KAK2573228.1, KAK2572993.1, KAK2558350.1, KAK2563666.1, KAK2573106.1, KAK2563854.1, KAK2572748.1, KAK2572749.1, KAK2563852.1, KAK2572952.1, KAK2572951.1, KAK2572755.1, KAK2573187.1, KAK2572750.1, KAK2572753.1, KAK2572751.1
OG0000039	DDX41_MOUSE	KAK2564525.1, KAK2546768.1, KAK2564105.1, KAK2547163.1, KAK2548376.1, KAK2547128.1, KAK2547127.1, KAK2564599.1, KAK2567583.1, KAK2560861.1, KAK2567741.1, KAK2554734.1, KAK2553217.1, KAK2557890.1, KAK2566161.1, KAK2550623.1, KAK2553605.1, KAK2546981.1, KAK2556119.1, KAK2548339.1, KAK2568130.1, KAK2556828.1, KAK2557891.1, KAK2553967.1, KAK2556568.1, KAK2553214.1, KAK2555648.1, KAK2555647.1, KAK2552963.1, KAK2569303.1, KAK2557525.1, KAK2555649.1, KAK2553225.1, KAK2546720.1, KAK2557349.1, KAK2550432.1, KAK2555182.1, KAK2550430.1, KAK2566044.1, KAK2547310.1, KAK2554148.1, KAK2554147.1, KAK2549024.1, KAK2554197.1, KAK2550433.1, KAK2549212.1, KAK2555142.1, KAK2567673.1, KAK2565308.1, KAK2567674.1, KAK2555143.1, KAK2547302.1, KAK2554905.1
OG0000046	MTR1L_MOUSE, MTR1A_MOUSE, MTR1B_MOUSE	KAK2556771.1, KAK2569787.1, KAK2569619.1, KAK2569735.1, KAK2569620.1, KAK2561990.1, KAK2551150.1, KAK2570639.1, KAK2563169.1, KAK2553351.1, KAK2563318.1, KAK2553350.1, KAK2557789.1, KAK2572679.1, KAK2559437.1, KAK2547849.1, KAK2547864.1, KAK2565858.1, KAK2566077.1, KAK2571232.1, KAK2571231.1, KAK2571236.1, KAK2554406.1, KAK2554407.1
OG0000095	GOGA2_MOUSE	KAK2567783.1
OG0000103	HBAZ_MOUSE, HBA_MOUSE, HBB0_MOUSE, HBBZ_MOUSE, HBE_MOUSE, HBB1_MOUSE, HBB2_MOUSE, MYG_MOUSE, CYGB_MOUSE, NGB_MOUSE	KAK2558135.1, KAK2557128.1, KAK2561511.1, KAK2561764.1
OG0000167	PAPOG_MOUSE, PAPOB_MOUSE, PAPOA_MOUSE	KAK2568860.1, KAK2568918.1, KAK2568865.1
OG0000186	B4GN4_MOUSE, B4GN3_MOUSE	KAK2566467.1, KAK2553135.1, KAK2564714.1, KAK2552541.1, KAK2573778.1, KAK2568212.1, KAK2566330.1, KAK2568244.1, KAK2566328.1, KAK2568405.1, KAK2566443.1, KAK2566442.1, KAK2568240.1, KAK2568242.1, KAK2566329.1, KAK2566345.1, KAK2568494.1, KAK2566444.1
OG0000002	ZN235_MOUSE, ZN112_MOUSE, Z354A_MOUSE, Z354B_MOUSE, ZN879_MOUSE, Z354C_MOUSE, ZN184_MOUSE, ZN667_MOUSE, ZFP28_MOUSE, ZN583_MOUSE, ZFP14_MOUSE, ZFP82_MOUSE, ZFP30_MOUSE, ZFP59_MOUSE, ZFP60_MOUSE, ZFP27_MOUSE, ZFP54_MOUSE, ZFP1_MOUSE, RBAK_MOUSE, ZNF12_MOUSE, ZN382_MOUSE, ZFOI1_MOUSE, ZFP39_MOUSE, ZN809_MOUSE, ZN182_MOUSE, ZN569_MOUSE, ZN568_MOUSE, ZN426_MOUSE, ZFP26_MOUSE, ZFP90_MOUSE, ZFP69_MOUSE, ZNF8_MOUSE	KAK2561211.1
OG0000021	NEGR1_MOUSE, LSAMP_MOUSE, IGLO5_MOUSE, NTRI_MOUSE	KAK2557523.1, KAK2549865.1, KAK2547592.1, KAK2547155.1, KAK2549864.1, KAK2549888.1, KAK2547151.1, KAK2547053.1, KAK2549882.1, KAK2549187.1, KAK2547307.1, KAK2547152.1, KAK2547301.1, KAK2547306.1, KAK2557578.1, KAK2549184.1, KAK2557516.1, KAK2557581.1, KAK2547157.1, KAK2547303.1, KAK2566439.1, KAK2557442.1, KAK2557437.1, KAK2557553.1, KAK2549872.1, KAK2557504.1, KAK2557548.1, KAK2557551.1, KAK2557505.1, KAK2557509.1, KAK2549873.1, KAK2557549.1, KAK2554123.1, KAK2551951.1, KAK2546835.1, KAK2571712.1, KAK2561831.1, KAK2565581.1, KAK2547776.1, KAK2549085.1, KAK2550547.1, KAK2571754.1, KAK2554063.1, KAK2548506.1, KAK2557455.1, KAK2567902.1, KAK2564602.1, KAK2572199.1, KAK2555813.1, KAK2564023.1, KAK2556903.1, KAK2564657.1, KAK2564656.1, KAK2549094.1, KAK2549429.1, KAK2552777.1, KAK2565699.1, KAK2552970.1, KAK2549448.1, KAK2565725.1, KAK2560575.1, KAK2552206.1, KAK2552974.1
OG0000069	EFNB3_MOUSE, EFNB1_MOUSE, EFNB2_MOUSE	KAK2566336.1, KAK2572475.1, KAK2551790.1, KAK2551843.1, KAK2565355.1, KAK2565357.1, KAK2554214.1, KAK2551819.1, KAK2568327.1, KAK2546926.1, KAK2546923.1, KAK2546784.1, KAK2546732.1, KAK2546785.1, KAK2568326.1
OG0000085	V2R1_MOUSE, V2116_MOUSE, V2R26_MOUSE, CASR_MOUSE	KAK2568378.1, KAK2557924.1, KAK2559247.1, KAK2549546.1, KAK2565423.1, KAK2565612.1, KAK2558953.1, KAK2547333.1, KAK2566237.1, KAK2550699.1, KAK2546694.1, KAK2564426.1, KAK2573103.1, KAK2562451.1, KAK2561789.1, KAK2564380.1, KAK2552816.1, KAK2561791.1, KAK2567737.1, KAK2548932.1, KAK2562445.1, KAK2549410.1, KAK2552345.1, KAK2558133.1, KAK2548878.1, KAK2550719.1, KAK2564577.1, KAK2555893.1, KAK2570981.1, KAK2570980.1, KAK2557863.1, KAK2572486.1
OG0000162	MMP16_MOUSE, MMP24_MOUSE, MMP14_MOUSE, MMP15_MOUSE, MMP25_MOUSE	KAK2561006.1, KAK2560950.1, KAK2561008.1, KAK2552736.1, KAK2552734.1
OG0000047	BKRB2_MOUSE, BKRB1_MOUSE, AGTR2_MOUSE, AGTRB_MOUSE, AGTRA_MOUSE, ACKR2_MOUSE, XCR1_MOUSE, CCR4_MOUSE, CCR5_MOUSE, CCR2_MOUSE, CCR3_MOUSE, CC1L1_MOUSE, CCR1_MOUSE, CCR8_MOUSE, CX3C1_MOUSE, CXCR2_MOUSE, CXCR1_MOUSE, CCR7_MOUSE, CCR6_MOUSE, CXCR4_MOUSE, CXCR3_MOUSE	KAK2572152.1, KAK2572153.1, KAK2572146.1, KAK2572296.1, KAK2572301.1, KAK2572304.1, KAK2562233.1, KAK2562236.1, KAK2562235.1, KAK2562237.1, KAK2562238.1
OG0000072	SPD2A_MOUSE, SPD2B_MOUSE	KAK2549526.1, KAK2556159.1, KAK2549525.1, KAK2561842.1, KAK2568041.1, KAK2568970.1, KAK2561844.1, KAK2558884.1, KAK2568720.1, KAK2562602.1, KAK2562601.1, KAK2549380.1, KAK2549381.1, KAK2555788.1, KAK2554171.1, KAK2564500.1, KAK2554066.1, KAK2549162.1, KAK2548521.1, KAK2549163.1, KAK2547383.1, KAK2549524.1
OG0000107	VWDE_MOUSE	KAK2554218.1, KAK2546812.1, KAK2563303.1, KAK2546811.1, KAK2563308.1, KAK2563238.1, KAK2563201.1, KAK2563202.1, KAK2563267.1
OG0000130	TAGL_MOUSE, TAGL3_MOUSE, TAGL2_MOUSE, CNN3_MOUSE, CNN1_MOUSE, CNN2_MOUSE	KAK2570708.1, KAK2570709.1
OG0000174	CUZD1_MOUSE	KAK2557290.1, KAK2572582.1, KAK2562022.1, KAK2570416.1, KAK2570417.1, KAK2570282.1, KAK2570468.1, KAK2570088.1, KAK2570476.1, KAK2566461.1, KAK2547428.1, KAK2548105.1, KAK2551492.1, KAK2566703.1, KAK2551476.1, KAK2557288.1, KAK2559172.1, KAK2565689.1
OG0000188	PAP1L_MOUSE, PABP1_MOUSE	KAK2559926.1, KAK2559924.1, KAK2559927.1, KAK2567999.1, KAK2568007.1, KAK2559928.1, KAK2559923.1
OG0000056	IF2P_MOUSE	KAK2559323.1, KAK2548478.1, KAK2557962.1, KAK2558805.1, KAK2554342.1, KAK2553126.1, KAK2571534.1, KAK2564101.1, KAK2562608.1, KAK2552349.1, KAK2547484.1, KAK2562261.1, KAK2547359.1, KAK2552080.1, KAK2547563.1, KAK2549134.1, KAK2551935.1, KAK2564644.1, KAK2552227.1, KAK2551976.1, KAK2565726.1, KAK2552780.1, KAK2568527.1, KAK2550374.1, KAK2546993.1, KAK2552428.1, KAK2552226.1, KAK2568729.1, KAK2556264.1, KAK2562262.1, KAK2561775.1, KAK2559513.1, KAK2555215.1, KAK2561860.1, KAK2546849.1, KAK2554022.1, KAK2550706.1, KAK2561861.1, KAK2558875.1, KAK2548079.1, KAK2558863.1, KAK2560671.1, KAK2549593.1, KAK2572409.1, KAK2563250.1
OG0000084	NAIF1_MOUSE	KAK2562816.1, KAK2563829.1, KAK2570334.1, KAK2565617.1, KAK2551329.1, KAK2551414.1, KAK2548471.1, KAK2566331.1, KAK2571631.1, KAK2567711.1, KAK2550663.1, KAK2551560.1, KAK2560833.1, KAK2570328.1, KAK2548517.1, KAK2549353.1, KAK2546829.1, KAK2547901.1, KAK2553678.1, KAK2562289.1, KAK2550051.1, KAK2553682.1, KAK2552556.1, KAK2547505.1, KAK2552091.1, KAK2561936.1, KAK2562905.1, KAK2558750.1, KAK2567420.1, KAK2548527.1, KAK2548526.1, KAK2558573.1, KAK2554296.1, KAK2550662.1, KAK2555166.1
OG0000106	H2B1A_MOUSE, H2B1M_MOUSE, H2B1H_MOUSE, H2B1C_MOUSE, H2B2B_MOUSE, H2B1B_MOUSE, H2B1P_MOUSE, H2B1F_MOUSE, H2B1K_MOUSE, H2B2E_MOUSE, H2B3A_MOUSE, H2B3B_MOUSE	KAK2546642.1
OG0000128	MAGBG_MOUSE, MAGBI_MOUSE, NSE3_MOUSE	KAK2548674.1, KAK2557806.1
OG0000168	EST3A_MOUSE, EST3B_MOUSE, EST5A_MOUSE, EST2C_MOUSE, EST2A_MOUSE, EST2E_MOUSE, EST4A_MOUSE, EST1C_MOUSE, EST1D_MOUSE, EST1_MOUSE, EST1E_MOUSE, EST1F_MOUSE, ACES_MOUSE, CHLE_MOUSE	KAK2560030.1, KAK2557604.1
OG0000228	PTPRT_MOUSE, PTPRM_MOUSE, PTPRU_MOUSE, PTPRK_MOUSE	KAK2565266.1
OG0000082	CRFR1_MOUSE, CRFR2_MOUSE, CALRL_MOUSE, CALCR_MOUSE, PTH1R_MOUSE, PTH2R_MOUSE, GLP2R_MOUSE, GLP1R_MOUSE, GLR_MOUSE, GIPR_MOUSE, SCTR_MOUSE, GHRHR_MOUSE, VIPR1_MOUSE, PACR_MOUSE, VIPR2_MOUSE	KAK2572246.1, KAK2546941.1, KAK2572186.1, KAK2546929.1, KAK2546934.1, KAK2546935.1, KAK2572188.1, KAK2546943.1, KAK2572185.1, KAK2546942.1
OG0000105	MYH6_MOUSE, MYH7_MOUSE, MYH3_MOUSE, MYH8_MOUSE, MYH2_MOUSE, MYH4_MOUSE, MYH1_MOUSE, MYH7B_MOUSE	KAK2571603.1
OG0000154	RDH13_MOUSE, RDH11_MOUSE, RDH12_MOUSE	KAK2560992.1, KAK2551861.1, KAK2559515.1, KAK2546937.1, KAK2565832.1, KAK2547223.1, KAK2564510.1, KAK2566885.1, KAK2547222.1, KAK2558800.1, KAK2558784.1, KAK2550148.1, KAK2556679.1, KAK2547354.1, KAK2556678.1, KAK2548660.1, KAK2563987.1, KAK2552297.1, KAK2555186.1, KAK2572953.1, KAK2555711.1, KAK2555080.1
OG0000176	HARB1_MOUSE	KAK2547898.1, KAK2570465.1, KAK2549319.1, KAK2548518.1, KAK2550675.1, KAK2550668.1, KAK2548528.1, KAK2558570.1, KAK2567712.1, KAK2566342.1, KAK2548470.1, KAK2553470.1, KAK2552453.1, KAK2551685.1, KAK2562604.1, KAK2550665.1, KAK2554639.1, KAK2565618.1, KAK2558601.1, KAK2558701.1, KAK2570338.1, KAK2563828.1, KAK2568917.1, KAK2551392.1, KAK2551408.1
OG0000190	MARK4_MOUSE, MARK3_MOUSE, MARK1_MOUSE, MARK2_MOUSE	KAK2567313.1
OG0000229	CAHM5_MOUSE, CAHM6_MOUSE, CAHM1_MOUSE, CAHM3_MOUSE, CAHM2_MOUSE, CAHM4_MOUSE	KAK2551858.1, KAK2567463.1, KAK2573878.1, KAK2573657.1, KAK2573411.1, KAK2573413.1, KAK2573407.1, KAK2573412.1
