Orthogroup	Hsap	Nvec
OG0000027	MRP4_HUMAN	NV2t021338001.1, NV2t021338002.1, NV2t022595001.1, NV2t020545001.1, NV2t020545002.1, NV2t020201002.1, NV2t020201003.1, NV2t023949001.1, NV2t023947001.1, NV2t023947002.1, NV2t015106001.1
OG0000029	LYRM7_HUMAN	NV2t004144001.1, NV2t004145001.1, NV2t013317001.1, NV2t003751001.1
OG0000031	ZN862_HUMAN	NV2t004843001.1, NV2t008030003.1
OG0000033	AGRL4_HUMAN	NV2t006062001.1, NV2t006061001.1, NV2t006060005.1, NV2t006060003.1, NV2t006060004.1, NV2t006059001.1, NV2t006060002.1, NV2t006060001.1, NV2t006436001.1, NV2t005624001.1, NV2t005624002.1, NV2t005624003.1
OG0000036	AOAH_HUMAN	NV2t009656001.1, NV2t002864001.1, NV2t019959001.1, NV2t003631001.1, NV2t006725001.1, NV2t013509001.1, NV2t003815001.1, NV2t003035001.1, NV2t010521001.1, NV2t010521002.1, NV2t010521003.1, NV2t010521004.1, NV2t002941001.1
OG0000037	NPTX1_HUMAN, NPTX2_HUMAN, NPTXR_HUMAN	NV2t007774001.1, NV2t009731001.1, NV2t014358001.1, NV2t014358002.1, NV2t007044001.1, NV2t019700001.1, NV2t005881001.1, NV2t005880001.1, NV2t005871001.1, NV2t006615001.1, NV2t023160001.1, NV2t018959001.1, NV2t018957001.1, NV2t018960001.1, NV2t023162001.1, NV2t018961001.1, NV2t008564001.1, NV2t001775001.1
OG0000039	ZN202_HUMAN, ZN75C_HUMAN, ZN75D_HUMAN, ZN394_HUMAN, ZN174_HUMAN, ZSC25_HUMAN, ZSA5B_HUMAN, ZSA5A_HUMAN, ZSA5D_HUMAN, ZSA5C_HUMAN	NV2t006267001.1
OG0000045	TLR2_HUMAN, TLR10_HUMAN, TLR1_HUMAN, TLR6_HUMAN	NV2t021932001.1, NV2t021932002.1, NV2t021932003.1, NV2t021932004.1, NV2t021932005.1, NV2t005945001.1, NV2t011067002.1, NV2t011067001.1, NV2t012117001.1, NV2t011070001.1
OG0000047	EXOS6_HUMAN	NV2t024542001.1, NV2t025141001.1
OG0000048	MYCBP_HUMAN	NV2t008719001.1, NV2t008719002.1, NV2t006128001.1, NV2t006130001.1, NV2t009160001.1, NV2t009161001.1, NV2t002836001.1
OG0000051	ACH10_HUMAN, ACHA9_HUMAN, ACHB2_HUMAN, ACHB4_HUMAN, ACHA_HUMAN, ACHA3_HUMAN, ACHA6_HUMAN, ACHA4_HUMAN, ACHA2_HUMAN, ACHA5_HUMAN, ACHB3_HUMAN, ACHA7_HUMAN, CRFM7_HUMAN	NV2t023851001.1, NV2t023852001.1, NV2t013313001.1, NV2t008022001.1, NV2t006888001.1, NV2t023096001.1, NV2t010263001.1, NV2t010263002.1, NV2t010263003.1, NV2t010263004.1, NV2t023913001.1, NV2t023339001.1, NV2t023340001.1, NV2t009095001.1, NV2t009096001.1, NV2t009096002.1, NV2t018561001.1, NV2t018561002.1, NV2t024173001.1
OG0000053	PRORY_HUMAN, LORF2_HUMAN	NV2t008220001.1, NV2t004038001.1, NV2t022534001.1, NV2t000285001.1, NV2t016509001.1, NV2t025372001.1, NV2t025372002.1, NV2t025369001.1, NV2t024441001.1, NV2t022146001.1
OG0000055	ADA1D_HUMAN, ADA1B_HUMAN, ADA1A_HUMAN, 5HT4R_HUMAN, DRD1_HUMAN, DRD5_HUMAN, ADRB2_HUMAN, ADRB1_HUMAN, ADRB3_HUMAN	NV2t022109001.1, NV2t013453001.1, NV2t003436001.1, NV2t002426001.1, NV2t014586001.1, NV2t009418001.1, NV2t011392001.1, NV2t005202001.1, NV2t005202004.1, NV2t005202002.1, NV2t005202003.1, NV2t012100001.1, NV2t005458001.1, NV2t012923001.1, NV2t018770001.1, NV2t005346001.1, NV2t005347001.1, NV2t013641001.1, NV2t013641002.1, NV2t005394001.1
OG0000056	C3P1_HUMAN, CO3_HUMAN	NV2t024464001.1, NV2t025347003.1, NV2t025347002.1, NV2t025347004.1, NV2t025347001.1, NV2t007429001.1, NV2t014519002.1, NV2t014519001.1, NV2t009854001.1, NV2t003281006.1, NV2t012321001.1, NV2t023860001.1, NV2t003281004.1, NV2t003281005.1, NV2t003281002.1, NV2t019663001.1, NV2t005135001.1, NV2t025764001.1, NV2t025764002.1, NV2t016850002.1, NV2t008971001.1, NV2t016850001.1, NV2t011284001.1, NV2t022606001.1, NV2t025597001.1, NV2t013374001.1, NV2t015751002.1, NV2t021447001.1, NV2t014873001.1, NV2t014870001.1, NV2t013374002.1, NV2t013374003.1, NV2t015751001.1, NV2t008616001.1, NV2t025347006.1, NV2t019663002.1, NV2t016185001.1, NV2t018178001.1, NV2t025347005.1, NV2t021162002.1, NV2t021162001.1, NV2t023551001.1, NV2t005823002.1, NV2t023551002.1, NV2t025597002.1, NV2t012322001.1, NV2t005823001.1, NV2t003281003.1, NV2t003281001.1, NV2t003281007.1
OG0000060	HMCN1_HUMAN, HMCN2_HUMAN	NV2t024790001.1, NV2t023124002.1, NV2t023124001.1, NV2t023124003.1, NV2t016395001.1, NV2t001273002.1, NV2t001171001.1, NV2t010161001.1, NV2t021828001.1, NV2t021829001.1, NV2t021830001.1, NV2t022783003.1, NV2t022783005.1, NV2t022783001.1, NV2t022783004.1, NV2t022783002.1, NV2t022159001.1, NV2t022081001.1
OG0000067	ACOT4_HUMAN, ACOT6_HUMAN, ACOT1_HUMAN, ACOT2_HUMAN, BAAT_HUMAN	NV2t014278001.1, NV2t005261001.1
OG0000068	SARAF_HUMAN	NV2t001024001.1, NV2t024404001.1, NV2t020131001.1, NV2t015915001.1, NV2t017941001.1
OG0000071	DEND3_HUMAN	NV2t023560002.1, NV2t023560001.1, NV2t023560003.1, NV2t023560005.1
OG0000076	ANKR7_HUMAN, AR26L_HUMAN, POTEA_HUMAN, POTB2_HUMAN, POTEB_HUMAN, POTB3_HUMAN, POTEC_HUMAN, POTED_HUMAN, POTEH_HUMAN, POTEG_HUMAN, POTEM_HUMAN, POTEI_HUMAN, POTEJ_HUMAN, POTEE_HUMAN, POTEF_HUMAN, A30BL_HUMAN, AN30A_HUMAN, AN30B_HUMAN, A2012_HUMAN, AN20B_HUMAN, A20A5_HUMAN, A20A4_HUMAN, A20A2_HUMAN, A20A1_HUMAN, A20A3_HUMAN, ANR19_HUMAN, AN18A_HUMAN, AN18B_HUMAN, ANR62_HUMAN, A26L1_HUMAN, AN36C_HUMAN, AN36A_HUMAN, AN36B_HUMAN, C144B_HUMAN, C144C_HUMAN, C144L_HUMAN, C144A_HUMAN, ANR26_HUMAN	NV2t000773005.1, NV2t000773003.1, NV2t000773004.1, NV2t000773006.1, NV2t000773002.1, NV2t000773001.1
OG0000078	MOT8_HUMAN, MOT10_HUMAN, MOT6_HUMAN, MOT1_HUMAN, MOT2_HUMAN, MOT3_HUMAN, MOT4_HUMAN	NV2t002297001.1, NV2t014365001.1, NV2t015512001.1, NV2t016355001.1, NV2t016359001.1, NV2t022187001.1, NV2t021351003.1, NV2t021351001.1, NV2t021351002.1, NV2t021351004.1, NV2t008361001.1, NV2t017306001.1, NV2t022510001.1
OG0000080	PROP_HUMAN	NV2t013919001.1, NV2t024746001.1, NV2t014005001.1, NV2t004066003.1, NV2t018541001.1
OG0000085	GLRA3_HUMAN, GLRA2_HUMAN, GLRA1_HUMAN	NV2t022460001.1, NV2t011913001.1, NV2t011917001.1, NV2t012693001.1, NV2t012693002.1, NV2t012693003.1, NV2t009708001.1, NV2t009790001.1, NV2t018183001.1, NV2t018183002.1, NV2t018183003.1, NV2t018183004.1, NV2t018183005.1, NV2t018182001.1, NV2t018182002.1, NV2t018182003.1, NV2t003533001.1, NV2t003220001.1, NV2t024331001.1, NV2t003907001.1
OG0000086	S10AD_HUMAN, S10AB_HUMAN, S100B_HUMAN, S10A1_HUMAN, S100Z_HUMAN, S10AA_HUMAN, S10A5_HUMAN, S10A3_HUMAN, S10A6_HUMAN, S10A4_HUMAN, S10A2_HUMAN, S100P_HUMAN, S10AC_HUMAN, S10A9_HUMAN, S1A7B_HUMAN, S10A7_HUMAN, S1A7A_HUMAN, S100G_HUMAN, S10A8_HUMAN, FILA_HUMAN, HORN_HUMAN, FILA2_HUMAN, CRNN_HUMAN, TRHY_HUMAN, RPTN_HUMAN	NV2t010336001.1
OG0000087	LOX5_HUMAN, LOX12_HUMAN, LOX15_HUMAN, LX15B_HUMAN, LX12B_HUMAN, LOXE3_HUMAN	NV2t011401001.1, NV2t004820001.1, NV2t001535001.1, NV2t023721001.1, NV2t008151001.1, NV2t008151002.1, NV2t005693001.1
OG0000089	TNR27_HUMAN, TNR19_HUMAN	NV2t002378001.1, NV2t002527002.1, NV2t002527001.1, NV2t002527004.1, NV2t002527003.1, NV2t024653001.1, NV2t024655001.1, NV2t019904001.1, NV2t019150001.1
OG0000090	H2B1A_HUMAN, H2B1M_HUMAN, H2B1C_HUMAN, H2B1L_HUMAN, H2B3B_HUMAN, H2B1H_HUMAN, H2B1O_HUMAN, H2B2E_HUMAN, H2B1J_HUMAN, H2B1K_HUMAN, H2B2C_HUMAN, H2B2D_HUMAN, H2B2F_HUMAN, H2B1B_HUMAN, H2B1N_HUMAN, H2B1D_HUMAN	NV2t021894001.1, NV2t008108001.1, NV2t008108002.1, NV2t007148001.1, NV2t004453001.1, NV2t020250001.1
OG0000092	CGT_HUMAN, UDB15_HUMAN, UDB17_HUMAN, UD2B4_HUMAN, UD2B7_HUMAN, UDB10_HUMAN, UDB11_HUMAN, UDB28_HUMAN, UD2A1_HUMAN, UD2A2_HUMAN, UD2A3_HUMAN, UD11_HUMAN, UD13_HUMAN, UD14_HUMAN, UD15_HUMAN, UD16_HUMAN, UD19_HUMAN, UD18_HUMAN, UD110_HUMAN, UD17_HUMAN	NV2t011589001.1, NV2t011589002.1, NV2t011589003.1, NV2t004709001.1, NV2t015485001.1
OG0000094	B4GN4_HUMAN, B4GN3_HUMAN	NV2t014645001.1, NV2t014645002.1, NV2t004108001.1, NV2t022449001.1, NV2t013525001.1, NV2t014964001.1, NV2t011693001.1, NV2t009020001.1, NV2t017562001.1, NV2t017567001.1, NV2t017570001.1, NV2t016977001.1, NV2t001667001.1, NV2t001669001.1
OG0000095	GRIA1_HUMAN, GRIA2_HUMAN, GRIA4_HUMAN, GRIA3_HUMAN, GRIK3_HUMAN, GRIK1_HUMAN, GRIK2_HUMAN, GRIK4_HUMAN, GRIK5_HUMAN	NV2t016901001.1, NV2t016902001.1, NV2t016903001.1, NV2t006566001.1, NV2t006567001.1, NV2t013953001.1, NV2t004129001.1, NV2t014687001.1, NV2t014581001.1, NV2t014581002.1
OG0000098	GOGA2_HUMAN, GOG6A_HUMAN, GOG6B_HUMAN, GOG6C_HUMAN, GOG6D_HUMAN, GG6L7_HUMAN, GG6L2_HUMAN, GG6LZ_HUMAN, GG6L1_HUMAN, GG6LV_HUMAN, GG6LX_HUMAN, GG6LY_HUMAN, GG6L6_HUMAN, GG6L4_HUMAN, GG6L9_HUMAN, GG6LS_HUMAN, GG6LA_HUMAN, GGA2B_HUMAN, GOG8A_HUMAN, GOG8B_HUMAN, GOG8F_HUMAN, GOG8G_HUMAN, GOG8D_HUMAN, GOG8C_HUMAN, GOG8S_HUMAN, GOG8R_HUMAN, GOG8O_HUMAN, GOG8N_HUMAN, GOG8Q_HUMAN, GOG8M_HUMAN, GOG8I_HUMAN, GOG8J_HUMAN, GOG8K_HUMAN, GOG8T_HUMAN, GOG8H_HUMAN	NV2t025385001.1, NV2t025385002.1
OG0000099	ST1C3_HUMAN, ST1C4_HUMAN, ST1C2_HUMAN, ST1B1_HUMAN, ST1A2_HUMAN, ST1A1_HUMAN, ST1A3_HUMAN, ST1A4_HUMAN, ST1E1_HUMAN	NV2t014755001.1, NV2t014756001.1, NV2t000522001.1, NV2t000523001.1, NV2t002692001.1, NV2t002694001.1, NV2t005227001.1, NV2t020068001.1, NV2t020068002.1
OG0000102	H2A1A_HUMAN, H2A2C_HUMAN, H2A2A_HUMAN, H2A1C_HUMAN, H2A1H_HUMAN, H2A1_HUMAN, H2A1D_HUMAN, H2A3_HUMAN, H2A1B_HUMAN, H2A1J_HUMAN, H2AJ_HUMAN, H2A2B_HUMAN	NV2t008110002.1, NV2t021893002.1, NV2t003357001.1
OG0000103	CUBN_HUMAN	NV2t008349001.1
OG0000104	KCNA7_HUMAN, KCNA3_HUMAN, KCNA2_HUMAN, KCNA1_HUMAN, KCNA6_HUMAN, KCNA5_HUMAN, KCNA4_HUMAN	NV2t018284001.1, NV2t018284002.1, NV2t017768001.1, NV2t004330001.1, NV2t017765005.1, NV2t020582001.1, NV2t020585001.1, NV2t014379001.1, NV2t006568001.1, NV2t013817001.1, NV2t005938001.1
OG0000105	TR10C_HUMAN, TR10D_HUMAN, TR10A_HUMAN, TR10B_HUMAN	NV2t004670001.1, NV2t004670004.1, NV2t004670002.1, NV2t004670003.1, NV2t011989001.1, NV2t011989002.1
OG0000109	GATA_HUMAN	NV2t012495002.1, NV2t012495001.1, NV2t012495003.1, NV2t000183001.1, NV2t000185001.1, NV2t024867001.1, NV2t025466001.1, NV2t019426001.1, NV2t019426002.1
OG0000110	PAR15_HUMAN, PAR14_HUMAN	NV2t005993001.1
OG0000113	MYH16_HUMAN, MYH6_HUMAN, MYH7_HUMAN, MYH13_HUMAN, MYH3_HUMAN, MYH8_HUMAN, MYH2_HUMAN, MYH4_HUMAN, MYH1_HUMAN, MYH15_HUMAN, MYH7B_HUMAN	NV2t008024002.1, NV2t008024003.1, NV2t008024008.1, NV2t008024012.1, NV2t008024010.1, NV2t008024014.1, NV2t008024015.1, NV2t008024011.1, NV2t008024013.1, NV2t008024016.1, NV2t008024006.1, NV2t008024004.1, NV2t008024007.1, NV2t008024009.1, NV2t008024001.1, NV2t008024005.1
OG0000114	MMP26_HUMAN, MMP7_HUMAN	NV2t019146001.1, NV2t019146002.1, NV2t014297001.1, NV2t000807001.1, NV2t000808002.1, NV2t010833001.1, NV2t010833003.1, NV2t010833002.1, NV2t019316002.1, NV2t019316003.1, NV2t001647001.1, NV2t003581001.1, NV2t003582001.1, NV2t008027001.1, NV2t008027002.1, NV2t008375001.1, NV2t008375002.1
OG0000115	SCNNG_HUMAN, SCNNB_HUMAN, SCNND_HUMAN, SCNNA_HUMAN	NV2t023476001.1, NV2t024279001.1, NV2t024279002.1, NV2t023973001.1, NV2t023974001.1, NV2t023975001.1, NV2t024015001.1, NV2t024016001.1, NV2t024017001.1, NV2t023078001.1, NV2t023067001.1, NV2t023067002.1, NV2t023067003.1, NV2t023157001.1, NV2t023158001.1, NV2t024289001.1, NV2t022928001.1, NV2t023477001.1
OG0000120	ASGR2_HUMAN, ASGR1_HUMAN, CLC10_HUMAN, CLC4E_HUMAN, CLC4D_HUMAN, CLC4A_HUMAN, CLC4C_HUMAN, CLC6A_HUMAN, CLC4G_HUMAN, CD209_HUMAN, CLC4M_HUMAN	NV2t017872001.1, NV2t021307001.1, NV2t021320001.1, NV2t021375001.1, NV2t012859001.1, NV2t012859002.1
OG0000121	BTBD3_HUMAN, BTBD6_HUMAN	NV2t011665001.1, NV2t012363001.1, NV2t007674001.1, NV2t019393001.1
OG0000126	P52K_HUMAN	NV2t006046001.1, NV2t025517001.1, NV2t011621001.1, NV2t004950001.1, NV2t025040001.1, NV2t014952001.1, NV2t002121001.1, NV2t021398001.1, NV2t004708001.1, NV2t010347001.1, NV2t013854001.1, NV2t023025001.1
OG0000127	SCNBA_HUMAN, SCNAA_HUMAN, SCN5A_HUMAN, SCN4A_HUMAN, SCN8A_HUMAN, SCN7A_HUMAN, SCN9A_HUMAN, SCN3A_HUMAN, SCN1A_HUMAN, SCN2A_HUMAN	NV2t020110001.1, NV2t020822001.1, NV2t019947001.1, NV2t020610001.1, NV2t020610002.1, NV2t023334001.1, NV2t023334002.1, NV2t023334003.1, NV2t023334004.1
OG0000132	CD59_HUMAN	NV2t019614001.1, NV2t014539001.1, NV2t013244001.1, NV2t014540001.1, NV2t014540002.1, NV2t002040001.1, NV2t010638001.1, NV2t002042001.1, NV2t020782001.1, NV2t020784001.1, NV2t000305001.1, NV2t000306001.1, NV2t015787001.1
OG0000133	EPHA1_HUMAN, EPHA2_HUMAN, EPHB3_HUMAN, EPHB1_HUMAN, EPHB2_HUMAN, EPHB4_HUMAN, EPHB6_HUMAN, EPHA4_HUMAN, EPHA3_HUMAN, EPHA5_HUMAN, EPHA6_HUMAN, EPHA8_HUMAN, EPHAA_HUMAN, EPHA7_HUMAN	NV2t013658001.1, NV2t014294001.1, NV2t019940001.1
OG0000136	FEM1B_HUMAN	NV2t006329001.1, NV2t009339001.1, NV2t004484001.1
OG0000137	B3GT5_HUMAN, B3GL1_HUMAN	NV2t007813001.1, NV2t003662001.1, NV2t003540001.1, NV2t000500001.1, NV2t000497001.1, NV2t000495001.1, NV2t000498001.1, NV2t024665001.1, NV2t004393001.1, NV2t000552001.1, NV2t008559001.1, NV2t008559002.1, NV2t008559003.1
OG0000138	ACSM3_HUMAN, ACSM5_HUMAN, ACSM4_HUMAN, ACS2A_HUMAN, ACS2B_HUMAN, ACSM1_HUMAN, NPIB6_HUMAN, NPIB8_HUMAN, NPB15_HUMAN, NPIB7_HUMAN, NPIB9_HUMAN, NPIA2_HUMAN, NPIA3_HUMAN, NPIA1_HUMAN, NPIA7_HUMAN, NPIA8_HUMAN, NPIA5_HUMAN, NPIA6_HUMAN, NPIA9_HUMAN, NPIB2_HUMAN, NPB11_HUMAN, NPB13_HUMAN, NPB12_HUMAN, NPIB4_HUMAN, NPIB3_HUMAN, NPIB5_HUMAN	NV2t025507001.1
OG0000139	JDP2_HUMAN, ATF3_HUMAN, FOSB_HUMAN, FOS_HUMAN, FOSL1_HUMAN, FOSL2_HUMAN	NV2t019749001.1, NV2t020774001.1, NV2t020205001.1, NV2t019340001.1, NV2t019340002.1, NV2t019340003.1, NV2t019340004.1, NV2t019340005.1, NV2t019340006.1, NV2t019340007.1, NV2t019340008.1, NV2t019340009.1, NV2t019340010.1, NV2t019340011.1, NV2t019340012.1, NV2t019340013.1, NV2t019339001.1, NV2t019339002.1
OG0000142	MA13P_HUMAN, MAGC3_HUMAN, MAGC2_HUMAN, MAGC1_HUMAN, MAGAA_HUMAN, MAGAB_HUMAN, MAGA9_HUMAN, MAGA8_HUMAN, MAGA3_HUMAN, MAGA6_HUMAN, MAGA2_HUMAN, MAGAC_HUMAN, MAGA5_HUMAN, MAGA1_HUMAN, MAGA4_HUMAN, MAGBG_HUMAN, MAGBA_HUMAN, MAGB3_HUMAN, MAGB5_HUMAN, MAGB4_HUMAN, MAGB1_HUMAN, MAGB2_HUMAN, MAGBH_HUMAN, MAB6B_HUMAN, MAGB6_HUMAN, MAGBI_HUMAN, MAGF1_HUMAN, NSE3_HUMAN	NV2t000817001.1
OG0000147	XLRS1_HUMAN	NV2t003032001.1, NV2t006515001.1, NV2t002815001.1, NV2t005631001.1, NV2t005632001.1, NV2t005983001.1, NV2t009165001.1, NV2t003325001.1, NV2t003325002.1, NV2t009070002.1, NV2t000743001.1, NV2t000735001.1, NV2t012207001.1, NV2t012207002.1
OG0000148	TRI40_HUMAN	NV2t012258001.1, NV2t021530001.1, NV2t021530002.1, NV2t020279001.1
OG0000149	NETO2_HUMAN, NETO1_HUMAN	NV2t003699001.1, NV2t003699003.1, NV2t003699002.1, NV2t012228001.1, NV2t001391002.1, NV2t001391001.1, NV2t001391003.1
OG0000151	LYVE1_HUMAN, HPLN2_HUMAN, HPLN3_HUMAN, HPLN1_HUMAN, HPLN4_HUMAN, CSPG2_HUMAN, PGCA_HUMAN, NCAN_HUMAN, PGCB_HUMAN	NV2t007793001.1, NV2t011760001.1, NV2t022623001.1, NV2t022622001.1, NV2t022626001.1, NV2t022627001.1, NV2t022624001.1, NV2t012169001.1, NV2t007792001.1
OG0000152	EFNB2_HUMAN, EFNB1_HUMAN, EFNB3_HUMAN	NV2t014928001.1, NV2t014928002.1, NV2t012138001.1, NV2t012138002.1, NV2t012138004.1, NV2t012138003.1, NV2t013330001.1, NV2t013330002.1, NV2t013330003.1, NV2t013330005.1, NV2t013330006.1, NV2t013330004.1, NV2t013151001.1, NV2t013151002.1, NV2t014430001.1, NV2t014430002.1
OG0000153	G3ST1_HUMAN, G3ST3_HUMAN, G3ST4_HUMAN, G3ST2_HUMAN	NV2t000923001.1, NV2t000922001.1, NV2t000922002.1, NV2t013246001.1, NV2t015241001.1, NV2t013345001.1, NV2t023185001.1, NV2t023185002.1, NV2t023838001.1, NV2t012442001.1, NV2t012443001.1
