Orthogroup	Hsap	Pdam
OG0000269	TRAF1_HUMAN, TRAF2_HUMAN	pdam_00001397-RA, pdam_00001395-RA, pdam_00001396-RA, pdam_00001399-RA, pdam_00021547-RA, pdam_00015873-RA, pdam_00015872-RA, pdam_00023968-RA, pdam_00004418-RA, pdam_00018119-RA, pdam_00018120-RA, pdam_00004416-RA, pdam_00025153-RA, pdam_00015869-RA, pdam_00023970-RA, pdam_00004420-RA, pdam_00004421-RA, pdam_00004419-RA
OG0000270	FMOD_HUMAN, LUM_HUMAN, OPT_HUMAN, MIME_HUMAN, EPYC_HUMAN, ASPN_HUMAN, PGS1_HUMAN, PGS2_HUMAN, PODN_HUMAN, PONL1_HUMAN	pdam_00013765-RA
OG0000271	GRM8_HUMAN, GRM7_HUMAN, GRM4_HUMAN, GRM6_HUMAN, GRM3_HUMAN, GRM2_HUMAN	pdam_00009435-RA, pdam_00003579-RA, pdam_00018237-RA, pdam_00015497-RA, pdam_00014115-RA
OG0000272	SAXO3_HUMAN, TRI45_HUMAN, TRIM3_HUMAN, TRIM2_HUMAN	pdam_00009839-RA, pdam_00013793-RA, pdam_00005618-RA, pdam_00005620-RA, pdam_00007647-RA, pdam_00005619-RA
OG0000276	TIMP1_HUMAN, TIMP3_HUMAN, TIMP2_HUMAN, TIMP4_HUMAN	pdam_00015035-RA, pdam_00017771-RA, pdam_00017774-RA, pdam_00020463-RA, pdam_00020462-RA, pdam_00020461-RA, pdam_00017773-RA, pdam_00017770-RA, pdam_00020467-RA, pdam_00020468-RA, pdam_00020469-RA, pdam_00020465-RA
OG0000287	NLGNX_HUMAN, NLGNY_HUMAN, NLGN3_HUMAN, NLGN1_HUMAN, NLGN2_HUMAN	pdam_00015535-RA, pdam_00015534-RA, pdam_00005128-RA, pdam_00015537-RA, pdam_00015536-RA, pdam_00015532-RA, pdam_00015533-RA, pdam_00012655-RA, pdam_00012654-RA
OG0000288	NGB_HUMAN	pdam_00005305-RA, pdam_00005306-RA, pdam_00005307-RA, pdam_00023991-RA, pdam_00010176-RA, pdam_00024998-RA, pdam_00025717-RA, pdam_00024997-RA, pdam_00007277-RA, pdam_00007278-RA, pdam_00007279-RA
OG0000289	PA21B_HUMAN	pdam_00013866-RA, pdam_00013864-RA, pdam_00014531-RA, pdam_00019597-RA, pdam_00013860-RA, pdam_00013861-RA, pdam_00013863-RA, pdam_00013862-RA, pdam_00002778-RA, pdam_00002775-RA, pdam_00001918-RA, pdam_00001798-RA, pdam_00002779-RA
OG0000290	S22AD_HUMAN	pdam_00006245-RA, pdam_00015296-RA, pdam_00022580-RA, pdam_00005392-RA, pdam_00006579-RA, pdam_00022579-RA
OG0000291	GPIX_HUMAN, LRR3C_HUMAN, LRC3B_HUMAN, LRRC3_HUMAN, A2GL_HUMAN, ALS_HUMAN	pdam_00003094-RA, pdam_00006234-RA, pdam_00022842-RA
OG0000292	CX062_HUMAN, YG039_HUMAN, CA200_HUMAN, CI037_HUMAN, CN178_HUMAN, NC336_HUMAN, GVQW3_HUMAN, CU037_HUMAN, TMM78_HUMAN, DSCR8_HUMAN, ARGFX_HUMAN, BEND2_HUMAN, CN165_HUMAN, GVQW2_HUMAN, MYL10_HUMAN, LMO7D_HUMAN, ZMAT1_HUMAN, CI085_HUMAN	pdam_00004387-RA
OG0000293	ARSL_HUMAN, ARSF_HUMAN, ARSD_HUMAN, ARSH_HUMAN, STS_HUMAN	pdam_00003163-RA, pdam_00018097-RA, pdam_00024151-RA, pdam_00005772-RA, pdam_00020336-RA, pdam_00013520-RA, pdam_00007565-RA, pdam_00023949-RA, pdam_00012397-RA, pdam_00012395-RA, pdam_00012396-RA
OG0000294	CTHR1_HUMAN	pdam_00021492-RA, pdam_00024429-RA, pdam_00024430-RA, pdam_00020057-RA, pdam_00024428-RA, pdam_00001451-RA, pdam_00011054-RA, pdam_00011056-RA, pdam_00011573-RA, pdam_00017256-RA, pdam_00007724-RA, pdam_00018221-RA, pdam_00018210-RA, pdam_00018220-RA, pdam_00018211-RA, pdam_00018212-RA, pdam_00014823-RA
OG0000295	TGM4_HUMAN, F13A_HUMAN, TGM1_HUMAN	pdam_00009941-RA, pdam_00009945-RA, pdam_00001162-RA, pdam_00009947-RA
OG0000296	NRX3B_HUMAN, NRX3A_HUMAN, NRX1A_HUMAN, NRX1B_HUMAN, NRX2B_HUMAN, NRX2A_HUMAN	pdam_00010217-RA, pdam_00010216-RA, pdam_00010215-RA, pdam_00014257-RA
OG0000297	PK1L2_HUMAN	pdam_00010926-RA, pdam_00005408-RA, pdam_00009668-RA, pdam_00017017-RA, pdam_00012416-RA, pdam_00004263-RA, pdam_00016306-RA, pdam_00016302-RA, pdam_00010918-RA, pdam_00004254-RA, pdam_00012099-RA, pdam_00017266-RA
OG0000298	PRRT4_HUMAN	pdam_00004783-RA, pdam_00001840-RA, pdam_00001838-RA, pdam_00004792-RA, pdam_00004793-RA, pdam_00000100-RA, pdam_00004797-RA, pdam_00017811-RA, pdam_00020208-RA, pdam_00020199-RA, pdam_00015972-RA, pdam_00005283-RA, pdam_00002201-RA, pdam_00014561-RA, pdam_00014562-RA, pdam_00004156-RA, pdam_00008878-RA, pdam_00008909-RA
OG0000299	PTHD3_HUMAN	pdam_00010745-RA, pdam_00010750-RA, pdam_00010746-RA, pdam_00008071-RA, pdam_00004276-RA
OG0000300	SC5A6_HUMAN, SC5A5_HUMAN, SC5AC_HUMAN, SC5A8_HUMAN	pdam_00011957-RA, pdam_00001214-RA, pdam_00004504-RA, pdam_00004501-RA, pdam_00004503-RA, pdam_00014875-RA, pdam_00024401-RA, pdam_00024993-RA
OG0000313	ATP4A_HUMAN, AT12A_HUMAN, AT1A4_HUMAN, AT1A1_HUMAN, AT1A2_HUMAN, AT1A3_HUMAN	pdam_00019732-RA, pdam_00019733-RA
OG0000314	B4GN1_HUMAN, B4GN2_HUMAN	pdam_00014753-RA, pdam_00019147-RA, pdam_00010048-RA, pdam_00010046-RA, pdam_00010047-RA, pdam_00006860-RA, pdam_00006857-RA, pdam_00009407-RA, pdam_00023103-RA, pdam_00014604-RA, pdam_00006408-RA, pdam_00006407-RA
OG0000315	B4GT5_HUMAN, B4GT6_HUMAN, B4GT2_HUMAN, B4GT1_HUMAN, B4GT3_HUMAN, B4GT4_HUMAN	pdam_00021857-RA, pdam_00009405-RA, pdam_00005995-RA
OG0000316	DLL1_HUMAN, DLL4_HUMAN	pdam_00015446-RA
OG0000319	LIN7B_HUMAN, LIN7C_HUMAN, LIN7A_HUMAN	pdam_00012052-RA, pdam_00022074-RA
OG0000321	MYL6_HUMAN, MYL6B_HUMAN, MYL1_HUMAN, MYL3_HUMAN, MYL4_HUMAN	pdam_00015538-RA, pdam_00009175-RA, pdam_00014425-RA, pdam_00003671-RA, pdam_00015539-RA
OG0000322	PDE4C_HUMAN, PDE4D_HUMAN, PDE4B_HUMAN, PDE4A_HUMAN	pdam_00018541-RA
OG0000324	SO4A1_HUMAN, SO4C1_HUMAN, SO6A1_HUMAN	pdam_00009455-RA, pdam_00003564-RA, pdam_00007345-RA, pdam_00007346-RA, pdam_00008875-RA, pdam_00008874-RA
OG0000325	SRSF5_HUMAN, SRSF6_HUMAN, SRSF4_HUMAN	pdam_00000505-RA, pdam_00019263-RA, pdam_00006365-RA, pdam_00010702-RA, pdam_00007300-RA
OG0000326	TRPA1_HUMAN	pdam_00011225-RA, pdam_00002233-RA, pdam_00022067-RA, pdam_00022431-RA, pdam_00022430-RA, pdam_00020518-RA, pdam_00005931-RA, pdam_00005933-RA
OG0000340	CO3A1_HUMAN, CO5A2_HUMAN, CO2A1_HUMAN, CO1A2_HUMAN, CO1A1_HUMAN	pdam_00004439-RA, pdam_00004432-RA, pdam_00014808-RA, pdam_00014806-RA, pdam_00004433-RA, pdam_00002219-RA, pdam_00004425-RA, pdam_00004423-RA
OG0000341	GABR1_HUMAN	pdam_00014217-RA, pdam_00014273-RA, pdam_00022351-RA, pdam_00014480-RA, pdam_00004335-RA, pdam_00001581-RA, pdam_00001579-RA, pdam_00001580-RA, pdam_00001583-RA, pdam_00001584-RA, pdam_00023428-RA, pdam_00002737-RA, pdam_00002738-RA
OG0000342	PARPT_HUMAN	pdam_00004718-RA, pdam_00014173-RA, pdam_00023754-RA, pdam_00004713-RA, pdam_00016199-RA, pdam_00016200-RA, pdam_00004717-RA, pdam_00004715-RA, pdam_00004714-RA, pdam_00023751-RA, pdam_00023753-RA, pdam_00023750-RA, pdam_00023752-RA, pdam_00016201-RA, pdam_00016202-RA, pdam_00016198-RA
OG0000344	ABCG2_HUMAN	pdam_00022053-RA, pdam_00023788-RA, pdam_00023789-RA
OG0000345	B2CL1_HUMAN, B2CL2_HUMAN, BCL2_HUMAN	pdam_00002750-RA, pdam_00022340-RA, pdam_00013375-RA, pdam_00013975-RA, pdam_00011405-RA
OG0000346	COL10_HUMAN, COL11_HUMAN	pdam_00005317-RA, pdam_00005316-RA, pdam_00005315-RA, pdam_00005314-RA, pdam_00005319-RA, pdam_00005318-RA
OG0000347	GGTL1_HUMAN, GGT3_HUMAN, GGT2_HUMAN, GGTL3_HUMAN, GGT1_HUMAN, GGTL2_HUMAN	pdam_00023043-RA, pdam_00024466-RA, pdam_00013978-RA, pdam_00026056-RA, pdam_00013979-RA, pdam_00021829-RA, pdam_00017315-RA
OG0000348	ITA9_HUMAN, ITA4_HUMAN, ITA2B_HUMAN, ITA8_HUMAN, ITAV_HUMAN, ITA5_HUMAN	pdam_00008171-RA, pdam_00008170-RA, pdam_00008169-RA
OG0000349	LIGO4_HUMAN, LIGO3_HUMAN, LIGO1_HUMAN, LIGO2_HUMAN	pdam_00025212-RA, pdam_00022277-RA, pdam_00022274-RA, pdam_00022273-RA, pdam_00015665-RA, pdam_00015666-RA, pdam_00015664-RA, pdam_00024523-RA, pdam_00015663-RA, pdam_00015662-RA, pdam_00014936-RA
OG0000350	MBNL2_HUMAN, MBNL1_HUMAN, MBNL3_HUMAN	pdam_00006329-RA
OG0000351	MYC_HUMAN, MYCP1_HUMAN, MYCL_HUMAN, MYCN_HUMAN	pdam_00015761-RA, pdam_00015762-RA, pdam_00015758-RA, pdam_00015760-RA
OG0000352	VEGFD_HUMAN, VEGFB_HUMAN, VEGFA_HUMAN, PLGF_HUMAN	pdam_00016377-RA, pdam_00016379-RA, pdam_00016376-RA, pdam_00004325-RA, pdam_00012108-RA, pdam_00012106-RA, pdam_00016375-RA, pdam_00012101-RA
OG0000353	PLXB2_HUMAN, PLXB3_HUMAN, PLXB1_HUMAN, PLXC1_HUMAN, PLXD1_HUMAN, PLXA3_HUMAN, PLXA1_HUMAN, PLXA4_HUMAN, PLXA2_HUMAN	pdam_00005477-RA
OG0000354	SRSF3_HUMAN	pdam_00018573-RA, pdam_00020806-RA, pdam_00002530-RA, pdam_00002257-RA
OG0000355	TNF10_HUMAN, YB003_HUMAN, TNF11_HUMAN, TNFL6_HUMAN, TNFA_HUMAN, TNFB_HUMAN	pdam_00013028-RA, pdam_00006545-RA, pdam_00002893-RA, pdam_00002890-RA, pdam_00022631-RA, pdam_00000907-RA
OG0000356	VIAAT_HUMAN	pdam_00003261-RA, pdam_00013669-RA, pdam_00013668-RA, pdam_00013670-RA, pdam_00021243-RA, pdam_00011664-RA, pdam_00011662-RA, pdam_00011663-RA, pdam_00006023-RA, pdam_00014306-RA, pdam_00006022-RA, pdam_00018804-RA, pdam_00008989-RA
OG0000357	ZO3_HUMAN, ZO2_HUMAN, ZO1_HUMAN	pdam_00003908-RA
OG0000363	CEL3A_HUMAN, CEL3B_HUMAN, CTRC_HUMAN, CEL2A_HUMAN, CEL2B_HUMAN, CELA1_HUMAN, CTRL_HUMAN, CTRB1_HUMAN, CTRB2_HUMAN	pdam_00000092-RA, pdam_00007343-RA, pdam_00009710-RA, pdam_00019275-RA
OG0000365	PGBD4_HUMAN	pdam_00016074-RA, pdam_00003880-RA, pdam_00016908-RA, pdam_00016909-RA, pdam_00016886-RA, pdam_00021744-RA, pdam_00005923-RA, pdam_00026029-RA, pdam_00012199-RA, pdam_00024240-RA, pdam_00012200-RA
OG0000366	ACTBL_HUMAN, ACTB_HUMAN, ACTBM_HUMAN, ACTG_HUMAN	pdam_00019358-RA, pdam_00019357-RA, pdam_00019851-RA, pdam_00018247-RA
OG0000367	OPSX_HUMAN	pdam_00006692-RA, pdam_00006691-RA, pdam_00020797-RA, pdam_00000629-RA, pdam_00007429-RA, pdam_00007431-RA, pdam_00012246-RA, pdam_00019022-RA, pdam_00002270-RA, pdam_00002271-RA
OG0000368	LR74A_HUMAN, LR74B_HUMAN	pdam_00009358-RA, pdam_00017307-RA, pdam_00003885-RA, pdam_00001017-RA, pdam_00006553-RA
OG0000369	AQP4_HUMAN, MIP_HUMAN, AQP6_HUMAN, AQP5_HUMAN, AQP2_HUMAN	pdam_00013274-RA, pdam_00013273-RA, pdam_00013272-RA
OG0000370	CA2D3_HUMAN, CA2D4_HUMAN, CA2D1_HUMAN, CA2D2_HUMAN	pdam_00008241-RA, pdam_00016360-RA
OG0000372	CKLF7_HUMAN, CKLF4_HUMAN, CKLF6_HUMAN	pdam_00014549-RA, pdam_00014569-RA, pdam_00014572-RA, pdam_00014574-RA, pdam_00014548-RA, pdam_00014571-RA
OG0000373	CNTN1_HUMAN, CNTN2_HUMAN, CNTN5_HUMAN, CNTN4_HUMAN, CNTN6_HUMAN, CNTN3_HUMAN	pdam_00001400-RA
OG0000374	HSPB2_HUMAN, HSPB8_HUMAN, HSPB1_HUMAN, HSPB6_HUMAN, CRYAA_HUMAN, CRYAB_HUMAN	pdam_00015387-RA, pdam_00016248-RA, pdam_00015381-RA, pdam_00013009-RA
OG0000375	DR9C7_HUMAN, RDH16_HUMAN, H17B6_HUMAN, RDH5_HUMAN, DHRS9_HUMAN	pdam_00006487-RA, pdam_00008234-RA, pdam_00016050-RA, pdam_00019298-RA, pdam_00011716-RA
OG0000376	FR1L5_HUMAN, DYSF_HUMAN, MYOF_HUMAN	pdam_00006777-RA, pdam_00006779-RA, pdam_00006781-RA, pdam_00016054-RA
OG0000377	EAA2_HUMAN, EAA3_HUMAN, EAA4_HUMAN, EAA1_HUMAN	pdam_00022733-RA, pdam_00025015-RA, pdam_00001811-RA, pdam_00001810-RA, pdam_00001802-RA
OG0000378	GARE1_HUMAN, GARE2_HUMAN	pdam_00011873-RA, pdam_00000355-RA, pdam_00011868-RA, pdam_00011870-RA, pdam_00011869-RA, pdam_00011871-RA, pdam_00011872-RA, pdam_00011874-RA
OG0000380	MEIS2_HUMAN, MEIS3_HUMAN, ME3L2_HUMAN, ME3L1_HUMAN, MEIS1_HUMAN	pdam_00010040-RA
OG0000381	OAS1_HUMAN, OAS2_HUMAN, OAS3_HUMAN, OASL_HUMAN	pdam_00003682-RA
OG0000382	POC1B_HUMAN, POC1A_HUMAN	pdam_00023305-RA, pdam_00007237-RA, pdam_00025075-RA, pdam_00025074-RA, pdam_00025683-RA, pdam_00016792-RA, pdam_00016793-RA, pdam_00025097-RA, pdam_00017440-RA, pdam_00024531-RA, pdam_00025098-RA, pdam_00020593-RA, pdam_00025793-RA, pdam_00025807-RA
OG0000383	RN3P1_HUMAN, RN3P2_HUMAN, RRN3_HUMAN	pdam_00015747-RA, pdam_00005982-RA, pdam_00025396-RA, pdam_00020492-RA, pdam_00010812-RA, pdam_00025138-RA, pdam_00019866-RA, pdam_00002314-RA, pdam_00014502-RA, pdam_00008554-RA, pdam_00002316-RA, pdam_00002313-RA, pdam_00000593-RA
OG0000384	USF1_HUMAN, USF2_HUMAN	pdam_00001831-RA, pdam_00001834-RA, pdam_00001833-RA
OG0000401	SVEP1_HUMAN	pdam_00018170-RA, pdam_00007910-RA, pdam_00017137-RA, pdam_00014858-RA, pdam_00018331-RA, pdam_00004327-RA
OG0000402	OPN4_HUMAN	pdam_00018326-RA, pdam_00020233-RA, pdam_00019942-RA, pdam_00019773-RA, pdam_00019775-RA, pdam_00021693-RA, pdam_00019771-RA, pdam_00018194-RA, pdam_00018192-RA, pdam_00018193-RA
OG0000403	WFDC8_HUMAN, ELAF_HUMAN, WFD12_HUMAN, SLPI_HUMAN, WFDC6_HUMAN, EPPI_HUMAN	pdam_00000578-RA, pdam_00010493-RA
OG0000404	TENS1_HUMAN, TENS2_HUMAN, TENS4_HUMAN	pdam_00000657-RA
OG0000406	DYLT5_HUMAN	pdam_00002210-RA, pdam_00002244-RA, pdam_00005919-RA, pdam_00007872-RA, pdam_00002327-RA, pdam_00005929-RA, pdam_00005921-RA, pdam_00020633-RA, pdam_00013241-RA, pdam_00002319-RA, pdam_00002295-RA
OG0000407	HES2_HUMAN, HES4_HUMAN, HES1_HUMAN	pdam_00014774-RA, pdam_00017890-RA, pdam_00011032-RA, pdam_00011039-RA, pdam_00011036-RA, pdam_00016548-RA, pdam_00016547-RA, pdam_00011037-RA
OG0000408	JKIP3_HUMAN, JKIP2_HUMAN, JKIP1_HUMAN	pdam_00008557-RA
OG0000411	MID51_HUMAN, MID49_HUMAN	pdam_00013671-RA, pdam_00005998-RA, pdam_00014152-RA, pdam_00014151-RA, pdam_00014147-RA, pdam_00014148-RA, pdam_00014146-RA
OG0000412	PTBP2_HUMAN, PTBP3_HUMAN, PTBP1_HUMAN	pdam_00012966-RA
OG0000413	RBMS2_HUMAN, RBMS1_HUMAN, RBMS3_HUMAN	pdam_00017618-RA
OG0000414	RFX1_HUMAN, RFX2_HUMAN, RFX3_HUMAN	pdam_00010814-RA
OG0000415	RHAG_HUMAN, RHBG_HUMAN, RHCG_HUMAN	pdam_00008082-RA, pdam_00007869-RA, pdam_00007871-RA, pdam_00007870-RA
OG0000416	S15A4_HUMAN, S15A3_HUMAN	pdam_00023781-RA, pdam_00014105-RA, pdam_00014103-RA, pdam_00014102-RA, pdam_00014104-RA, pdam_00014100-RA, pdam_00019747-RA, pdam_00014101-RA
OG0000417	SC5A3_HUMAN, SC5AB_HUMAN, SC5A2_HUMAN, SC5A1_HUMAN, SC5A4_HUMAN, SC5AA_HUMAN, SC5A9_HUMAN	pdam_00005740-RA
OG0000418	SPAT6_HUMAN, SPA6L_HUMAN	pdam_00022382-RA, pdam_00021855-RA
OG0000419	T121B_HUMAN	pdam_00022545-RA, pdam_00020211-RA, pdam_00020210-RA, pdam_00006159-RA, pdam_00011532-RA, pdam_00021313-RA, pdam_00011535-RA, pdam_00011533-RA, pdam_00011534-RA, pdam_00011536-RA, pdam_00010403-RA
OG0000420	ZIC4_HUMAN, ZIC1_HUMAN, ZIC3_HUMAN, ZIC2_HUMAN	pdam_00001349-RA, pdam_00002986-RA, pdam_00002982-RA, pdam_00005633-RA, pdam_00002983-RA, pdam_00002985-RA
OG0000434	CAH2_HUMAN, CAH1_HUMAN, CAH13_HUMAN, CAH3_HUMAN, CAH7_HUMAN, CAH5B_HUMAN, CAH5A_HUMAN	pdam_00007465-RA
OG0000435	SC6A8_HUMAN, SC6A6_HUMAN, S6A11_HUMAN, S6A13_HUMAN, S6A12_HUMAN	pdam_00006034-RA, pdam_00020239-RA, pdam_00020238-RA, pdam_00020240-RA, pdam_00020243-RA, pdam_00020242-RA
OG0000436	ELK4_HUMAN, ELK3_HUMAN	pdam_00003295-RA, pdam_00014011-RA, pdam_00014016-RA, pdam_00014013-RA, pdam_00014015-RA, pdam_00014012-RA, pdam_00003296-RA
OG0000437	HME1_HUMAN, HME2_HUMAN	pdam_00006258-RA, pdam_00009780-RA, pdam_00001903-RA, pdam_00006249-RA, pdam_00007199-RA, pdam_00006246-RA, pdam_00014662-RA, pdam_00014659-RA, pdam_00018935-RA
OG0000438	KREM1_HUMAN, KREM2_HUMAN	pdam_00011119-RA, pdam_00011118-RA, pdam_00003062-RA, pdam_00010553-RA, pdam_00011252-RA
OG0000439	AA2BR_HUMAN, AA2AR_HUMAN, AA1R_HUMAN, AA3R_HUMAN	pdam_00013988-RA, pdam_00020225-RA, pdam_00020224-RA
OG0000440	ABEC1_HUMAN, ABC3H_HUMAN, ABC3C_HUMAN, ABC3F_HUMAN, ABC3D_HUMAN, ABC3G_HUMAN, ABC3A_HUMAN, ABC3B_HUMAN, AICDA_HUMAN	pdam_00010961-RA, pdam_00010963-RA, pdam_00010962-RA, pdam_00010964-RA
OG0000441	ARM10_HUMAN, ARMX3_HUMAN, ARMX6_HUMAN, ARMX1_HUMAN, ARMX2_HUMAN, ARMX4_HUMAN, ARMX5_HUMAN	pdam_00006189-RA
OG0000442	B3A4_HUMAN, S4A5_HUMAN, S4A4_HUMAN, S4A7_HUMAN, S4A8_HUMAN, S4A10_HUMAN	pdam_00009357-RA
OG0000443	TLL1_HUMAN, BMP1_HUMAN, TLL2_HUMAN	pdam_00008705-RA, pdam_00008699-RA, pdam_00008704-RA, pdam_00008702-RA, pdam_00008701-RA, pdam_00004273-RA
OG0000444	BTAF1_HUMAN	pdam_00024737-RA, pdam_00025478-RA, pdam_00025088-RA, pdam_00025477-RA, pdam_00022801-RA, pdam_00025656-RA, pdam_00025986-RA, pdam_00004222-RA, pdam_00004201-RA, pdam_00004202-RA, pdam_00004198-RA, pdam_00022803-RA
OG0000445	CR1L_HUMAN, CR1_HUMAN, DAF_HUMAN, C4BPA_HUMAN	pdam_00019768-RA, pdam_00019770-RA, pdam_00009547-RA, pdam_00019769-RA, pdam_00009420-RA, pdam_00023983-RA
OG0000446	CAHD1_HUMAN	pdam_00006175-RA, pdam_00006177-RA, pdam_00006176-RA
OG0000447	CATD_HUMAN, RENI_HUMAN, CATE_HUMAN, PEPC_HUMAN, PEPA3_HUMAN, PEPA5_HUMAN, PEPA4_HUMAN, NAPSA_HUMAN	pdam_00020834-RA
OG0000449	CLC11_HUMAN, CLC3A_HUMAN, TETN_HUMAN, SFPA2_HUMAN, SFTA1_HUMAN, SFTPD_HUMAN, MBL2_HUMAN	pdam_00014475-RA, pdam_00010658-RA
OG0000450	CLIC3_HUMAN, CLIC2_HUMAN, CLIC1_HUMAN, CLIC6_HUMAN, CLIC5_HUMAN, CLIC4_HUMAN	pdam_00020884-RA, pdam_00005788-RA, pdam_00020885-RA
OG0000451	CLIP2_HUMAN, CLIP1_HUMAN	pdam_00016928-RA
OG0000452	CP4B1_HUMAN, CP4X1_HUMAN, CP4FN_HUMAN, CP4F2_HUMAN, CP4F3_HUMAN, CP4F8_HUMAN, CP4FB_HUMAN, CP4FC_HUMAN	pdam_00009300-RA, pdam_00002243-RA, pdam_00017433-RA, pdam_00011109-RA
OG0000453	INT6_HUMAN, CT45A_HUMAN, CT452_HUMAN, CT458_HUMAN, CT459_HUMAN, CT455_HUMAN, CT456_HUMAN, CT457_HUMAN, CT451_HUMAN, CT453_HUMAN, INT6L_HUMAN, SAGE1_HUMAN, SGE2P_HUMAN	pdam_00001037-RA
OG0000454	CTL4_HUMAN, CTL2_HUMAN, CTL5_HUMAN	pdam_00010114-RA
OG0000455	DKK3_HUMAN, DKK4_HUMAN, DKK2_HUMAN, DKK1_HUMAN	pdam_00004901-RA, pdam_00001057-RA, pdam_00014398-RA, pdam_00014399-RA
OG0000456	DUXA_HUMAN, DUXB_HUMAN, DUX3_HUMAN, DUX5_HUMAN, DUX1_HUMAN, DUX4C_HUMAN, DUX4_HUMAN, DU4L4_HUMAN, DU4L2_HUMAN, DU4L3_HUMAN, DU4L5_HUMAN, DU4L6_HUMAN, DU4L7_HUMAN	pdam_00012888-RA, pdam_00011930-RA, pdam_00022249-RA
OG0000457	FAT2_HUMAN, FAT1_HUMAN, FAT3_HUMAN	pdam_00001647-RA, pdam_00007706-RA
OG0000458	FRP2L_HUMAN, FRPD2_HUMAN, FRMD1_HUMAN, FRMD6_HUMAN	pdam_00011235-RA
OG0000459	FUCO_HUMAN, FUCO2_HUMAN	pdam_00020734-RA, pdam_00000569-RA, pdam_00010510-RA, pdam_00009075-RA
OG0000460	HXK4_HUMAN, HXK3_HUMAN, HXK2_HUMAN, HKDC1_HUMAN, HXK1_HUMAN	pdam_00002118-RA, pdam_00010781-RA
OG0000461	NCOA5_HUMAN, RALY_HUMAN, RALYL_HUMAN, HNRPC_HUMAN, HNRC3_HUMAN, HNRC4_HUMAN, HNRC1_HUMAN, HNRC2_HUMAN	pdam_00002539-RA
OG0000462	KI20A_HUMAN	pdam_00011138-RA
OG0000466	LY6L_HUMAN, LY6H_HUMAN, LY6E_HUMAN, LY6S_HUMAN	pdam_00016770-RA, pdam_00016754-RA
OG0000467	MARK4_HUMAN, MARK3_HUMAN, MARK1_HUMAN, MARK2_HUMAN	pdam_00002898-RA
OG0000469	NCAM1_HUMAN, NCAM2_HUMAN	pdam_00001849-RA
OG0000470	PRDM6_HUMAN	pdam_00018537-RA, pdam_00006212-RA, pdam_00000827-RA, pdam_00000831-RA, pdam_00000825-RA, pdam_00000824-RA, pdam_00000826-RA
OG0000471	RN213_HUMAN	pdam_00025246-RA, pdam_00007858-RA, pdam_00007851-RA, pdam_00019454-RA, pdam_00019452-RA, pdam_00007847-RA, pdam_00007857-RA, pdam_00007850-RA, pdam_00007853-RA, pdam_00019450-RA, pdam_00019451-RA
OG0000473	S18B1_HUMAN	pdam_00010715-RA, pdam_00021887-RA, pdam_00021884-RA, pdam_00021885-RA, pdam_00022818-RA, pdam_00021886-RA, pdam_00021883-RA, pdam_00021880-RA, pdam_00021881-RA
OG0000474	S26A1_HUMAN, S26A5_HUMAN, S26A6_HUMAN	pdam_00021069-RA, pdam_00021078-RA, pdam_00021065-RA, pdam_00021076-RA, pdam_00021066-RA
OG0000475	SCRIB_HUMAN	pdam_00022767-RA
OG0000476	SLFN5_HUMAN, SLN12_HUMAN, SN12L_HUMAN, SLN14_HUMAN, SLN11_HUMAN, SLN13_HUMAN	pdam_00000211-RA, pdam_00000213-RA, pdam_00000214-RA, pdam_00000207-RA, pdam_00000208-RA
OG0000477	TFKLK_HUMAN, TFKLL_HUMAN, TFKLN_HUMAN, TFKL2_HUMAN, TFLM_HUMAN, TFKL4_HUMAN, TFKL5_HUMAN, TFKL6_HUMAN, TFKL7_HUMAN, TFKL8_HUMAN, TFKLJ_HUMAN, TFKL3_HUMAN, TFKL9_HUMAN, TAF11_HUMAN	pdam_00005133-RA
OG0000478	U3IP2_HUMAN	pdam_00023264-RA, pdam_00023445-RA, pdam_00020035-RA, pdam_00020034-RA
OG0000497	FGF16_HUMAN, FGF9_HUMAN, FGF20_HUMAN, FGF3_HUMAN, FGF7_HUMAN, FGF10_HUMAN, FGF22_HUMAN	pdam_00001752-RA
OG0000498	S7A14_HUMAN, CTR2_HUMAN, CTR3_HUMAN, CTR1_HUMAN	pdam_00004159-RA, pdam_00004163-RA, pdam_00004162-RA, pdam_00012049-RA, pdam_00012073-RA
OG0000499	BEND3_HUMAN	pdam_00023727-RA, pdam_00020984-RA, pdam_00017777-RA, pdam_00022957-RA
OG0000500	RHOU_HUMAN, RHOQ_HUMAN, RAC1_HUMAN, RAC2_HUMAN, RAC3_HUMAN, RHOG_HUMAN	pdam_00000553-RA
OG0000501	GNAZ_HUMAN, GNAI2_HUMAN, GNAI1_HUMAN, GNAI3_HUMAN, GNAT3_HUMAN, GNAT1_HUMAN, GNAT2_HUMAN	pdam_00011071-RA
OG0000502	AL1B1_HUMAN, ALDH2_HUMAN, AL1A1_HUMAN, AL1A3_HUMAN, AL1A2_HUMAN	pdam_00009038-RA, pdam_00012855-RA
OG0000503	AQP7B_HUMAN, AQP7_HUMAN, AQP3_HUMAN, AQP9_HUMAN	pdam_00008307-RA, pdam_00014087-RA, pdam_00014088-RA
OG0000504	P5I11_HUMAN, ARG39_HUMAN	pdam_00004483-RA
OG0000505	ASB13_HUMAN, ASB9_HUMAN, ASB5_HUMAN, ASB11_HUMAN	pdam_00024621-RA, pdam_00009340-RA, pdam_00007493-RA
