Orthogroup	Acer	Mmus
OG0000036	KAK2551436.1, KAK2546924.1, KAK2559057.1, KAK2550520.1, KAK2562586.1, KAK2547133.1, KAK2554105.1, KAK2562621.1, KAK2551095.1, KAK2562620.1, KAK2558696.1, KAK2565476.1, KAK2558695.1, KAK2564370.1, KAK2547355.1, KAK2549827.1, KAK2564375.1, KAK2551178.1, KAK2551079.1, KAK2551078.1, KAK2564502.1, KAK2565477.1, KAK2556269.1, KAK2562696.1, KAK2547335.1, KAK2562494.1, KAK2552213.1, KAK2568606.1, KAK2547843.1, KAK2566463.1, KAK2562533.1, KAK2555199.1, KAK2548994.1, KAK2551076.1, KAK2564431.1, KAK2566981.1, KAK2564452.1, KAK2570226.1, KAK2562248.1, KAK2552041.1, KAK2549596.1, KAK2572104.1, KAK2551393.1, KAK2556232.1, KAK2564475.1, KAK2551534.1, KAK2552015.1, KAK2559851.1, KAK2552016.1, KAK2564118.1, KAK2551457.1, KAK2558769.1, KAK2558770.1, KAK2570137.1, KAK2558005.1, KAK2550676.1, KAK2548645.1	G2E3_MOUSE
OG0000043	KAK2572121.1, KAK2552685.1, KAK2552725.1, KAK2552753.1, KAK2552726.1, KAK2552750.1, KAK2552718.1, KAK2552715.1, KAK2547907.1, KAK2552711.1, KAK2552684.1, KAK2552716.1, KAK2547910.1, KAK2552710.1, KAK2552728.1, KAK2547906.1, KAK2547918.1	EPHA1_MOUSE, EPHA2_MOUSE, EPHB3_MOUSE, EPHB1_MOUSE, EPHB2_MOUSE, EPHB4_MOUSE, EPHB6_MOUSE, EPHA8_MOUSE, EPHAA_MOUSE, EPHA7_MOUSE, EPHA3_MOUSE, EPHA5_MOUSE, EPHA6_MOUSE, EPHA4_MOUSE
OG0000002	KAK2561211.1	ZN235_MOUSE, ZN112_MOUSE, Z354A_MOUSE, Z354B_MOUSE, ZN879_MOUSE, Z354C_MOUSE, ZN184_MOUSE, ZN667_MOUSE, ZFP28_MOUSE, ZN583_MOUSE, ZFP14_MOUSE, ZFP82_MOUSE, ZFP30_MOUSE, ZFP59_MOUSE, ZFP60_MOUSE, ZFP27_MOUSE, ZFP54_MOUSE, ZFP1_MOUSE, RBAK_MOUSE, ZNF12_MOUSE, ZN382_MOUSE, ZFOI1_MOUSE, ZFP39_MOUSE, ZN809_MOUSE, ZN182_MOUSE, ZN569_MOUSE, ZN568_MOUSE, ZN426_MOUSE, ZFP26_MOUSE, ZFP90_MOUSE, ZFP69_MOUSE, ZNF8_MOUSE
OG0000021	KAK2557523.1, KAK2549865.1, KAK2547592.1, KAK2547155.1, KAK2549864.1, KAK2549888.1, KAK2547151.1, KAK2547053.1, KAK2549882.1, KAK2549187.1, KAK2547307.1, KAK2547152.1, KAK2547301.1, KAK2547306.1, KAK2557578.1, KAK2549184.1, KAK2557516.1, KAK2557581.1, KAK2547157.1, KAK2547303.1, KAK2566439.1, KAK2557442.1, KAK2557437.1, KAK2557553.1, KAK2549872.1, KAK2557504.1, KAK2557548.1, KAK2557551.1, KAK2557505.1, KAK2557509.1, KAK2549873.1, KAK2557549.1, KAK2554123.1, KAK2551951.1, KAK2546835.1, KAK2571712.1, KAK2561831.1, KAK2565581.1, KAK2547776.1, KAK2549085.1, KAK2550547.1, KAK2571754.1, KAK2554063.1, KAK2548506.1, KAK2557455.1, KAK2567902.1, KAK2564602.1, KAK2572199.1, KAK2555813.1, KAK2564023.1, KAK2556903.1, KAK2564657.1, KAK2564656.1, KAK2549094.1, KAK2549429.1, KAK2552777.1, KAK2565699.1, KAK2552970.1, KAK2549448.1, KAK2565725.1, KAK2560575.1, KAK2552206.1, KAK2552974.1	NEGR1_MOUSE, LSAMP_MOUSE, IGLO5_MOUSE, NTRI_MOUSE
OG0000045	KAK2547790.1	K1C18_MOUSE, K1C20_MOUSE, K1C42_MOUSE, K1C17_MOUSE, K1C14_MOUSE, K1C16_MOUSE, K1C12_MOUSE, K1C24_MOUSE, K1C26_MOUSE, K1C28_MOUSE, K1C25_MOUSE, K1C27_MOUSE, K1C9_MOUSE, K1C10_MOUSE, K1C19_MOUSE, K1C13_MOUSE, K1C15_MOUSE, KRT36_MOUSE, KRT35_MOUSE, K1H2_MOUSE, K1C39_MOUSE, K1C40_MOUSE, KRT34_MOUSE, K1H1_MOUSE, KT33A_MOUSE, KT33B_MOUSE
OG0000049	KAK2566431.1, KAK2568135.1, KAK2568386.1, KAK2568141.1, KAK2568392.1, KAK2568136.1, KAK2568137.1, KAK2546635.1, KAK2563382.1, KAK2547246.1, KAK2547245.1, KAK2562547.1, KAK2547431.1, KAK2548543.1, KAK2568830.1, KAK2548037.1, KAK2560428.1, KAK2555846.1, KAK2551694.1, KAK2567110.1, KAK2548036.1, KAK2549449.1, KAK2565693.1, KAK2564999.1, KAK2568139.1, KAK2564477.1, KAK2567766.1, KAK2555413.1, KAK2552514.1, KAK2565000.1, KAK2559671.1, KAK2547621.1, KAK2552518.1, KAK2552520.1	GBP5_MOUSE, GBP1_MOUSE, GBP2_MOUSE, GBP4_MOUSE, GBP6_MOUSE, GBP3_MOUSE, GBP7_MOUSE
OG0000058	KAK2555581.1, KAK2555580.1	ANKR7_MOUSE, ANR26_MOUSE
OG0000055	KAK2562801.1, KAK2572242.1, KAK2567832.1, KAK2562800.1, KAK2564011.1, KAK2553510.1, KAK2558587.1, KAK2557519.1, KAK2549950.1, KAK2557443.1, KAK2548475.1, KAK2556000.1	HIUH_MOUSE
OG0000055	KAK2547902.1, KAK2548365.1, KAK2555234.1, KAK2550790.1, KAK2561534.1, KAK2550533.1, KAK2565698.1, KAK2556238.1, KAK2555511.1, KAK2564350.1, KAK2546817.1, KAK2558464.1, KAK2555512.1, KAK2556134.1, KAK2556240.1, KAK2555105.1, KAK2546808.1, KAK2555202.1, KAK2558416.1, KAK2559498.1, KAK2555254.1, KAK2559599.1, KAK2547374.1, KAK2564277.1, KAK2564327.1, KAK2558692.1, KAK2546778.1, KAK2550252.1, KAK2556022.1, KAK2549856.1	TTHY_MOUSE
OG0000013	KAK2573735.1, KAK2553845.1, KAK2570101.1, KAK2565368.1, KAK2568182.1, KAK2568184.1, KAK2559376.1, KAK2565258.1, KAK2558430.1, KAK2559309.1, KAK2559444.1, KAK2572836.1, KAK2572356.1, KAK2554716.1	CTRB1_MOUSE, KLK7_MOUSE, KLK14_MOUSE, KLK4_MOUSE, KLK8_MOUSE, KLK11_MOUSE, TRY2_MOUSE, TRY4_MOUSE, TRY5_MOUSE, TMPS9_MOUSE, TEST_MOUSE, PRS41_MOUSE, PRS30_MOUSE, PRS33_MOUSE, BSSP4_MOUSE, PRS27_MOUSE, TRYB1_MOUSE, TRYB2_MOUSE, PRS28_MOUSE, PRS29_MOUSE, PRS39_MOUSE, PRS40_MOUSE, PRS38_MOUSE
OG0000063	KAK2560020.1, KAK2552985.1, KAK2553015.1, KAK2553028.1, KAK2553030.1, KAK2560025.1, KAK2552984.1, KAK2559850.1, KAK2559935.1, KAK2559853.1, KAK2559934.1, KAK2559933.1, KAK2559931.1, KAK2559937.1, KAK2559852.1, KAK2574075.1, KAK2574078.1, KAK2566425.1, KAK2566473.1, KAK2566474.1, KAK2559754.1	GRIA1_MOUSE, GRIA2_MOUSE, GRIA4_MOUSE, GRIA3_MOUSE, GRIK5_MOUSE, GRIK4_MOUSE, GRIK2_MOUSE, GRIK3_MOUSE, GRIK1_MOUSE
OG0000056	KAK2559323.1, KAK2548478.1, KAK2557962.1, KAK2558805.1, KAK2554342.1, KAK2553126.1, KAK2571534.1, KAK2564101.1, KAK2562608.1, KAK2552349.1, KAK2547484.1, KAK2562261.1, KAK2547359.1, KAK2552080.1, KAK2547563.1, KAK2549134.1, KAK2551935.1, KAK2564644.1, KAK2552227.1, KAK2551976.1, KAK2565726.1, KAK2552780.1, KAK2568527.1, KAK2550374.1, KAK2546993.1, KAK2552428.1, KAK2552226.1, KAK2568729.1, KAK2556264.1, KAK2562262.1, KAK2561775.1, KAK2559513.1, KAK2555215.1, KAK2561860.1, KAK2546849.1, KAK2554022.1, KAK2550706.1, KAK2561861.1, KAK2558875.1, KAK2548079.1, KAK2558863.1, KAK2560671.1, KAK2549593.1, KAK2572409.1, KAK2563250.1	IF2P_MOUSE
OG0000038	KAK2547743.1, KAK2560741.1, KAK2558445.1, KAK2558443.1, KAK2558409.1, KAK2558448.1, KAK2558449.1, KAK2573252.1, KAK2559973.1, KAK2558343.1, KAK2558508.1, KAK2558473.1, KAK2558477.1, KAK2572270.1, KAK2558472.1, KAK2570591.1, KAK2573658.1, KAK2573798.1	HRH2_MOUSE, ADRB2_MOUSE, ADRB1_MOUSE, ADRB3_MOUSE, DRD1_MOUSE, DRD5_MOUSE
OG0000064	KAK2564262.1, KAK2549135.1, KAK2552417.1, KAK2565482.1, KAK2565680.1, KAK2553642.1, KAK2550753.1, KAK2552996.1, KAK2564161.1, KAK2548766.1, KAK2562552.1, KAK2551739.1, KAK2548765.1, KAK2559386.1, KAK2563813.1, KAK2549675.1, KAK2549326.1, KAK2570464.1, KAK2555855.1, KAK2566441.1, KAK2566346.1, KAK2559875.1, KAK2559194.1, KAK2559193.1, KAK2552352.1, KAK2559978.1, KAK2557458.1, KAK2557453.1, KAK2562854.1, KAK2562855.1, KAK2558941.1, KAK2568980.1, KAK2558798.1, KAK2550746.1, KAK2566732.1, KAK2562379.1, KAK2564188.1, KAK2549398.1, KAK2552993.1, KAK2549399.1, KAK2554042.1, KAK2549369.1	POGK_MOUSE
OG0000053	KAK2547199.1, KAK2548628.1, KAK2565069.1, KAK2571926.1, KAK2572642.1, KAK2571002.1, KAK2570908.1, KAK2570907.1, KAK2572955.1, KAK2572954.1, KAK2552870.1	ACHB2_MOUSE, ACHB4_MOUSE, ACHA3_MOUSE, ACHA6_MOUSE, ACHA4_MOUSE, ACHA2_MOUSE, ACHA5_MOUSE, ACHB3_MOUSE, ACHA7_MOUSE
OG0000046	KAK2556771.1, KAK2569787.1, KAK2569619.1, KAK2569735.1, KAK2569620.1, KAK2561990.1, KAK2551150.1, KAK2570639.1, KAK2563169.1, KAK2553351.1, KAK2563318.1, KAK2553350.1, KAK2557789.1, KAK2572679.1, KAK2559437.1, KAK2547849.1, KAK2547864.1, KAK2565858.1, KAK2566077.1, KAK2571232.1, KAK2571231.1, KAK2571236.1, KAK2554406.1, KAK2554407.1	MTR1L_MOUSE, MTR1A_MOUSE, MTR1B_MOUSE
OG0000069	KAK2566336.1, KAK2572475.1, KAK2551790.1, KAK2551843.1, KAK2565355.1, KAK2565357.1, KAK2554214.1, KAK2551819.1, KAK2568327.1, KAK2546926.1, KAK2546923.1, KAK2546784.1, KAK2546732.1, KAK2546785.1, KAK2568326.1	EFNB3_MOUSE, EFNB1_MOUSE, EFNB2_MOUSE
OG0000085	KAK2568378.1, KAK2557924.1, KAK2559247.1, KAK2549546.1, KAK2565423.1, KAK2565612.1, KAK2558953.1, KAK2547333.1, KAK2566237.1, KAK2550699.1, KAK2546694.1, KAK2564426.1, KAK2573103.1, KAK2562451.1, KAK2561789.1, KAK2564380.1, KAK2552816.1, KAK2561791.1, KAK2567737.1, KAK2548932.1, KAK2562445.1, KAK2549410.1, KAK2552345.1, KAK2558133.1, KAK2548878.1, KAK2550719.1, KAK2564577.1, KAK2555893.1, KAK2570981.1, KAK2570980.1, KAK2557863.1, KAK2572486.1	V2R1_MOUSE, V2116_MOUSE, V2R26_MOUSE, CASR_MOUSE
OG0000068	KAK2556527.1, KAK2560187.1, KAK2560185.1, KAK2560238.1, KAK2560186.1, KAK2560237.1, KAK2563589.1, KAK2563587.1, KAK2556352.1, KAK2556351.1, KAK2556447.1, KAK2558088.1, KAK2561866.1, KAK2574433.1, KAK2551011.1, KAK2551012.1, KAK2553140.1, KAK2562758.1, KAK2572838.1	B3GN5_MOUSE, B3GT1_MOUSE, B3GT2_MOUSE, B3GT5_MOUSE, B3GL1_MOUSE
OG0000078	KAK2556342.1, KAK2562543.1, KAK2556325.1, KAK2547139.1, KAK2571944.1, KAK2556326.1, KAK2560026.1, KAK2556346.1, KAK2556349.1, KAK2556331.1, KAK2556402.1, KAK2551066.1, KAK2546638.1, KAK2567591.1, KAK2551933.1, KAK2546702.1, KAK2547232.1, KAK2547422.1, KAK2547211.1, KAK2546953.1, KAK2547215.1, KAK2547218.1, KAK2547234.1, KAK2547212.1, KAK2547229.1, KAK2572109.1, KAK2568523.1, KAK2572732.1, KAK2572733.1, KAK2562131.1, KAK2564981.1	CLC4G_MOUSE
OG0000089	KAK2554246.1, KAK2554254.1, KAK2562005.1, KAK2561518.1, KAK2566480.1	CGT_MOUSE, UDB17_MOUSE, UD2A1_MOUSE, UD2A2_MOUSE, UD2A3_MOUSE, UD11_MOUSE, UD12_MOUSE, UD16_MOUSE, UD17_MOUSE, UD19_MOUSE
